spectrum,peak_kev,fwhm_kev,winner,cand_name,cand_kev,cand_intensity_pct,cand_miss_kev,cand_miss_fwhm
AS80_Cs137_0cm,1456.909,100.263,K-40,K-40,1460.000,10.66,3.091,0.0308
AS80_Cs137_0cm,1456.909,100.263,K-40,Ac-228,1588.000,3.22,131.091,1.3075
AS80_Cs137_0cm,1793.108,110.087,Bi-214,Ac-228,1588.000,3.22,205.108,1.8631
AS80_Cs137_0cm,1793.108,110.087,Bi-214,Bi-214,1764.000,15.29,29.108,0.2644
AS80_Cs137_0cm,2224.638,185.754,Bi-214,Tl-208 SE,2103.000,0,121.638,0.6548
AS80_Cs137_0cm,2224.638,185.754,Bi-214,Bi-214,2204.000,4.92,20.638,0.1111
AS80_Cs137_0cm,2224.638,185.754,Bi-214,Bi-214,2447.000,1.545,222.362,1.1971
AS80_Cs137_0cm,2618.201,104.200,Tl-208,Bi-214,2447.000,1.545,171.201,1.6430
AS80_Cs137_0cm,2618.201,104.200,Tl-208,Tl-208,2614.000,35.8516,4.201,0.0403
AS80_K40,84.350,12.638,Pb x-ray,Am-241,59.541,35.9,24.809,1.9631
AS80_K40,84.350,12.638,Pb x-ray,Am-243,74.660,67.2,9.690,0.7668
AS80_K40,84.350,12.638,Pb x-ray,Np-239,106.000,25.34,21.650,1.7130
AS80_K40,84.350,12.638,Pb x-ray,Pb x-ray,74.969,100,9.381,0.7423
AS80_K40,84.350,12.638,Pb x-ray,Pb x-ray,72.804,59.5,11.546,0.9136
AS80_K40,84.350,12.638,Pb x-ray,Pb x-ray,84.936,23,0.586,0.0463
AS80_K40,84.350,12.638,Pb x-ray,Pb x-ray,87.300,8,2.950,0.2334
AS80_K40,84.350,12.638,Pb x-ray,W x-ray,59.318,100,25.032,1.9807
AS80_K40,84.350,12.638,Pb x-ray,W x-ray,67.244,22,17.106,1.3536
AS80_K40,84.350,12.638,Pb x-ray,W x-ray,69.067,8,15.283,1.2093
AS80_K40,99.545,18.483,Np-239,Am-243,74.660,67.2,24.885,1.3464
AS80_K40,99.545,18.483,Np-239,Np-239,106.000,25.34,6.455,0.3492
AS80_K40,99.545,18.483,Np-239,Th-234,112.810,0.21,13.265,0.7177
AS80_K40,99.545,18.483,Np-239,Eu-152,125.000,28.53,25.455,1.3772
AS80_K40,99.545,18.483,Np-239,Pb x-ray,74.969,100,24.576,1.3296
AS80_K40,99.545,18.483,Np-239,Pb x-ray,72.804,59.5,26.741,1.4468
AS80_K40,99.545,18.483,Np-239,Pb x-ray,84.936,23,14.609,0.7904
AS80_K40,99.545,18.483,Np-239,Pb x-ray,87.300,8,12.245,0.6625
AS80_K40,99.545,18.483,Np-239,W x-ray,67.244,22,32.301,1.7476
AS80_K40,99.545,18.483,Np-239,W x-ray,69.067,8,30.478,1.6490
AS80_K40,99.545,18.483,Np-239,Ac-228,129.065,2.42,29.520,1.5971
AS80_K40,115.778,19.513,Th-234,Np-239,106.000,25.34,9.778,0.5011
AS80_K40,115.778,19.513,Th-234,Th-234,112.810,0.21,2.968,0.1521
AS80_K40,115.778,19.513,Th-234,Eu-152,125.000,28.53,9.222,0.4726
AS80_K40,115.778,19.513,Th-234,U-235,145.000,10.96,29.222,1.4975
AS80_K40,115.778,19.513,Th-234,Pu-238,152.000,0.0009,36.222,1.8563
AS80_K40,115.778,19.513,Th-234,Pb x-ray,84.936,23,30.842,1.5806
AS80_K40,115.778,19.513,Th-234,Pb x-ray,87.300,8,28.478,1.4594
AS80_K40,115.778,19.513,Th-234,Ac-228,129.065,2.42,13.287,0.6809
AS80_K40,241.494,20.293,Pb-214,Lu-176,202.000,77.9688,39.494,1.9462
AS80_K40,241.494,20.293,Pb-214,U-237,208.005,21.2,33.489,1.6503
AS80_K40,241.494,20.293,Pb-214,Ac-228,211.000,3.89,30.494,1.5027
AS80_K40,241.494,20.293,Pb-214,Np-239,228.000,10.73,13.494,0.6650
AS80_K40,241.494,20.293,Pb-214,Pb-212,238.000,43.6,3.494,0.1722
AS80_K40,241.494,20.293,Pb-214,Pb-214,241.000,7.2615,0.494,0.0243
