ch,keV,net,fit,model,continuum_raw,Bi-207,Esc-NaI,Ann-511
362,1053.069,41569.311,41569.311,42218.638,430.938,42218.638,0.000,0.000
363,1056.055,42091.405,42091.405,42248.332,429.280,42248.332,0.000,0.000
364,1059.041,41315.905,41315.905,41780.306,427.622,41780.306,0.000,0.000
365,1062.027,41806.686,41806.686,40830.748,425.964,40830.748,0.000,0.000
366,1065.013,41461.030,41461.030,39432.905,424.306,39432.905,0.000,0.000
367,1067.999,40068.561,40068.561,37635.114,422.649,37635.114,0.000,0.000
368,1070.985,37339.780,37339.780,35498.004,420.991,35498.004,0.000,0.000
369,1073.971,35537.686,35537.686,33091.075,419.333,33091.075,0.000,0.000
370,1076.957,33499.624,33499.624,30488.933,417.675,30488.933,0.000,0.000
371,1079.943,30665.718,30665.718,27767.466,416.017,27767.466,0.000,0.000
372,1082.930,27396.499,27396.499,25000.229,414.360,25000.229,0.000,0.000
373,1085.916,24596.343,24596.343,22255.268,412.702,22255.268,0.000,0.000
374,1088.902,21719.905,21719.905,19592.568,411.044,19592.568,0.000,0.000
375,1091.889,18885.999,18885.999,17062.233,409.386,17062.233,0.000,0.000
376,1094.875,16229.749,16229.749,14703.436,407.728,14703.436,0.000,0.000
377,1097.861,13678.530,13678.530,12544.126,406.070,12544.126,0.000,0.000
378,1100.848,11819.311,11819.311,10601.394,404.413,10601.394,0.000,0.000
379,1103.834,9321.061,9321.061,8882.397,402.755,8882.397,0.000,0.000
380,1106.820,7865.874,7865.874,7385.676,401.097,7385.676,0.000,0.000
381,1109.807,6285.686,6285.686,6102.730,399.439,6102.730,0.000,0.000
382,1112.793,5086.249,5086.249,5019.686,397.781,5019.686,0.000,0.000
383,1115.779,4198.405,4198.405,4118.948,396.124,4118.948,0.000,0.000
384,1118.766,3353.936,3353.936,3380.717,394.466,3380.717,0.000,0.000
385,1121.752,2725.936,2725.936,2784.312,392.808,2784.312,0.000,0.000
386,1124.739,2254.155,2254.155,2309.246,391.150,2309.246,0.000,0.000
387,1127.725,1796.155,1796.155,1936.055,389.492,1936.055,0.000,0.000
388,1130.711,1584.374,1584.374,1646.866,387.834,1646.866,0.000,0.000
389,1133.698,1372.624,1372.624,1425.749,386.177,1425.749,0.000,0.000
390,1136.684,1194.093,1194.093,1258.877,384.519,1258.877,0.000,0.000
391,1139.671,1144.624,1144.624,1134.533,382.861,1134.533,0.000,0.000
392,1142.657,1016.593,1016.593,1043.005,381.203,1043.005,0.000,0.000
393,1145.643,964.311,964.311,976.412,379.545,976.412,0.000,0.000
394,1148.629,908.905,908.905,928.484,377.888,928.484,0.000,0.000
395,1151.616,880.936,880.936,894.330,376.230,894.330,0.000,0.000
396,1154.602,880.812,880.812,870.201,374.572,870.201,0.000,0.000
397,1157.588,865.499,865.499,853.277,372.914,853.277,0.000,0.000
398,1160.574,841.749,841.749,841.475,371.256,841.475,0.000,0.000
399,1163.560,863.374,863.374,833.282,369.599,833.282,0.000,0.000
400,1166.547,794.374,794.374,827.619,367.941,827.619,0.000,0.000
401,1169.533,794.562,794.562,823.733,366.283,823.733,0.000,0.000
402,1172.519,774.624,774.624,821.103,364.625,821.103,0.000,0.000
403,1175.505,791.343,791.343,819.380,362.967,819.380,0.000,0.000
404,1178.491,757.405,757.405,818.335,361.309,818.335,0.000,0.000
405,1181.477,750.937,750.937,817.819,359.652,817.819,0.000,0.000
406,1184.462,812.405,812.405,817.739,357.994,817.739,0.000,0.000
407,1187.448,775.405,775.405,818.036,356.336,818.036,0.000,0.000
408,1190.434,772.937,772.937,818.673,354.678,818.673,0.000,0.000
409,1193.420,794.937,794.937,819.626,353.020,819.626,0.000,0.000
410,1196.405,795.062,795.062,820.872,351.363,820.872,0.000,0.000
411,1199.391,739.812,739.812,822.388,349.705,822.388,0.000,0.000
412,1202.377,790.874,790.874,824.146,348.047,824.146,0.000,0.000
413,1205.362,801.655,801.655,826.108,346.389,826.108,0.000,0.000
414,1208.348,758.280,758.280,828.227,344.731,828.227,0.000,0.000
415,1211.333,739.093,739.093,830.444,343.073,830.444,0.000,0.000
416,1214.318,765.687,765.687,832.685,341.416,832.685,0.000,0.000
417,1217.303,785.937,785.937,834.869,339.758,834.869,0.000,0.000
418,1220.289,864.124,864.124,836.901,338.100,836.901,0.000,0.000
419,1223.274,818.093,818.093,838.679,336.442,838.679,0.000,0.000
420,1226.259,797.062,797.062,840.099,334.784,840.099,0.000,0.000
421,1229.244,880.562,880.562,841.052,333.127,841.052,0.000,0.000
422,1232.228,863.968,863.968,841.437,331.469,841.437,0.000,0.000
423,1235.213,840.437,840.437,841.159,329.811,841.159,0.000,0.000
424,1238.198,905.249,905.249,840.137,328.153,840.137,0.000,0.000
425,1241.182,880.249,880.249,838.309,326.495,838.309,0.000,0.000
426,1244.167,883.780,883.780,835.632,324.837,835.632,0.000,0.000
427,1247.151,938.155,938.155,832.091,323.180,832.091,0.000,0.000
428,1250.136,968.593,968.593,827.693,321.522,827.693,0.000,0.000
429,1253.120,920.343,920.343,822.474,319.864,822.474,0.000,0.000
430,1256.104,983.874,983.874,816.495,318.206,816.495,0.000,0.000
431,1259.088,1000.218,1000.218,809.838,316.548,809.838,0.000,0.000
432,1262.072,964.281,964.281,802.607,314.891,802.607,0.000,0.000
433,1265.056,922.718,922.718,794.921,313.233,794.921,0.000,0.000
434,1268.040,941.093,941.093,786.906,311.575,786.906,0.000,0.000
435,1271.023,1040.218,1040.218,778.697,309.917,778.697,0.000,0.000
436,1274.007,962.812,962.812,770.425,308.259,770.425,0.000,0.000
437,1276.990,1017.624,1017.624,762.217,306.601,762.217,0.000,0.000
438,1279.974,992.531,992.531,754.188,304.944,754.188,0.000,0.000
439,1282.957,953.374,953.374,746.442,303.286,746.442,0.000,0.000
440,1285.940,920.593,920.593,739.063,301.628,739.063,0.000,0.000
441,1288.923,983.812,983.812,732.120,299.970,732.120,0.000,0.000
442,1291.906,908.937,908.937,725.661,298.312,725.661,0.000,0.000
443,1294.888,874.656,874.656,719.717,296.655,719.717,0.000,0.000
444,1297.871,873.374,873.374,714.302,294.997,714.302,0.000,0.000
445,1300.854,899.593,899.593,708.916,292.842,708.916,0.000,0.000
446,1303.836,815.281,815.281,704.042,290.686,704.042,0.000,0.000
447,1306.818,865.812,865.812,699.658,288.531,699.658,0.000,0.000
448,1309.800,786.812,786.812,695.730,286.376,695.730,0.000,0.000
449,1312.782,757.468,757.468,692.224,284.220,692.224,0.000,0.000
450,1315.764,754.468,754.468,689.104,282.065,689.104,0.000,0.000
451,1318.746,780.437,780.437,686.333,279.910,686.333,0.000,0.000
452,1321.728,782.249,782.249,683.880,277.755,683.880,0.000,0.000
453,1324.709,779.531,779.531,681.718,275.599,681.718,0.000,0.000
454,1327.690,770.281,770.281,679.827,273.444,679.827,0.000,0.000
455,1330.672,785.437,785.437,678.198,271.289,678.198,0.000,0.000
456,1333.653,738.374,738.374,676.830,269.134,676.830,0.000,0.000
457,1336.634,730.718,730.718,675.733,266.978,675.733,0.000,0.000
458,1339.614,736.687,736.687,674.930,264.823,674.930,0.000,0.000
459,1342.595,693.468,693.468,674.458,262.668,674.458,0.000,0.000
460,1345.575,692.843,692.843,674.367,260.512,674.367,0.000,0.000
461,1348.556,792.968,792.968,674.722,258.357,674.722,0.000,0.000
462,1351.536,652.968,652.968,675.601,256.202,675.601,0.000,0.000
463,1354.516,729.093,729.093,677.101,254.047,677.101,0.000,0.000
464,1357.496,735.030,735.030,679.329,251.891,679.329,0.000,0.000
465,1360.476,719.968,719.968,682.410,249.736,682.410,0.000,0.000
466,1363.455,779.093,779.093,686.479,247.581,686.479,0.000,0.000
467,1366.435,697.656,697.656,691.682,245.425,691.682,0.000,0.000
468,1369.414,707.249,707.249,698.170,243.270,698.170,0.000,0.000
469,1372.393,758.374,758.374,706.097,241.115,706.097,0.000,0.000
470,1375.372,772.530,772.530,715.616,238.960,715.616,0.000,0.000
471,1378.351,732.968,732.968,726.867,236.804,726.867,0.000,0.000
472,1381.329,711.249,711.249,739.974,234.649,739.974,0.000,0.000
473,1384.308,745.655,745.655,755.038,232.494,755.038,0.000,0.000
474,1387.286,806.187,806.187,772.125,230.339,772.125,0.000,0.000
475,1390.264,718.249,718.249,791.257,228.183,791.257,0.000,0.000
476,1393.242,754.186,754.186,812.408,226.028,812.408,0.000,0.000
477,1396.220,767.999,767.999,835.492,223.873,835.492,0.000,0.000
478,1399.197,729.030,729.030,860.361,221.717,860.361,0.000,0.000
479,1402.175,784.374,784.374,886.798,219.562,886.798,0.000,0.000
480,1405.152,722.749,722.749,914.515,217.407,914.515,0.000,0.000
481,1408.129,757.561,757.561,943.156,215.252,943.156,0.000,0.000
482,1411.106,711.061,711.061,972.303,213.096,972.303,0.000,0.000
483,1414.082,723.124,723.124,1001.477,210.941,1001.477,0.000,0.000
484,1417.059,689.311,689.311,1030.158,208.786,1030.158,0.000,0.000
485,1420.035,747.436,747.436,1057.792,206.631,1057.792,0.000,0.000
486,1423.011,765.749,765.749,1083.807,204.475,1083.807,0.000,0.000
487,1425.987,763.780,763.780,1107.638,202.320,1107.638,0.000,0.000
488,1428.963,689.311,689.311,1128.739,200.165,1128.739,0.000,0.000
489,1431.939,765.624,765.624,1146.607,198.009,1146.607,0.000,0.000
490,1434.914,746.030,746.030,1160.798,195.854,1160.798,0.000,0.000
491,1437.889,685.155,685.155,1170.945,193.699,1170.945,0.000,0.000
492,1440.864,750.124,750.124,1176.771,191.544,1176.771,0.000,0.000
493,1443.839,728.967,728.967,1178.099,189.388,1178.099,0.000,0.000
494,1446.813,720.155,720.155,1174.860,187.233,1174.860,0.000,0.000
495,1449.788,634.624,634.624,1167.092,185.078,1167.092,0.000,0.000
496,1452.762,705.874,705.874,1154.941,182.923,1154.941,0.000,0.000
497,1455.736,650.874,650.874,1138.648,180.767,1138.648,0.000,0.000
498,1458.710,635.030,635.030,1118.543,178.612,1118.543,0.000,0.000
499,1461.683,692.686,692.686,1095.027,176.457,1095.027,0.000,0.000
500,1464.657,662.749,662.749,1068.556,174.301,1068.556,0.000,0.000
501,1467.630,628.405,628.405,1039.623,172.146,1039.623,0.000,0.000
502,1470.603,660.968,660.968,1008.741,169.991,1008.741,0.000,0.000
503,1473.576,657.874,657.874,976.418,167.836,976.418,0.000,0.000
504,1476.548,577.499,577.499,943.149,165.680,943.149,0.000,0.000
505,1479.521,606.999,606.999,909.394,163.525,909.394,0.000,0.000
506,1482.493,619.718,619.718,875.568,161.370,875.568,0.000,0.000
507,1485.465,568.562,568.562,842.035,159.215,842.035,0.000,0.000
508,1488.436,537.593,537.593,809.099,157.059,809.099,0.000,0.000
509,1491.408,600.374,600.374,777.001,154.904,777.001,0.000,0.000
510,1494.379,565.093,565.093,745.925,152.749,745.925,0.000,0.000
511,1497.350,473.343,473.343,715.993,150.593,715.993,0.000,0.000
512,1500.321,522.281,522.281,687.278,148.438,687.278,0.000,0.000
513,1503.292,469.999,469.999,659.807,146.283,659.807,0.000,0.000
514,1506.262,485.500,485.500,633.568,144.128,633.568,0.000,0.000
515,1509.232,449.437,449.437,608.523,141.972,608.523,0.000,0.000
516,1512.202,476.062,476.062,584.610,139.817,584.610,0.000,0.000
517,1515.172,413.250,413.250,561.756,137.662,561.756,0.000,0.000
518,1518.141,405.593,405.593,539.881,135.507,539.881,0.000,0.000
519,1521.111,378.343,378.343,518.905,133.351,518.905,0.000,0.000
520,1524.080,408.281,408.281,498.751,131.196,498.751,0.000,0.000
521,1527.048,414.562,414.562,479.351,129.041,479.351,0.000,0.000
522,1530.017,385.312,385.312,460.646,126.885,460.646,0.000,0.000
523,1532.985,356.125,356.125,442.588,124.730,442.588,0.000,0.000
524,1535.953,379.718,379.718,425.137,122.575,425.137,0.000,0.000
525,1538.921,349.000,349.000,408.266,120.420,408.266,0.000,0.000
526,1541.889,318.531,318.531,391.956,118.264,391.956,0.000,0.000
527,1544.856,299.343,299.343,376.194,116.109,376.194,0.000,0.000
528,1547.824,301.562,301.562,360.972,113.954,360.972,0.000,0.000
529,1550.790,323.468,323.468,346.286,111.799,346.286,0.000,0.000
530,1553.757,296.343,296.343,332.135,109.643,332.135,0.000,0.000
531,1556.724,283.281,283.281,318.518,107.488,318.518,0.000,0.000
532,1559.690,304.750,304.750,305.430,105.333,305.430,0.000,0.000
533,1562.656,285.562,285.562,292.868,103.177,292.868,0.000,0.000
534,1565.622,268.593,268.593,280.826,101.022,280.826,0.000,0.000
535,1568.587,292.718,292.718,269.293,98.867,269.293,0.000,0.000
536,1571.552,253.500,253.500,258.259,96.712,258.259,0.000,0.000
537,1574.517,256.656,256.656,247.709,94.556,247.709,0.000,0.000
538,1577.482,246.937,246.937,237.627,92.401,237.627,0.000,0.000
539,1580.447,297.437,297.437,227.996,90.246,227.996,0.000,0.000
540,1583.411,262.843,262.843,218.797,88.091,218.797,0.000,0.000
541,1586.375,288.625,288.625,211.606,87.530,211.606,0.000,0.000
542,1589.339,276.250,276.250,204.811,86.969,204.811,0.000,0.000
543,1592.302,285.687,285.687,198.395,86.409,198.395,0.000,0.000
544,1595.265,295.031,295.031,192.342,85.848,192.342,0.000,0.000
545,1598.228,301.625,301.625,186.640,85.288,186.640,0.000,0.000
546,1601.191,371.906,371.906,181.280,84.727,181.280,0.000,0.000
547,1604.154,380.843,380.843,176.256,84.166,176.256,0.000,0.000
548,1607.116,369.156,369.156,171.567,83.606,171.567,0.000,0.000
549,1610.078,408.000,408.000,167.219,83.045,167.219,0.000,0.000
550,1613.040,445.812,445.812,163.222,82.485,163.222,0.000,0.000
551,1616.001,488.937,488.937,159.597,81.924,159.597,0.000,0.000
552,1618.962,539.750,539.750,156.370,81.363,156.370,0.000,0.000
553,1621.923,556.531,556.531,153.582,80.803,153.582,0.000,0.000
554,1624.884,605.031,605.031,151.282,80.242,151.282,0.000,0.000
555,1627.844,630.219,630.219,149.535,79.682,149.535,0.000,0.000
556,1630.804,616.250,616.250,148.423,79.121,148.423,0.000,0.000
557,1633.764,726.062,726.062,148.042,78.560,148.042,0.000,0.000
558,1636.724,726.812,726.812,148.512,78.000,148.512,0.000,0.000
559,1639.683,749.906,749.906,149.970,77.439,149.970,0.000,0.000
560,1642.643,770.125,770.125,152.579,76.879,152.579,0.000,0.000
561,1645.601,766.593,766.593,156.525,76.318,156.525,0.000,0.000
562,1648.560,798.094,798.094,162.018,75.758,162.018,0.000,0.000
563,1651.518,833.187,833.187,169.293,75.197,169.293,0.000,0.000
564,1654.476,845.406,845.406,178.609,74.636,178.609,0.000,0.000
565,1657.434,889.531,889.531,190.245,74.076,190.245,0.000,0.000
566,1660.392,793.812,793.812,204.498,73.515,204.498,0.000,0.000
567,1663.349,806.156,806.156,221.677,72.955,221.677,0.000,0.000
568,1666.306,848.156,848.156,242.098,72.394,242.098,0.000,0.000
569,1669.263,817.031,817.031,266.073,71.833,266.073,0.000,0.000
570,1672.219,829.968,829.968,293.907,71.273,293.907,0.000,0.000
571,1675.175,772.094,772.094,325.876,70.712,325.876,0.000,0.000
572,1678.131,755.843,755.843,362.225,70.152,362.225,0.000,0.000
573,1681.087,752.656,752.656,403.149,69.591,403.149,0.000,0.000
574,1684.042,764.562,764.562,448.780,69.030,448.780,0.000,0.000
575,1686.997,768.125,768.125,499.174,68.470,499.174,0.000,0.000
576,1689.952,755.875,755.875,554.296,67.909,554.296,0.000,0.000
577,1692.906,751.687,751.687,614.006,67.349,614.006,0.000,0.000
578,1695.861,804.781,804.781,678.053,66.788,678.053,0.000,0.000
579,1698.814,810.875,810.875,746.063,66.227,746.063,0.000,0.000
580,1701.768,821.687,821.687,817.535,65.667,817.535,0.000,0.000
581,1704.722,870.375,870.375,891.839,65.106,891.839,0.000,0.000
582,1707.675,876.031,876.031,968.221,64.546,968.221,0.000,0.000
583,1710.628,919.031,919.031,1045.810,63.985,1045.810,0.000,0.000
584,1713.580,981.562,981.562,1123.631,63.424,1123.631,0.000,0.000
585,1716.532,1053.031,1053.031,1200.620,62.864,1200.620,0.000,0.000
586,1719.484,1055.843,1055.843,1275.651,62.303,1275.651,0.000,0.000
587,1722.436,1159.875,1159.875,1347.555,61.743,1347.555,0.000,0.000
588,1725.388,1241.656,1241.656,1415.156,61.182,1415.156,0.000,0.000
589,1728.339,1354.000,1354.000,1477.299,60.621,1477.299,0.000,0.000
590,1731.290,1407.250,1407.250,1532.879,60.061,1532.879,0.000,0.000
591,1734.240,1406.937,1406.937,1580.881,59.500,1580.881,0.000,0.000
592,1737.190,1487.718,1487.718,1620.403,58.940,1620.403,0.000,0.000
593,1740.140,1507.437,1507.437,1650.691,58.379,1650.691,0.000,0.000
594,1743.090,1586.718,1586.718,1671.155,57.819,1671.155,0.000,0.000
595,1746.040,1674.375,1674.375,1681.396,57.258,1681.396,0.000,0.000
596,1748.989,1649.750,1649.750,1681.215,56.697,1681.215,0.000,0.000
597,1751.938,1713.968,1713.968,1670.617,56.137,1670.617,0.000,0.000
598,1754.886,1699.125,1699.125,1649.817,55.576,1649.817,0.000,0.000
599,1757.835,1694.812,1694.812,1619.229,55.016,1619.229,0.000,0.000
600,1760.783,1695.125,1695.125,1579.452,54.455,1579.452,0.000,0.000
601,1763.730,1664.812,1664.812,1531.253,53.894,1531.253,0.000,0.000
602,1766.678,1567.906,1567.906,1475.538,53.334,1475.538,0.000,0.000
603,1769.625,1648.812,1648.812,1413.331,52.773,1413.331,0.000,0.000
604,1772.572,1454.750,1454.750,1345.734,52.213,1345.734,0.000,0.000
605,1775.518,1479.187,1479.187,1273.902,51.652,1273.902,0.000,0.000
606,1778.465,1402.875,1402.875,1199.006,51.091,1199.006,0.000,0.000
607,1781.411,1335.250,1335.250,1122.201,50.531,1122.201,0.000,0.000
608,1784.356,1239.656,1239.656,1044.603,49.970,1044.603,0.000,0.000
609,1787.302,1141.594,1141.594,967.253,49.410,967.253,0.000,0.000
610,1790.247,1095.406,1095.406,891.105,48.849,891.105,0.000,0.000
611,1793.192,982.437,982.437,817.004,48.288,817.004,0.000,0.000
612,1796.136,909.219,909.219,745.674,47.728,745.674,0.000,0.000
613,1799.080,828.156,828.156,677.712,47.167,677.712,0.000,0.000
614,1802.024,775.344,775.344,613.585,46.607,613.585,0.000,0.000
615,1804.968,742.625,742.625,553.631,46.046,553.631,0.000,0.000
616,1807.911,641.156,641.156,498.069,45.485,498.069,0.000,0.000
617,1810.855,568.250,568.250,447.000,44.925,447.000,0.000,0.000
618,1813.797,481.469,481.469,400.428,44.364,400.428,0.000,0.000
619,1816.740,440.656,440.656,358.268,43.804,358.268,0.000,0.000
620,1819.682,376.843,376.843,320.359,43.243,320.359,0.000,0.000
621,1822.624,293.500,293.500,286.486,42.682,286.486,0.000,0.000
622,1825.566,280.500,280.500,256.387,42.122,256.387,0.000,0.000
623,1828.507,219.406,219.406,229.770,41.561,229.770,0.000,0.000
624,1831.448,190.094,190.094,206.327,41.001,206.327,0.000,0.000
625,1834.389,168.406,168.406,185.745,40.440,185.745,0.000,0.000
626,1837.329,143.500,143.500,167.712,39.879,167.712,0.000,0.000
627,1840.269,125.312,125.312,151.928,39.319,151.928,0.000,0.000
628,1843.209,121.687,121.687,138.113,38.758,138.113,0.000,0.000
629,1846.149,104.781,104.781,126.004,38.198,126.004,0.000,0.000
630,1849.088,88.562,88.562,115.367,37.637,115.367,0.000,0.000
631,1852.027,71.687,71.687,105.991,37.077,105.991,0.000,0.000
632,1854.966,62.031,62.031,97.691,36.516,97.691,0.000,0.000
633,1857.904,55.531,55.531,90.309,35.955,90.309,0.000,0.000
634,1860.842,51.844,51.844,83.708,35.395,83.708,0.000,0.000
635,1863.780,48.906,48.906,77.777,34.834,77.777,0.000,0.000
636,1866.717,44.750,44.750,72.419,34.274,72.419,0.000,0.000
637,1869.654,24.719,24.719,67.558,33.713,67.558,0.000,0.000
638,1872.591,34.719,34.719,63.131,33.152,63.131,0.000,0.000
639,1875.528,34.406,34.406,59.086,32.592,59.086,0.000,0.000
640,1878.464,28.844,28.844,55.382,32.031,55.382,0.000,0.000
641,1881.400,46.031,46.031,51.986,31.471,51.986,0.000,0.000
642,1884.336,25.812,25.812,48.869,30.910,48.869,0.000,0.000
643,1887.271,38.781,38.781,46.009,30.349,46.009,0.000,0.000
644,1890.206,33.062,33.062,43.384,29.789,43.384,0.000,0.000
645,1893.141,20.906,20.906,40.977,29.228,40.977,0.000,0.000
646,1896.076,29.969,29.969,38.772,28.668,38.772,0.000,0.000
647,1899.010,30.812,30.812,36.753,28.107,36.753,0.000,0.000
648,1901.944,32.125,32.125,34.906,27.546,34.906,0.000,0.000
649,1904.878,36.375,36.375,33.216,26.986,33.216,0.000,0.000
650,1907.811,26.906,26.906,32.025,26.779,32.025,0.000,0.000
651,1910.744,35.625,35.625,30.964,26.573,30.964,0.000,0.000
652,1913.677,24.781,24.781,30.021,26.366,30.021,0.000,0.000
653,1916.609,28.000,28.000,29.184,26.159,29.184,0.000,0.000
654,1919.541,21.937,21.937,28.441,25.953,28.441,0.000,0.000
655,1922.473,31.656,31.656,27.781,25.746,27.781,0.000,0.000
656,1925.405,30.562,30.562,27.194,25.540,27.194,0.000,0.000
657,1928.336,27.844,27.844,26.669,25.333,26.669,0.000,0.000
658,1931.267,21.156,21.156,26.199,25.126,26.199,0.000,0.000
659,1934.198,28.781,28.781,25.776,24.920,25.776,0.000,0.000
660,1937.128,31.719,31.719,25.393,24.713,25.393,0.000,0.000
661,1940.058,28.969,28.969,25.042,24.507,25.042,0.000,0.000
662,1942.988,29.656,29.656,24.720,24.300,24.720,0.000,0.000
663,1945.917,23.844,23.844,24.420,24.094,24.420,0.000,0.000
664,1948.847,21.031,21.031,24.140,23.887,24.140,0.000,0.000
665,1951.776,35.781,35.781,23.875,23.680,23.875,0.000,0.000
666,1954.704,22.000,22.000,23.622,23.474,23.622,0.000,0.000
667,1957.633,27.969,27.969,23.380,23.267,23.380,0.000,0.000
668,1960.561,31.219,31.219,23.146,23.061,23.146,0.000,0.000
669,1963.488,20.031,20.031,22.918,22.854,22.918,0.000,0.000
670,1966.416,27.000,27.000,22.695,22.647,22.695,0.000,0.000
671,1969.343,31.844,31.844,22.476,22.441,22.476,0.000,0.000
672,1972.270,18.656,18.656,22.260,22.234,22.260,0.000,0.000
673,1975.196,24.812,24.812,22.047,22.028,22.047,0.000,0.000
674,1978.123,23.781,23.781,21.835,21.821,21.835,0.000,0.000
675,1981.049,33.531,33.531,21.624,21.614,21.624,0.000,0.000
676,1983.974,32.969,32.969,21.415,21.408,21.415,0.000,0.000
677,1986.900,23.937,23.937,21.206,21.201,21.206,0.000,0.000
678,1989.825,25.281,25.281,20.998,20.995,20.998,0.000,0.000
679,1992.750,30.750,30.750,20.791,20.788,20.791,0.000,0.000
680,1995.674,22.500,22.500,20.583,20.581,20.583,0.000,0.000
681,1998.598,24.687,24.687,20.376,20.375,20.376,0.000,0.000
682,2001.522,28.594,28.594,20.169,20.168,20.169,0.000,0.000
683,2004.446,29.844,29.844,19.962,19.962,19.962,0.000,0.000
684,2007.369,18.719,18.719,19.755,19.755,19.755,0.000,0.000
685,2010.292,21.781,21.781,19.549,19.548,19.549,0.000,0.000
686,2013.215,35.781,35.781,19.342,19.342,19.342,0.000,0.000
687,2016.138,12.906,12.906,19.135,19.135,19.135,0.000,0.000
688,2019.060,11.844,11.844,18.929,18.929,18.929,0.000,0.000
689,2021.982,22.844,22.844,18.722,18.722,18.722,0.000,0.000
690,2024.904,15.750,15.750,18.516,18.515,18.516,0.000,0.000
691,2027.825,22.406,22.406,18.309,18.309,18.309,0.000,0.000
692,2030.746,19.875,19.875,18.102,18.102,18.102,0.000,0.000
693,2033.667,16.719,16.719,17.896,17.896,17.896,0.000,0.000
694,2036.587,27.031,27.031,17.689,17.689,17.689,0.000,0.000
695,2039.507,19.875,19.875,17.483,17.483,17.483,0.000,0.000
696,2042.427,20.875,20.875,17.276,17.276,17.276,0.000,0.000
697,2045.347,13.062,13.062,17.069,17.069,17.069,0.000,0.000
698,2048.266,20.031,20.031,16.863,16.863,16.863,0.000,0.000
699,2051.185,25.750,25.750,16.656,16.656,16.656,0.000,0.000
700,2054.104,16.656,16.656,16.450,16.450,16.450,0.000,0.000
701,2057.023,24.656,24.656,16.243,16.243,16.243,0.000,0.000
702,2059.941,14.875,14.875,16.036,16.036,16.036,0.000,0.000
703,2062.859,13.531,13.531,15.830,15.830,15.830,0.000,0.000
704,2065.777,24.094,24.094,15.623,15.623,15.623,0.000,0.000
705,2068.694,21.594,21.594,15.417,15.417,15.417,0.000,0.000
706,2071.611,23.375,23.375,15.210,15.210,15.210,0.000,0.000
707,2074.528,20.812,20.812,15.003,15.003,15.003,0.000,0.000
708,2077.445,28.875,28.875,14.797,14.797,14.797,0.000,0.000
709,2080.361,24.594,24.594,14.590,14.590,14.590,0.000,0.000
710,2083.277,23.406,23.406,14.384,14.384,14.384,0.000,0.000
711,2086.193,15.562,15.562,14.177,14.177,14.177,0.000,0.000
712,2089.108,15.844,15.844,13.970,13.970,13.970,0.000,0.000
713,2092.023,15.500,15.500,13.764,13.764,13.764,0.000,0.000
714,2094.938,17.656,17.656,13.557,13.557,13.557,0.000,0.000
715,2097.853,21.719,21.719,13.351,13.351,13.351,0.000,0.000
716,2100.767,13.531,13.531,13.144,13.144,13.144,0.000,0.000
717,2103.681,18.687,18.687,12.938,12.937,12.938,0.000,0.000
718,2106.595,21.750,21.750,12.731,12.731,12.731,0.000,0.000
719,2109.508,19.437,19.437,12.524,12.524,12.524,0.000,0.000
720,2112.422,22.812,22.812,12.318,12.318,12.318,0.000,0.000
721,2115.335,11.812,11.812,12.111,12.111,12.111,0.000,0.000
722,2118.247,15.875,15.875,11.905,11.904,11.905,0.000,0.000
723,2121.160,15.500,15.500,11.698,11.698,11.698,0.000,0.000
724,2124.072,18.062,18.062,11.492,11.491,11.492,0.000,0.000
725,2126.984,17.750,17.750,11.286,11.285,11.286,0.000,0.000
726,2129.896,18.594,18.594,11.080,11.078,11.080,0.000,0.000
727,2132.807,14.875,14.875,10.873,10.872,10.873,0.000,0.000
728,2135.718,15.469,15.469,10.667,10.665,10.667,0.000,0.000
729,2138.629,15.812,15.812,10.462,10.458,10.462,0.000,0.000
730,2141.540,15.750,15.750,10.256,10.252,10.256,0.000,0.000
731,2144.450,9.062,9.062,10.051,10.045,10.051,0.000,0.000
732,2147.360,13.906,13.906,9.846,9.839,9.846,0.000,0.000
733,2150.270,14.719,14.719,9.642,9.632,9.642,0.000,0.000
734,2153.179,9.906,9.906,9.438,9.425,9.438,0.000,0.000
735,2156.089,13.250,13.250,9.235,9.219,9.235,0.000,0.000
736,2158.998,9.812,9.812,9.034,9.012,9.034,0.000,0.000
737,2161.906,14.750,14.750,8.833,8.806,8.833,0.000,0.000
738,2164.815,9.625,9.625,8.634,8.599,8.634,0.000,0.000
739,2167.723,9.781,9.781,8.436,8.392,8.436,0.000,0.000
740,2170.631,12.812,12.812,8.241,8.186,8.241,0.000,0.000
741,2173.539,8.750,8.750,8.048,7.979,8.048,0.000,0.000
742,2176.446,4.750,4.750,7.859,7.773,7.859,0.000,0.000
743,2179.354,7.625,7.625,7.673,7.566,7.673,0.000,0.000
744,2182.261,1.062,1.062,7.492,7.359,7.492,0.000,0.000
745,2185.167,10.781,10.781,7.316,7.153,7.316,0.000,0.000
746,2188.074,4.594,4.594,7.146,6.946,7.146,0.000,0.000
747,2190.980,7.406,7.406,6.983,6.740,6.983,0.000,0.000
748,2193.886,7.031,7.031,6.828,6.533,6.828,0.000,0.000
749,2196.792,7.625,7.625,6.683,6.326,6.683,0.000,0.000
750,2199.697,2.781,2.781,6.548,6.120,6.548,0.000,0.000
751,2202.602,3.250,3.250,6.425,5.913,6.425,0.000,0.000
752,2205.507,5.000,5.000,6.316,5.707,6.316,0.000,0.000
