ch,keV,net,fit,model,continuum_raw,Ce-139,Esc-NaI,continuum
504,1490.105,2.833,2.833,0.000,0.000,0.000,0.000,0.000
505,1493.132,0.633,0.633,0.000,0.000,0.000,0.000,0.000
506,1496.159,0.000,-2.567,0.000,0.000,0.000,0.000,0.000
507,1499.186,0.000,-0.267,0.000,0.000,0.000,0.000,0.000
508,1502.213,0.300,0.300,0.000,0.000,0.000,0.000,0.000
509,1505.240,0.000,-0.433,0.000,0.000,0.000,0.000,0.000
510,1508.266,0.567,0.567,0.000,0.000,0.000,0.000,0.000
511,1511.293,3.533,3.533,0.000,0.000,0.000,0.000,0.000
512,1514.320,0.000,-0.067,0.000,0.000,0.000,0.000,0.000
513,1517.346,0.000,-0.267,0.000,0.000,0.000,0.000,0.000
514,1520.373,3.133,3.133,0.000,0.000,0.000,0.000,0.000
515,1523.399,0.000,-0.967,0.000,0.000,0.000,0.000,0.000
516,1526.426,1.733,1.733,0.000,0.000,0.000,0.000,0.000
517,1529.452,0.000,-2.033,0.000,0.000,0.000,0.000,0.000
518,1532.479,0.367,0.367,0.000,0.000,0.000,0.000,0.000
519,1535.505,0.000,-0.667,0.000,0.000,0.000,0.000,0.000
520,1538.531,0.467,0.467,0.000,0.000,0.000,0.000,0.000
521,1541.558,0.000,-0.433,0.000,0.000,0.000,0.000,0.000
522,1544.584,0.733,0.733,0.000,0.000,0.000,0.000,0.000
523,1547.610,0.733,0.733,0.000,0.000,0.000,0.000,0.000
524,1550.636,1.933,1.933,0.000,0.000,0.000,0.000,0.000
525,1553.662,0.833,0.833,0.000,0.000,0.000,0.000,0.000
526,1556.688,0.200,0.200,0.000,0.000,0.000,0.000,0.000
527,1559.714,0.000,-1.267,0.000,0.000,0.000,0.000,0.000
528,1562.740,0.000,-1.967,0.000,0.000,0.000,0.000,0.000
529,1565.766,3.567,3.567,0.000,0.000,0.000,0.000,0.000
530,1568.791,1.967,1.967,0.000,0.000,0.000,0.000,0.000
