ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,pile-up
137,394.412,30771.602,30771.602,28301.728,5468.005,10799.460,17415.255,87.013
138,397.235,29378.852,29378.852,27868.295,5416.026,10772.572,16956.495,139.228
139,400.058,29725.726,29725.726,27374.608,5364.046,10750.305,16538.616,85.686
140,402.882,28366.289,28366.289,26995.658,5312.067,10732.601,16155.579,107.478
141,405.707,28154.289,28154.289,26666.039,5260.087,10719.054,15803.944,143.041
142,408.532,27604.289,27604.289,26337.352,5208.108,10708.980,15482.107,146.264
143,411.359,27108.664,27108.664,25997.690,5156.129,10701.508,15189.623,106.559
144,414.186,26971.008,26971.008,25719.657,5104.149,10695.667,14926.571,97.419
145,417.014,26846.070,26846.070,25529.557,5052.170,10690.463,14693.004,146.090
146,419.843,26591.882,26591.882,25271.105,5000.191,10684.913,14488.491,97.701
147,422.672,26004.726,26004.726,25099.244,4948.211,10678.070,14311.792,109.382
148,425.502,26459.508,26459.508,24973.735,4896.232,10669.091,14160.877,143.766
149,428.333,25782.944,25782.944,24835.638,4844.252,10657.265,14033.066,145.308
150,431.165,25565.507,25565.507,24676.915,4792.273,10642.044,13925.508,109.363
151,433.998,25888.413,25888.413,24552.458,4740.294,10623.088,13835.999,93.371
152,436.831,26021.976,26021.976,24506.018,4688.314,10600.287,13764.154,141.576
153,439.665,25324.632,25324.632,24382.196,4636.335,10573.747,13713.020,95.429
154,442.500,25802.350,25802.350,24336.465,4584.356,10543.741,13691.226,101.497
155,445.335,25729.257,25729.257,24365.624,4532.376,10510.693,13716.122,138.809
156,448.171,26188.257,26188.257,24427.982,4480.397,10475.107,13818.036,134.839
157,451.008,26505.381,26505.381,24585.044,4428.417,10437.517,14046.343,101.184
158,453.846,26809.007,26809.007,24956.069,4376.438,10398.467,14477.950,79.653
159,456.684,27734.413,27734.413,25714.234,4324.459,10358.508,15228.735,126.991
160,459.523,28939.757,28939.757,26861.221,4272.479,10318.212,16468.249,74.760
