ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
737,2172.700,0.075,0.075,0.000,0.000,0.000,0.000
738,2175.689,0.407,0.407,0.000,0.000,0.000,0.000
739,2178.679,3.241,3.241,0.000,0.000,0.000,0.000
740,2181.669,0.000,-1.035,0.000,0.000,0.000,0.000
741,2184.660,2.909,2.909,0.000,0.000,0.000,0.000
742,2187.650,2.020,2.020,0.000,0.000,0.000,0.000
743,2190.641,0.000,-3.087,0.000,0.000,0.000,0.000
744,2193.632,6.131,6.131,0.000,0.000,0.000,0.000
745,2196.624,0.000,-1.146,0.000,0.000,0.000,0.000
746,2199.616,0.186,0.186,0.000,0.000,0.000,0.000
747,2202.608,2.075,2.075,0.000,0.000,0.000,0.000
748,2205.600,0.000,-2.925,0.000,0.000,0.000,0.000
749,2208.593,5.965,5.965,0.000,0.000,0.000,0.000
750,2211.586,0.000,-1.427,0.000,0.000,0.000,0.000
751,2214.579,0.000,-0.759,0.000,0.000,0.000,0.000
752,2217.573,0.000,-0.035,0.000,0.000,0.000,0.000
753,2220.567,0.241,0.241,0.000,0.000,0.000,0.000
754,2223.561,0.000,-0.261,0.000,0.000,0.000,0.000
755,2226.556,1.411,1.411,0.000,0.000,0.000,0.000
756,2229.551,0.000,-1.814,0.000,0.000,0.000,0.000
757,2232.546,0.000,-3.925,0.000,0.000,0.000,0.000
758,2235.542,2.352,2.352,0.000,0.000,0.000,0.000
759,2238.538,1.854,1.854,0.000,0.000,0.000,0.000
760,2241.534,4.016,4.016,0.000,0.000,0.000,0.000
761,2244.531,0.000,-1.095,0.000,0.000,0.000,0.000
762,2247.528,0.000,-0.375,0.000,0.000,0.000,0.000
763,2250.525,0.000,-1.873,0.000,0.000,0.000,0.000
764,2253.523,0.000,-0.039,0.000,0.000,0.000,0.000
765,2256.521,0.000,-3.150,0.000,0.000,0.000,0.000
766,2259.520,0.000,-2.541,0.000,0.000,0.000,0.000
767,2262.518,2.680,2.680,0.000,0.000,0.000,0.000
768,2265.518,0.000,-1.431,0.000,0.000,0.000,0.000
769,2268.517,0.000,-1.984,0.000,0.000,0.000,0.000
770,2271.517,0.000,-0.154,0.000,0.000,0.000,0.000
771,2274.518,0.000,-2.482,0.000,0.000,0.000,0.000
772,2277.519,4.123,4.123,0.000,0.000,0.000,0.000
773,2280.520,0.000,-1.320,0.000,0.000,0.000,0.000
774,2283.522,0.000,-2.375,0.000,0.000,0.000,0.000
775,2286.524,0.000,-1.154,0.000,0.000,0.000,0.000
776,2289.526,0.178,0.178,0.000,0.000,0.000,0.000
777,2292.529,0.901,0.901,0.000,0.000,0.000,0.000
778,2295.533,0.000,-0.984,0.000,0.000,0.000,0.000
779,2298.536,0.182,0.182,0.000,0.000,0.000,0.000
780,2301.541,0.961,0.961,0.000,0.000,0.000,0.000
781,2304.545,0.000,-1.043,0.000,0.000,0.000,0.000
782,2307.550,0.000,-0.209,0.000,0.000,0.000,0.000
783,2310.556,0.000,-0.601,0.000,0.000,0.000,0.000
784,2313.562,0.000,-0.154,0.000,0.000,0.000,0.000
785,2316.568,0.901,0.901,0.000,0.000,0.000,0.000
786,2319.575,0.000,-1.431,0.000,0.000,0.000,0.000
787,2322.583,0.621,0.621,0.000,0.000,0.000,0.000
788,2325.590,1.233,1.233,0.000,0.000,0.000,0.000
789,2328.599,1.233,1.233,0.000,0.000,0.000,0.000
790,2331.607,1.178,1.178,0.000,0.000,0.000,0.000
791,2334.617,0.000,-0.490,0.000,0.000,0.000,0.000
792,2337.626,6.123,6.123,0.000,0.000,0.000,0.000
793,2340.637,0.000,-1.435,0.000,0.000,0.000,0.000
794,2343.647,0.000,-0.767,0.000,0.000,0.000,0.000
795,2346.659,0.000,-1.435,0.000,0.000,0.000,0.000
796,2349.670,0.000,-0.324,0.000,0.000,0.000,0.000
797,2352.683,0.178,0.178,0.000,0.000,0.000,0.000
798,2355.695,0.000,-1.933,0.000,0.000,0.000,0.000
799,2358.709,0.008,0.008,0.000,0.000,0.000,0.000
800,2361.723,0.000,-0.767,0.000,0.000,0.000,0.000
801,2364.737,1.897,1.897,0.000,0.000,0.000,0.000
802,2367.752,0.289,0.289,0.000,0.000,0.000,0.000
803,2370.767,3.510,3.510,0.000,0.000,0.000,0.000
804,2373.783,0.000,-3.375,0.000,0.000,0.000,0.000
805,2376.800,0.000,-0.099,0.000,0.000,0.000,0.000
806,2379.817,0.000,-2.269,0.000,0.000,0.000,0.000
807,2382.834,0.676,0.676,0.000,0.000,0.000,0.000
808,2385.852,0.229,0.229,0.000,0.000,0.000,0.000
809,2388.871,0.174,0.174,0.000,0.000,0.000,0.000
810,2391.890,0.000,-2.711,0.000,0.000,0.000,0.000
811,2394.910,0.000,-1.269,0.000,0.000,0.000,0.000
812,2397.931,1.842,1.842,0.000,0.000,0.000,0.000
813,2400.952,0.119,0.119,0.000,0.000,0.000,0.000
814,2403.973,0.676,0.676,0.000,0.000,0.000,0.000
815,2406.996,1.621,1.621,0.000,0.000,0.000,0.000
816,2410.019,0.000,-1.047,0.000,0.000,0.000,0.000
817,2413.042,1.008,1.008,0.000,0.000,0.000,0.000
818,2416.066,1.561,1.561,0.000,0.000,0.000,0.000
819,2419.091,0.000,-2.324,0.000,0.000,0.000,0.000
820,2422.116,0.000,-1.379,0.000,0.000,0.000,0.000
821,2425.142,0.000,-0.047,0.000,0.000,0.000,0.000
822,2428.168,0.455,0.455,0.000,0.000,0.000,0.000
823,2431.195,0.000,-0.711,0.000,0.000,0.000,0.000
824,2434.223,0.731,0.731,0.000,0.000,0.000,0.000
825,2437.252,0.000,-0.269,0.000,0.000,0.000,0.000
826,2440.281,0.897,0.897,0.000,0.000,0.000,0.000
827,2443.311,1.285,1.285,0.000,0.000,0.000,0.000
