ch,keV,net,fit,model,continuum_raw,Y-88,Ann-511
917,2729.520,2.644,2.644,1.215,0.014,1.215,0.000
918,2732.422,0.000,-0.200,1.255,0.015,1.255,0.000
919,2735.324,0.000,-0.133,1.289,0.016,1.289,0.000
920,2738.226,3.711,3.711,1.319,0.017,1.319,0.000
921,2741.126,0.000,-0.244,1.344,0.018,1.344,0.000
922,2744.026,0.689,0.689,1.363,0.019,1.363,0.000
923,2746.925,0.911,0.911,1.376,0.020,1.376,0.000
924,2749.824,0.000,-0.267,1.383,0.021,1.383,0.000
925,2752.722,0.844,0.844,1.385,0.022,1.385,0.000
926,2755.619,1.778,1.778,1.380,0.023,1.380,0.000
927,2758.515,1.667,1.667,1.369,0.024,1.369,0.000
928,2761.411,2.867,2.867,1.353,0.025,1.353,0.000
929,2764.306,0.800,0.800,1.331,0.026,1.331,0.000
930,2767.201,4.756,4.756,1.303,0.027,1.303,0.000
931,2770.095,0.733,0.733,1.271,0.028,1.271,0.000
932,2772.988,3.822,3.822,1.234,0.029,1.234,0.000
933,2775.880,0.000,-0.244,1.193,0.030,1.193,0.000
934,2778.772,2.822,2.822,1.149,0.031,1.149,0.000
935,2781.663,1.822,1.822,1.102,0.032,1.102,0.000
936,2784.553,2.844,2.844,1.052,0.033,1.052,0.000
937,2787.443,1.733,1.733,1.000,0.034,1.000,0.000
938,2790.332,2.756,2.756,0.947,0.035,0.947,0.000
939,2793.220,0.800,0.800,0.893,0.035,0.893,0.000
940,2796.108,0.800,0.800,0.839,0.036,0.839,0.000
941,2798.994,0.844,0.844,0.785,0.037,0.785,0.000
942,2801.880,0.778,0.778,0.732,0.038,0.732,0.000
943,2804.766,1.756,1.756,0.680,0.039,0.680,0.000
944,2807.651,1.756,1.756,0.629,0.040,0.629,0.000
945,2810.535,0.000,-0.133,0.580,0.041,0.580,0.000
946,2813.418,0.689,0.689,0.533,0.042,0.533,0.000
947,2816.301,0.000,-0.222,0.489,0.043,0.489,0.000
948,2819.183,1.778,1.778,0.447,0.044,0.447,0.000
949,2822.064,0.756,0.756,0.407,0.045,0.407,0.000
950,2824.944,0.800,0.800,0.370,0.046,0.370,0.000
951,2827.824,0.800,0.800,0.336,0.047,0.336,0.000
952,2830.703,0.867,0.867,0.304,0.048,0.304,0.000
953,2833.581,0.733,0.733,0.275,0.049,0.275,0.000
954,2836.459,0.800,0.800,0.249,0.050,0.249,0.000
955,2839.336,0.000,-0.222,0.225,0.051,0.225,0.000
956,2842.212,0.000,-0.267,0.204,0.052,0.204,0.000
957,2845.087,0.000,-0.200,0.184,0.053,0.184,0.000
958,2847.962,0.000,-0.200,0.167,0.054,0.167,0.000
959,2850.836,0.000,-0.111,0.153,0.055,0.153,0.000
960,2853.709,1.867,1.867,0.139,0.056,0.139,0.000
961,2856.582,0.000,-0.311,0.128,0.057,0.128,0.000
962,2859.454,0.000,-0.178,0.118,0.058,0.118,0.000
