ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
172,492.799,403.867,403.867,401.847,71.467,0.000,358.945,42.706,0.000,0.000,0.188
173,495.769,465.400,465.400,455.186,70.602,0.000,412.268,42.715,0.000,0.000,0.196
174,498.739,510.933,510.933,507.707,69.737,0.000,464.748,42.742,0.000,0.000,0.210
175,501.709,510.733,510.733,554.624,68.873,0.000,511.643,42.741,0.000,0.000,0.234
176,504.680,607.333,607.333,591.089,68.008,0.000,548.136,42.673,0.000,0.000,0.272
177,507.650,667.933,667.933,612.981,67.143,0.000,570.132,42.509,0.000,0.000,0.332
178,510.621,701.100,701.100,617.644,66.279,0.000,574.991,42.220,0.000,0.000,0.425
179,513.591,681.967,681.967,604.388,65.414,0.000,562.033,41.784,0.000,0.000,0.563
180,516.562,629.533,629.533,574.637,64.549,0.000,532.684,41.184,0.000,0.000,0.761
181,519.533,630.567,630.567,531.671,63.684,0.000,490.222,40.409,0.000,0.000,1.033
182,522.504,627.167,627.167,480.055,62.820,0.000,439.198,39.459,0.000,0.000,1.391
183,525.475,594.533,594.533,424.893,61.955,0.000,384.700,38.342,0.000,0.000,1.843
184,528.446,441.000,441.000,371.107,61.090,0.000,331.635,37.080,0.000,0.000,2.386
185,531.417,397.100,397.100,322.908,60.226,0.000,284.192,35.702,0.000,0.000,3.006
186,534.389,340.333,340.333,283.536,59.361,0.000,245.606,34.248,0.000,0.000,3.675
187,537.360,307.933,307.933,255.315,58.496,0.000,218.197,32.758,0.000,0.000,4.352
188,540.331,276.867,276.867,239.909,57.632,0.000,203.639,31.277,0.000,0.000,4.985
189,543.303,252.233,252.233,238.695,56.767,0.000,203.326,29.842,0.000,0.000,5.519
190,546.275,278.333,278.333,253.095,55.902,0.000,218.701,28.483,0.000,0.000,5.903
191,549.246,290.000,290.000,284.750,55.038,0.000,251.423,27.224,0.000,0.000,6.096
192,552.218,350.733,350.733,335.457,54.173,0.000,303.295,26.078,0.000,0.000,6.077
193,555.190,404.000,404.000,406.831,53.308,0.000,375.926,25.050,0.000,0.000,5.846
194,558.162,510.800,510.800,499.747,52.444,0.000,470.172,24.139,0.000,0.000,5.428
195,561.134,626.067,626.067,613.647,51.579,0.000,585.439,23.337,0.000,0.000,4.864
196,564.107,760.100,760.100,745.870,50.714,0.000,719.024,22.633,0.000,0.000,4.205
197,567.079,892.833,892.833,891.197,49.849,0.000,865.665,22.017,0.000,0.000,3.508
198,570.051,1035.500,1035.500,1041.772,48.985,0.000,1017.466,21.475,0.000,0.000,2.823
199,573.024,1109.000,1109.000,1187.533,48.120,0.000,1164.336,20.997,0.000,0.000,2.192
200,575.996,1248.967,1248.967,1317.153,47.255,0.000,1294.931,20.571,0.000,0.000,1.643
201,578.969,1439.367,1439.367,1419.400,46.391,0.000,1398.018,20.187,0.000,0.000,1.187
202,581.942,1444.700,1444.700,1484.686,45.526,0.000,1464.013,19.837,0.000,0.000,0.828
203,584.915,1430.533,1430.533,1506.496,44.661,0.000,1486.421,19.510,0.000,0.000,0.557
204,587.888,1443.833,1443.833,1482.420,43.797,0.000,1462.852,19.199,0.000,0.000,0.362
205,590.861,1458.600,1458.600,1414.539,42.932,0.000,1395.409,18.896,0.000,0.000,0.226
206,593.834,1303.333,1303.333,1309.090,42.067,0.000,1290.353,18.593,0.000,0.000,0.137
207,596.807,1251.433,1251.433,1175.486,41.203,0.000,1157.113,18.286,0.000,0.000,0.080
208,599.780,1132.000,1132.000,1024.897,40.338,0.000,1006.874,17.971,0.000,0.000,0.045
209,602.754,965.100,965.100,868.694,39.473,0.000,851.015,17.648,0.000,0.000,0.024
210,605.727,811.100,811.100,717.055,38.608,0.000,699.717,17.319,0.000,0.000,0.013
211,608.701,649.533,649.533,577.947,37.744,0.000,560.949,16.986,0.000,0.000,0.006
212,611.674,509.133,509.133,456.627,36.879,0.000,439.963,16.656,0.000,0.000,0.003
213,614.648,380.767,380.767,355.617,36.014,0.000,339.279,16.332,0.000,0.000,0.001
214,617.622,288.700,288.700,275.743,35.807,0.000,259.604,16.134,0.000,0.000,0.001
215,620.596,202.033,202.033,214.771,35.599,0.000,198.813,15.953,0.000,0.000,0.000
216,623.570,172.133,172.133,170.053,35.391,0.000,154.260,15.789,0.000,0.000,0.000
217,626.544,155.867,155.867,138.495,35.183,0.000,122.847,15.643,0.000,0.000,0.000
218,629.518,146.167,146.167,117.028,34.975,0.000,101.512,15.513,0.000,0.000,0.000
219,632.493,89.000,89.000,102.926,34.767,0.000,87.525,15.397,0.000,0.000,0.000
220,635.467,92.000,92.000,93.948,34.559,0.000,78.652,15.292,0.000,0.000,0.000
221,638.441,78.567,78.567,88.376,34.352,0.000,73.177,15.196,0.000,0.000,0.000
222,641.416,71.800,71.800,84.965,34.144,0.000,69.855,15.107,0.000,0.000,0.000
223,644.391,62.400,62.400,82.857,33.936,0.000,67.831,15.023,0.000,0.000,0.000
224,647.365,59.567,59.567,81.488,33.728,0.000,66.541,14.945,0.000,0.000,0.000
225,650.340,69.400,69.400,80.503,33.520,0.000,65.625,14.875,0.000,0.000,0.000
226,653.315,73.500,73.500,79.687,33.312,0.000,64.866,14.819,0.000,0.000,0.000
227,656.290,62.800,62.800,78.922,33.104,0.000,64.135,14.785,0.000,0.000,0.000
228,659.265,70.633,70.633,78.150,32.897,0.000,63.359,14.789,0.000,0.000,0.000
229,662.241,72.700,72.700,77.361,32.689,0.000,62.505,14.854,0.000,0.000,0.000
230,665.216,73.067,73.067,76.581,32.481,0.000,61.562,15.018,0.000,0.000,0.000
