ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Th-232,Rn-220,DE-2615,SE-2615,DE-1588,Xray-W,Backscatter,SE-1631,DE-1631,Xray-NaI,Esc-NaI,continuum
110,34.064,15103.637,15103.637,14392.749,9784.509,2533.721,1299.746,3508.506,515.190,188.976,77.636,11.974,2.475,169.605,109.864,248.601,808.121,472.859,40.453,42.065,4168.995,193.931,0.000
111,34.433,15261.320,15261.320,14172.323,9992.688,2588.564,1327.879,3584.448,589.927,193.066,79.317,12.234,2.529,173.276,112.242,253.982,825.613,484.703,41.329,42.976,3662.961,197.246,0.000
112,34.802,14952.926,14952.926,13995.347,10200.867,2643.358,1355.987,3660.323,674.920,197.153,80.996,12.493,2.582,176.944,114.618,259.358,843.090,494.996,42.203,43.885,3191.264,201.145,0.000
113,35.171,15023.511,15023.511,13861.746,10409.045,2698.106,1384.072,3736.134,769.940,201.237,82.673,12.751,2.636,180.609,116.992,264.730,860.552,503.635,43.077,44.794,2754.010,205.763,0.000
114,35.540,14784.680,14784.680,13771.484,10617.224,2752.814,1412.135,3811.889,874.253,205.317,84.350,13.010,2.689,184.271,119.364,270.098,878.001,510.596,43.951,45.703,2351.675,211.337,0.000
115,35.909,14414.003,14414.003,13724.394,10825.403,2807.485,1440.181,3887.593,986.552,209.394,86.025,13.268,2.743,187.931,121.735,275.462,895.439,515.931,44.824,46.610,1984.958,218.231,0.000
116,36.278,14357.685,14357.685,13719.911,11033.581,2862.125,1468.210,3963.255,1104.942,213.470,87.699,13.526,2.796,191.588,124.104,280.823,912.867,519.769,45.696,47.517,1654.530,226.958,0.000
117,36.647,14508.873,14508.873,13756.805,11241.760,2916.742,1496.227,4038.885,1226.943,217.543,89.372,13.785,2.849,195.244,126.472,286.182,930.289,522.302,46.568,48.424,1360.747,238.195,0.000
118,37.016,14295.442,14295.442,13833.001,11449.939,2971.343,1524.236,4114.491,1349.556,221.616,91.045,14.043,2.903,198.899,128.840,291.539,947.706,523.776,47.440,49.331,1103.409,252.793,0.000
119,37.386,13863.735,13863.735,13945.514,11658.117,3025.933,1552.240,4190.083,1469.365,225.687,92.718,14.301,2.956,202.553,131.207,296.895,965.123,524.472,48.311,50.237,881.609,271.786,0.000
120,37.755,13890.553,13890.553,14090.537,11866.296,3080.521,1580.242,4265.672,1582.689,229.759,94.391,14.559,3.009,206.207,133.574,302.251,982.542,524.688,49.183,51.143,693.688,296.382,0.000
121,38.124,14023.521,14023.521,14263.653,12074.475,3135.114,1608.246,4341.266,1685.766,233.830,96.064,14.817,3.063,209.862,135.941,307.608,999.967,524.719,50.055,52.050,537.291,327.957,0.000
122,38.493,13728.815,13728.815,14460.143,12282.653,3189.717,1636.256,4416.875,1774.967,237.903,97.737,15.075,3.116,213.517,138.309,312.965,1017.404,524.846,50.926,52.956,409.502,368.035,0.000
123,38.862,13276.942,13276.942,14675.346,12490.832,3244.337,1664.274,4492.505,1847.009,241.976,99.410,15.333,3.169,217.173,140.677,318.324,1034.859,525.318,51.798,53.863,307.027,418.255,0.000
124,39.231,13523.211,13523.211,14905.018,12699.011,3298.979,1692.302,4568.164,1899.169,246.052,101.084,15.591,3.223,220.830,143.046,323.685,1052.340,526.347,52.671,54.770,226.396,480.331,0.000
125,39.600,13389.585,13389.585,15145.639,12907.189,3353.648,1720.343,4643.856,1929.459,250.128,102.759,15.849,3.276,224.489,145.416,329.048,1069.860,528.100,53.543,55.677,164.154,555.992,0.000
126,39.969,13397.768,13397.768,15394.642,13115.368,3408.347,1748.398,4719.587,1936.765,254.208,104.435,16.108,3.330,228.150,147.788,334.414,1087.434,530.697,54.417,56.585,117.020,646.918,0.000
127,40.338,13352.199,13352.199,15276.329,12949.351,3365.820,1726.575,4660.681,1913.062,251.035,103.132,15.907,3.288,225.303,145.943,330.240,1074.067,519.997,53.737,55.879,81.999,749.622,0.000
128,40.707,13017.323,13017.323,15164.464,12783.334,3323.297,1704.752,4601.771,1867.098,247.862,101.828,15.706,3.247,222.455,144.098,326.066,1060.803,510.257,53.058,55.173,56.480,870.473,0.000
129,41.077,13496.656,13496.656,15059.563,12617.316,3280.783,1682.928,4542.859,1800.569,244.689,100.524,15.505,3.205,219.607,142.254,321.892,1047.692,501.485,52.379,54.467,38.237,1010.451,0.000
130,41.446,13040.526,13040.526,14962.885,12451.299,3238.282,1661.103,4483.946,1715.964,241.515,99.221,15.304,3.163,216.759,140.409,317.717,1034.804,493.662,51.700,53.760,25.443,1170.093,0.000
131,41.815,13092.353,13092.353,14876.139,12285.282,3195.803,1639.279,4425.035,1616.397,238.342,97.917,15.103,3.122,213.911,138.564,313.543,1022.240,486.752,51.020,53.054,16.638,1349.381,0.000
132,42.184,12977.421,12977.421,14801.172,12119.264,3153.354,1617.456,4366.128,1505.403,235.169,96.614,14.902,3.080,211.064,136.719,309.369,1010.141,480.706,50.341,52.348,10.693,1547.646,0.000
133,42.553,13169.957,13169.957,14739.630,11953.247,3110.951,1595.636,4307.227,1386.730,231.997,95.310,14.701,3.039,208.216,134.875,305.196,998.701,475.468,49.662,51.641,6.754,1763.487,0.000
134,42.922,13307.652,13307.652,14692.667,11787.230,3068.609,1573.820,4248.337,1264.114,228.825,94.007,14.501,2.997,205.369,133.031,301.023,988.188,470.981,48.983,50.935,4.192,1994.717,0.000
135,43.291,13436.044,13436.044,14660.701,11621.212,3026.353,1552.009,4189.460,1141.092,225.654,92.704,14.301,2.956,202.523,131.187,296.851,978.962,467.186,48.304,50.229,2.557,2238.337,0.000
