ch,keV,net,fit,model,continuum_raw,Y-88
850,2528.404,1.933,1.933,0.000,0.000,0.000
851,2531.321,0.000,-1.733,0.000,0.000,0.000
852,2534.237,0.000,-0.133,0.000,0.000,0.000
853,2537.153,0.000,-1.333,0.000,0.000,0.000
854,2540.068,0.000,-2.400,0.000,0.000,0.000
855,2542.982,1.000,1.000,0.000,0.000,0.000
856,2545.896,0.933,0.933,0.000,0.000,0.000
857,2548.809,0.000,-0.267,0.000,0.000,0.000
858,2551.721,0.000,-0.867,0.000,0.000,0.000
859,2554.632,0.000,-3.467,0.000,0.000,0.000
860,2557.543,0.000,-1.400,0.000,0.000,0.000
861,2560.453,0.000,-2.200,0.000,0.000,0.000
862,2563.363,2.000,2.000,0.000,0.000,0.000
863,2566.272,0.000,-2.000,0.000,0.000,0.000
864,2569.180,0.200,0.200,0.000,0.000,0.000
865,2572.087,2.400,2.400,0.000,0.000,0.000
866,2574.993,0.000,-2.067,0.000,0.000,0.000
867,2577.899,0.000,-0.400,0.000,0.000,0.000
868,2580.804,1.000,1.000,0.000,0.000,0.000
869,2583.709,0.000,-4.667,0.000,0.000,0.000
870,2586.613,0.000,-0.600,0.000,0.000,0.000
871,2589.516,1.600,1.600,0.000,0.000,0.000
872,2592.418,0.000,-1.533,0.000,0.000,0.000
873,2595.319,0.000,-1.600,0.000,0.000,0.000
874,2598.220,1.133,1.133,0.000,0.000,0.000
875,2601.120,0.000,-3.800,0.000,0.000,0.000
876,2604.020,0.467,0.467,0.000,0.000,0.000
877,2606.918,0.000,-0.933,0.000,0.000,0.000
878,2609.816,0.000,-3.400,0.000,0.000,0.000
879,2612.713,1.667,1.667,0.000,0.000,0.000
880,2615.610,0.200,0.200,0.000,0.000,0.000
881,2618.506,3.333,3.333,0.000,0.000,0.000
882,2621.401,0.000,-2.600,0.000,0.000,0.000
883,2624.295,0.000,-2.800,0.001,0.000,0.001
884,2627.188,7.600,7.600,0.001,0.000,0.001
885,2630.081,2.400,2.400,0.001,0.000,0.001
886,2632.973,0.000,-2.667,0.001,0.000,0.001
887,2635.864,2.800,2.800,0.001,0.000,0.001
888,2638.755,0.000,-4.200,0.001,0.000,0.001
889,2641.644,2.733,2.733,0.001,0.000,0.001
890,2644.533,0.000,-1.600,0.002,0.000,0.002
891,2647.422,2.000,2.000,0.002,0.000,0.002
892,2650.309,0.400,0.400,0.002,0.000,0.002
893,2653.196,0.000,-0.400,0.003,0.000,0.003
894,2656.082,0.000,0.000,0.003,0.000,0.003
895,2658.967,2.533,2.533,0.003,0.000,0.003
896,2661.851,0.000,-2.200,0.004,0.000,0.004
897,2664.735,0.000,-1.467,0.005,0.000,0.005
898,2667.618,0.000,-1.800,0.005,0.000,0.005
899,2670.500,1.333,1.333,0.006,0.000,0.006
900,2673.381,2.133,2.133,0.006,0.000,0.006
901,2676.262,0.133,0.133,0.007,0.000,0.007
902,2679.142,0.000,-2.200,0.008,0.000,0.008
903,2682.021,0.600,0.600,0.009,0.000,0.009
904,2684.899,0.000,-0.533,0.010,0.000,0.010
905,2687.777,0.000,-0.933,0.011,0.000,0.011
906,2690.653,1.600,1.600,0.012,0.000,0.012
907,2693.529,0.867,0.867,0.013,0.000,0.013
908,2696.404,0.867,0.867,0.014,0.000,0.014
909,2699.279,0.200,0.200,0.015,0.000,0.015
910,2702.152,0.000,-1.067,0.016,0.000,0.016
911,2705.025,0.000,-0.267,0.017,0.000,0.017
912,2707.897,1.333,1.333,0.018,0.000,0.018
913,2710.768,0.000,-1.400,0.019,0.000,0.019
914,2713.638,0.000,-1.200,0.020,0.000,0.020
915,2716.508,0.000,0.000,0.021,0.000,0.021
916,2719.377,2.267,2.267,0.022,0.000,0.022
917,2722.245,1.600,1.600,0.023,0.000,0.023
918,2725.112,0.933,0.933,0.024,0.000,0.024
919,2727.978,0.200,0.200,0.024,0.000,0.024
920,2730.844,0.467,0.467,0.025,0.000,0.025
921,2733.708,1.200,1.200,0.025,0.000,0.025
922,2736.572,0.000,-0.867,0.026,0.000,0.026
923,2739.435,0.000,-0.800,0.026,0.000,0.026
924,2742.298,0.733,0.733,0.026,0.000,0.026
925,2745.159,0.067,0.067,0.027,0.000,0.027
926,2748.020,1.267,1.267,0.027,0.000,0.027
927,2750.880,0.000,-0.600,0.026,0.000,0.026
928,2753.739,0.133,0.133,0.026,0.000,0.026
929,2756.597,0.000,-0.200,0.026,0.000,0.026
