ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI
509,1510.515,14.600,14.600,10.646,4.878,10.646,0.000
510,1513.560,15.400,15.400,9.386,4.808,9.386,0.000
511,1516.605,18.333,18.333,8.360,4.739,8.360,0.000
512,1519.650,12.400,12.400,7.524,4.669,7.524,0.000
513,1522.695,22.600,22.600,6.842,4.599,6.842,0.000
514,1525.740,9.733,9.733,6.282,4.530,6.282,0.000
515,1528.785,3.867,3.867,5.823,4.460,5.823,0.000
516,1531.829,6.867,6.867,5.444,4.390,5.444,0.000
517,1534.874,6.467,6.467,5.131,4.321,5.131,0.000
518,1537.919,10.800,10.800,4.870,4.251,4.870,0.000
519,1540.963,2.133,2.133,4.650,4.181,4.650,0.000
520,1544.007,5.933,5.933,4.464,4.111,4.464,0.000
521,1547.052,6.867,6.867,4.305,4.042,4.305,0.000
522,1550.096,17.867,17.867,4.167,3.972,4.167,0.000
523,1553.140,7.800,7.800,4.046,3.902,4.046,0.000
524,1556.184,2.333,2.333,3.937,3.833,3.937,0.000
525,1559.228,9.600,9.600,3.838,3.763,3.838,0.000
526,1562.272,9.667,9.667,3.747,3.693,3.747,0.000
527,1565.315,0.000,-1.067,3.662,3.624,3.662,0.000
528,1568.359,0.000,-0.867,3.581,3.554,3.581,0.000
529,1571.403,5.200,5.200,3.503,3.484,3.503,0.000
530,1574.446,0.000,-0.667,3.427,3.415,3.427,0.000
531,1577.489,2.467,2.467,3.354,3.345,3.354,0.000
532,1580.533,1.200,1.200,3.281,3.275,3.281,0.000
533,1583.576,0.000,-0.467,3.209,3.206,3.209,0.000
534,1586.619,11.667,11.667,3.138,3.136,3.138,0.000
535,1589.662,6.467,6.467,3.068,3.066,3.068,0.000
536,1592.704,3.467,3.467,2.998,2.996,2.998,0.000
537,1595.747,9.933,9.933,2.927,2.927,2.927,0.000
538,1598.790,0.000,-2.600,2.858,2.857,2.858,0.000
539,1601.832,0.000,-4.400,2.788,2.787,2.788,0.000
540,1604.875,0.000,-0.800,2.718,2.718,2.718,0.000
541,1607.917,0.000,-5.667,2.648,2.648,2.648,0.000
