ch,keV,net,fit,model,continuum_raw,Am-241
515,1522.567,0.000,-1.522,0.000,0.000,0.000
516,1525.608,0.000,-0.022,0.000,0.000,0.000
517,1528.649,3.744,3.744,0.000,0.000,0.000
518,1531.690,0.000,-1.033,0.000,0.000,0.000
519,1534.730,1.856,1.856,0.000,0.000,0.000
520,1537.771,0.000,-1.011,0.000,0.000,0.000
521,1540.811,1.144,1.144,0.000,0.000,0.000
522,1543.852,0.978,0.978,0.000,0.000,0.000
523,1546.892,0.000,-0.033,0.000,0.000,0.000
524,1549.932,0.000,-1.778,0.000,0.000,0.000
525,1552.972,0.000,-0.067,0.000,0.000,0.000
526,1556.012,0.278,0.278,0.000,0.000,0.000
527,1559.052,0.000,-0.678,0.000,0.000,0.000
528,1562.092,0.000,-0.811,0.000,0.000,0.000
529,1565.132,0.367,0.367,0.000,0.000,0.000
530,1568.172,1.556,1.556,0.000,0.000,0.000
531,1571.211,0.000,-0.756,0.000,0.000,0.000
532,1574.251,0.000,-1.633,0.000,0.000,0.000
533,1577.290,0.000,-1.744,0.000,0.000,0.000
534,1580.329,0.000,-0.056,0.000,0.000,0.000
535,1583.368,0.000,-0.589,0.000,0.000,0.000
536,1586.407,0.000,-0.922,0.000,0.000,0.000
537,1589.446,1.156,1.156,0.000,0.000,0.000
538,1592.485,0.000,-1.600,0.000,0.000,0.000
539,1595.524,3.433,3.433,0.000,0.000,0.000
540,1598.562,0.000,-0.467,0.000,0.000,0.000
541,1601.601,1.389,1.389,0.000,0.000,0.000
542,1604.639,1.511,1.511,0.000,0.000,0.000
543,1607.677,0.000,-1.767,0.000,0.000,0.000
544,1610.715,0.000,-0.700,0.000,0.000,0.000
545,1613.753,0.000,-0.489,0.000,0.000,0.000
546,1616.791,0.611,0.611,0.000,0.000,0.000
547,1619.829,0.444,0.444,0.000,0.000,0.000
548,1622.866,0.567,0.567,0.000,0.000,0.000
549,1625.904,1.544,1.544,0.000,0.000,0.000
550,1628.941,0.000,-1.233,0.000,0.000,0.000
551,1631.978,0.000,-0.456,0.000,0.000,0.000
552,1635.015,0.000,-1.389,0.000,0.000,0.000
553,1638.052,0.000,-0.444,0.000,0.000,0.000
554,1641.089,0.589,0.589,0.000,0.000,0.000
555,1644.125,0.000,-1.278,0.000,0.000,0.000
556,1647.162,1.644,1.644,0.000,0.000,0.000
557,1650.198,0.000,-0.422,0.000,0.000,0.000
558,1653.234,0.000,-1.400,0.000,0.000,0.000
559,1656.270,0.000,-1.189,0.000,0.000,0.000
560,1659.306,1.689,1.689,0.000,0.000,0.000
561,1662.341,0.000,-0.478,0.000,0.000,0.000
562,1665.377,0.000,-0.411,0.000,0.000,0.000
563,1668.412,0.000,-0.556,0.000,0.000,0.000
564,1671.447,0.633,0.633,0.000,0.000,0.000
565,1674.482,0.000,-1.433,0.000,0.000,0.000
566,1677.517,0.000,-1.400,0.000,0.000,0.000
567,1680.552,0.000,-0.289,0.000,0.000,0.000
568,1683.587,1.567,1.567,0.000,0.000,0.000
569,1686.621,0.000,-1.389,0.000,0.000,0.000
570,1689.655,0.000,-0.378,0.000,0.000,0.000
571,1692.689,1.411,1.411,0.000,0.000,0.000
572,1695.723,0.000,-0.489,0.000,0.000,0.000
573,1698.757,0.000,-0.689,0.000,0.000,0.000
574,1701.790,0.000,-1.811,0.000,0.000,0.000
575,1704.823,0.000,-0.411,0.000,0.000,0.000
576,1707.857,0.000,-1.800,0.000,0.000,0.000
577,1710.890,0.000,-0.756,0.000,0.000,0.000
578,1713.922,1.878,1.878,0.000,0.000,0.000
579,1716.955,2.156,2.156,0.000,0.000,0.000
580,1719.987,1.044,1.044,0.000,0.000,0.000
581,1723.019,0.000,-1.078,0.000,0.000,0.000
582,1726.051,0.000,-2.278,0.000,0.000,0.000
583,1729.083,0.656,0.656,0.000,0.000,0.000
584,1732.115,0.000,-0.300,0.000,0.000,0.000
585,1735.146,0.000,-2.278,0.000,0.000,0.000
586,1738.177,0.622,0.622,0.000,0.000,0.000
587,1741.208,0.000,-0.389,0.000,0.000,0.000
588,1744.239,0.000,-1.300,0.000,0.000,0.000
589,1747.270,1.567,1.567,0.000,0.000,0.000
590,1750.300,0.000,-2.489,0.000,0.000,0.000
591,1753.330,0.000,-1.389,0.000,0.000,0.000
592,1756.360,0.000,-0.378,0.000,0.000,0.000
593,1759.390,0.000,-0.589,0.000,0.000,0.000
594,1762.419,0.000,-1.467,0.000,0.000,0.000
595,1765.449,0.000,-1.778,0.000,0.000,0.000
596,1768.478,1.556,1.556,0.000,0.000,0.000
597,1771.507,1.311,1.311,0.000,0.000,0.000
598,1774.535,0.000,-0.111,0.000,0.000,0.000
599,1777.564,0.000,-1.411,0.000,0.000,0.000
600,1780.592,1.100,1.100,0.000,0.000,0.000
601,1783.620,0.000,-1.133,0.000,0.000,0.000
602,1786.648,0.844,0.844,0.000,0.000,0.000
603,1789.675,0.111,0.111,0.000,0.000,0.000
604,1792.702,0.000,-0.967,0.000,0.000,0.000
605,1795.729,1.500,1.500,0.000,0.000,0.000
606,1798.756,0.344,0.344,0.000,0.000,0.000
607,1801.783,0.000,-0.800,0.000,0.000,0.000
608,1804.809,0.000,-1.333,0.000,0.000,0.000
609,1807.835,0.600,0.600,0.000,0.000,0.000
610,1810.861,0.000,-0.533,0.000,0.000,0.000
611,1813.887,1.522,1.522,0.000,0.000,0.000
612,1816.912,0.722,0.722,0.000,0.000,0.000
613,1819.937,0.000,-1.189,0.000,0.000,0.000
614,1822.962,0.878,0.878,0.000,0.000,0.000
615,1825.986,1.811,1.811,0.000,0.000,0.000
616,1829.011,0.000,-0.367,0.000,0.000,0.000
617,1832.035,0.844,0.844,0.000,0.000,0.000
618,1835.059,1.856,1.856,0.000,0.000,0.000
619,1838.082,1.122,1.122,0.000,0.000,0.000
620,1841.106,0.000,-1.033,0.000,0.000,0.000
621,1844.129,0.000,-0.044,0.000,0.000,0.000
622,1847.151,1.011,1.011,0.000,0.000,0.000
623,1850.174,2.978,2.978,0.000,0.000,0.000
624,1853.196,0.856,0.856,0.000,0.000,0.000
625,1856.218,0.000,-0.144,0.000,0.000,0.000
626,1859.240,0.000,-1.322,0.000,0.000,0.000
627,1862.261,0.000,-0.022,0.000,0.000,0.000
628,1865.282,0.000,-0.133,0.000,0.000,0.000
629,1868.303,0.000,-1.100,0.000,0.000,0.000
630,1871.324,0.000,0.000,0.000,0.000,0.000
631,1874.344,0.000,-0.956,0.000,0.000,0.000
632,1877.364,0.000,-0.922,0.000,0.000,0.000
633,1880.384,1.211,1.211,0.000,0.000,0.000
634,1883.403,0.000,-1.111,0.000,0.000,0.000
635,1886.422,1.056,1.056,0.000,0.000,0.000
636,1889.441,0.000,-0.011,0.000,0.000,0.000
637,1892.460,0.167,0.167,0.000,0.000,0.000
638,1895.478,0.000,-1.022,0.000,0.000,0.000
639,1898.496,0.111,0.111,0.000,0.000,0.000
640,1901.513,0.989,0.989,0.000,0.000,0.000
641,1904.531,1.144,1.144,0.000,0.000,0.000
642,1907.548,0.000,-0.789,0.000,0.000,0.000
643,1910.565,1.089,1.089,0.000,0.000,0.000
644,1913.581,0.000,-0.911,0.000,0.000,0.000
645,1916.597,0.000,-0.878,0.000,0.000,0.000
646,1919.613,0.000,-0.822,0.000,0.000,0.000
647,1922.628,0.233,0.233,0.000,0.000,0.000
648,1925.644,0.000,-0.689,0.000,0.000,0.000
649,1928.659,1.333,1.333,0.000,0.000,0.000
650,1931.673,0.000,-0.822,0.000,0.000,0.000
651,1934.687,0.000,-0.767,0.000,0.000,0.000
652,1937.701,0.000,-0.844,0.000,0.000,0.000
653,1940.715,0.000,-0.756,0.000,0.000,0.000
654,1943.728,1.244,1.244,0.000,0.000,0.000
655,1946.741,0.000,-0.744,0.000,0.000,0.000
656,1949.754,0.233,0.233,0.000,0.000,0.000
657,1952.766,0.000,-0.556,0.000,0.000,0.000
658,1955.778,0.178,0.178,0.000,0.000,0.000
659,1958.790,0.444,0.444,0.000,0.000,0.000
660,1961.801,0.000,-0.856,0.000,0.000,0.000
661,1964.812,1.244,1.244,0.000,0.000,0.000
662,1967.823,0.000,-0.789,0.000,0.000,0.000
663,1970.833,0.267,0.267,0.000,0.000,0.000
664,1973.843,0.000,-0.800,0.000,0.000,0.000
665,1976.852,0.000,-0.689,0.000,0.000,0.000
666,1979.862,0.000,-0.689,0.000,0.000,0.000
667,1982.870,0.000,-0.722,0.000,0.000,0.000
668,1985.879,0.000,-0.689,0.000,0.000,0.000
669,1988.887,0.300,0.300,0.000,0.000,0.000
670,1991.895,0.000,-0.489,0.000,0.000,0.000
671,1994.903,0.000,-0.678,0.000,0.000,0.000
672,1997.910,0.000,-0.644,0.000,0.000,0.000
673,2000.916,0.456,0.456,0.000,0.000,0.000
674,2003.923,0.422,0.422,0.000,0.000,0.000
675,2006.929,0.000,-0.678,0.000,0.000,0.000
676,2009.935,0.000,-0.578,0.000,0.000,0.000
677,2012.940,0.111,0.111,0.000,0.000,0.000
678,2015.945,0.367,0.367,0.000,0.000,0.000
679,2018.949,1.189,1.189,0.000,0.000,0.000
680,2021.954,0.000,-0.789,0.000,0.000,0.000
681,2024.958,0.133,0.133,0.000,0.000,0.000
682,2027.961,0.000,-0.611,0.000,0.000,0.000
683,2030.964,0.000,-0.667,0.000,0.000,0.000
684,2033.967,0.000,-0.922,0.000,0.000,0.000
685,2036.969,0.000,-0.778,0.000,0.000,0.000
686,2039.971,0.000,-0.678,0.000,0.000,0.000
687,2042.973,0.311,0.311,0.000,0.000,0.000
688,2045.974,0.256,0.256,0.000,0.000,0.000
689,2048.975,0.000,-0.800,0.000,0.000,0.000
690,2051.975,0.444,0.444,0.000,0.000,0.000
691,2054.975,0.000,-0.811,0.000,0.000,0.000
692,2057.975,0.267,0.267,0.000,0.000,0.000
693,2060.974,0.278,0.278,0.000,0.000,0.000
694,2063.973,0.000,-0.711,0.000,0.000,0.000
695,2066.971,0.211,0.211,0.000,0.000,0.000
696,2069.969,0.000,-0.733,0.000,0.000,0.000
697,2072.967,0.211,0.211,0.000,0.000,0.000
698,2075.964,0.356,0.356,0.000,0.000,0.000
699,2078.961,0.000,-0.900,0.000,0.000,0.000
700,2081.957,0.000,0.000,0.000,0.000,0.000
701,2084.953,0.000,-1.144,0.000,0.000,0.000
702,2087.949,0.222,0.222,0.000,0.000,0.000
703,2090.944,2.178,2.178,0.000,0.000,0.000
704,2093.939,0.000,-0.822,0.000,0.000,0.000
705,2096.933,0.156,0.156,0.000,0.000,0.000
706,2099.927,0.000,-0.889,0.000,0.000,0.000
707,2102.920,2.067,2.067,0.000,0.000,0.000
708,2105.913,0.000,-0.911,0.000,0.000,0.000
709,2108.906,0.000,-0.822,0.000,0.000,0.000
710,2111.898,0.000,-0.100,0.000,0.000,0.000
711,2114.890,1.333,1.333,0.000,0.000,0.000
712,2117.881,0.000,-1.022,0.000,0.000,0.000
713,2120.872,0.989,0.989,0.000,0.000,0.000
714,2123.863,1.044,1.044,0.000,0.000,0.000
715,2126.853,0.878,0.878,0.000,0.000,0.000
716,2129.843,0.044,0.044,0.000,0.000,0.000
717,2132.832,0.156,0.156,0.000,0.000,0.000
718,2135.821,0.000,-0.678,0.000,0.000,0.000
719,2138.809,0.000,-0.922,0.000,0.000,0.000
720,2141.797,0.000,-0.922,0.000,0.000,0.000
721,2144.784,0.000,-0.833,0.000,0.000,0.000
722,2147.771,0.000,-0.756,0.000,0.000,0.000
723,2150.758,0.000,-0.833,0.000,0.000,0.000
724,2153.744,0.000,-0.967,0.000,0.000,0.000
725,2156.729,0.067,0.067,0.000,0.000,0.000
726,2159.714,0.000,-0.844,0.000,0.000,0.000
727,2162.699,0.022,0.022,0.000,0.000,0.000
728,2165.683,0.000,-0.767,0.000,0.000,0.000
729,2168.667,0.022,0.022,0.000,0.000,0.000
730,2171.651,0.000,-0.967,0.000,0.000,0.000
731,2174.633,0.000,-0.833,0.000,0.000,0.000
732,2177.616,0.000,-1.000,0.000,0.000,0.000
733,2180.598,0.000,-0.878,0.000,0.000,0.000
734,2183.579,2.100,2.100,0.000,0.000,0.000
735,2186.560,2.056,2.056,0.000,0.000,0.000
736,2189.541,0.178,0.178,0.000,0.000,0.000
737,2192.521,1.011,1.011,0.000,0.000,0.000
738,2195.500,0.000,-0.111,0.000,0.000,0.000
739,2198.479,1.256,1.256,0.000,0.000,0.000
740,2201.458,0.122,0.122,0.000,0.000,0.000
741,2204.436,0.078,0.078,0.000,0.000,0.000
742,2207.414,0.000,-0.811,0.000,0.000,0.000
743,2210.391,0.000,-0.911,0.000,0.000,0.000
744,2213.368,0.000,-0.811,0.000,0.000,0.000
745,2216.344,0.000,-0.667,0.000,0.000,0.000
746,2219.319,1.111,1.111,0.000,0.000,0.000
747,2222.295,2.122,2.122,0.000,0.000,0.000
748,2225.269,0.000,-0.911,0.000,0.000,0.000
749,2228.243,0.289,0.289,0.000,0.000,0.000
750,2231.217,0.056,0.056,0.000,0.000,0.000
751,2234.190,1.211,1.211,0.000,0.000,0.000
752,2237.163,0.311,0.311,0.000,0.000,0.000
753,2240.135,0.000,-0.767,0.000,0.000,0.000
754,2243.107,0.267,0.267,0.000,0.000,0.000
755,2246.078,0.300,0.300,0.000,0.000,0.000
756,2249.049,0.178,0.178,0.000,0.000,0.000
757,2252.019,0.000,-0.800,0.000,0.000,0.000
758,2254.989,0.000,-0.656,0.000,0.000,0.000
759,2257.958,1.444,1.444,0.000,0.000,0.000
760,2260.926,0.000,-0.611,0.000,0.000,0.000
761,2263.894,0.000,-0.622,0.000,0.000,0.000
762,2266.862,0.000,-0.522,0.000,0.000,0.000
763,2269.829,0.000,-0.633,0.000,0.000,0.000
764,2272.795,0.000,-0.622,0.000,0.000,0.000
765,2275.761,0.000,-0.711,0.000,0.000,0.000
766,2278.727,0.356,0.356,0.000,0.000,0.000
767,2281.692,1.422,1.422,0.000,0.000,0.000
768,2284.656,0.411,0.411,0.000,0.000,0.000
769,2287.620,0.000,-0.589,0.000,0.000,0.000
770,2290.584,0.000,-0.556,0.000,0.000,0.000
771,2293.546,0.000,-0.511,0.000,0.000,0.000
772,2296.509,0.000,-0.544,0.000,0.000,0.000
773,2299.470,0.378,0.378,0.000,0.000,0.000
774,2302.432,0.411,0.411,0.000,0.000,0.000
775,2305.392,0.000,-0.567,0.000,0.000,0.000
776,2308.352,0.533,0.533,0.000,0.000,0.000
777,2311.312,0.000,-0.422,0.000,0.000,0.000
778,2314.271,0.000,-0.556,0.000,0.000,0.000
779,2317.229,0.000,-0.567,0.000,0.000,0.000
780,2320.187,0.000,-0.578,0.000,0.000,0.000
781,2323.144,0.000,-0.678,0.000,0.000,0.000
782,2326.101,0.511,0.511,0.000,0.000,0.000
783,2329.057,0.000,-0.678,0.000,0.000,0.000
784,2332.013,0.000,-0.611,0.000,0.000,0.000
785,2334.968,0.444,0.444,0.000,0.000,0.000
786,2337.923,0.000,-0.478,0.000,0.000,0.000
787,2340.877,0.533,0.533,0.000,0.000,0.000
788,2343.830,0.000,-0.422,0.000,0.000,0.000
789,2346.783,0.000,-0.522,0.000,0.000,0.000
790,2349.735,0.000,-0.444,0.000,0.000,0.000
791,2352.687,1.489,1.489,0.000,0.000,0.000
792,2355.638,1.656,1.656,0.000,0.000,0.000
793,2358.589,0.711,0.711,0.000,0.000,0.000
794,2361.539,0.000,-0.367,0.000,0.000,0.000
795,2364.488,0.000,-0.444,0.000,0.000,0.000
796,2367.437,0.000,-0.389,0.000,0.000,0.000
797,2370.385,0.000,-0.500,0.000,0.000,0.000
798,2373.333,0.000,-0.344,0.000,0.000,0.000
799,2376.280,1.622,1.622,0.000,0.000,0.000
800,2379.226,0.000,-0.378,0.000,0.000,0.000
801,2382.172,0.000,-0.311,0.000,0.000,0.000
802,2385.117,0.644,0.644,0.000,0.000,0.000
803,2388.062,0.000,-0.389,0.000,0.000,0.000
804,2391.006,0.000,-0.289,0.000,0.000,0.000
805,2393.949,0.000,-0.356,0.000,0.000,0.000
806,2396.892,0.000,-0.467,0.000,0.000,0.000
807,2399.835,0.000,-0.322,0.000,0.000,0.000
808,2402.776,0.000,-0.522,0.000,0.000,0.000
809,2405.717,0.000,-0.433,0.000,0.000,0.000
810,2408.658,0.000,-0.411,0.000,0.000,0.000
811,2411.598,0.000,-0.589,0.000,0.000,0.000
812,2414.537,0.578,0.578,0.000,0.000,0.000
813,2417.475,0.000,-0.400,0.000,0.000,0.000
814,2420.413,0.000,-0.289,0.000,0.000,0.000
815,2423.351,0.000,-0.444,0.000,0.000,0.000
816,2426.288,0.000,-0.478,0.000,0.000,0.000
817,2429.224,0.000,-0.489,0.000,0.000,0.000
818,2432.159,0.000,-0.444,0.000,0.000,0.000
819,2435.094,0.000,-0.356,0.000,0.000,0.000
820,2438.028,0.000,-0.400,0.000,0.000,0.000
821,2440.962,1.478,1.478,0.000,0.000,0.000
822,2443.895,0.000,-0.278,0.000,0.000,0.000
823,2446.828,0.000,-0.333,0.000,0.000,0.000
824,2449.759,0.000,-0.456,0.000,0.000,0.000
825,2452.690,0.000,-0.422,0.000,0.000,0.000
826,2455.621,0.000,-0.478,0.000,0.000,0.000
827,2458.551,0.000,-0.322,0.000,0.000,0.000
828,2461.480,0.000,-0.356,0.000,0.000,0.000
829,2464.409,0.000,-0.356,0.000,0.000,0.000
830,2467.336,0.000,-0.344,0.000,0.000,0.000
831,2470.264,0.000,-0.356,0.000,0.000,0.000
832,2473.190,0.000,-0.289,0.000,0.000,0.000
833,2476.116,0.689,0.689,0.000,0.000,0.000
834,2479.042,0.000,-0.389,0.000,0.000,0.000
835,2481.966,0.000,-0.322,0.000,0.000,0.000
836,2484.890,0.700,0.700,0.000,0.000,0.000
837,2487.814,0.000,-0.211,0.000,0.000,0.000
838,2490.736,0.000,-0.344,0.000,0.000,0.000
839,2493.658,0.000,-0.300,0.000,0.000,0.000
840,2496.580,0.756,0.756,0.000,0.000,0.000
841,2499.501,0.000,-0.333,0.000,0.000,0.000
842,2502.421,0.000,-0.400,0.000,0.000,0.000
843,2505.340,0.000,-0.267,0.000,0.000,0.000
844,2508.259,0.000,-0.289,0.000,0.000,0.000
845,2511.177,0.000,-0.233,0.000,0.000,0.000
846,2514.094,0.656,0.656,0.000,0.000,0.000
847,2517.011,0.000,-0.344,0.000,0.000,0.000
848,2519.927,0.000,-0.511,0.000,0.000,0.000
849,2522.842,0.000,-0.278,0.000,0.000,0.000
850,2525.757,0.000,-0.344,0.000,0.000,0.000
851,2528.671,0.544,0.544,0.000,0.000,0.000
852,2531.584,0.000,-0.356,0.000,0.000,0.000
853,2534.497,0.000,-0.556,0.000,0.000,0.000
854,2537.409,0.000,-0.567,0.000,0.000,0.000
855,2540.320,0.000,-0.500,0.000,0.000,0.000
856,2543.230,0.000,-0.678,0.000,0.000,0.000
857,2546.140,0.000,-0.544,0.000,0.000,0.000
858,2549.049,0.000,-0.644,0.000,0.000,0.000
859,2551.958,2.422,2.422,0.000,0.000,0.000
860,2554.866,0.000,-0.567,0.000,0.000,0.000
861,2557.773,0.000,-0.700,0.000,0.000,0.000
862,2560.679,0.000,-0.667,0.000,0.000,0.000
863,2563.585,0.000,-0.667,0.000,0.000,0.000
864,2566.490,0.200,0.200,0.000,0.000,0.000
865,2569.394,0.233,0.233,0.000,0.000,0.000
866,2572.297,0.000,-0.844,0.000,0.000,0.000
867,2575.200,1.100,1.100,0.000,0.000,0.000
868,2578.102,0.167,0.167,0.000,0.000,0.000
869,2581.004,0.056,0.056,0.000,0.000,0.000
870,2583.904,0.000,-0.933,0.000,0.000,0.000
871,2586.804,1.100,1.100,0.000,0.000,0.000
872,2589.704,0.000,-0.922,0.000,0.000,0.000
873,2592.602,0.000,-0.933,0.000,0.000,0.000
874,2595.500,0.000,-0.811,0.000,0.000,0.000
875,2598.397,0.033,0.033,0.000,0.000,0.000
876,2601.293,0.000,-0.922,0.000,0.000,0.000
877,2604.189,1.844,1.844,0.000,0.000,0.000
878,2607.084,0.100,0.100,0.000,0.000,0.000
879,2609.978,1.944,1.944,0.000,0.000,0.000
880,2612.871,1.033,1.033,0.000,0.000,0.000
881,2615.764,0.000,-0.944,0.000,0.000,0.000
882,2618.656,0.000,-0.933,0.000,0.000,0.000
883,2621.547,0.033,0.033,0.000,0.000,0.000
884,2624.438,0.000,-0.900,0.000,0.000,0.000
885,2627.327,0.000,-0.767,0.000,0.000,0.000
886,2630.216,0.056,0.056,0.000,0.000,0.000
887,2633.105,0.000,-0.700,0.000,0.000,0.000
888,2635.992,0.300,0.300,0.000,0.000,0.000
889,2638.879,0.122,0.122,0.000,0.000,0.000
890,2641.765,0.000,-0.600,0.000,0.000,0.000
891,2644.650,0.000,-0.500,0.000,0.000,0.000
892,2647.534,0.000,-0.767,0.000,0.000,0.000
893,2650.418,0.000,-0.400,0.000,0.000,0.000
894,2653.301,0.500,0.500,0.000,0.000,0.000
895,2656.183,0.000,-0.411,0.000,0.000,0.000
896,2659.065,0.000,-0.533,0.000,0.000,0.000
897,2661.945,0.000,-0.411,0.000,0.000,0.000
898,2664.825,1.533,1.533,0.000,0.000,0.000
899,2667.704,0.556,0.556,0.000,0.000,0.000
900,2670.583,0.000,-0.144,0.000,0.000,0.000
901,2673.460,0.689,0.689,0.000,0.000,0.000
902,2676.337,0.000,-0.367,0.000,0.000,0.000
903,2679.213,0.000,-0.233,0.000,0.000,0.000
904,2682.088,0.000,-0.256,0.000,0.000,0.000
905,2684.963,0.000,-0.322,0.000,0.000,0.000
906,2687.836,0.000,-0.233,0.000,0.000,0.000
907,2690.709,0.000,-0.189,0.000,0.000,0.000
908,2693.581,0.000,-0.189,0.000,0.000,0.000
909,2696.453,0.000,-0.133,0.000,0.000,0.000
910,2699.323,0.000,-0.178,0.000,0.000,0.000
911,2702.193,0.000,-0.211,0.000,0.000,0.000
912,2705.062,0.000,-0.111,0.000,0.000,0.000
913,2707.930,0.767,0.767,0.000,0.000,0.000
914,2710.797,0.000,-0.200,0.000,0.000,0.000
915,2713.664,0.000,-0.167,0.000,0.000,0.000
916,2716.530,0.000,-0.122,0.000,0.000,0.000
917,2719.395,0.933,0.933,0.000,0.000,0.000
918,2722.259,0.000,-0.178,0.000,0.000,0.000
919,2725.122,0.000,-0.133,0.000,0.000,0.000
920,2727.985,0.000,-0.089,0.000,0.000,0.000
921,2730.846,0.000,-0.133,0.000,0.000,0.000
922,2733.707,0.000,-0.144,0.000,0.000,0.000
923,2736.567,0.000,-0.133,0.000,0.000,0.000
924,2739.427,0.789,0.789,0.000,0.000,0.000
925,2742.285,0.844,0.844,0.000,0.000,0.000
926,2745.143,0.000,-0.122,0.000,0.000,0.000
927,2748.000,0.000,-0.100,0.000,0.000,0.000
928,2750.856,0.000,-0.144,0.000,0.000,0.000
929,2753.711,0.000,-0.200,0.000,0.000,0.000
930,2756.565,0.000,-0.133,0.000,0.000,0.000
931,2759.419,0.000,-0.089,0.000,0.000,0.000
932,2762.271,0.000,-0.067,0.000,0.000,0.000
933,2765.123,0.000,-0.089,0.000,0.000,0.000
934,2767.974,0.000,-0.211,0.000,0.000,0.000
935,2770.825,0.900,0.900,0.000,0.000,0.000
936,2773.674,0.000,-0.089,0.000,0.000,0.000
937,2776.522,0.000,-0.122,0.000,0.000,0.000
938,2779.370,0.000,-0.189,0.000,0.000,0.000
939,2782.217,0.000,-0.111,0.000,0.000,0.000
940,2785.063,0.000,-0.100,0.000,0.000,0.000
941,2787.908,0.000,-0.089,0.000,0.000,0.000
942,2790.752,0.000,-0.167,0.000,0.000,0.000
943,2793.596,0.933,0.933,0.000,0.000,0.000
944,2796.439,0.000,-0.122,0.000,0.000,0.000
945,2799.280,0.000,-0.133,0.000,0.000,0.000
946,2802.121,0.000,-0.122,0.000,0.000,0.000
947,2804.961,0.000,-0.167,0.000,0.000,0.000
948,2807.800,0.000,-0.111,0.000,0.000,0.000
949,2810.639,0.000,-0.122,0.000,0.000,0.000
950,2813.476,0.000,-0.122,0.000,0.000,0.000
951,2816.313,0.000,-0.111,0.000,0.000,0.000
952,2819.149,0.911,0.911,0.000,0.000,0.000
953,2821.983,0.000,-0.111,0.000,0.000,0.000
954,2824.817,0.000,-0.078,0.000,0.000,0.000
955,2827.651,0.000,-0.156,0.000,0.000,0.000
956,2830.483,0.000,-0.144,0.000,0.000,0.000
957,2833.314,0.000,-0.078,0.000,0.000,0.000
958,2836.145,0.956,0.956,0.000,0.000,0.000
959,2838.974,0.000,-0.111,0.000,0.000,0.000
960,2841.803,0.000,-0.078,0.000,0.000,0.000
961,2844.631,0.000,-0.111,0.000,0.000,0.000
962,2847.458,0.000,-0.133,0.000,0.000,0.000
963,2850.284,0.000,-0.111,0.000,0.000,0.000
964,2853.109,0.000,-0.067,0.000,0.000,0.000
965,2855.934,0.000,-0.033,0.000,0.000,0.000
966,2858.757,0.000,-0.144,0.000,0.000,0.000
967,2861.580,0.000,-0.122,0.000,0.000,0.000
968,2864.401,0.000,-0.100,0.000,0.000,0.000
969,2867.222,0.000,-0.078,0.000,0.000,0.000
970,2870.042,0.911,0.911,0.000,0.000,0.000
971,2872.861,0.000,-0.111,0.000,0.000,0.000
972,2875.679,0.000,-0.100,0.000,0.000,0.000
973,2878.496,0.867,0.867,0.000,0.000,0.000
974,2881.312,1.878,1.878,0.000,0.000,0.000
975,2884.128,0.000,-0.111,0.000,0.000,0.000
976,2886.942,0.000,-0.122,0.000,0.000,0.000
977,2889.756,0.000,-0.100,0.000,0.000,0.000
978,2892.568,0.000,-0.178,0.000,0.000,0.000
979,2895.380,0.000,-0.167,0.000,0.000,0.000
980,2898.191,0.000,-0.133,0.000,0.000,0.000
981,2901.000,0.000,-0.189,0.000,0.000,0.000
982,2903.809,0.000,-0.144,0.000,0.000,0.000
983,2906.617,0.000,-0.111,0.000,0.000,0.000
984,2909.425,0.856,0.856,0.000,0.000,0.000
985,2912.231,0.000,-0.133,0.000,0.000,0.000
986,2915.036,0.000,-0.133,0.000,0.000,0.000
987,2917.840,0.000,-0.144,0.000,0.000,0.000
988,2920.644,0.000,-0.156,0.000,0.000,0.000
989,2923.446,0.000,-0.089,0.000,0.000,0.000
990,2926.248,0.000,-0.133,0.000,0.000,0.000
991,2929.048,0.000,-0.089,0.000,0.000,0.000
992,2931.848,0.000,-0.100,0.000,0.000,0.000
993,2934.646,0.000,-0.100,0.000,0.000,0.000
994,2937.444,0.000,-0.100,0.000,0.000,0.000
995,2940.241,0.000,-0.089,0.000,0.000,0.000
996,2943.037,0.000,-0.144,0.000,0.000,0.000
997,2945.832,0.000,-0.178,0.000,0.000,0.000
998,2948.626,0.000,-0.100,0.000,0.000,0.000
999,2951.419,0.000,-0.067,0.000,0.000,0.000
1000,2954.211,0.000,-0.111,0.000,0.000,0.000
1001,2957.002,0.000,-0.156,0.000,0.000,0.000
1002,2959.792,0.000,-0.144,0.000,0.000,0.000
1003,2962.581,0.000,-0.156,0.000,0.000,0.000
1004,2965.370,0.000,-0.067,0.000,0.000,0.000
1005,2968.157,0.000,-0.089,0.000,0.000,0.000
1006,2970.943,0.000,-0.067,0.000,0.000,0.000
1007,2973.728,0.889,0.889,0.000,0.000,0.000
1008,2976.513,0.000,-0.178,0.000,0.000,0.000
1009,2979.296,0.000,-0.122,0.000,0.000,0.000
1010,2982.079,0.000,-0.156,0.000,0.000,0.000
1011,2984.860,0.000,-0.122,0.000,0.000,0.000
1012,2987.641,0.000,-0.133,0.000,0.000,0.000
1013,2990.420,0.000,-0.111,0.000,0.000,0.000
1014,2993.199,0.000,-0.111,0.000,0.000,0.000
1015,2995.976,0.000,-0.111,0.000,0.000,0.000
1016,2998.753,0.000,-0.144,0.000,0.000,0.000
1017,3001.528,0.000,-0.144,0.000,0.000,0.000
1018,3004.303,0.000,-0.089,0.000,0.000,0.000
