ch,keV,net,fit,model,continuum_raw,Ba-133,continuum
347,1013.513,0.000,-2.401,0.508,0.508,0.000,0.508
348,1016.536,0.000,-2.771,0.532,0.532,0.000,0.532
349,1019.560,8.704,8.704,0.556,0.556,0.000,0.556
350,1022.583,0.000,-0.725,0.580,0.580,0.000,0.580
351,1025.607,0.700,0.700,0.604,0.604,0.000,0.604
352,1028.630,0.000,-0.620,0.629,0.629,0.000,0.629
353,1031.654,2.801,2.801,0.653,0.653,0.000,0.653
354,1034.678,0.591,0.591,0.677,0.677,0.000,0.677
355,1037.702,2.696,2.696,0.701,0.701,0.000,0.701
356,1040.726,0.435,0.435,0.725,0.725,0.000,0.725
357,1043.750,5.065,5.065,0.749,0.749,0.000,0.749
358,1046.774,0.000,-3.506,0.774,0.774,0.000,0.774
359,1049.798,6.376,6.376,0.798,0.798,0.000,0.798
360,1052.822,2.860,2.860,0.822,0.822,0.000,0.822
361,1055.846,14.910,14.910,0.846,0.846,0.000,0.846
362,1058.871,7.801,7.801,0.870,0.870,0.000,0.870
363,1061.895,2.755,2.755,0.895,0.895,0.000,0.895
364,1064.919,6.435,6.435,0.919,0.919,0.000,0.919
365,1067.944,0.000,-0.300,0.943,0.943,0.000,0.943
366,1070.968,0.000,-5.145,0.967,0.967,0.000,0.967
367,1073.993,0.000,-7.720,0.991,0.991,0.000,0.991
368,1077.017,9.015,9.015,1.015,1.015,0.000,1.015
369,1080.042,1.061,1.061,1.040,1.040,0.000,1.040
370,1083.067,10.490,10.490,1.064,1.064,0.000,1.064
371,1086.091,11.166,11.166,1.088,1.088,0.000,1.088
372,1089.116,2.070,2.070,1.112,1.112,0.000,1.112
373,1092.141,2.906,2.906,1.136,1.136,0.000,1.136
374,1095.165,4.435,4.435,1.161,1.161,0.000,1.161
375,1098.190,0.389,0.389,1.185,1.185,0.000,1.185
376,1101.215,0.000,-11.729,1.209,1.209,0.000,1.209
377,1104.240,0.000,-6.825,1.233,1.233,0.000,1.233
378,1107.265,0.000,-0.199,1.257,1.257,0.000,1.257
379,1110.290,1.960,1.960,1.281,1.281,0.000,1.281
380,1113.314,18.691,18.691,1.306,1.306,0.000,1.306
381,1116.339,4.061,4.061,1.330,1.330,0.000,1.330
382,1119.364,0.000,-5.771,1.354,1.354,0.000,1.354
383,1122.389,0.000,-1.884,1.378,1.378,0.000,1.378
384,1125.414,0.000,-2.099,1.402,1.402,0.000,1.402
385,1128.439,0.000,-1.460,1.426,1.426,0.000,1.426
386,1131.464,6.275,6.275,1.451,1.451,0.000,1.451
387,1134.488,0.000,-0.363,1.475,1.475,0.000,1.475
388,1137.513,0.000,-4.989,1.499,1.499,0.000,1.499
389,1140.538,5.851,5.851,1.523,1.523,0.000,1.523
390,1143.563,9.426,9.426,1.547,1.547,0.000,1.547
391,1146.588,10.851,10.851,1.572,1.572,0.000,1.572
392,1149.613,0.000,-10.254,1.596,1.596,0.000,1.596
393,1152.637,0.000,-1.199,1.620,1.620,0.000,1.620
394,1155.662,0.000,-5.204,1.644,1.644,0.000,1.644
395,1158.687,9.901,9.901,1.668,1.668,0.000,1.668
396,1161.712,0.842,0.842,1.692,1.692,0.000,1.692
397,1164.736,0.000,-2.208,1.717,1.717,0.000,1.717
398,1167.761,1.632,1.632,1.741,1.741,0.000,1.741
399,1170.786,10.372,10.372,1.765,1.765,0.000,1.765
400,1173.810,8.372,8.372,1.789,1.789,0.000,1.789
401,1176.835,0.000,-0.998,1.813,1.813,0.000,1.813
402,1179.859,6.212,6.212,1.837,1.837,0.000,1.837
403,1182.884,0.000,-1.372,1.862,1.862,0.000,1.862
404,1185.908,3.477,3.477,1.886,1.886,0.000,1.886
405,1188.933,0.000,-2.738,1.871,1.871,0.000,1.871
406,1191.957,7.477,7.477,1.856,1.856,0.000,1.856
407,1194.981,0.000,-1.162,1.842,1.842,0.000,1.842
408,1198.005,10.262,10.262,1.827,1.827,0.000,1.827
409,1201.030,9.623,9.623,1.812,1.812,0.000,1.812
410,1204.054,0.000,-4.956,1.797,1.797,0.000,1.797
411,1207.078,0.203,0.203,1.783,1.783,0.000,1.783
412,1210.102,0.000,-1.948,1.768,1.768,0.000,1.768
413,1213.126,3.678,3.678,1.753,1.753,0.000,1.753
414,1216.150,2.418,2.418,1.738,1.738,0.000,1.738
415,1219.173,4.788,4.788,1.724,1.724,0.000,1.724
416,1222.197,0.783,0.783,1.709,1.709,0.000,1.709
417,1225.221,2.623,2.623,1.694,1.694,0.000,1.694
418,1228.244,5.254,5.254,1.679,1.679,0.000,1.679
419,1231.268,9.149,9.149,1.665,1.665,0.000,1.665
420,1234.291,2.682,2.682,1.650,1.650,0.000,1.650
421,1237.315,0.363,0.363,1.635,1.635,0.000,1.635
422,1240.338,0.728,0.728,1.620,1.620,0.000,1.620
423,1243.361,0.000,-5.057,1.606,1.606,0.000,1.606
424,1246.384,0.674,0.674,1.591,1.591,0.000,1.591
425,1249.408,8.674,8.674,1.576,1.576,0.000,1.576
426,1252.430,0.000,-4.902,1.561,1.561,0.000,1.561
427,1255.453,1.359,1.359,1.547,1.547,0.000,1.547
428,1258.476,0.000,-2.171,1.532,1.532,0.000,1.532
429,1261.499,5.989,5.989,1.517,1.517,0.000,1.517
430,1264.521,2.774,2.774,1.503,1.503,0.000,1.503
431,1267.544,1.569,1.569,1.488,1.488,0.000,1.488
432,1270.566,6.779,6.779,1.473,1.473,0.000,1.473
433,1273.589,5.249,5.249,1.458,1.458,0.000,1.458
434,1276.611,4.510,4.510,1.444,1.444,0.000,1.444
435,1279.633,11.569,11.569,1.429,1.429,0.000,1.429
436,1282.655,0.000,-2.797,1.414,1.414,0.000,1.414
437,1285.677,0.000,-1.066,1.399,1.399,0.000,1.399
438,1288.698,4.980,4.980,1.385,1.385,0.000,1.385
439,1291.720,1.455,1.455,1.370,1.370,0.000,1.370
440,1294.742,6.468,6.468,1.355,1.355,0.000,1.355
441,1297.763,0.564,0.564,1.340,1.340,0.000,1.340
442,1300.784,6.985,6.985,1.326,1.326,0.000,1.326
443,1303.806,3.039,3.039,1.311,1.311,0.000,1.311
444,1306.827,3.094,3.094,1.296,1.296,0.000,1.296
445,1309.848,0.000,-4.171,1.281,1.281,0.000,1.281
446,1312.868,2.140,2.140,1.267,1.267,0.000,1.267
447,1315.889,7.564,7.564,1.252,1.252,0.000,1.252
448,1318.910,3.564,3.564,1.237,1.237,0.000,1.237
449,1321.930,6.770,6.770,1.222,1.222,0.000,1.222
450,1324.950,6.770,6.770,1.208,1.208,0.000,1.208
451,1327.970,0.000,-5.335,1.193,1.193,0.000,1.193
452,1330.990,7.035,7.035,1.178,1.178,0.000,1.178
453,1334.010,3.980,3.980,1.163,1.163,0.000,1.163
454,1337.030,7.140,7.140,1.149,1.149,0.000,1.149
455,1340.050,0.000,-5.696,1.134,1.134,0.000,1.134
456,1343.069,0.000,-6.906,1.119,1.119,0.000,1.119
457,1346.088,3.249,3.249,1.104,1.104,0.000,1.104
