ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-Pb,pile-up
3414,1350.181,289.749,289.749,178.231,31.974,0.000,0.000,0.000,178.231
3415,1350.593,314.639,314.639,178.108,31.848,0.000,0.000,0.000,178.108
3416,1351.005,268.194,268.194,177.984,31.722,0.000,0.000,0.000,177.984
3417,1351.417,297.478,297.478,177.860,31.596,0.000,0.000,0.000,177.860
3418,1351.830,317.059,317.059,175.834,31.470,0.000,0.000,0.000,175.834
3419,1352.242,270.724,270.724,155.672,31.344,0.000,0.000,0.000,155.672
3420,1352.654,267.872,267.872,155.548,31.218,0.000,0.000,0.000,155.548
3421,1353.066,312.762,312.762,155.424,31.092,0.000,0.000,0.000,155.424
3422,1353.479,305.465,305.465,155.300,30.966,0.000,0.000,0.000,155.300
3423,1353.891,284.020,284.020,155.176,30.840,0.000,0.000,0.000,155.176
3424,1354.303,263.897,263.897,155.052,30.714,0.000,0.000,0.000,155.052
3425,1354.715,246.724,246.724,154.928,30.588,0.000,0.000,0.000,154.928
3426,1355.128,273.639,273.639,154.805,30.462,0.000,0.000,0.000,154.805
3427,1355.540,257.749,257.749,154.681,30.336,0.000,0.000,0.000,154.681
3428,1355.952,258.897,258.897,146.473,30.210,0.000,0.000,0.000,146.473
3429,1356.364,273.452,273.452,133.375,30.084,0.000,0.000,0.000,133.375
3430,1356.777,283.169,283.169,133.251,29.958,0.000,0.000,0.000,133.251
3431,1357.189,265.317,265.317,133.126,29.832,0.000,0.000,0.000,133.126
3432,1357.601,262.897,262.897,133.076,29.780,0.000,0.000,0.000,133.076
3433,1358.014,252.194,252.194,133.027,29.729,0.000,0.000,0.000,133.027
3434,1358.426,282.614,282.614,132.977,29.677,0.000,0.000,0.000,132.977
3435,1358.838,253.194,253.194,132.927,29.626,0.000,0.000,0.000,132.927
3436,1359.251,246.059,246.059,132.877,29.574,0.000,0.000,0.000,132.877
3437,1359.663,277.897,277.897,132.827,29.523,0.000,0.000,0.000,132.827
3438,1360.075,203.452,203.452,119.493,29.471,0.000,0.000,0.000,119.493
