ch,keV,net,fit,model,continuum_raw,Cs-137,pile-up
610,1785.856,1.406,1.406,0.015,0.000,0.000,0.015
611,1788.801,1.438,1.438,0.013,0.000,0.000,0.013
612,1791.745,1.219,1.219,0.013,0.000,0.000,0.013
613,1794.689,0.156,0.156,0.014,0.000,0.000,0.014
614,1797.633,0.344,0.344,0.014,0.000,0.000,0.014
615,1800.577,0.000,-0.375,0.014,0.000,0.000,0.014
616,1803.520,0.000,-0.844,0.014,0.000,0.000,0.014
617,1806.463,0.000,-1.750,0.014,0.000,0.000,0.014
618,1809.406,0.000,-0.531,0.014,0.000,0.000,0.014
619,1812.348,0.000,-1.344,0.013,0.000,0.000,0.013
620,1815.290,0.000,-0.156,0.013,0.000,0.000,0.013
621,1818.232,0.000,-1.500,0.013,0.000,0.000,0.013
622,1821.173,0.500,0.500,0.012,0.000,0.000,0.012
623,1824.114,0.000,-1.594,0.013,0.000,0.000,0.013
624,1827.055,0.000,-1.906,0.013,0.000,0.000,0.013
625,1829.996,1.406,1.406,0.011,0.000,0.000,0.011
626,1832.936,1.500,1.500,0.010,0.000,0.000,0.010
627,1835.876,1.313,1.313,0.010,0.000,0.000,0.010
628,1838.816,1.688,1.688,0.011,0.000,0.000,0.011
629,1841.755,0.000,-0.219,0.011,0.000,0.000,0.011
630,1844.694,0.563,0.563,0.011,0.000,0.000,0.011
631,1847.633,0.000,-1.312,0.011,0.000,0.000,0.011
632,1850.572,1.031,1.031,0.010,0.000,0.000,0.010
633,1853.510,0.000,-0.469,0.011,0.000,0.000,0.011
634,1856.448,0.000,-0.156,0.010,0.000,0.000,0.010
635,1859.385,1.906,1.906,0.009,0.000,0.000,0.009
636,1862.323,1.750,1.750,0.010,0.000,0.000,0.010
637,1865.260,0.000,-0.281,0.011,0.000,0.000,0.011
638,1868.196,0.000,-0.281,0.011,0.000,0.000,0.011
639,1871.133,0.000,-0.594,0.010,0.000,0.000,0.010
640,1874.069,1.844,1.844,0.010,0.000,0.000,0.010
641,1877.005,1.031,1.031,0.009,0.000,0.000,0.009
642,1879.940,0.000,-0.187,0.010,0.000,0.000,0.010
643,1882.876,0.000,-0.219,0.011,0.000,0.000,0.011
644,1885.811,0.063,0.063,0.011,0.000,0.000,0.011
645,1888.745,0.000,-0.094,0.011,0.000,0.000,0.011
646,1891.680,0.000,-1.031,0.011,0.000,0.000,0.011
647,1894.614,0.000,-1.187,0.012,0.000,0.000,0.012
648,1897.548,0.000,-0.875,0.012,0.000,0.000,0.012
649,1900.481,0.000,-0.625,0.012,0.000,0.000,0.012
650,1903.414,0.000,-0.094,0.011,0.000,0.000,0.011
651,1906.347,0.625,0.625,0.012,0.000,0.000,0.012
652,1909.280,0.000,-0.219,0.012,0.000,0.000,0.012
653,1912.212,0.000,0.000,0.012,0.000,0.000,0.012
654,1915.144,2.938,2.938,0.012,0.000,0.000,0.012
655,1918.076,0.000,-0.344,0.014,0.000,0.000,0.014
656,1921.007,0.000,-0.437,0.013,0.000,0.000,0.013
657,1923.938,0.844,0.844,0.013,0.000,0.000,0.013
658,1926.869,0.156,0.156,0.015,0.000,0.000,0.015
