ch,keV,net,fit,model,continuum_raw,Eu-152,Esc-NaI,continuum
587,1732.682,66.079,66.079,118.375,118.375,118.375,0.000,0.000
588,1735.662,67.572,67.572,114.412,114.412,114.412,0.000,0.000
589,1738.641,65.368,65.368,110.450,110.450,110.450,0.000,0.000
590,1741.621,65.632,65.632,106.488,106.488,106.488,0.000,0.000
591,1744.600,63.224,63.224,102.525,102.525,102.525,0.000,0.000
592,1747.578,59.717,59.717,98.563,98.563,98.563,0.000,0.000
593,1750.557,60.066,60.066,94.600,94.600,94.600,0.000,0.000
594,1753.535,68.717,68.717,90.638,90.638,90.638,0.000,0.000
595,1756.513,64.921,64.921,86.675,86.675,86.675,0.000,0.000
596,1759.490,48.789,48.789,82.713,82.713,82.713,0.000,0.000
597,1762.468,67.296,67.296,78.750,78.750,78.750,0.000,0.000
598,1765.445,45.342,45.342,74.788,74.788,74.788,0.000,0.000
599,1768.422,61.934,61.934,70.825,70.825,70.825,0.000,0.000
600,1771.398,60.658,60.658,66.863,66.863,66.863,0.000,0.000
601,1774.374,52.934,52.934,62.900,62.900,62.900,0.000,0.000
602,1777.350,63.151,63.151,58.938,58.938,58.938,0.000,0.000
603,1780.326,57.934,57.934,54.975,54.975,54.975,0.000,0.000
604,1783.301,53.789,53.789,51.013,51.013,51.013,0.000,0.000
605,1786.276,55.803,55.803,47.050,47.050,47.050,0.000,0.000
606,1789.250,62.079,62.079,43.088,43.088,43.088,0.000,0.000
607,1792.225,43.947,43.947,39.125,39.125,39.125,0.000,0.000
608,1795.199,46.572,46.572,35.163,35.163,35.163,0.000,0.000
609,1798.173,41.743,41.743,31.201,31.201,31.201,0.000,0.000
610,1801.146,53.309,53.309,27.238,27.238,27.238,0.000,0.000
611,1804.120,43.382,43.382,23.276,23.276,23.276,0.000,0.000
612,1807.092,50.875,50.875,23.169,23.169,23.169,0.000,0.000
613,1810.065,42.730,42.730,23.063,23.063,23.063,0.000,0.000
