P55 flags: vacuum=1 nofluct=0 nodelta=1 lowcut=0 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_4
RESULT decays=8000000
RESULT any=702273 eps_total=8.778413e-02
RESULT window=2614.511 counts=124478 eps=1.555975e-02
HISTBEGIN bins=2616 bin_kev=1.000000 decays=8000000
HIST 1288 133
HIST 1289 167
HIST 1290 158
HIST 1291 139
HIST 1292 146
HIST 1293 138
HIST 1294 154
HIST 1295 154
HIST 1296 147
HIST 1297 133
HIST 1298 135
HIST 1299 177
HIST 1300 132
HIST 1301 156
HIST 1302 132
HIST 1303 142
HIST 1304 157
HIST 1305 152
HIST 1306 159
HIST 1307 147
HIST 1308 153
HIST 1309 129
HIST 1310 156
HIST 1311 146
HIST 1312 139
HIST 1313 122
HIST 1314 146
HIST 1315 148
HIST 1316 153
HIST 1317 158
HIST 1318 143
HIST 1319 148
HIST 1320 147
HIST 1321 156
HIST 1322 129
HIST 1323 138
HIST 1324 159
HIST 1325 117
HIST 1326 146
HIST 1327 156
HIST 1328 141
HIST 1329 110
HIST 1330 128
HIST 1331 153
HIST 1332 121
HIST 1333 141
HIST 1334 139
HIST 1335 130
HIST 1336 153
HIST 1337 161
HIST 1338 146
HIST 1339 139
HIST 1340 128
HIST 1341 154
HIST 1342 132
HIST 1343 135
HIST 1344 147
HIST 1345 136
HIST 1346 150
HIST 1347 158
HIST 1348 144
HIST 1349 151
HIST 1350 143
HIST 1351 123
HIST 1352 135
HIST 1353 159
HIST 1354 137
HIST 1355 124
HIST 1356 153
HIST 1357 143
HIST 1358 158
HIST 1359 155
HIST 1360 142
HIST 1361 131
HIST 1362 129
HIST 1363 146
HIST 1364 138
HIST 1365 131
HIST 1366 146
HIST 1367 152
HIST 1368 151
HIST 1369 133
HIST 1370 147
HIST 1371 137
HIST 1372 153
HIST 1373 156
HIST 1374 163
HIST 1375 160
HIST 1376 131
HIST 1377 137
HIST 1378 140
HIST 1379 141
HIST 1380 139
HIST 1381 152
HIST 1382 132
HIST 1383 149
HIST 1384 133
HIST 1385 156
HIST 1386 146
HIST 1387 140
HIST 1388 141
HIST 1389 137
HIST 1390 133
HIST 1391 133
HIST 1392 121
HIST 1393 155
HIST 1394 156
HIST 1395 146
HIST 1396 158
HIST 1397 156
HIST 1398 146
HIST 1399 165
HIST 1400 170
HIST 1401 143
HIST 1402 127
HIST 1403 147
HIST 1404 165
HIST 1405 135
HIST 1406 154
HIST 1407 153
HIST 1408 153
HIST 1409 159
HIST 1410 151
HIST 1411 141
HIST 1412 125
HIST 1413 139
HIST 1414 129
HIST 1415 164
HIST 1416 150
HIST 1417 144
HIST 1418 139
HIST 1419 145
HIST 1420 187
HIST 1421 124
HIST 1422 168
HIST 1423 184
HIST 1424 138
HIST 1425 148
HIST 1426 146
HIST 1427 135
HIST 1428 140
HIST 1429 136
HIST 1430 132
HIST 1431 134
HIST 1432 138
HIST 1433 147
HIST 1434 147
HIST 1435 153
HIST 1436 126
HIST 1437 152
HIST 1438 128
HIST 1439 141
HIST 1440 137
HIST 1441 125
HIST 1442 160
HIST 1443 148
HIST 1444 152
HIST 1445 140
HIST 1446 165
HIST 1447 147
HIST 1448 156
HIST 1449 146
HIST 1450 144
HIST 1451 153
HIST 1452 143
HIST 1453 127
HIST 1454 155
HIST 1455 146
HIST 1456 141
HIST 1457 149
HIST 1458 156
HIST 1459 124
HIST 1460 156
HIST 1461 141
HIST 1462 135
HIST 1463 151
HIST 1464 142
HIST 1465 142
HIST 1466 166
HIST 1467 118
HIST 1468 160
HIST 1469 142
HIST 1470 145
HIST 1471 158
HIST 1472 151
HIST 1473 156
HIST 1474 148
HIST 1475 152
HIST 1476 161
HIST 1477 134
HIST 1478 135
HIST 1479 149
HIST 1480 158
HIST 1481 146
HIST 1482 140
HIST 1483 142
HIST 1484 149
HIST 1485 140
HIST 1486 159
HIST 1487 146
HIST 1488 138
HIST 1489 137
HIST 1490 135
HIST 1491 128
HIST 1492 134
HIST 1493 151
HIST 1494 141
HIST 1495 150
HIST 1496 176
HIST 1497 137
HIST 1498 153
HIST 1499 170
HIST 1500 156
HIST 1501 144
HIST 1502 150
HIST 1503 137
HIST 1504 150
HIST 1505 155
HIST 1506 152
HIST 1507 141
HIST 1508 140
HIST 1509 167
HIST 1510 156
HIST 1511 161
HIST 1512 139
HIST 1513 144
HIST 1514 157
HIST 1515 150
HIST 1516 161
HIST 1517 170
HIST 1518 155
HIST 1519 152
HIST 1520 146
HIST 1521 144
HIST 1522 140
HIST 1523 135
HIST 1524 153
HIST 1525 140
HIST 1526 153
HIST 1527 165
HIST 1528 168
HIST 1529 148
HIST 1530 155
HIST 1531 157
HIST 1532 146
HIST 1533 158
HIST 1534 142
HIST 1535 162
HIST 1536 163
HIST 1537 163
HIST 1538 156
HIST 1539 157
HIST 1540 141
HIST 1541 153
HIST 1542 171
HIST 1543 155
HIST 1544 162
HIST 1545 137
HIST 1546 157
HIST 1547 149
HIST 1548 132
HIST 1549 140
HIST 1550 153
HIST 1551 158
HIST 1552 161
HIST 1553 160
HIST 1554 150
HIST 1555 139
HIST 1556 154
HIST 1557 159
HIST 1558 159
HIST 1559 146
HIST 1560 165
HIST 1561 143
HIST 1562 159
HIST 1563 161
HIST 1564 155
HIST 1565 137
HIST 1566 159
HIST 1567 127
HIST 1568 144
HIST 1569 140
HIST 1570 156
HIST 1571 153
HIST 1572 143
HIST 1573 143
HIST 1574 146
HIST 1575 165
HIST 1576 160
HIST 1577 145
HIST 1578 153
HIST 1579 155
HIST 1580 143
HIST 1581 143
