P55 flags: vacuum=1 nofluct=0 nodelta=0 lowcut=1 killesc=0
 Energy thresholds :  gamma  990 eV     e-  990 eV     e+  990 eV  proton 100 keV
 Material : scene_mat_5
RESULT decays=8000000
RESULT any=335985 eps_total=4.199812e-02
RESULT window=1460.820 counts=46886 eps=5.860750e-03
HISTBEGIN bins=1462 bin_kev=1.000000 decays=8000000
HIST 1169 262
HIST 1170 245
HIST 1171 243
HIST 1172 266
HIST 1173 233
HIST 1174 240
HIST 1175 226
HIST 1176 231
HIST 1177 239
HIST 1178 247
HIST 1179 245
HIST 1180 274
HIST 1181 258
HIST 1182 257
HIST 1183 228
HIST 1184 262
HIST 1185 227
HIST 1186 231
HIST 1187 262
HIST 1188 259
HIST 1189 228
HIST 1190 254
HIST 1191 257
HIST 1192 219
HIST 1193 257
HIST 1194 240
HIST 1195 254
HIST 1196 275
HIST 1197 233
HIST 1198 285
HIST 1199 248
HIST 1200 239
HIST 1201 245
HIST 1202 245
HIST 1203 215
HIST 1204 239
HIST 1205 257
HIST 1206 250
HIST 1207 255
HIST 1208 258
HIST 1209 249
HIST 1210 267
HIST 1211 299
HIST 1212 261
HIST 1213 266
HIST 1214 276
HIST 1215 260
HIST 1216 268
HIST 1217 271
HIST 1218 279
HIST 1219 240
HIST 1220 258
HIST 1221 289
HIST 1222 283
HIST 1223 277
HIST 1224 260
HIST 1225 239
HIST 1226 281
HIST 1227 258
HIST 1228 256
HIST 1229 264
HIST 1230 254
HIST 1231 272
HIST 1232 220
HIST 1233 295
HIST 1234 258
HIST 1235 249
HIST 1236 255
HIST 1237 242
HIST 1238 258
HIST 1239 244
HIST 1240 245
HIST 1241 232
HIST 1242 237
HIST 1243 207
HIST 1244 169
HIST 1245 145
HIST 1246 150
HIST 1247 122
HIST 1248 125
HIST 1249 103
HIST 1250 94
HIST 1251 111
HIST 1252 110
HIST 1253 112
HIST 1254 105
HIST 1255 96
HIST 1256 104
HIST 1257 110
HIST 1258 81
HIST 1259 89
HIST 1260 103
HIST 1261 88
HIST 1262 84
HIST 1263 85
HIST 1264 80
HIST 1265 78
HIST 1266 86
HIST 1267 73
HIST 1268 95
HIST 1269 85
HIST 1270 90
HIST 1271 73
HIST 1272 68
HIST 1273 84
HIST 1274 82
HIST 1275 70
HIST 1276 77
HIST 1277 76
HIST 1278 78
HIST 1279 70
HIST 1280 70
HIST 1281 57
HIST 1282 70
HIST 1283 66
HIST 1284 68
HIST 1285 65
HIST 1286 79
HIST 1287 64
HIST 1288 71
HIST 1289 63
HIST 1290 76
HIST 1291 72
HIST 1292 65
HIST 1293 61
HIST 1294 61
HIST 1295 60
HIST 1296 61
HIST 1297 48
HIST 1298 37
HIST 1299 41
HIST 1300 56
HIST 1301 58
HIST 1302 66
HIST 1303 49
HIST 1304 46
HIST 1305 45
HIST 1306 48
HIST 1307 38
HIST 1308 48
HIST 1309 34
HIST 1310 40
HIST 1311 39
HIST 1312 32
HIST 1313 46
HIST 1314 45
HIST 1315 31
HIST 1316 40
HIST 1317 42
HIST 1318 50
HIST 1319 37
HIST 1320 36
HIST 1321 28
HIST 1322 31
HIST 1323 31
HIST 1324 29
HIST 1325 38
HIST 1326 29
HIST 1327 23
HIST 1328 37
HIST 1329 29
HIST 1330 37
HIST 1331 30
HIST 1332 28
HIST 1333 33
HIST 1334 24
HIST 1335 21
HIST 1336 27
HIST 1337 24
HIST 1338 22
HIST 1339 15
HIST 1340 26
HIST 1341 22
HIST 1342 29
HIST 1343 24
HIST 1344 35
HIST 1345 20
HIST 1346 25
HIST 1347 26
HIST 1348 30
HIST 1349 27
HIST 1350 21
HIST 1351 24
HIST 1352 25
HIST 1353 23
HIST 1354 16
HIST 1355 14
HIST 1356 26
HIST 1357 20
HIST 1358 36
HIST 1359 25
HIST 1360 21
HIST 1361 20
HIST 1362 20
HIST 1363 23
HIST 1364 20
HIST 1365 20
HIST 1366 15
HIST 1367 23
HIST 1368 23
HIST 1369 18
HIST 1370 15
HIST 1371 14
HIST 1372 21
HIST 1373 16
HIST 1374 18
HIST 1375 23
HIST 1376 14
HIST 1377 19
HIST 1378 22
HIST 1379 17
HIST 1380 18
HIST 1381 10
HIST 1382 12
HIST 1383 14
HIST 1384 25
HIST 1385 11
HIST 1386 14
HIST 1387 9
HIST 1388 11
HIST 1389 19
HIST 1390 12
HIST 1391 22
HIST 1392 13
HIST 1393 12
HIST 1394 8
HIST 1395 18
HIST 1396 22
HIST 1397 12
HIST 1398 10
HIST 1399 11
HIST 1400 15
HIST 1401 13
HIST 1402 15
HIST 1403 10
HIST 1404 14
HIST 1405 13
HIST 1406 10
HIST 1407 20
HIST 1408 15
HIST 1409 11
HIST 1410 13
HIST 1411 11
HIST 1412 17
HIST 1413 6
HIST 1414 7
HIST 1415 10
HIST 1416 18
HIST 1417 8
HIST 1418 10
HIST 1419 7
HIST 1420 4
HIST 1421 12
HIST 1422 15
HIST 1423 16
HIST 1424 9
HIST 1425 13
HIST 1426 24
HIST 1427 7
HIST 1428 18
HIST 1429 37
HIST 1430 197
HIST 1431 14
HIST 1432 94
HIST 1433 58
HIST 1434 7
HIST 1435 11
HIST 1436 10
HIST 1437 4
HIST 1438 9
HIST 1439 9
HIST 1440 12
HIST 1441 6
