edge93__AS80_p67_edge93_p13__noeqasis                    код 0     388 с  chi2/ndf 1.209, невязка модели 8.0 %, суммирование да
edge93__AS80_p67_edge93_p13__eq                          код 0     391 с  chi2/ndf 1.401, невязка модели 54.7 %, суммирование да
edge93_s1__AS80_p67_edge93_p13__asis                     код 0     393 с  chi2/ndf 4.510, невязка модели 64.4 %, суммирование да
edge93_s1__AS80_p67_edge93_p13__noeqasis                 код 0     397 с  chi2/ndf 4.323, невязка модели 64.2 %, суммирование да
edge93_s1__AS80_p67_edge93_p13__eq                       код 0     400 с  chi2/ndf 1.604, невязка модели 54.9 %, суммирование да
edge1709__AS80_p67_edge93_p13__asis                      код 0     403 с  chi2/ndf 1.955, невязка модели 13.8 %, суммирование да
edge1709__AS80_p67_edge93_p13__noeqasis                  код 0     406 с  chi2/ndf 1.708, невязка модели 9.6 %, суммирование да
edge1709__AS80_p67_edge93_p13__eq                        код 0     409 с  chi2/ndf 1.939, невязка модели 14.2 %, суммирование да
edge1709_s1__AS80_p67_edge93_p13__asis                   код 0     411 с  chi2/ndf 8.100, невязка модели 48.7 %, суммирование да
edge1709_s1__AS80_p67_edge93_p13__noeqasis               код 0     414 с  chi2/ndf 7.654, невязка модели 47.9 %, суммирование да
edge1709_s1__AS80_p67_edge93_p13__eq                     код 0     418 с  chi2/ndf 2.156, невязка модели 13.2 %, суммирование да
edge93__AS80_p88_edge93_r28_al__asis                     код 0     420 с  chi2/ndf 1.101, невязка модели 5.5 %, суммирование да
edge93__AS80_p88_edge93_r28_al__noeqasis                 код 0     424 с  chi2/ndf 1.111, невязка модели 5.7 %, суммирование да
edge93__AS80_p88_edge93_r28_al__eq                       код 0     427 с  chi2/ndf 1.181, невязка модели 54.2 %, суммирование да
edge93_s1__AS80_p88_edge93_r28_al__asis                  код 0     429 с  chi2/ndf 4.245, невязка модели 64.0 %, суммирование да
edge93_s1__AS80_p88_edge93_r28_al__noeqasis              код 0     433 с  chi2/ndf 4.211, невязка модели 64.1 %, суммирование да
edge93_s1__AS80_p88_edge93_r28_al__eq                    код 0     436 с  chi2/ndf 1.430, невязка модели 54.5 %, суммирование да
edge1709__AS80_p88_edge93_r28_al__asis                   код 0     439 с  chi2/ndf 1.410, невязка модели 6.1 %, суммирование да
edge1709__AS80_p88_edge93_r28_al__noeqasis               код 0     442 с  chi2/ndf 1.438, невязка модели 6.2 %, суммирование да
edge1709__AS80_p88_edge93_r28_al__eq                     код 0     445 с  chi2/ndf 1.392, невязка модели 5.8 %, суммирование да
edge1709_s1__AS80_p88_edge93_r28_al__asis                код 0     449 с  chi2/ndf 7.453, невязка модели 47.5 %, суммирование да
edge1709_s1__AS80_p88_edge93_r28_al__noeqasis            код 0     452 с  chi2/ndf 7.350, невязка модели 47.5 %, суммирование да
edge1709_s1__AS80_p88_edge93_r28_al__eq                  код 0     455 с  chi2/ndf 1.656, невязка модели 8.0 %, суммирование да
edge93__AS80_p88_edge93_r33_al__asis                     код 0     458 с  chi2/ndf 1.160, невязка модели 6.9 %, суммирование да
edge93__AS80_p88_edge93_r33_al__noeqasis                 код 0     461 с  chi2/ndf 1.176, невязка модели 7.1 %, суммирование да
edge93__AS80_p88_edge93_r33_al__eq                       код 0     464 с  chi2/ndf 1.220, невязка модели 54.2 %, суммирование да
edge93_s1__AS80_p88_edge93_r33_al__asis                  код 0     467 с  chi2/ndf 4.319, невязка модели 64.1 %, суммирование да
edge93_s1__AS80_p88_edge93_r33_al__noeqasis              код 0     470 с  chi2/ndf 4.265, невязка модели 64.3 %, суммирование да
edge93_s1__AS80_p88_edge93_r33_al__eq                    код 0     473 с  chi2/ndf 1.437, невязка модели 54.5 %, суммирование да
edge1709__AS80_p88_edge93_r33_al__asis                   код 0     476 с  chi2/ndf 1.608, невязка модели 8.5 %, суммирование да
edge1709__AS80_p88_edge93_r33_al__noeqasis               код 0     479 с  chi2/ndf 1.633, невязка модели 8.4 %, суммирование да
edge1709__AS80_p88_edge93_r33_al__eq                     код 0     482 с  chi2/ndf 1.589, невязка модели 8.2 %, суммирование да
edge1709_s1__AS80_p88_edge93_r33_al__asis                код 0     485 с  chi2/ndf 7.718, невязка модели 47.8 %, суммирование да
edge1709_s1__AS80_p88_edge93_r33_al__noeqasis            код 0     488 с  chi2/ndf 7.506, невязка модели 47.8 %, суммирование да
edge1709_s1__AS80_p88_edge93_r33_al__eq                  код 0     491 с  chi2/ndf 1.794, невязка модели 9.2 %, суммирование да
edge93__AS80_p88_edge93_r38_al__asis                     код 0     494 с  chi2/ndf 1.210, невязка модели 8.0 %, суммирование да
edge93__AS80_p88_edge93_r38_al__noeqasis                 код 0     497 с  chi2/ndf 1.171, невязка модели 7.2 %, суммирование да
edge93__AS80_p88_edge93_r38_al__eq                       код 0     500 с  chi2/ndf 1.263, невязка модели 54.3 %, суммирование да
edge93_s1__AS80_p88_edge93_r38_al__asis                  код 0     503 с  chi2/ndf 4.379, невязка модели 64.2 %, суммирование да
edge93_s1__AS80_p88_edge93_r38_al__noeqasis              код 0     506 с  chi2/ndf 4.280, невязка модели 64.2 %, суммирование да
edge93_s1__AS80_p88_edge93_r38_al__eq                    код 0     509 с  chi2/ndf 1.461, невязка модели 54.5 %, суммирование да
edge1709__AS80_p88_edge93_r38_al__asis                   код 0     512 с  chi2/ndf 1.711, невязка модели 9.7 %, суммирование да
edge1709__AS80_p88_edge93_r38_al__noeqasis               код 0     515 с  chi2/ndf 1.603, невязка модели 8.7 %, суммирование да
edge1709__AS80_p88_edge93_r38_al__eq                     код 0     518 с  chi2/ndf 1.735, невязка модели 9.4 %, суммирование да
edge1709_s1__AS80_p88_edge93_r38_al__asis                код 0     522 с  chi2/ndf 7.765, невязка модели 48.1 %, суммирование да
edge1709_s1__AS80_p88_edge93_r38_al__noeqasis            код 0     525 с  chi2/ndf 7.547, невязка модели 47.8 %, суммирование да
