ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Ra-224,Bi-212,Rn-220,Xray-Pb,Xray-Th
2804,951.782,179.007,159.333,32.424,128.542,29.317,0.000,0.000,1.475,0.000,0.000,0.000
2805,952.114,165.378,159.342,32.355,128.572,29.296,0.000,0.000,1.473,0.000,0.000,0.000
2806,952.446,178.230,159.355,32.287,128.608,29.275,0.000,0.000,1.472,0.000,0.000,0.000
2807,952.778,176.045,159.374,32.218,128.649,29.255,0.000,0.000,1.470,0.000,0.000,0.000
2808,953.110,185.118,159.396,32.150,128.695,29.234,0.000,0.000,1.468,0.000,0.000,0.000
2809,953.442,184.230,159.422,32.081,128.744,29.213,0.000,0.000,1.466,0.000,0.000,0.000
2810,953.774,189.082,159.452,32.013,128.796,29.192,0.000,0.000,1.463,0.000,0.000,0.000
2811,954.106,167.897,159.483,31.944,128.851,29.172,0.000,0.000,1.461,0.000,0.000,0.000
2812,954.438,162.600,159.517,31.876,128.907,29.151,0.000,0.000,1.459,0.000,0.000,0.000
2813,954.770,184.489,159.552,31.807,128.965,29.130,0.000,0.000,1.457,0.000,0.000,0.000
2814,955.102,184.304,159.588,31.739,129.024,29.109,0.000,0.000,1.454,0.000,0.000,0.000
2815,955.434,177.378,159.623,31.670,129.083,29.088,0.000,0.000,1.452,0.000,0.000,0.000
2816,955.766,180.118,159.659,31.602,129.142,29.067,0.000,0.000,1.449,0.000,0.000,0.000
2817,956.098,166.155,159.693,31.533,129.200,29.046,0.000,0.000,1.447,0.000,0.000,0.000
2818,956.430,190.563,159.725,31.465,129.256,29.025,0.000,0.000,1.444,0.000,0.000,0.000
2819,956.762,175.378,159.755,31.396,129.310,29.004,0.000,0.000,1.441,0.000,0.000,0.000
2820,957.094,194.378,159.783,31.328,129.361,28.983,0.000,0.000,1.439,0.000,0.000,0.000
2821,957.426,173.118,159.807,31.259,129.409,28.962,0.000,0.000,1.436,0.000,0.000,0.000
2822,957.758,180.748,159.827,31.190,129.452,28.941,0.000,0.000,1.433,0.000,0.000,0.000
2823,958.089,174.229,159.842,31.122,129.492,28.920,0.000,0.000,1.430,0.000,0.000,0.000
2824,958.421,166.785,159.852,31.053,129.526,28.900,0.000,0.000,1.427,0.000,0.000,0.000
2825,958.753,171.970,159.857,30.985,129.555,28.879,0.000,0.000,1.424,0.000,0.000,0.000
2826,959.085,167.563,159.855,30.916,129.577,28.858,0.000,0.000,1.420,0.000,0.000,0.000
2827,959.417,179.599,159.847,30.848,129.593,28.837,0.000,0.000,1.417,0.000,0.000,0.000
2828,959.749,159.822,159.831,30.779,129.601,28.816,0.000,0.000,1.414,0.000,0.000,0.000
2829,960.081,179.156,159.808,30.711,129.602,28.795,0.000,0.000,1.410,0.000,0.000,0.000
2830,960.412,173.600,159.776,30.642,129.595,28.774,0.000,0.000,1.407,0.000,0.000,0.000
2831,960.744,157.859,159.735,30.574,129.578,28.753,0.000,0.000,1.404,0.000,0.000,0.000
2832,961.076,154.711,159.685,30.505,129.553,28.732,0.000,0.000,1.400,0.000,0.000,0.000
2833,961.408,168.970,159.625,30.437,129.517,28.711,0.000,0.000,1.396,0.000,0.000,0.000
2834,961.739,149.822,159.555,30.368,129.471,28.691,0.000,0.000,1.393,0.000,0.000,0.000
2835,962.071,159.600,159.474,30.300,129.415,28.670,0.000,0.000,1.389,0.000,0.000,0.000
2836,962.403,159.711,159.382,30.231,129.348,28.649,0.000,0.000,1.385,0.000,0.000,0.000
2837,962.735,153.822,159.278,30.163,129.268,28.629,0.000,0.000,1.381,0.000,0.000,0.000
2838,963.066,147.341,159.163,30.094,129.177,28.608,0.000,0.000,1.377,0.000,0.000,0.000
