spectrum,arm,member,gate_share,gate_pair,gate_partner,gate_verdict,rate,x_eq,z,share_pct,tied_to,screen
radon1,col0.95,Bi-214,0.0019,0.0019,Pb-214,free,141.8,,58.7,37.81,,"Bi-214 — сумм-пик "
radon1,col0.95,Pb-210,0.0002,0.0001,Bi-214,free,<92.51,,,,,"Pb-210 < 1.1 %"
radon1,lin0.1,Th-232,1.0000,0.9927,Ac-228,tied,<5.474,,,,Ac-228,"Th-232 — по Ac-228 < 0.00559 %"
radon1,lin0.1,Ac-228,0.3521,0.2575,Tl-208,tied,<5.474,,,,Tl-208,"Ac-228 — по Tl-208 < 1.2 %"
radon1,lin0.1,Th-228,1.0000,0.9963,Ac-228,tied,<5.474,,,,Ac-228,"Th-228 — по Ac-228 < 0.0359 %"
radon1,lin0.1,Ra-224,0.9996,0.9608,Pb-212,tied,11.37,,13.1,0.25,Pb-212,"Ra-224 — по Pb-212 0.25%"
radon1,lin0.1,Rn-220,0.9726,0.6910,Ac-228,tied,<5.474,,,,Ac-228,
radon1,lin0.1,Po-216,1.0000,0.9997,Ac-228,tied,<5.474,,,,Ac-228,
radon1,lin0.1,Pb-212,,,,,11.37,,13.1,4.65,,"Pb-212 — сумм-пик "
radon1,lin0.1,Bi-212,0.9945,0.9843,Ac-228,tied,<5.474,,,,Ac-228,"Bi-212 — по Ac-228 < 0.101 %"
radon1,lin0.1,Tl-208,0.0687,0.0687,Pb-212,free,<5.474,,,,,"Tl-208 < 2.05 %"
radon1,lin0.1,Ra-226,0.0467,0.1580,Pb-214,free,<30.99,,,,,"Ra-226 < 0.495 %"
radon1,lin0.1,Rn-222,0.4352,0.2639,Pb-214,tied,136.4,,98.1,0.03,Pb-214,"Rn-222 — по Pb-214 0.03%"
radon1,lin0.1,Pb-214,,,,,136.4,,98.1,48.10,,"Pb-214 — сумм-пик "
radon1,lin0.1,Bi-214,0.0669,0.0669,Pb-214,free,146.5,,60.7,44.98,,"Bi-214 — сумм-пик "
radon1,lin0.1,Pb-210,0.3322,0.9681,Pb-214,tied,136.4,,98.1,1.95,Pb-214,"Pb-210 — по Pb-214 1.95%"
radon1,lin0.3,Th-232,1.0000,0.9927,Ac-228,tied,<5.474,,,,Ac-228,"Th-232 — по Ac-228 < 0.00559 %"
radon1,lin0.3,Ac-228,0.3521,0.2575,Tl-208,tied,<5.474,,,,Tl-208,"Ac-228 — по Tl-208 < 1.2 %"
radon1,lin0.3,Th-228,1.0000,0.9963,Ac-228,tied,<5.474,,,,Ac-228,"Th-228 — по Ac-228 < 0.0359 %"
radon1,lin0.3,Ra-224,0.9996,0.9608,Pb-212,tied,11.37,,13.1,0.25,Pb-212,"Ra-224 — по Pb-212 0.25%"
radon1,lin0.3,Rn-220,0.9726,0.6910,Ac-228,tied,<5.474,,,,Ac-228,
radon1,lin0.3,Po-216,1.0000,0.9997,Ac-228,tied,<5.474,,,,Ac-228,
radon1,lin0.3,Pb-212,,,,,11.37,,13.1,4.65,,"Pb-212 — сумм-пик "
radon1,lin0.3,Bi-212,0.9945,0.9843,Ac-228,tied,<5.474,,,,Ac-228,"Bi-212 — по Ac-228 < 0.101 %"
radon1,lin0.3,Tl-208,0.0687,0.0687,Pb-212,free,<5.474,,,,,"Tl-208 < 2.05 %"
radon1,lin0.3,Ra-226,0.0467,0.1580,Pb-214,free,<30.99,,,,,"Ra-226 < 0.495 %"
radon1,lin0.3,Rn-222,0.4352,0.2639,Pb-214,tied,136.4,,98.1,0.03,Pb-214,"Rn-222 — по Pb-214 0.03%"
radon1,lin0.3,Pb-214,,,,,136.4,,98.1,48.10,,"Pb-214 — сумм-пик "
radon1,lin0.3,Bi-214,0.0669,0.0669,Pb-214,free,146.5,,60.7,44.98,,"Bi-214 — сумм-пик "
radon1,lin0.3,Pb-210,0.3322,0.9681,Pb-214,tied,136.4,,98.1,1.95,Pb-214,"Pb-210 — по Pb-214 1.95%"
radon1,lin0.5,Th-232,1.0000,0.9927,Ac-228,tied,<7.391,,,,Ac-228,"Th-232 — по Ac-228 < 0.0075 %"
radon1,lin0.5,Ac-228,0.3521,0.2575,Tl-208,free,<7.391,,,,,"Ac-228 < 1.86 %"
radon1,lin0.5,Th-228,1.0000,0.9963,Ac-228,tied,<7.391,,,,Ac-228,"Th-228 — по Ac-228 < 0.0482 %"
radon1,lin0.5,Ra-224,0.9996,0.9608,Pb-212,tied,11.2,,13.1,0.24,Pb-212,"Ra-224 — по Pb-212 0.24%"
radon1,lin0.5,Rn-220,0.9726,0.6910,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.5,Po-216,1.0000,0.9997,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.5,Pb-212,,,,,11.2,,13.1,4.44,,"Pb-212 — сумм-пик "
radon1,lin0.5,Bi-212,0.9945,0.9843,Ac-228,tied,<7.391,,,,Ac-228,"Bi-212 — по Ac-228 < 0.135 %"
radon1,lin0.5,Tl-208,0.0128,0.0128,Pb-212,free,13.94,,6.5,3.27,,"Tl-208 — сумм-пик "
radon1,lin0.5,Ra-226,0.1738,0.1499,Pb-214,free,<30.47,,,,,"Ra-226 < 0.483 %"
radon1,lin0.5,Rn-222,0.4352,0.2639,Pb-214,free,<2751,,,,,
radon1,lin0.5,Pb-214,,,,,137.3,,98.8,46.73,,"Pb-214 — сумм-пик "
radon1,lin0.5,Bi-214,0.0506,0.0506,Pb-214,free,136.9,,57.7,40.56,,"Bi-214 — сумм-пик "
radon1,lin0.5,Pb-210,0.9998,0.9614,Bi-214,tied,136.9,,57.7,2.71,Bi-214,"Pb-210 — по Bi-214 2.71%"
radon1,lin0.7,Th-232,1.0000,0.9927,Ac-228,tied,<7.391,,,,Ac-228,"Th-232 — по Ac-228 < 0.0075 %"
radon1,lin0.7,Ac-228,0.3521,0.2575,Tl-208,free,<7.391,,,,,"Ac-228 < 1.86 %"
radon1,lin0.7,Th-228,1.0000,0.9963,Ac-228,tied,<7.391,,,,Ac-228,"Th-228 — по Ac-228 < 0.0482 %"
radon1,lin0.7,Ra-224,0.9996,0.9608,Pb-212,tied,11.2,,13.1,0.24,Pb-212,"Ra-224 — по Pb-212 0.24%"
radon1,lin0.7,Rn-220,0.9726,0.6910,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.7,Po-216,1.0000,0.9997,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.7,Pb-212,,,,,11.2,,13.1,4.44,,"Pb-212 — сумм-пик "
radon1,lin0.7,Bi-212,0.9945,0.9843,Ac-228,tied,<7.391,,,,Ac-228,"Bi-212 — по Ac-228 < 0.135 %"
radon1,lin0.7,Tl-208,0.0128,0.0128,Pb-212,free,13.94,,6.5,3.27,,"Tl-208 — сумм-пик "
radon1,lin0.7,Ra-226,0.1738,0.1499,Pb-214,free,<30.47,,,,,"Ra-226 < 0.483 %"
radon1,lin0.7,Rn-222,0.4352,0.2639,Pb-214,free,<2751,,,,,
radon1,lin0.7,Pb-214,,,,,137.3,,98.8,46.73,,"Pb-214 — сумм-пик "
radon1,lin0.7,Bi-214,0.0506,0.0506,Pb-214,free,136.9,,57.7,40.56,,"Bi-214 — сумм-пик "
radon1,lin0.7,Pb-210,0.9998,0.9614,Bi-214,tied,136.9,,57.7,2.71,Bi-214,"Pb-210 — по Bi-214 2.71%"
radon1,lin0.8,Th-232,1.0000,0.9927,Ac-228,tied,<7.391,,,,Ac-228,"Th-232 — по Ac-228 < 0.0075 %"
radon1,lin0.8,Ac-228,0.3521,0.2575,Tl-208,free,<7.391,,,,,"Ac-228 < 1.86 %"
radon1,lin0.8,Th-228,1.0000,0.9963,Ac-228,tied,<7.391,,,,Ac-228,"Th-228 — по Ac-228 < 0.0482 %"
radon1,lin0.8,Ra-224,0.9996,0.9608,Pb-212,tied,11.2,,13.1,0.24,Pb-212,"Ra-224 — по Pb-212 0.24%"
radon1,lin0.8,Rn-220,0.9726,0.6910,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.8,Po-216,1.0000,0.9997,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.8,Pb-212,,,,,11.2,,13.1,4.44,,"Pb-212 — сумм-пик "
radon1,lin0.8,Bi-212,0.9945,0.9843,Ac-228,tied,<7.391,,,,Ac-228,"Bi-212 — по Ac-228 < 0.135 %"
radon1,lin0.8,Tl-208,0.0128,0.0128,Pb-212,free,13.94,,6.5,3.27,,"Tl-208 — сумм-пик "
radon1,lin0.8,Ra-226,0.1738,0.1499,Pb-214,free,<30.47,,,,,"Ra-226 < 0.483 %"
radon1,lin0.8,Rn-222,0.4352,0.2639,Pb-214,free,<2751,,,,,
radon1,lin0.8,Pb-214,,,,,137.3,,98.8,46.73,,"Pb-214 — сумм-пик "
radon1,lin0.8,Bi-214,0.0506,0.0506,Pb-214,free,136.9,,57.7,40.56,,"Bi-214 — сумм-пик "
radon1,lin0.8,Pb-210,0.9998,0.9614,Bi-214,tied,136.9,,57.7,2.71,Bi-214,"Pb-210 — по Bi-214 2.71%"
radon1,lin0.9,Th-232,1.0000,0.9927,Ac-228,tied,<7.391,,,,Ac-228,"Th-232 — по Ac-228 < 0.0075 %"
radon1,lin0.9,Ac-228,0.3521,0.2575,Tl-208,free,<7.391,,,,,"Ac-228 < 1.86 %"
radon1,lin0.9,Th-228,1.0000,0.9963,Ac-228,tied,<7.391,,,,Ac-228,"Th-228 — по Ac-228 < 0.0482 %"
radon1,lin0.9,Ra-224,0.9996,0.9608,Pb-212,tied,11.2,,13.1,0.24,Pb-212,"Ra-224 — по Pb-212 0.24%"
radon1,lin0.9,Rn-220,0.9726,0.6910,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.9,Po-216,1.0000,0.9997,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.9,Pb-212,,,,,11.2,,13.1,4.44,,"Pb-212 — сумм-пик "
radon1,lin0.9,Bi-212,0.9945,0.9843,Ac-228,tied,<7.391,,,,Ac-228,"Bi-212 — по Ac-228 < 0.135 %"
radon1,lin0.9,Tl-208,0.0128,0.0128,Pb-212,free,13.94,,6.5,3.27,,"Tl-208 — сумм-пик "
radon1,lin0.9,Ra-226,0.1738,0.1499,Pb-214,free,<30.47,,,,,"Ra-226 < 0.483 %"
radon1,lin0.9,Rn-222,0.4352,0.2639,Pb-214,free,<2751,,,,,
radon1,lin0.9,Pb-214,,,,,137.3,,98.8,46.73,,"Pb-214 — сумм-пик "
radon1,lin0.9,Bi-214,0.0506,0.0506,Pb-214,free,136.9,,57.7,40.56,,"Bi-214 — сумм-пик "
radon1,lin0.9,Pb-210,0.9998,0.9614,Bi-214,tied,136.9,,57.7,2.71,Bi-214,"Pb-210 — по Bi-214 2.71%"
radon1,lin0.95,Th-232,1.0000,0.9927,Ac-228,tied,<7.391,,,,Ac-228,"Th-232 — по Ac-228 < 0.0075 %"
radon1,lin0.95,Ac-228,0.3521,0.2575,Tl-208,free,<7.391,,,,,"Ac-228 < 1.86 %"
radon1,lin0.95,Th-228,1.0000,0.9963,Ac-228,tied,<7.391,,,,Ac-228,"Th-228 — по Ac-228 < 0.0482 %"
radon1,lin0.95,Ra-224,0.9996,0.9608,Pb-212,tied,11.2,,13.1,0.24,Pb-212,"Ra-224 — по Pb-212 0.24%"
radon1,lin0.95,Rn-220,0.9726,0.6910,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.95,Po-216,1.0000,0.9997,Ac-228,tied,<7.391,,,,Ac-228,
radon1,lin0.95,Pb-212,,,,,11.2,,13.1,4.44,,"Pb-212 — сумм-пик "
radon1,lin0.95,Bi-212,0.9945,0.9843,Ac-228,tied,<7.391,,,,Ac-228,"Bi-212 — по Ac-228 < 0.135 %"
radon1,lin0.95,Tl-208,0.0128,0.0128,Pb-212,free,13.94,,6.5,3.27,,"Tl-208 — сумм-пик "
radon1,lin0.95,Ra-226,0.1738,0.1499,Pb-214,free,<30.47,,,,,"Ra-226 < 0.483 %"
radon1,lin0.95,Rn-222,0.4352,0.2639,Pb-214,free,<2751,,,,,
radon1,lin0.95,Pb-214,,,,,137.3,,98.8,46.73,,"Pb-214 — сумм-пик "
radon1,lin0.95,Bi-214,0.0506,0.0506,Pb-214,free,136.9,,57.7,40.56,,"Bi-214 — сумм-пик "
radon1,lin0.95,Pb-210,0.9998,0.9614,Bi-214,tied,136.9,,57.7,2.71,Bi-214,"Pb-210 — по Bi-214 2.71%"
radon1,tie0,Th-232,,,,,4184,,22.9,5.17,,"Th-232 5.17%"
radon1,tie0,Ac-228,,,,,<8.325,,,,,"Ac-228 < 1.8 %"
radon1,tie0,Th-228,,,,,1336,,22.8,11.13,,"Th-228 11.13%"
radon1,tie0,Ra-224,,,,,<103.4,,,,,"Ra-224 < 1.39 %"
radon1,tie0,Rn-220,,,,,<2150,,,,,
radon1,tie0,Po-216,,,,,<1.576e+05,,,,,
radon1,tie0,Pb-212,,,,,6.518,,6.7,2.39,,"Pb-212 — сумм-пик "
radon1,tie0,Bi-212,,,,,<49.76,,,,,"Bi-212 < 0.901 %"
radon1,tie0,Tl-208,,,,,11.66,,5.6,2.50,,"Tl-208 — сумм-пик "
radon1,tie0,Ra-226,,,,,<30.12,,,,,"Ra-226 < 0.474 %"
radon1,tie0,Rn-222,,,,,<2645,,,,,
radon1,tie0,Pb-214,,,,,131.6,,67.4,41.01,,"Pb-214 — сумм-пик "
radon1,tie0,Bi-214,,,,,141.8,,58.7,37.81,,"Bi-214 — сумм-пик "
radon1,tie0,Pb-210,,,,,<92.51,,,,,"Pb-210 < 1.1 %"
radon2,col0.1,Th-232,0.0702,0.0578,Th-228,free,1885,,11.1,21.19,,"Th-232 21.19%"
radon2,col0.1,Ac-228,0.0127,0.0116,Pb-212,free,<3.253,,,,,"Ac-228 < 3.05 %"
radon2,col0.1,Th-228,0.1025,0.0245,Pb-212,tied,15.54,,24.4,1.48,Pb-212,"Th-228 — по Pb-212 1.48%"
radon2,col0.1,Ra-224,0.7561,0.7499,Pb-212,tied,15.54,,24.4,4.14,Pb-212,"Ra-224 — по Pb-212 4.14%"
radon2,col0.1,Rn-220,0.1603,0.1467,Tl-208,tied,<5.207,,,,Tl-208,
radon2,col0.1,Po-216,0.0673,0.0298,Ac-228,free,<8.021e+04,,,,,
radon2,col0.1,Pb-212,,,,,15.54,,24.4,69.65,,"Pb-212 — сумм-пик "
radon2,col0.1,Bi-212,0.0074,0.0064,Tl-208,free,<19.35,,,,,"Bi-212 < 1.43 %"
radon2,col0.1,Tl-208,0.0002,0.0002,Pb-212,free,<5.207,,,,,"Tl-208 < 1.84 %"
radon2,col0.1,Ra-226,0.0010,0.0009,Pb-210,free,<24.67,,,,,"Ra-226 < 1.61 %"
radon2,col0.1,Rn-222,0.0018,0.0015,Bi-214,free,<1634,,,,,
radon2,col0.1,Pb-214,,,,,<2.378,,,,,"Pb-214 < 2.42 %"
radon2,col0.1,Bi-214,0.0000,0.0000,Pb-214,free,<3.027,,,,,"Bi-214 < 1.28 %"
radon2,col0.1,Pb-210,0.0005,0.0004,Pb-214,free,<76.58,,,,,"Pb-210 < 3.97 %"
radon2,col0.3,Th-232,0.0702,0.0578,Th-228,free,1840,,13.6,21.15,,"Th-232 21.15%"
radon2,col0.3,Ac-228,0.0128,0.0117,Pb-212,free,<2.982,,,,,"Ac-228 < 2.78 %"
radon2,col0.3,Th-228,0.1025,0.0245,Pb-212,free,<123.4,,,,,"Th-228 < 3.34 %"
radon2,col0.3,Ra-224,0.7613,0.7551,Pb-212,tied,14.74,,25.2,3.88,Pb-212,"Ra-224 — по Pb-212 3.88%"
radon2,col0.3,Rn-220,0.1603,0.1467,Tl-208,free,<1229,,,,,
radon2,col0.3,Po-216,0.0673,0.0298,Ac-228,free,<7.404e+04,,,,,
radon2,col0.3,Pb-212,,,,,14.74,,25.2,66.37,,"Pb-212 — сумм-пик "
radon2,col0.3,Bi-212,0.0073,0.0063,Tl-208,free,<17.76,,,,,"Bi-212 < 1.31 %"
radon2,col0.3,Tl-208,0.0002,0.0002,Pb-212,free,<4.801,,,,,"Tl-208 < 1.69 %"
radon2,col0.3,Ra-226,0.0010,0.0009,Pb-210,free,<22.4,,,,,"Ra-226 < 1.46 %"
radon2,col0.3,Rn-222,0.0018,0.0015,Bi-214,free,<1488,,,,,
radon2,col0.3,Pb-214,,,,,<2.188,,,,,"Pb-214 < 2.23 %"
radon2,col0.3,Bi-214,0.0000,0.0000,Pb-214,free,<2.862,,,,,"Bi-214 < 1.21 %"
radon2,col0.3,Pb-210,0.0005,0.0004,Pb-214,free,45.68,,4.9,5.02,,"Pb-210 5.02%"
radon2,col0.5,Th-232,0.0702,0.0578,Th-228,free,1840,,13.6,21.15,,"Th-232 21.15%"
radon2,col0.5,Ac-228,0.0128,0.0117,Pb-212,free,<2.982,,,,,"Ac-228 < 2.78 %"
radon2,col0.5,Th-228,0.1025,0.0245,Pb-212,free,<123.4,,,,,"Th-228 < 3.34 %"
radon2,col0.5,Ra-224,0.7613,0.7551,Pb-212,tied,14.74,,25.2,3.88,Pb-212,"Ra-224 — по Pb-212 3.88%"
radon2,col0.5,Rn-220,0.1603,0.1467,Tl-208,free,<1229,,,,,
radon2,col0.5,Po-216,0.0673,0.0298,Ac-228,free,<7.404e+04,,,,,
radon2,col0.5,Pb-212,,,,,14.74,,25.2,66.37,,"Pb-212 — сумм-пик "
radon2,col0.5,Bi-212,0.0073,0.0063,Tl-208,free,<17.76,,,,,"Bi-212 < 1.31 %"
radon2,col0.5,Tl-208,0.0002,0.0002,Pb-212,free,<4.801,,,,,"Tl-208 < 1.69 %"
radon2,col0.5,Ra-226,0.0010,0.0009,Pb-210,free,<22.4,,,,,"Ra-226 < 1.46 %"
radon2,col0.5,Rn-222,0.0018,0.0015,Bi-214,free,<1488,,,,,
radon2,col0.5,Pb-214,,,,,<2.188,,,,,"Pb-214 < 2.23 %"
radon2,col0.5,Bi-214,0.0000,0.0000,Pb-214,free,<2.862,,,,,"Bi-214 < 1.21 %"
radon2,col0.5,Pb-210,0.0005,0.0004,Pb-214,free,45.68,,4.9,5.02,,"Pb-210 5.02%"
radon2,col0.7,Th-232,0.0702,0.0578,Th-228,free,1840,,13.6,21.15,,"Th-232 21.15%"
radon2,col0.7,Ac-228,0.0128,0.0117,Pb-212,free,<2.982,,,,,"Ac-228 < 2.78 %"
radon2,col0.7,Th-228,0.1025,0.0245,Pb-212,free,<123.4,,,,,"Th-228 < 3.34 %"
radon2,col0.7,Ra-224,0.7613,0.7551,Pb-212,tied,14.74,,25.2,3.88,Pb-212,"Ra-224 — по Pb-212 3.88%"
radon2,col0.7,Rn-220,0.1603,0.1467,Tl-208,free,<1229,,,,,
radon2,col0.7,Po-216,0.0673,0.0298,Ac-228,free,<7.404e+04,,,,,
radon2,col0.7,Pb-212,,,,,14.74,,25.2,66.37,,"Pb-212 — сумм-пик "
radon2,col0.7,Bi-212,0.0073,0.0063,Tl-208,free,<17.76,,,,,"Bi-212 < 1.31 %"
radon2,col0.7,Tl-208,0.0002,0.0002,Pb-212,free,<4.801,,,,,"Tl-208 < 1.69 %"
radon2,col0.7,Ra-226,0.0010,0.0009,Pb-210,free,<22.4,,,,,"Ra-226 < 1.46 %"
radon2,col0.7,Rn-222,0.0018,0.0015,Bi-214,free,<1488,,,,,
radon2,col0.7,Pb-214,,,,,<2.188,,,,,"Pb-214 < 2.23 %"
radon2,col0.7,Bi-214,0.0000,0.0000,Pb-214,free,<2.862,,,,,"Bi-214 < 1.21 %"
radon2,col0.7,Pb-210,0.0005,0.0004,Pb-214,free,45.68,,4.9,5.02,,"Pb-210 5.02%"
radon2,col0.8,Th-232,0.0702,0.0578,Th-228,free,1922,,14.1,21.32,,"Th-232 21.32%"
radon2,col0.8,Ac-228,0.0139,0.0129,Pb-212,free,<2.998,,,,,"Ac-228 < 2.81 %"
radon2,col0.8,Th-228,0.1025,0.0245,Pb-212,free,<124.4,,,,,"Th-228 < 3.39 %"
radon2,col0.8,Ra-224,0.7613,0.7551,Pb-212,free,<60.4,,,,,"Ra-224 < 3.4 %"
radon2,col0.8,Rn-220,0.1603,0.1467,Tl-208,free,<1236,,,,,
radon2,col0.8,Po-216,0.0673,0.0298,Ac-228,free,<7.45e+04,,,,,
radon2,col0.8,Pb-212,,,,,16.14,,25.3,69.57,,"Pb-212 — сумм-пик "
radon2,col0.8,Bi-212,0.0073,0.0063,Tl-208,free,<17.87,,,,,"Bi-212 < 1.32 %"
radon2,col0.8,Tl-208,0.0001,0.0001,Pb-212,free,<4.829,,,,,"Tl-208 < 1.71 %"
radon2,col0.8,Ra-226,0.0010,0.0009,Pb-210,free,<22.52,,,,,"Ra-226 < 1.48 %"
radon2,col0.8,Rn-222,0.0018,0.0015,Bi-214,free,<1498,,,,,
radon2,col0.8,Pb-214,,,,,<2.203,,,,,"Pb-214 < 2.25 %"
radon2,col0.8,Bi-214,0.0000,0.0000,Pb-214,free,<2.878,,,,,"Bi-214 < 1.22 %"
radon2,col0.8,Pb-210,0.0005,0.0004,Pb-214,free,51.57,,5.5,5.52,,"Pb-210 5.52%"
radon2,col0.9,Th-232,0.0702,0.0578,Th-228,free,1922,,14.1,21.32,,"Th-232 21.32%"
radon2,col0.9,Ac-228,0.0139,0.0129,Pb-212,free,<2.998,,,,,"Ac-228 < 2.81 %"
radon2,col0.9,Th-228,0.1025,0.0245,Pb-212,free,<124.4,,,,,"Th-228 < 3.39 %"
radon2,col0.9,Ra-224,0.7613,0.7551,Pb-212,free,<60.4,,,,,"Ra-224 < 3.4 %"
radon2,col0.9,Rn-220,0.1603,0.1467,Tl-208,free,<1236,,,,,
radon2,col0.9,Po-216,0.0673,0.0298,Ac-228,free,<7.45e+04,,,,,
radon2,col0.9,Pb-212,,,,,16.14,,25.3,69.57,,"Pb-212 — сумм-пик "
radon2,col0.9,Bi-212,0.0073,0.0063,Tl-208,free,<17.87,,,,,"Bi-212 < 1.32 %"
radon2,col0.9,Tl-208,0.0001,0.0001,Pb-212,free,<4.829,,,,,"Tl-208 < 1.71 %"
radon2,col0.9,Ra-226,0.0010,0.0009,Pb-210,free,<22.52,,,,,"Ra-226 < 1.48 %"
radon2,col0.9,Rn-222,0.0018,0.0015,Bi-214,free,<1498,,,,,
radon2,col0.9,Pb-214,,,,,<2.203,,,,,"Pb-214 < 2.25 %"
radon2,col0.9,Bi-214,0.0000,0.0000,Pb-214,free,<2.878,,,,,"Bi-214 < 1.22 %"
radon2,col0.9,Pb-210,0.0005,0.0004,Pb-214,free,51.57,,5.5,5.52,,"Pb-210 5.52%"
radon2,col0.95,Th-232,0.0702,0.0578,Th-228,free,1922,,14.1,21.32,,"Th-232 21.32%"
radon2,col0.95,Ac-228,0.0139,0.0129,Pb-212,free,<2.998,,,,,"Ac-228 < 2.81 %"
radon2,col0.95,Th-228,0.1025,0.0245,Pb-212,free,<124.4,,,,,"Th-228 < 3.39 %"
radon2,col0.95,Ra-224,0.7613,0.7551,Pb-212,free,<60.4,,,,,"Ra-224 < 3.4 %"
radon2,col0.95,Rn-220,0.1603,0.1467,Tl-208,free,<1236,,,,,
radon2,col0.95,Po-216,0.0673,0.0298,Ac-228,free,<7.45e+04,,,,,
radon2,col0.95,Pb-212,,,,,16.14,,25.3,69.57,,"Pb-212 — сумм-пик "
radon2,col0.95,Bi-212,0.0073,0.0063,Tl-208,free,<17.87,,,,,"Bi-212 < 1.32 %"
radon2,col0.95,Tl-208,0.0001,0.0001,Pb-212,free,<4.829,,,,,"Tl-208 < 1.71 %"
radon2,col0.95,Ra-226,0.0010,0.0009,Pb-210,free,<22.52,,,,,"Ra-226 < 1.48 %"
radon2,col0.95,Rn-222,0.0018,0.0015,Bi-214,free,<1498,,,,,
radon2,col0.95,Pb-214,,,,,<2.203,,,,,"Pb-214 < 2.25 %"
radon2,col0.95,Bi-214,0.0000,0.0000,Pb-214,free,<2.878,,,,,"Bi-214 < 1.22 %"
radon2,col0.95,Pb-210,0.0005,0.0004,Pb-214,free,51.57,,5.5,5.52,,"Pb-210 5.52%"
radon2,lin0.1,Th-232,0.9994,0.7984,Ac-228,tied,<2.346,,,,Ac-228,"Th-232 — по Ac-228 < 0.00997 %"
radon2,lin0.1,Ac-228,0.3195,0.1701,Tl-208,tied,<2.346,,,,Tl-208,"Ac-228 — по Tl-208 < 2.19 %"
radon2,lin0.1,Th-228,0.9919,0.9924,Ac-228,tied,<2.346,,,,Ac-228,"Th-228 — по Ac-228 < 0.0635 %"
radon2,lin0.1,Ra-224,0.9736,0.9414,Pb-212,tied,15.31,,23.9,5.39,Pb-212,"Ra-224 — по Pb-212 5.39%"
radon2,lin0.1,Rn-220,0.6021,0.4577,Ac-228,tied,<2.346,,,,Ac-228,
radon2,lin0.1,Po-216,0.9992,0.9733,Ac-228,tied,<2.346,,,,Ac-228,
radon2,lin0.1,Pb-212,,,,,15.31,,23.9,91.09,,"Pb-212 — сумм-пик "
radon2,lin0.1,Bi-212,0.9884,0.9612,Ac-228,tied,<2.346,,,,Ac-228,"Bi-212 — по Ac-228 < 0.172 %"
radon2,lin0.1,Tl-208,0.0874,0.0874,Pb-212,free,<2.346,,,,,"Tl-208 < 3.72 %"
radon2,lin0.1,Ra-226,0.0944,0.0906,Pb-214,free,<24.84,,,,,"Ra-226 < 1.62 %"
radon2,lin0.1,Rn-222,0.0347,0.0297,Pb-214,free,<1646,,,,,
radon2,lin0.1,Pb-214,,,,,<1.745,,,,,"Pb-214 < 3.09 %"
radon2,lin0.1,Bi-214,0.1447,0.1447,Pb-214,tied,<1.745,,,,Pb-214,"Bi-214 — по Pb-214 < 0.734 %"
radon2,lin0.1,Pb-210,0.9977,0.2356,Bi-214,tied,<1.745,,,,Bi-214,"Pb-210 — по Bi-214 < 0.0901 %"
radon2,lin0.3,Th-232,0.9994,0.7984,Ac-228,tied,<2.346,,,,Ac-228,"Th-232 — по Ac-228 < 0.00997 %"
radon2,lin0.3,Ac-228,0.3195,0.1701,Tl-208,tied,<2.346,,,,Tl-208,"Ac-228 — по Tl-208 < 2.19 %"
radon2,lin0.3,Th-228,0.9919,0.9924,Ac-228,tied,<2.346,,,,Ac-228,"Th-228 — по Ac-228 < 0.0635 %"
radon2,lin0.3,Ra-224,0.9736,0.9414,Pb-212,tied,15.31,,23.9,5.39,Pb-212,"Ra-224 — по Pb-212 5.39%"
radon2,lin0.3,Rn-220,0.6021,0.4577,Ac-228,tied,<2.346,,,,Ac-228,
radon2,lin0.3,Po-216,0.9992,0.9733,Ac-228,tied,<2.346,,,,Ac-228,
radon2,lin0.3,Pb-212,,,,,15.31,,23.9,91.09,,"Pb-212 — сумм-пик "
radon2,lin0.3,Bi-212,0.9884,0.9612,Ac-228,tied,<2.346,,,,Ac-228,"Bi-212 — по Ac-228 < 0.172 %"
radon2,lin0.3,Tl-208,0.0874,0.0874,Pb-212,free,<2.346,,,,,"Tl-208 < 3.72 %"
radon2,lin0.3,Ra-226,0.0944,0.0906,Pb-214,free,<24.84,,,,,"Ra-226 < 1.62 %"
radon2,lin0.3,Rn-222,0.0347,0.0297,Pb-214,free,<1646,,,,,
radon2,lin0.3,Pb-214,,,,,<2.394,,,,,"Pb-214 < 2.43 %"
radon2,lin0.3,Bi-214,0.1447,0.1447,Pb-214,free,<3.032,,,,,"Bi-214 < 1.51 %"
radon2,lin0.3,Pb-210,0.9977,0.2356,Bi-214,tied,<3.032,,,,Bi-214,"Pb-210 — по Bi-214 < 0.156 %"
radon2,lin0.5,Th-232,0.9994,0.7984,Ac-228,tied,<3.038,,,,Ac-228,"Th-232 — по Ac-228 < 0.0129 %"
radon2,lin0.5,Ac-228,0.3195,0.1701,Tl-208,free,<3.038,,,,,"Ac-228 < 3.26 %"
