AngularQkProbe (AMBER46, читатель-контроль): склад D:/BqMoni_Claude/p87/store
историй на узел: как у матрицы (ожидание — ДО БИТА); узлы: все; потоков 10; допуск 3.0 σ

=== AS80_point0: AS80_point0: кристалл Sodium iodide цилиндр 80.00x80.00 мм, ро 3.667; источник — точка, 0.0 мм, Air, dry; матрица формат 9, 140 узлов, клеймо phys=18;1f5aeaf1eeae43b63d6a7b0817f68eaccc4167c12243909b95293aeb63a1d205
контроль подсмотра (узел 5.0 кэВ, зерно узла): штатный Efficiency = 7.00547334970596E-14, мой обход = 7.00547334970596E-14 — ДО БИТА
   узел   E, кэВ   ист.матр  ист.пробы     Q2 матр    Q2 проба   ΔQ2/σ     Q4 матр    Q4 проба   ΔQ4/σ    Q2T матр   Q2T проба  ΔQ2T/σ   вердикт
     75     157.8    3000000    3000000     0.82401   0.82401       =     0.49393   0.49393       =     0.81892   0.81892       =   ДО БИТА
     76     165.2    3000000    3000000     0.82606   0.82606       =     0.49911   0.49911       =     0.82064   0.82064       =   ДО БИТА
     77     173.0    3000000    3000000     0.82816   0.82816       =     0.50442   0.50442       =     0.82227   0.82227       =   ДО БИТА
     78     181.1    3000000    3000000     0.83031   0.83031       =     0.50986   0.50986       =     0.82405   0.82405       =   ДО БИТА
     79     189.6    3000000    3000000     0.83269   0.83269       =     0.51598   0.51598       =     0.82587   0.82587       =   ДО БИТА
     80     198.6    3000000    3000000     0.83504   0.83504       =     0.52202   0.52202       =     0.82775   0.82775       =   ДО БИТА
     81     207.9    3000000    3000000     0.83759   0.83759       =     0.52863   0.52863       =     0.82967   0.82967       =   ДО БИТА
     82     217.7    3000000    3000000     0.83968   0.83968       =     0.53402   0.53402       =     0.83124   0.83124       =   ДО БИТА
     83     228.0    3000000    3000000     0.84210   0.84210       =     0.54035   0.54035       =     0.83306   0.83306       =   ДО БИТА
     84     238.7    3000000    3000000     0.84452   0.84452       =     0.54668   0.54668       =     0.83480   0.83480       =   ДО БИТА
     85     249.9    3000000    3000000     0.84663   0.84663       =     0.55224   0.55224       =     0.83632   0.83632       =   ДО БИТА
     86     261.7    3000000    3000000     0.84893   0.84893       =     0.55829   0.55829       =     0.83802   0.83802       =   ДО БИТА
     87     274.0    3000000    3000000     0.85109   0.85109       =     0.56401   0.56401       =     0.83956   0.83956       =   ДО БИТА
     88     286.9    3000000    3000000     0.85303   0.85303       =     0.56916   0.56916       =     0.84091   0.84091       =   ДО БИТА
     89     300.5    3000000    3000000     0.85517   0.85517       =     0.57482   0.57482       =     0.84243   0.84243       =   ДО БИТА
     90     314.6    3000000    3000000     0.85687   0.85687       =     0.57940   0.57940       =     0.84359   0.84359       =   ДО БИТА
     91     329.4    3000000    3000000     0.85865   0.85865       =     0.58413   0.58413       =     0.84495   0.84495       =   ДО БИТА
     92     344.9    3000000    3000000     0.86034   0.86034       =     0.58867   0.58867       =     0.84607   0.84607       =   ДО БИТА
     93     361.2    3000000    3000000     0.86196   0.86196       =     0.59304   0.59304       =     0.84710   0.84710       =   ДО БИТА
     94     378.2    3000000    3000000     0.86340   0.86340       =     0.59684   0.59684       =     0.84813   0.84813       =   ДО БИТА
     95     396.0    3000000    3000000     0.86473   0.86473       =     0.60045   0.60045       =     0.84907   0.84907       =   ДО БИТА
     96     414.7    3000000    3000000     0.86603   0.86603       =     0.60393   0.60393       =     0.84991   0.84991       =   ДО БИТА
     97     434.2    3000000    3000000     0.86731   0.86731       =     0.60740   0.60740       =     0.85076   0.85076       =   ДО БИТА
     98     454.6    3000000    3000000     0.86827   0.86827       =     0.60996   0.60996       =     0.85153   0.85153       =   ДО БИТА
     99     476.1    3000000    3000000     0.86935   0.86935       =     0.61290   0.61290       =     0.85214   0.85214       =   ДО БИТА
    100     498.5    3000000    3000000     0.87039   0.87039       =     0.61569   0.61569       =     0.85277   0.85277       =   ДО БИТА
    101     521.9    3000000    3000000     0.87136   0.87136       =     0.61836   0.61836       =     0.85369   0.85369       =   ДО БИТА
    102     546.5    3000000    3000000     0.87212   0.87212       =     0.62037   0.62037       =     0.85413   0.85413       =   ДО БИТА
    103     572.3    3000000    3000000     0.87316   0.87316       =     0.62319   0.62319       =     0.85480   0.85480       =   ДО БИТА
    104     599.2    3000000    3000000     0.87382   0.87382       =     0.62497   0.62497       =     0.85518   0.85518       =   ДО БИТА
    105     627.4    3000000    3000000     0.87439   0.87439       =     0.62656   0.62656       =     0.85568   0.85568       =   ДО БИТА
    106     657.0    3000000    3000000     0.87536   0.87536       =     0.62910   0.62910       =     0.85630   0.85630       =   ДО БИТА
    107     687.9    3000000    3000000     0.87609   0.87609       =     0.63112   0.63112       =     0.85683   0.85683       =   ДО БИТА
    108     720.3    3000000    3000000     0.87698   0.87698       =     0.63354   0.63354       =     0.85737   0.85737       =   ДО БИТА
    109     754.3    3000000    3000000     0.87745   0.87745       =     0.63484   0.63484       =     0.85778   0.85778       =   ДО БИТА
    110     789.8    3000000    3000000     0.87799   0.87799       =     0.63628   0.63628       =     0.85820   0.85820       =   ДО БИТА
    111     827.0    3000000    3000000     0.87877   0.87877       =     0.63841   0.63841       =     0.85866   0.85866       =   ДО БИТА
    112     865.9    3000000    3000000     0.87950   0.87950       =     0.64037   0.64037       =     0.85912   0.85912       =   ДО БИТА
    113     906.7    3000000    3000000     0.87948   0.87948       =     0.64029   0.64029       =     0.85935   0.85935       =   ДО БИТА
    114     949.4    3000000    3000000     0.88062   0.88062       =     0.64344   0.64344       =     0.85997   0.85997       =   ДО БИТА
    115     994.1    3000000    3000000     0.88106   0.88106       =     0.64459   0.64459       =     0.86020   0.86020       =   ДО БИТА
    116    1040.9    3000000    3000000     0.88165   0.88165       =     0.64623   0.64623       =     0.86063   0.86063       =   ДО БИТА
    117    1090.0    3000000    3000000     0.88202   0.88202       =     0.64721   0.64721       =     0.86099   0.86099       =   ДО БИТА
    118    1141.3    3000000    3000000     0.88298   0.88298       =     0.64984   0.64984       =     0.86148   0.86148       =   ДО БИТА
    119    1195.1    3000000    3000000     0.88303   0.88303       =     0.64997   0.64997       =     0.86169   0.86169       =   ДО БИТА
    120    1251.3    3000000    3000000     0.88351   0.88351       =     0.65129   0.65129       =     0.86204   0.86204       =   ДО БИТА
    121    1310.3    3000000    3000000     0.88439   0.88439       =     0.65365   0.65365       =     0.86254   0.86254       =   ДО БИТА
    122    1372.0    3000000    3000000     0.88449   0.88449       =     0.65391   0.65391       =     0.86263   0.86263       =   ДО БИТА
    123    1436.6    3000000    3000000     0.88535   0.88535       =     0.65631   0.65631       =     0.86313   0.86313       =   ДО БИТА
    124    1504.3    3000000    3000000     0.88555   0.88555       =     0.65680   0.65680       =     0.86311   0.86311       =   ДО БИТА
    125    1575.1    3000000    3000000     0.88611   0.88611       =     0.65834   0.65834       =     0.86354   0.86354       =   ДО БИТА
    126    1649.3    3000000    3000000     0.88666   0.88666       =     0.65986   0.65986       =     0.86366   0.86366       =   ДО БИТА
    127    1727.0    3000000    3000000     0.88750   0.88750       =     0.66217   0.66217       =     0.86415   0.86415       =   ДО БИТА
    128    1808.3    3000000    3000000     0.88759   0.88759       =     0.66241   0.66241       =     0.86430   0.86430       =   ДО БИТА
    129    1893.5    3000000    3000000     0.88815   0.88815       =     0.66394   0.66394       =     0.86462   0.86462       =   ДО БИТА
    130    1982.6    3000000    3000000     0.88883   0.88883       =     0.66578   0.66578       =     0.86472   0.86472       =   ДО БИТА
    131    2076.0    3000000    3000000     0.88906   0.88906       =     0.66640   0.66640       =     0.86486   0.86486       =   ДО БИТА
    132    2173.8    3000000    3000000     0.88983   0.88983       =     0.66852   0.66852       =     0.86504   0.86504       =   ДО БИТА
    133    2276.2    3000000    3000000     0.89033   0.89033       =     0.66982   0.66982       =     0.86530   0.86530       =   ДО БИТА
    134    2383.3    3000000    3000000     0.89083   0.89083       =     0.67120   0.67120       =     0.86552   0.86552       =   ДО БИТА
    135    2495.6    3000000    3000000     0.89178   0.89178       =     0.67385   0.67385       =     0.86581   0.86581       =   ДО БИТА
    136    2613.1    3000000    3000000     0.89238   0.89238       =     0.67552   0.67552       =     0.86583   0.86583       =   ДО БИТА
    137    2736.2    3000000    3000000     0.89301   0.89301       =     0.67729   0.67729       =     0.86603   0.86603       =   ДО БИТА
    138    2865.1    3000000    3000000     0.89335   0.89335       =     0.67820   0.67820       =     0.86618   0.86618       =   ДО БИТА
    139    3000.0    3000000    3000000     0.89447   0.89447       =     0.68132   0.68132       =     0.86652   0.86652       =   ДО БИТА
узлов проверено 140: до бита 140, в шуме 0, расхождений 0; 582.8 с


ВСЕ СОШЛИСЬ: Q_k матрицы = независимый подсмотр на всех проверенных узлах
code=0
