ch,keV,net,model,continuum_raw,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
323,115.730,118610.179,119779.165,17188.284,119308.480,620.393,0.000,0.061,31.215
324,116.110,118635.353,119962.905,17299.019,119487.610,624.776,0.000,0.046,31.435
325,116.490,119438.108,120137.769,17411.741,119657.784,629.231,0.000,0.034,31.658
326,116.869,119372.870,120303.888,17526.121,119819.136,633.758,0.000,0.026,31.885
327,117.249,119362.870,120461.650,17641.882,119972.074,638.337,0.000,0.019,32.114
328,117.629,119415.553,120611.820,17758.789,120117.359,642.972,0.000,0.014,32.346
329,118.009,120424.908,120755.323,17876.643,120255.940,647.642,0.000,0.011,32.580
330,118.389,120291.688,120893.631,17995.276,120389.282,652.352,0.000,0.008,32.815
331,118.769,119647.696,121027.161,18114.549,120517.819,657.089,0.000,0.006,33.052
332,119.149,119899.773,121154.007,18234.345,120635.726,661.858,0.000,0.004,33.291
333,119.529,120509.921,121283.226,18354.566,120741.971,666.645,0.000,0.003,33.530
334,119.909,119846.644,121383.079,18475.133,120836.752,671.459,0.000,0.002,33.770
