ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th-L
671,221.531,1148.811,1114.242,534.686,415.847,250.635,370.255,39.188,30.251,7.607,0.452,0.000,0.000,0.000
672,221.877,1154.923,1118.370,533.728,412.356,250.426,377.667,39.165,30.786,7.513,0.451,0.000,0.000,0.000
673,222.223,1099.479,1122.873,532.771,408.850,250.219,385.448,39.143,31.347,7.409,0.451,0.000,0.000,0.000
674,222.569,1255.440,1127.784,531.813,405.341,250.016,393.618,39.120,31.936,7.296,0.450,0.000,0.000,0.000
675,222.915,1344.332,1133.139,530.856,401.842,249.818,402.195,39.098,32.556,7.174,0.450,0.000,0.000,0.000
676,223.261,1302.961,1138.971,529.898,398.363,249.626,411.199,39.077,33.206,7.044,0.449,0.000,0.000,0.000
677,223.606,1228.256,1145.294,528.940,394.908,249.436,420.644,39.056,33.889,6.906,0.449,0.000,0.000,0.000
678,223.952,1319.253,1152.132,527.983,391.484,249.245,430.547,39.035,34.605,6.760,0.449,0.000,0.000,0.000
679,224.298,1384.261,1159.517,527.025,388.098,249.055,440.930,39.014,35.356,6.608,0.448,0.000,0.000,0.000
680,224.644,1358.292,1167.484,526.068,384.761,248.866,451.816,38.992,36.145,6.450,0.448,0.000,0.000,0.000
681,224.990,1372.479,1176.068,525.110,381.479,248.679,463.228,38.970,36.971,6.286,0.447,0.000,0.000,0.000
682,225.336,1488.403,1185.305,524.152,378.262,248.495,475.190,38.949,37.838,6.117,0.447,0.000,0.000,0.000
683,225.682,1634.034,1195.230,523.195,375.115,248.314,487.728,38.928,38.747,5.944,0.446,0.000,0.000,0.000
684,226.027,1487.330,1205.883,522.237,372.047,248.139,500.869,38.908,39.701,5.767,0.446,0.000,0.000,0.000
685,226.373,1500.365,1217.303,521.280,369.063,247.969,514.642,38.888,40.701,5.587,0.446,0.000,0.000,0.000
686,226.719,1659.068,1229.530,520.322,366.171,247.808,529.077,38.869,41.749,5.405,0.445,0.000,0.000,0.000
687,227.065,1665.551,1242.604,519.364,363.374,247.655,544.202,38.851,42.849,5.220,0.445,0.000,0.000,0.000
688,227.411,1689.401,1256.548,518.407,360.674,247.509,560.044,38.834,44.001,5.035,0.444,0.000,0.000,0.000
689,227.757,1786.327,1271.396,517.449,358.069,247.366,576.636,38.818,45.209,4.848,0.444,0.000,0.000,0.000
690,228.103,1828.958,1287.187,516.492,355.561,247.228,594.012,38.802,46.474,4.661,0.444,0.000,0.000,0.000
691,228.449,1871.993,1303.965,515.534,353.152,247.094,612.210,38.786,47.799,4.475,0.443,0.000,0.000,0.000
692,228.795,1996.438,1321.774,514.577,350.845,246.966,631.266,38.771,49.187,4.290,0.443,0.000,0.000,0.000
693,229.141,2006.884,1340.659,513.619,348.642,246.845,651.221,38.757,50.640,4.106,0.442,0.000,0.000,0.000
694,229.487,2151.919,1360.670,512.661,346.543,246.732,672.117,38.743,52.163,3.924,0.442,0.000,0.000,0.000
695,229.833,2105.959,1381.856,511.704,344.551,246.628,693.997,38.731,53.757,3.744,0.442,0.000,0.000,0.000
696,230.179,2189.549,1404.273,510.746,342.668,246.534,716.908,38.720,55.427,3.567,0.441,0.000,0.000,0.000
697,230.525,2144.774,1427.969,509.789,340.891,246.453,740.897,38.711,57.176,3.393,0.441,0.000,0.000,0.000
698,230.871,2339.104,1452.842,508.831,339.233,246.391,765.830,38.705,59.012,3.223,0.441,0.000,0.000,0.000
699,231.217,2283.028,1478.459,507.873,337.691,246.349,791.276,38.701,60.938,3.057,0.440,0.000,0.000,0.000
700,231.563,2448.215,1504.463,506.916,336.241,246.312,816.917,38.698,62.953,2.895,0.440,0.000,0.000,0.000
701,231.909,2435.212,1530.782,505.958,334.880,246.280,842.683,38.695,65.061,2.738,0.440,0.000,0.000,0.000
702,232.255,2449.807,1557.346,505.001,333.610,246.255,868.513,38.693,67.244,2.585,0.440,0.000,0.000,0.000
703,232.601,2493.436,1584.077,504.043,332.432,246.241,894.353,38.693,69.477,2.436,0.439,0.000,0.000,0.000
704,232.947,2524.436,1610.894,503.085,331.345,246.237,920.127,38.693,71.753,2.293,0.439,0.000,0.000,0.000
705,233.293,2560.845,1637.713,502.128,330.345,246.245,945.756,38.695,74.070,2.155,0.439,0.000,0.000,0.000
706,233.639,2556.028,1664.448,501.170,329.432,246.266,971.158,38.699,76.426,2.022,0.439,0.000,0.000,0.000
707,233.985,2696.954,1691.012,500.213,328.604,246.300,996.250,38.705,78.814,1.894,0.438,0.000,0.000,0.000
708,234.331,2719.987,1717.314,499.255,327.861,246.350,1020.960,38.712,81.213,1.772,0.438,0.000,0.000,0.000
709,234.677,2787.991,1743.232,498.298,327.198,246.416,1045.187,38.722,83.609,1.655,0.438,0.000,0.000,0.000
710,235.023,2804.990,1768.654,497.340,326.612,246.495,1068.832,38.734,85.994,1.543,0.438,0.000,0.000,0.000
711,235.369,2842.249,1793.481,496.382,326.093,246.583,1091.815,38.747,88.362,1.437,0.438,0.000,0.000,0.000
712,235.715,3000.728,1817.616,495.425,325.637,246.680,1114.052,38.760,90.705,1.336,0.438,0.000,0.000,0.000
713,236.061,2935.769,1840.965,494.467,325.246,246.787,1135.458,38.776,93.015,1.240,0.438,0.000,0.000,0.000
714,236.407,2983.803,1863.437,493.510,324.917,246.903,1155.947,38.792,95.285,1.149,0.438,0.000,0.000,0.000
715,236.753,2903.805,1884.937,492.552,324.648,247.030,1175.436,38.810,97.506,1.064,0.437,0.000,0.000,0.000
716,237.100,2941.359,1905.373,491.594,324.435,247.167,1193.846,38.829,99.671,0.983,0.437,0.000,0.000,0.000
717,237.446,3060.025,1924.658,490.637,324.275,247.315,1211.097,38.849,101.771,0.907,0.437,0.000,0.000,0.000
718,237.792,3048.136,1942.710,489.679,324.172,247.474,1227.115,38.871,103.799,0.835,0.437,0.000,0.000,0.000
719,238.138,3206.208,1959.447,488.722,324.114,247.645,1241.835,38.895,105.747,0.768,0.437,0.000,0.000,0.000
720,238.484,2922.764,1974.787,487.764,324.099,247.828,1255.184,38.920,107.607,0.705,0.437,0.000,0.000,0.000
721,238.830,3040.208,1988.663,486.806,324.128,248.023,1267.103,38.947,109.372,0.647,0.437,0.000,0.000,0.000
722,239.176,3120.357,2001.000,485.849,324.192,248.226,1277.538,38.975,111.034,0.592,0.437,0.000,0.000,0.000
723,239.523,3090.947,2011.732,484.891,324.286,248.435,1286.436,39.004,112.587,0.541,0.437,0.000,0.000,0.000
724,239.869,3030.392,2020.805,483.934,324.408,248.648,1293.755,39.033,114.024,0.494,0.437,0.000,0.000,0.000
725,240.215,3170.505,2028.173,482.976,324.557,248.865,1299.456,39.062,115.338,0.450,0.437,0.000,0.000,0.000
726,240.561,3019.689,2033.797,482.019,324.732,249.087,1303.508,39.093,116.525,0.409,0.437,0.000,0.000,0.000
727,240.907,3107.541,2037.649,481.061,324.931,249.314,1305.888,39.123,117.578,0.372,0.437,0.000,0.000,0.000
728,241.253,3059.577,2039.704,480.103,325.153,249.546,1306.577,39.155,118.492,0.337,0.437,0.000,0.000,0.000
729,241.600,3027.133,2039.946,479.146,325.397,249.782,1305.566,39.187,119.264,0.305,0.437,0.000,0.000,0.000
730,241.946,3013.763,2038.365,478.188,325.662,250.023,1302.850,39.219,119.890,0.277,0.437,0.000,0.000,0.000
731,242.292,2953.576,2034.964,477.231,325.947,250.269,1298.435,39.252,120.366,0.250,0.437,0.000,0.000,0.000
732,242.638,2929.985,2029.749,476.273,326.252,250.520,1292.331,39.286,120.690,0.226,0.438,0.000,0.000,0.000
733,242.984,2909.908,2022.728,475.315,326.572,250.773,1284.556,39.320,120.859,0.204,0.438,0.000,0.000,0.000
734,243.331,2911.240,2013.914,474.358,326.900,251.024,1275.136,39.353,120.873,0.184,0.438,0.000,0.000,0.000
735,243.677,2875.315,2003.336,473.400,327.234,251.272,1264.103,39.386,120.730,0.166,0.438,0.000,0.000,0.000
736,244.023,2850.052,1991.031,472.443,327.575,251.517,1251.496,39.418,120.431,0.150,0.438,0.000,0.000,0.000
737,244.369,2785.647,1977.046,471.485,327.922,251.758,1237.361,39.450,119.976,0.135,0.438,0.000,0.000,0.000
738,244.716,2799.793,1961.430,470.527,328.273,251.996,1221.748,39.480,119.367,0.122,0.438,0.000,0.000,0.000
739,245.062,2682.980,1944.246,469.570,328.630,252.230,1204.717,39.510,118.605,0.110,0.438,0.000,0.000,0.000
740,245.408,2663.054,1925.557,468.612,328.991,252.461,1186.329,39.540,117.692,0.099,0.438,0.000,0.000,0.000
741,245.754,2553.533,1905.434,467.655,329.358,252.689,1166.651,39.568,116.633,0.089,0.438,0.000,0.000,0.000
742,246.101,2544.793,1883.952,466.697,329.730,252.914,1145.756,39.596,115.431,0.080,0.438,0.000,0.000,0.000
743,246.447,2494.277,1861.193,465.740,330.108,253.136,1123.720,39.624,114.089,0.072,0.438,0.000,0.000,0.000
744,246.793,2328.605,1837.236,464.782,330.489,253.353,1100.621,39.650,112.614,0.065,0.438,0.000,0.000,0.000
745,247.139,2385.199,1812.158,463.824,330.868,253.560,1076.542,39.675,111.009,0.059,0.438,0.000,0.000,0.000
746,247.486,2354.940,1786.047,462.867,331.244,253.758,1051.568,39.698,109.282,0.053,0.438,0.000,0.000,0.000
747,247.832,2223.828,1758.995,461.909,331.615,253.944,1025.787,39.719,107.437,0.048,0.438,0.000,0.000,0.000
748,248.178,2171.605,1731.098,460.952,331.983,254.121,999.286,39.739,105.483,0.043,0.438,0.000,0.000,0.000
749,248.525,2070.827,1702.453,459.994,332.348,254.286,972.154,39.756,103.425,0.039,0.438,0.000,0.000,0.000
750,248.871,2143.049,1673.157,459.036,332.711,254.441,944.483,39.772,101.271,0.035,0.438,0.000,0.000,0.000
751,249.217,2057.010,1643.310,458.079,333.072,254.587,916.361,39.786,99.029,0.031,0.437,0.000,0.000,0.000
752,249.564,1999.270,1613.012,457.121,333.434,254.724,887.878,39.798,96.706,0.028,0.437,0.000,0.000,0.000
753,249.910,1934.602,1582.359,456.164,333.796,254.852,859.122,39.809,94.311,0.026,0.437,0.000,0.000,0.000
754,250.256,1859.154,1551.447,455.206,334.160,254.973,830.179,39.818,91.851,0.023,0.437,0.000,0.000,0.000
755,250.603,1874.639,1520.370,454.248,334.527,255.085,801.133,39.826,89.334,0.021,0.437,0.000,0.000,0.000
756,250.949,1663.159,1489.208,453.291,334.892,255.186,772.067,39.832,86.769,0.019,0.437,0.000,0.000,0.000
757,251.295,1714.418,1458.045,452.333,335.253,255.273,743.060,39.835,84.164,0.017,0.436,0.000,0.000,0.000
758,251.642,1667.308,1426.967,451.376,335.611,255.348,714.187,39.836,81.527,0.015,0.436,0.000,0.000,0.000
759,251.988,1581.567,1396.057,450.418,335.968,255.410,685.522,39.835,78.865,0.014,0.436,0.000,0.000,0.000
760,252.334,1512.230,1365.392,449.461,336.325,255.460,657.134,39.832,76.187,0.012,0.436,0.000,0.000,0.000
761,252.681,1475.861,1335.049,448.503,336.683,255.499,629.088,39.826,73.500,0.011,0.435,0.000,0.000,0.000
762,253.027,1505.118,1305.099,447.545,337.044,255.528,601.445,39.818,70.812,0.010,0.435,0.000,0.000,0.000
763,253.373,1373.158,1275.610,446.588,337.411,255.547,574.263,39.809,68.129,0.009,0.435,0.000,0.000,0.000
764,253.720,1366.561,1246.646,445.630,337.786,255.560,547.594,39.798,65.459,0.008,0.434,0.000,0.000,0.000
765,254.066,1237.489,1218.267,444.673,338.172,255.566,521.486,39.786,62.809,0.007,0.434,0.000,0.000,0.000
766,254.413,1302.784,1190.521,443.715,338.569,255.566,495.984,39.772,60.184,0.007,0.434,0.000,0.000,0.000
767,254.759,1183.562,1163.451,442.757,338.976,255.558,471.125,39.757,57.590,0.006,0.433,0.000,0.000,0.000
768,255.106,1185.635,1137.092,441.800,339.391,255.540,446.943,39.739,55.034,0.005,0.433,0.000,0.000,0.000
769,255.452,1089.487,1111.480,440.842,339.815,255.513,423.469,39.720,52.519,0.005,0.433,0.000,0.000,0.000
770,255.798,1073.858,1086.651,439.885,340.252,255.479,400.728,39.698,50.051,0.004,0.432,0.000,0.000,0.000
771,256.145,973.782,1062.632,438.927,340.702,255.437,378.741,39.675,47.634,0.004,0.432,0.000,0.000,0.000
772,256.491,999.117,1039.448,437.969,341.169,255.390,357.524,39.650,45.273,0.004,0.431,0.000,0.000,0.000
773,256.838,976.820,1017.120,437.012,341.655,255.339,337.092,39.624,42.970,0.003,0.431,0.000,0.000,0.000
774,257.184,932.117,995.664,436.054,342.163,255.284,317.452,39.596,40.728,0.003,0.430,0.000,0.000,0.000
775,257.531,928.263,975.094,435.097,342.697,255.229,298.610,39.568,38.552,0.003,0.430,0.000,0.000,0.000
776,257.877,862.633,955.419,434.139,343.259,255.174,280.568,39.538,36.441,0.002,0.429,0.000,0.000,0.000
777,258.223,855.227,936.645,433.182,343.854,255.121,263.325,39.508,34.400,0.002,0.429,0.000,0.000,0.000
778,258.570,915.747,918.767,432.224,344.480,255.069,246.875,39.478,32.429,0.002,0.428,0.000,0.000,0.000
779,258.916,795.969,901.774,431.266,345.136,255.017,231.210,39.446,30.529,0.002,0.428,0.000,0.000,0.000
780,259.263,805.411,885.659,430.309,345.825,254.965,216.319,39.413,28.702,0.002,0.427,0.000,0.000,0.000
781,259.609,750.005,870.414,429.351,346.549,254.913,202.191,39.379,26.947,0.001,0.427,0.000,0.000,0.000
782,259.956,758.226,856.029,428.394,347.311,254.864,188.810,39.344,25.265,0.001,0.426,0.000,0.000,0.000
783,260.302,763.854,842.492,427.436,348.115,254.820,176.160,39.308,23.656,0.001,0.425,0.000,0.000,0.000
784,260.649,740.741,829.788,426.478,348.963,254.780,164.221,39.272,22.120,0.001,0.425,0.000,0.000,0.000
785,260.995,726.743,817.903,425.521,349.860,254.748,152.973,39.236,20.655,0.001,0.424,0.000,0.000,0.000
786,261.342,739.706,806.820,424.563,350.809,254.724,142.396,39.200,19.261,0.001,0.424,0.000,0.000,0.000
787,261.688,668.076,796.521,423.606,351.814,254.711,132.466,39.163,17.936,0.001,0.423,0.000,0.000,0.000
788,262.035,670.889,786.979,422.648,352.870,254.711,123.161,39.127,16.680,0.001,0.422,0.000,0.000,0.000
789,262.381,611.521,778.133,421.690,353.941,254.724,114.456,39.092,15.491,0.001,0.422,0.000,0.000,0.000
790,262.728,604.039,769.943,420.733,355.017,254.747,106.327,39.056,14.368,0.001,0.421,0.000,0.000,0.000
791,263.074,639.298,762.380,419.775,356.095,254.781,98.749,39.021,13.307,0.000,0.421,0.000,0.000,0.000
792,263.421,601.111,755.416,418.818,357.173,254.827,91.696,38.985,12.309,0.000,0.420,0.000,0.000,0.000
793,263.768,647.037,749.023,417.860,358.247,254.887,85.144,38.950,11.369,0.000,0.419,0.000,0.000,0.000
794,264.114,613.889,743.170,416.902,359.314,254.961,79.068,38.914,10.488,0.000,0.419,0.000,0.000,0.000
795,264.461,588.149,737.832,415.945,360.371,255.052,73.443,38.880,9.661,0.000,0.418,0.000,0.000,0.000
796,264.807,645.037,732.979,414.987,361.415,255.161,68.246,38.846,8.888,0.000,0.417,0.000,0.000,0.000
797,265.154,610.184,728.584,414.030,362.443,255.289,63.451,38.812,8.165,0.000,0.416,0.000,0.000,0.000
798,265.500,555.667,724.622,413.072,363.452,255.439,59.037,38.780,7.491,0.000,0.416,0.000,0.000,0.000
799,265.847,658.146,721.074,412.115,364.437,255.612,54.991,38.749,6.863,0.000,0.415,0.000,0.000,0.000
800,266.193,580.667,717.934,411.157,365.393,255.807,51.315,38.718,6.280,0.000,0.414,0.000,0.000,0.000
801,266.540,574.590,715.184,410.199,366.318,256.028,47.990,38.690,5.738,0.000,0.414,0.000,0.000,0.000
802,266.887,637.295,712.780,409.242,367.206,256.273,44.985,38.662,5.236,0.000,0.413,0.000,0.000,0.000
803,267.233,573.740,710.688,408.284,368.050,256.542,42.270,38.635,4.772,0.000,0.412,0.000,0.000,0.000
804,267.580,610.517,708.876,407.327,368.847,256.838,39.818,38.609,4.347,0.000,0.412,0.000,0.000,0.000
805,267.926,623.702,707.315,406.369,369.592,257.161,37.605,38.584,3.956,0.000,0.411,0.000,0.000,0.000
806,268.273,623.182,705.980,405.411,370.281,257.514,35.609,38.560,3.599,0.000,0.410,0.000,0.000,0.000
807,268.620,640.961,704.846,404.454,370.912,257.897,33.811,38.538,3.271,0.000,0.409,0.000,0.000,0.000
808,268.966,601.556,703.892,403.496,371.482,258.314,32.193,38.518,2.971,0.000,0.409,0.000,0.000,0.000
809,269.313,552.368,703.100,402.539,371.986,258.766,30.738,38.499,2.697,0.000,0.408,0.000,0.000,0.000
810,269.659,614.333,702.453,401.581,372.423,259.255,29.431,38.483,2.448,0.000,0.407,0.000,0.000,0.000
811,270.006,568.331,701.936,400.623,372.791,259.782,28.261,38.468,2.221,0.000,0.406,0.000,0.000,0.000
812,270.353,625.849,701.532,399.666,373.101,260.330,27.216,38.458,2.016,0.000,0.406,0.000,0.000,0.000
813,270.699,665.923,701.194,398.708,373.338,260.883,26.283,38.450,1.829,0.000,0.405,0.000,0.000,0.000
814,271.046,636.184,700.896,397.751,373.493,261.435,25.453,38.444,1.660,0.000,0.404,0.000,0.000,0.000
815,271.393,598.218,700.622,396.793,373.564,261.985,24.716,38.441,1.506,0.000,0.404,0.000,0.000,0.000
816,271.739,633.998,700.360,395.836,373.545,262.534,24.065,38.440,1.367,0.000,0.403,0.000,0.000,0.000
817,272.086,640.626,700.097,394.878,373.436,263.079,23.493,38.440,1.240,0.000,0.402,0.000,0.000,0.000
818,272.433,626.404,699.821,393.920,373.235,263.618,22.992,38.443,1.126,0.000,0.401,0.000,0.000,0.000
819,272.779,566.886,699.523,392.963,372.941,264.148,22.558,38.449,1.021,0.000,0.401,0.000,0.000,0.000
820,273.126,592.366,699.194,392.005,372.553,264.668,22.184,38.456,0.927,0.000,0.400,0.000,0.000,0.000
821,273.473,656.255,698.825,391.048,372.071,265.175,21.866,38.467,0.841,0.000,0.399,0.000,0.000,0.000
822,273.819,663.218,698.411,390.090,371.496,265.668,21.599,38.480,0.763,0.000,0.398,0.000,0.000,0.000
823,274.166,575.441,697.943,389.132,370.827,266.143,21.381,38.496,0.693,0.000,0.398,0.000,0.000,0.000
824,274.513,634.996,697.419,388.175,370.066,266.599,21.207,38.516,0.629,0.000,0.397,0.000,0.000,0.000
825,274.859,626.403,696.833,387.217,369.214,267.033,21.074,38.539,0.570,0.000,0.396,0.000,0.000,0.000
826,275.206,613.884,696.183,386.260,368.274,267.445,20.980,38.565,0.518,0.000,0.395,0.000,0.000,0.000
827,275.553,602.146,695.467,385.302,367.247,267.832,20.922,38.596,0.470,0.000,0.395,0.000,0.000,0.000
828,275.899,634.662,694.684,384.344,366.137,268.193,20.898,38.631,0.426,0.000,0.394,0.000,0.000,0.000
829,276.246,621.885,693.831,383.387,364.945,268.524,20.906,38.670,0.387,0.000,0.393,0.000,0.000,0.000
830,276.593,634.255,692.909,382.429,363.675,268.826,20.945,38.714,0.351,0.000,0.392,0.000,0.000,0.000
831,276.940,622.701,691.920,381.472,362.332,269.096,21.012,38.764,0.318,0.000,0.392,0.000,0.000,0.000
832,277.286,624.105,690.857,380.514,360.914,269.329,21.108,38.819,0.289,0.000,0.391,0.000,0.000,0.000
833,277.633,669.031,689.708,379.557,359.419,269.519,21.231,38.880,0.262,0.000,0.390,0.000,0.000,0.000
834,277.980,629.476,688.470,378.599,357.848,269.663,21.378,38.948,0.238,0.000,0.390,0.000,0.000,0.000
835,278.326,622.180,687.143,377.641,356.204,269.758,21.550,39.021,0.216,0.000,0.389,0.000,0.000,0.000
836,278.673,657.810,685.730,376.684,354.492,269.804,21.746,39.098,0.196,0.000,0.388,0.000,0.000,0.000
837,279.020,661.698,684.230,375.726,352.717,269.799,21.965,39.177,0.178,0.000,0.387,0.000,0.000,0.000
838,279.367,629.626,682.648,374.769,350.885,269.743,22.207,39.259,0.161,0.000,0.387,0.000,0.000,0.000
839,279.713,580.807,680.987,373.811,348.999,269.635,22.472,39.343,0.146,0.000,0.386,0.000,0.000,0.000
840,280.060,667.921,679.251,372.853,347.065,269.474,22.760,39.428,0.133,0.000,0.385,0.000,0.000,0.000
841,280.407,637.437,677.442,371.896,345.087,269.259,23.070,39.516,0.121,0.000,0.384,0.000,0.000,0.000
842,280.754,641.955,675.566,370.938,343.070,268.989,23.403,39.605,0.109,0.000,0.384,0.000,0.000,0.000
843,281.100,605.326,673.628,369.981,341.019,268.666,23.758,39.696,0.099,0.000,0.383,0.000,0.000,0.000
844,281.447,648.809,671.632,369.023,338.941,268.288,24.137,39.788,0.090,0.000,0.382,0.000,0.000,0.000
845,281.794,636.251,669.585,368.065,336.840,267.856,24.539,39.881,0.082,0.000,0.381,0.000,0.000,0.000
846,282.141,602.512,667.492,367.108,334.722,267.372,24.964,39.974,0.074,0.000,0.381,0.000,0.000,0.000
847,282.488,641.291,665.505,366.294,332.666,266.895,25.416,40.075,0.067,0.000,0.380,0.000,0.000,0.000
848,282.834,589.292,663.480,365.479,330.602,266.366,25.892,40.174,0.061,0.000,0.380,0.000,0.000,0.000
849,283.181,609.771,661.413,364.665,328.529,265.781,26.393,40.270,0.055,0.000,0.379,0.000,0.000,0.000
850,283.528,645.140,659.305,363.851,326.449,265.140,26.919,40.363,0.050,0.000,0.378,0.000,0.000,0.000
851,283.875,629.067,657.163,363.037,324.366,264.443,27.471,40.453,0.046,0.000,0.378,0.000,0.000,0.000
852,284.222,625.883,654.992,362.222,322.286,263.693,28.049,40.540,0.041,0.000,0.377,0.000,0.000,0.000
853,284.568,660.029,652.798,361.408,320.211,262.889,28.655,40.623,0.038,0.000,0.376,0.000,0.000,0.000
854,284.915,626.919,650.586,360.594,318.147,262.034,29.288,40.701,0.034,0.000,0.376,0.000,0.000,0.000
855,285.262,639.586,648.363,359.780,316.096,261.130,29.951,40.775,0.031,0.000,0.375,0.000,0.000,0.000
856,285.609,636.992,646.135,358.966,314.062,260.178,30.643,40.844,0.028,0.000,0.375,0.000,0.000,0.000
857,285.956,639.881,643.909,358.151,312.050,259.181,31.366,40.907,0.025,0.000,0.374,0.000,0.000,0.000
858,286.302,615.842,641.691,357.337,310.062,258.141,32.121,40.964,0.023,0.000,0.373,0.000,0.000,0.000
859,286.649,536.956,639.488,356.523,308.103,257.060,32.909,41.016,0.021,0.000,0.373,0.000,0.000,0.000
860,286.996,596.289,637.307,355.709,306.175,255.943,33.732,41.061,0.019,0.000,0.372,0.000,0.000,0.000
861,287.343,557.770,635.155,354.894,304.281,254.790,34.590,41.100,0.017,0.000,0.371,0.000,0.000,0.000
862,287.690,584.954,633.041,354.080,302.426,253.606,35.484,41.132,0.016,0.000,0.371,0.000,0.000,0.000
863,288.037,588.731,630.971,353.266,300.612,252.395,36.417,41.157,0.014,0.000,0.370,0.000,0.000,0.000
864,288.383,637.066,628.953,352.452,298.842,251.159,37.389,41.175,0.013,0.000,0.370,0.000,0.000,0.000
865,288.730,639.249,626.995,351.637,297.118,249.900,38.403,41.186,0.012,0.000,0.369,0.000,0.000,0.000
866,289.077,626.361,625.103,350.823,295.443,248.624,39.462,41.190,0.011,0.000,0.368,0.000,0.000,0.000
867,289.424,544.880,623.285,350.009,293.817,247.332,40.567,41.186,0.010,0.000,0.368,0.000,0.000,0.000
868,289.771,584.990,621.548,349.195,292.241,246.028,41.722,41.176,0.009,0.000,0.367,0.000,0.000,0.000
869,290.118,605.842,619.883,348.380,290.712,244.709,42.926,41.156,0.008,0.000,0.366,0.000,0.000,0.000
870,290.465,627.581,618.264,347.566,289.215,243.366,44.178,41.126,0.007,0.000,0.366,0.000,0.000,0.000
871,290.811,625.362,616.692,346.752,287.755,242.005,45.469,41.085,0.007,0.000,0.365,0.000,0.000,0.000
872,291.158,555.471,615.169,345.938,286.340,240.634,46.783,41.035,0.006,0.000,0.365,0.000,0.000,0.000
873,291.505,637.805,613.697,345.123,284.972,239.257,48.117,40.976,0.005,0.000,0.364,0.000,0.000,0.000
874,291.852,584.398,612.278,344.309,283.650,237.878,49.468,40.908,0.005,0.000,0.363,0.000,0.000,0.000
875,292.199,648.065,610.915,343.495,282.377,236.498,50.837,40.831,0.004,0.000,0.363,0.000,0.000,0.000
876,292.546,574.767,609.609,342.681,281.152,235.122,52.218,40.745,0.004,0.000,0.362,0.000,0.000,0.000
877,292.893,595.065,608.360,341.866,279.978,233.754,53.607,40.650,0.004,0.000,0.361,0.000,0.000,0.000
878,293.240,625.729,607.171,341.052,278.858,232.398,54.997,40.548,0.003,0.000,0.361,0.000,0.000,0.000
879,293.586,590.433,606.042,340.238,277.791,231.056,56.387,40.439,0.003,0.000,0.360,0.000,0.000,0.000
880,293.933,586.765,604.966,339.424,276.775,229.729,57.772,40.322,0.003,0.000,0.360,0.000,0.000,0.000
881,294.280,629.211,603.929,338.610,275.805,228.415,59.146,40.196,0.002,0.000,0.359,0.000,0.000,0.000
882,294.627,597.879,602.924,337.795,274.878,227.113,60.505,40.062,0.002,0.000,0.358,0.000,0.000,0.000
883,294.974,645.209,601.948,336.981,273.992,225.825,61.847,39.919,0.002,0.000,0.358,0.000,0.000,0.000
884,295.321,602.285,601.000,336.167,273.146,224.551,63.170,39.769,0.002,0.000,0.357,0.000,0.000,0.000
885,295.668,561.953,600.077,335.353,272.339,223.294,64.469,39.611,0.002,0.000,0.357,0.000,0.000,0.000
886,296.015,627.580,599.176,334.538,271.570,222.055,65.742,39.446,0.002,0.000,0.356,0.000,0.000,0.000
887,296.362,651.765,598.295,333.724,270.841,220.834,66.984,39.273,0.001,0.000,0.355,0.000,0.000,0.000
888,296.709,661.875,597.435,332.910,270.150,219.635,68.194,39.095,0.001,0.000,0.355,0.000,0.000,0.000
889,297.056,649.950,596.587,332.096,269.495,218.457,69.365,38.910,0.001,0.000,0.354,0.000,0.000,0.000
890,297.402,626.285,595.753,331.281,268.876,217.301,70.496,38.719,0.001,0.000,0.354,0.000,0.000,0.000
891,297.749,619.840,594.928,330.467,268.293,216.168,71.583,38.523,0.001,0.000,0.353,0.000,0.000,0.000
892,298.096,606.618,594.111,329.653,267.746,215.060,72.622,38.323,0.001,0.000,0.352,0.000,0.000,0.000
893,298.443,557.469,593.298,328.839,267.235,213.977,73.611,38.118,0.001,0.000,0.352,0.000,0.000,0.000
894,298.790,624.319,592.489,328.024,266.758,212.919,74.546,37.909,0.001,0.000,0.351,0.000,0.000,0.000
895,299.137,601.246,591.682,327.210,266.316,211.888,75.424,37.697,0.001,0.000,0.351,0.000,0.000,0.000
896,299.484,551.726,590.873,326.396,265.909,210.884,76.243,37.482,0.001,0.000,0.350,0.000,0.000,0.000
897,299.831,590.357,590.063,325.582,265.537,209.907,76.999,37.265,0.001,0.000,0.350,0.000,0.000,0.000
898,300.178,600.317,589.250,324.767,265.201,208.959,77.690,37.046,0.000,0.000,0.349,0.000,0.000,0.000
899,300.525,616.539,588.432,323.953,264.899,208.039,78.314,36.825,0.000,0.000,0.348,0.000,0.000,0.000
900,300.872,605.059,587.594,323.139,264.627,207.143,78.868,36.603,0.000,0.000,0.348,0.000,0.000,0.000
901,301.219,600.318,586.735,322.325,264.382,206.269,79.350,36.380,0.000,0.000,0.347,0.000,0.000,0.000
902,301.566,581.911,585.850,321.510,264.164,205.418,79.759,36.156,0.000,0.000,0.347,0.000,0.000,0.000
903,301.913,584.393,584.938,320.696,263.973,204.589,80.093,35.932,0.000,0.000,0.346,0.000,0.000,0.000
904,302.260,545.355,583.998,319.882,263.807,203.781,80.351,35.707,0.000,0.000,0.346,0.000,0.000,0.000
905,302.607,539.132,583.028,319.068,263.667,202.995,80.531,35.483,0.000,0.000,0.345,0.000,0.000,0.000
