ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
7659,2731.468,12.259,8.922,4.008,0.000,8.922,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7660,2731.985,12.704,8.853,4.003,0.000,8.853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7661,2732.502,13.408,8.784,3.999,0.000,8.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7662,2733.019,8.926,8.716,3.995,0.000,8.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7663,2733.536,14.630,8.649,3.991,0.000,8.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7664,2734.054,6.408,8.582,3.986,0.000,8.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7665,2734.571,7.408,8.516,3.982,0.000,8.516,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7666,2735.089,11.704,8.450,3.978,0.000,8.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7667,2735.606,5.334,8.385,3.973,0.000,8.385,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7668,2736.124,9.482,8.320,3.969,0.000,8.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7669,2736.642,13.704,8.256,3.965,0.000,8.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7670,2737.160,13.852,8.193,3.960,0.000,8.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7671,2737.678,12.852,8.130,3.956,0.000,8.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7672,2738.197,15.334,8.068,3.952,0.000,8.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7673,2738.715,8.556,8.007,3.947,0.000,8.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7674,2739.234,10.926,7.946,3.943,0.000,7.946,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7675,2739.753,9.926,7.885,3.939,0.000,7.885,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7676,2740.272,12.852,7.825,3.934,0.000,7.825,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7677,2740.791,11.556,7.766,3.930,0.000,7.766,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7678,2741.310,10.482,7.707,3.926,0.000,7.707,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7679,2741.829,15.778,7.649,3.921,0.000,7.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7680,2742.349,12.482,7.592,3.917,0.000,7.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7681,2742.868,13.630,7.535,3.913,0.000,7.535,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7682,2743.388,8.778,7.478,3.908,0.000,7.478,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7683,2743.908,11.778,7.422,3.904,0.000,7.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7684,2744.428,10.704,7.367,3.900,0.000,7.367,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7685,2744.948,11.704,7.312,3.895,0.000,7.312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7686,2745.468,11.704,7.258,3.891,0.000,7.258,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7687,2745.988,6.630,7.205,3.887,0.000,7.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7688,2746.509,4.630,7.152,3.882,0.000,7.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7689,2747.030,12.704,7.099,3.878,0.000,7.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7690,2747.550,9.704,7.047,3.874,0.000,7.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7691,2748.071,10.482,6.996,3.869,0.000,6.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7692,2748.592,5.556,6.945,3.865,0.000,6.945,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7693,2749.113,8.778,6.894,3.861,0.000,6.894,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7694,2749.635,9.704,6.845,3.856,0.000,6.845,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
