ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Th,Xray-Pb,Xray-La
129,35.776,733.442,807.747,789.200,47.112,78.268,39.582,8.970,3.071,0.503,0.074,445.803,179.929,4.400
130,36.114,742.480,806.704,789.083,47.126,78.284,39.589,8.875,3.071,0.503,0.074,445.782,180.078,3.286
131,36.453,789.666,805.934,788.965,47.143,78.294,39.598,8.795,3.071,0.503,0.074,445.759,180.246,2.415
132,36.791,764.591,805.402,788.848,47.163,78.301,39.608,8.728,3.071,0.503,0.074,445.735,180.436,1.746
133,37.130,753.666,805.076,788.731,47.187,78.304,39.620,8.672,3.071,0.503,0.074,445.710,180.651,1.246
134,37.468,752.595,804.921,788.614,47.214,78.293,39.634,8.625,3.071,0.504,0.074,445.687,180.896,0.885
135,37.807,718.222,804.899,788.496,47.245,78.266,39.651,8.585,3.071,0.504,0.074,445.664,181.173,0.628
136,38.146,763.149,804.984,788.379,47.281,78.222,39.670,8.550,3.071,0.504,0.074,445.641,181.487,0.446
137,38.484,759.708,805.163,788.262,47.322,78.162,39.692,8.519,3.071,0.504,0.074,445.620,181.844,0.316
138,38.823,719.117,805.440,788.144,47.368,78.089,39.716,8.491,3.071,0.504,0.074,445.602,182.261,0.224
139,39.162,808.226,805.778,788.027,47.420,77.997,39.744,8.465,3.072,0.504,0.074,445.585,182.718,0.158
140,39.500,773.747,806.182,787.910,47.479,77.881,39.775,8.439,3.072,0.504,0.074,445.569,183.236,0.112
141,39.839,810.562,806.657,787.793,47.544,77.740,39.809,8.413,3.072,0.504,0.074,445.557,183.822,0.079
142,40.178,722.193,807.209,787.675,47.615,77.576,39.848,8.386,3.073,0.504,0.074,445.548,184.485,0.056
143,40.517,718.861,807.847,787.558,47.695,77.392,39.890,8.358,3.073,0.504,0.074,445.542,185.235,0.039
144,40.855,841.936,808.582,787.441,47.781,77.190,39.935,8.329,3.074,0.504,0.074,445.539,186.082,0.028
145,41.194,808.159,809.432,787.323,47.876,76.965,39.985,8.299,3.074,0.504,0.074,445.550,187.040,0.020
146,41.533,759.197,810.414,787.206,47.978,76.717,40.039,8.266,3.075,0.504,0.074,445.577,188.122,0.014
147,41.872,791.678,811.514,787.089,48.089,76.450,40.096,8.232,3.076,0.504,0.074,445.591,189.345,0.010
148,42.211,828.312,812.777,786.971,48.209,76.167,40.159,8.196,3.077,0.505,0.074,445.610,190.726,0.007
149,42.549,817.608,814.226,786.854,48.337,75.874,40.225,8.160,3.077,0.505,0.074,445.635,192.284,0.005
150,42.888,854.573,815.856,786.737,48.471,75.573,40.296,8.123,3.078,0.505,0.074,445.669,194.014,0.003
151,43.227,856.724,817.649,786.620,48.605,75.265,40.373,8.085,3.079,0.505,0.074,445.710,195.898,0.002
152,43.566,893.689,819.605,786.502,48.739,74.956,40.455,8.048,3.081,0.505,0.074,445.760,197.933,0.002
153,43.905,879.428,821.734,786.385,48.872,74.648,40.543,8.011,3.082,0.505,0.074,445.820,200.125,0.001
154,44.244,874.244,824.078,786.268,49.001,74.348,40.638,7.975,3.083,0.506,0.074,445.922,202.477,0.001
155,44.583,927.208,826.601,786.150,49.127,74.060,40.741,7.940,3.085,0.506,0.074,446.031,204.984,0.001
156,44.922,859.656,829.237,786.033,49.246,73.784,40.847,7.907,3.086,0.506,0.074,446.131,207.600,0.000
157,45.261,798.472,831.965,785.916,49.356,73.524,40.957,7.875,3.088,0.506,0.074,446.246,210.282,0.000
158,45.600,870.955,834.767,785.798,49.458,73.280,41.070,7.845,3.090,0.507,0.074,446.377,213.010,0.000
159,45.939,836.326,837.633,785.681,49.551,73.056,41.185,7.817,3.093,0.507,0.074,446.524,215.769,0.000
160,46.278,770.441,840.556,785.564,49.636,72.853,41.303,7.792,3.095,0.507,0.074,446.689,218.547,0.000
161,46.617,804.665,843.512,785.447,49.714,72.672,41.424,7.769,3.098,0.508,0.074,446.874,221.319,0.000
162,46.957,748.297,846.454,785.329,49.783,72.510,41.545,7.748,3.101,0.508,0.074,447.079,224.044,0.000
163,47.296,764.740,849.362,785.212,49.843,72.366,41.664,7.729,3.104,0.509,0.074,447.307,226.703,0.000
164,47.635,771.336,852.232,785.095,49.896,72.238,41.782,7.712,3.108,0.509,0.074,447.559,229.288,0.000
165,47.974,711.412,855.069,784.977,49.942,72.128,41.899,7.696,3.113,0.510,0.074,447.836,231.804,0.000
166,48.313,789.080,857.890,784.860,49.983,72.035,42.015,7.683,3.117,0.511,0.074,448.141,234.261,0.000
167,48.652,709.564,860.692,784.743,50.018,71.958,42.129,7.672,3.123,0.511,0.074,448.477,236.658,0.000
168,48.992,766.009,863.477,784.626,50.049,71.892,42.239,7.662,3.128,0.512,0.074,448.845,239.002,0.000
