detector,energy_kev,gadras_intrinsic_pct,ours_intrinsic_pct,ratio,rel_err
NaI 30%,300,55.755,55.6418297899724,0.99797022311850769,3.1183113827099636
NaI 30%,400,38.539,37.008884126212855,0.96029694922579345,4.4554176314695964
NaI 30%,500,28.37,31.416089942584918,1.1073701072465603,5.0334569679271395
NaI 30%,600,22.015,23.066949833736953,1.0477833219957735,6.1894409074274623
NaI 30%,662,19.237520231883337,21.438783941036817,1.1144255435534363,6.4871668188725975
NaI 30%,800,15.135092951417175,15.689885548399984,1.0366560416089721,7.8376381283445582
NaI 30%,1000,11.592,11.816322140053231,1.019351461357249,9.2324479549592837
NaI 30%,1200,9.4737,9.5963733274649918,1.0129488296510332,10.37531005928377
NaI 30%,1500,7.4632,6.9115757481216633,0.92608743543274519,12.407031322292058
NaI 30%,2000,5.4101,4.7781658405649727,0.88319362683960978,15.102822189858193
NaI 30%,2614,3.9848824654323405,3.3095624442245422,0.83052950066507691,18.298294625716316
NaI 30%,3000,3.4379,3.6572617347800085,1.063806898042412,17.392527131012116
NaI 3x3,30,69.886,55.367406860706886,0.79225319607227329,4.0307219229974827
NaI 3x3,40,67.184,63.480948418628472,0.94488194240635381,4.4354921399523217
NaI 3x3,50,75.197,74.556614857685162,0.99148390039077572,4.1981316556957466
NaI 3x3,60,80.363,80.068286735548057,0.99633272445712651,4.0912061691137218
NaI 3x3,80,86.283,85.9118411767817,0.99569835514274774,3.9631983139777835
NaI 3x3,100,89.241,84.06616484546187,0.94201280628255923,4.0737875106887316
NaI 3x3,150,91.63,93.974798842419929,1.025589859679362,3.7545153539675304
NaI 3x3,200,90.554,87.062897926545745,0.961447290307946,4.0221897608182964
NaI 3x3,300,81.306,76.051434560911247,0.93537296830383054,4.4957180030868589
NaI 3x3,400,68.287,65.605072821499945,0.96072565527113418,5.0210823142328529
NaI 3x3,500,56.489,55.430969296822092,0.98127014634392706,5.64278337212436
NaI 3x3,600,47.015,45.600459504721442,0.96991299595281166,6.4047176490465585
NaI 3x3,662,42.278066290186707,44.744921219334614,1.0583483386448187,6.4871668187197775
NaI 3x3,800,35.644186405729982,33.660871505379532,0.9443579696903498,7.710022337519816
NaI 3x3,1000,29.672,30.492850153984211,1.0276641329867959,8.1806525976579252
NaI 3x3,1200,26.042,28.927778936806888,1.1108124927734768,8.4439808744850318
NaI 3x3,1500,22.025,17.927748152261451,0.81397267433650178,11.026284386368125
NaI 3x3,2000,17.289,14.438387931895555,0.83511989888921012,12.407031322203041
NaI 3x3,2614,13.868405484379789,14.239587492751978,1.0267645771383205,12.516655570364499
NaI 3x3,3000,12.919,12.831536541657433,0.99322985847646361,13.235754046729973
NaI 5%,30,11.956,12.294313303806694,1.0282965292578365,5.5065942969941668
NaI 5%,40,28.005,29.24659121431764,1.044334626470903,6.1519826057115887
NaI 5%,50,42.806,45.193706279552117,1.05577971031052,5.8521609359633988
NaI 5%,60,52.468,55.09554368093724,1.05007897539333,5.68971716008948
NaI 5%,80,62.946,61.075666244396132,0.97028669406151513,5.769752446449731
NaI 5%,100,67.87,61.371234732774127,0.90424686507697249,5.9370757768938258
NaI 5%,150,71.341,69.2529448375347,0.97073134435366348,5.6739838586757125
NaI 5%,200,67.032,64.469390357502576,0.96177035382358544,6.0424852427171416
NaI 5%,300,47.411,47.075471745206485,0.992922987180327,7.4692351472996066
NaI 5%,400,32.473,30.695823653055434,0.94527218467820762,9.6484601624683251
NaI 5%,500,23.688,24.11632869826396,1.0180820963468407,11.10555416607407
NaI 5%,600,18.327,17.907964586224217,0.97713562428243661,13.107943462660613
NaI 5%,662,16.025206278998755,16.061873189679865,1.0022880772978979,13.931318410511231
NaI 5%,800,12.456526693688376,12.276737528617167,0.98556666962691075,16.132894045174854
NaI 5%,1000,9.3526,9.7553965711112323,1.0430678710851775,18.298294625731188
NaI 5%,1200,7.4918,6.4598529360253707,0.86225645853137711,22.722583248296186
NaI 5%,1500,5.7241,7.2259562501535761,1.2623742160607914,21.591444513826698
NaI 5%,2000,3.9713,1.7440226362263977,0.43915660771696868,44.609416046423576
NaI 5%,2614,2.654459294171049,3.1728816285390415,1.1953024239273138,33.182994306021008
NaI 5%,3000,2.2618,1.0628879782449747,0.46993013451453475,57.6483593291073
