arm;node_kev;bin;dep_kev;compton
node_1436.6;1436.5940402914039;290;580.0;8.9200162619818E-05
node_1436.6;1436.5940402914039;291;582.0;0.00010897236643359065
node_1436.6;1436.5940402914039;292;584.0;8.5415282228495926E-05
node_1436.6;1436.5940402914039;293;586.0;8.4239916759543121E-05
node_1436.6;1436.5940402914039;294;588.0;7.8302698966581374E-05
node_1436.6;1436.5940402914039;295;590.0;0.00010043648217106238
node_1436.6;1436.5940402914039;296;592.0;8.5008148744236678E-05
node_1504.3;1504.2525628024082;216;432.0;0.00010329038923373446
node_1504.3;1504.2525628024082;217;434.0;0.00010736167314462364
node_1504.3;1504.2525628024082;218;436.0;0.00011255664139753208
node_1504.3;1504.2525628024082;219;438.0;8.640054875286296E-05
node_1504.3;1504.2525628024082;220;440.0;0.00010910839046118781
node_1504.3;1504.2525628024082;221;442.0;9.8020012956112623E-05
node_1504.3;1504.2525628024082;222;444.0;9.8193224403075874E-05
node_1504.3;1504.2525628024082;223;446.0;9.9330718512646854E-05
node_1504.3;1504.2525628024082;224;448.0;9.2645852419082075E-05
node_1504.3;1504.2525628024082;225;450.0;0.0001142617329605855
node_1504.3;1504.2525628024082;226;452.0;9.8589000117499381E-05
node_1504.3;1504.2525628024082;227;454.0;0.00010110524453921244
node_1504.3;1504.2525628024082;228;456.0;9.4721675850450993E-05
node_1504.3;1504.2525628024082;229;458.0;0.00011086143786087632
node_1504.3;1504.2525628024082;230;460.0;8.5308594861999154E-05
node_1504.3;1504.2525628024082;231;462.0;0.0001162529515568167
node_1504.3;1504.2525628024082;232;464.0;9.3978604127187282E-05
node_1504.3;1504.2525628024082;233;466.0;9.6781448519323021E-05
node_1504.3;1504.2525628024082;234;468.0;9.0563189587555826E-05
node_1504.3;1504.2525628024082;235;470.0;0.00010923072113655508
node_1504.3;1504.2525628024082;236;472.0;9.6127310825977474E-05
node_1504.3;1504.2525628024082;237;474.0;7.0549707743339241E-05
node_1504.3;1504.2525628024082;238;476.0;0.00011613446986302733
node_1504.3;1504.2525628024082;239;478.0;9.5922412583604455E-05
node_1504.3;1504.2525628024082;240;480.0;9.84297803370282E-05
node_1504.3;1504.2525628024082;241;482.0;4.8068894102470949E-05
node_1504.3;1504.2525628024082;242;484.0;0.00013484158262144774
node_1504.3;1504.2525628024082;243;486.0;0.00010349544754717499
node_1504.3;1504.2525628024082;244;488.0;8.5927727923262864E-05
node_1504.3;1504.2525628024082;245;490.0;0.00010596861829981208
node_1504.3;1504.2525628024082;246;492.0;9.6191477496176958E-05
node_1504.3;1504.2525628024082;247;494.0;8.9680615928955376E-05
node_1504.3;1504.2525628024082;248;496.0;9.7681542683858424E-05
node_1504.3;1504.2525628024082;249;498.0;8.6379339336417615E-05
node_1504.3;1504.2525628024082;250;500.0;8.9338653197046369E-05
node_1504.3;1504.2525628024082;251;502.0;9.8318429081700742E-05
node_1504.3;1504.2525628024082;252;504.0;9.5772404165472835E-05
node_1504.3;1504.2525628024082;253;506.0;7.7077093010302633E-05
node_1504.3;1504.2525628024082;254;508.0;0.00010645515430951491
node_1504.3;1504.2525628024082;255;510.0;2.7191697881789878E-05
node_1504.3;1504.2525628024082;256;512.0;0.0001661784335738048
node_1504.3;1504.2525628024082;257;514.0;9.9129567388445139E-05
node_1504.3;1504.2525628024082;258;516.0;9.3955975899007171E-05
node_1504.3;1504.2525628024082;259;518.0;8.6601052316837013E-05
