спектр,сосуд,источник,вещество,плотность_паспорт,масса_г,объём_мл,плотность,расстояние_см,состав_Z_доля,детектор,конфиг,снято,файл
G1S24_Ra226_Petri,Петри-60,Ra226_420-7-18,ОИСН-06,0.6,37.0,60.0,0.6167,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,29-10-24 14:16:05.80,Ra226_420-7-18_Петри-60мл_0cm.spe
G1S24_Ra226_Petri_2,Петри-60,Ra226_420-7-19,ОИСН-16,1.6,100.0,60.0,1.6667,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,28-10-24 14:16:05.80,Ra226_420-7-19_Петри-60мл_0cm.spe
G1S24_Th228_P25,Точечная-25см,Th-228 №309.2021,,,0.0,0.0,,25.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,24-10-24 14:16:05.80,Th-228 №309_Точечная-25см_25cm.spe
G1S24_Th228_P5,Точечная-5см,Th-228 №264.2023_1,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,21-10-24 14:16:05.80,Th-228 №264.2023_Точечная-5см_5cm.spe
G1S24_Th232_Denta120,Дента-120мл,Th-232_420-17031,ОИСН-06,0.6,76.8,120.0,0.64,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,31-10-24 14:16:05.80,Th-232_420-17031_Дента-120мл_0cm.spe
G1S24_Th232_Denta120_2,Дента-120мл,Th232_420-7-17,ОИСН-16,1.6,192.0,120.0,1.6,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,31-10-24 14:16:05.80,Th232_420-7-17_Дента-120мл_0cm.spe
G1S24_Th232_Mar,Маринелли,Th-232_420-17031,ОИСН-06,0.6,640.0,1000.0,0.64,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,29-10-24 14:16:05.80,Th-232_420-17031_Маринелли_0cm.spe
G1S24_Th232_Mar_2,Маринелли,Th232_420-7-17,ОИСН-16,1.6,1600.0,1000.0,1.6,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,24-10-24 14:16:05.80,Th232_420-7-17_Маринелли_0cm.spe
G1S24_Th232_Petri,Петри-60,Th-232 420_17031,ОИСН-06,0.6,38.4,60.0,0.64,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,29-10-24 14:16:05.80,Th-232_420-17031_Петри-60мл_0cm.spe
G1S24_Th232_Petri_2,Петри-60,Th232_420-7-17,ОИСН-16,1.6,96.0,60.0,1.6,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,24-10-24 14:16:05.80,Th232_420-7-17_Петри-60мл_0cm.spe
G1S24_Y88_P25,Точечная-25см,Y-88 №260.2023,,,0.0,0.0,,25.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,22-10-24 14:16:05.80,Y-88 №260.2023_Точечная-25см_25cm.spe
G1S24_Y88_P5,Точечная-5см,Y-88 №260.2023_1_1,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,21-10-24 14:16:05.80,Y-88 №260.2023_Точечная-5см_5cm.spe
G1S24_Zn65_P5,Точечная-5см,Zn-65 #342.2019,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,22-10-24 14:16:05.80,Zn-65 #342.2019_Точечная-5см_5cm.spe
HPGE_Uranium,Без геометрии,U Пуговицы,,,0.0,0.0,,,,GMX25P4_47-TN22055A,GMX25P4_47-TN22055A,13-08-20 18:41:30.622,U_Пуговицы_tl60260_14.08.2020.spe
