spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
edge93,edge93,3.3,Fe2.0,asis,862.281,91.5747,,,862.281,862.281,862.281,,,4.35973,30.5085,0.640844,-0.0324546,-0.0519503,-0.107505,-0.102443,0.0755983,33.7459,1.00513,-18.6405,18623,-33374.2,81.1423,23492.2,edge93__AS80_p67_edge93_r33_ring20__asis
edge93_bg0,edge93,2.8,Al1.0,asis,773.329,155.604,118.813,22.1757,773.329,773.329,773.329,118.813,118.813,1.60871,1.7336,0.127941,-0.00859261,-0.00690523,-0.048813,-0.0979129,-0.067861,25.5539,1.00411,-16.0307,-284.523,632.084,43.1864,23492.2,edge93_bg0__AS80_p88_edge93_r28_al__asis
edge93_bg0,edge93,3.3,Al1.0,asis,815.341,162.442,118.728,21.048,815.341,815.341,815.341,118.728,118.728,1.65362,1.79943,0.133566,-0.0185997,-0.0065601,-0.0408068,-0.0805883,-0.0381075,25.3468,1.00411,-15.9999,-284.083,595.327,43.4015,23492.2,edge93_bg0__AS80_p88_edge93_r33_al__asis
edge93_bg0,edge93,3.8,Al1.0,asis,815.134,148.083,168.346,30.3256,815.134,815.134,815.134,168.346,168.346,1.74213,2.03677,0.152106,-0.0793424,0.0018511,-0.0289814,-0.0857874,-0.0537688,24.7854,1.00626,-27.6792,-480.673,547.341,43.1323,23492.2,edge93_bg0__AS80_p88_edge93_r38_al__asis
edge93_bg0,edge93,3.3,Fe0.5,asis,822.269,161.503,121.196,21.1764,822.269,822.269,822.269,121.196,121.196,1.6658,1.81908,0.135197,-0.0199857,-0.00603082,-0.0398911,-0.079365,-0.0344932,25.1842,1.00409,-16.0619,-293.73,636.097,43.4999,23492.2,edge93_bg0__AS80_p67_edge93_r33_ring05__asis
edge93_bg0,edge93,2.8,Fe1.0,asis,798.772,163.984,115.448,20.7939,798.772,798.772,798.772,115.448,115.448,1.64324,1.78699,0.132523,-0.0095629,-0.0102982,-0.0511899,-0.0977408,-0.0585202,25.3369,1.00526,-16.0715,-225.137,671.088,43.5408,23492.2,edge93_bg0__AS80_p67_edge93_r28__asis
edge93_bg0,edge93,3.3,Fe1.0,asis,836.278,158.4,119.067,20.0639,836.278,836.278,836.278,119.067,119.067,1.71861,1.893,0.141167,-0.0218872,-0.00822094,-0.0484343,-0.08734,-0.0337703,25.2943,1.00531,-16.1861,-306.007,652.62,43.7906,23492.2,edge93_bg0__AS80_p67_edge93_r33__asis
edge93_bg0,edge93,3.8,Fe1.0,asis,797.956,126.36,205.471,34.3615,797.956,797.956,797.956,205.471,205.471,1.83922,2.44212,0.179383,-0.124743,0.00157977,-0.0284185,-0.0958561,-0.0890407,25.0522,1.00828,-37.6251,-557.944,529.733,42.8921,23492.2,edge93_bg0__AS80_p67_edge93_r38__asis
edge93_bg0,edge93,4.2,Fe1.0,asis,857.449,143.505,177.432,29.7512,857.449,857.449,857.449,177.432,177.432,1.79185,2.13819,0.159373,-0.0936751,0.00163455,-0.0316152,-0.0825261,-0.0443958,24.7566,1.00625,-27.7184,-448.064,591.458,43.2283,23492.2,edge93_bg0__AS80_p67_edge93_r42__asis
edge93_bg0,edge93,4.345,Fe1.0,asis,873.047,138.068,185.174,29.4071,873.047,873.047,873.047,185.174,185.174,1.83381,2.27562,0.16871,-0.125968,-0.0113796,-0.0388667,-0.0758629,-0.0299332,27.0502,1.00628,-28.3536,-463.441,607.858,43.4289,23492.2,edge93_bg0__AS80_p67_edge93_p13__asis
edge93_bg0,edge93,3.3,Fe2.0,asis,796.67,126.794,212.577,35.4108,796.67,796.67,796.67,212.577,212.577,1.83955,2.42975,0.178612,-0.116695,-0.000298455,-0.0274153,-0.098003,-0.0934314,24.1011,1.00829,-38.0126,-739.398,516.722,42.8392,23492.2,edge93_bg0__AS80_p67_edge93_r33_ring20__asis
