spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
edge93,edge93,3.3,Fe0.5,eq,869.903,156.845,160.105,29.4876,869.903,869.903,869.903,160.105,160.105,1.42859,19.8837,0.544347,-0.0131162,0.0107732,-0.00242742,-0.00562267,0.0388192,17.418,1.00735,-7.54612,2953.94,-1737.62,45.4284,23492.2,edge93__AS80_p67_edge93_r33_ring05__eq
edge93,edge93,2.8,Fe1.0,eq,842.181,158.575,156.65,29.6764,842.181,842.181,842.181,156.65,156.65,1.40952,19.8651,0.544078,-0.00436271,0.00804506,-0.0142961,-0.0192306,0.0173586,17.6875,1.00765,-7.96838,3089.08,-1595.55,45.4057,23492.2,edge93__AS80_p67_edge93_r28__eq
edge93,edge93,3.3,Fe1.0,eq,894.065,161.867,166.041,30.041,894.065,894.065,894.065,166.041,166.041,1.43232,19.8829,0.544368,-0.0151839,0.0121853,-0.00556425,-0.00620383,0.0463506,16.3518,1.0072,-7.43342,3019.18,-1622.45,45.3551,23492.2,edge93__AS80_p67_edge93_r33__eq
edge93,edge93,3.8,Fe1.0,eq,937.763,159.257,169.293,29.1146,937.763,937.763,937.763,169.293,169.293,1.46211,19.9241,0.544962,-0.0251685,0.0128088,0.000966485,0.00409953,0.0685261,16.0297,1.00711,-7.32686,3014.34,-1716.27,45.5086,23492.2,edge93__AS80_p67_edge93_r38__eq
edge93,edge93,4.2,Fe1.0,eq,966.891,165.591,172.724,28.5896,966.891,966.891,966.891,172.724,172.724,1.4889,19.961,0.545526,-0.0368412,0.0145833,0.00235239,0.00716538,0.0741429,15.9586,1.00699,-7.18129,2894.12,-1823.9,45.2351,23492.2,edge93__AS80_p67_edge93_r42__eq
edge93,edge93,4.345,Fe1.0,eq,959.022,154.278,216.335,34.699,959.022,959.022,959.022,216.335,216.335,1.60366,20.2277,0.54935,-0.104207,0.00541468,0.002612,0.00652396,0.0661155,18.0366,1.00849,-15.2229,2885.28,-1751.3,45.3722,23492.2,edge93__AS80_p67_edge93_p13__eq
edge93,edge93,3.3,Fe2.0,eq,930.596,170.866,176.038,30.5324,930.596,930.596,930.596,176.038,176.038,1.43107,19.8833,0.544406,-0.0173783,0.0091218,-0.000111549,-0.00174539,0.0621957,15.3153,1.00721,-7.5957,2899.81,-1655.63,45.1188,23492.2,edge93__AS80_p67_edge93_r33_ring20__eq
edge93_bg0,edge93,2.8,Al1.0,eq,790.379,98.2189,216.876,28.4149,790.379,790.379,790.379,216.876,216.876,3.54265,7.04549,0.345375,-0.00923665,0.0331546,0.0169044,-0.035653,-0.0627881,16.7368,1.00736,-7.23072,-16254.4,29728.2,77.1656,23492.2,edge93_bg0__AS80_p88_edge93_r28_al__eq
edge93_bg0,edge93,3.3,Al1.0,eq,840.819,105.661,221.02,31.4694,840.819,840.819,840.819,221.02,221.02,3.51269,6.98607,0.343715,-0.0180396,0.0338508,0.0301864,-0.0130019,-0.035623,15.9365,1.00708,-7.04028,-16351.6,29605.9,76.8818,23492.2,edge93_bg0__AS80_p88_edge93_r33_al__eq
edge93_bg0,edge93,3.8,Al1.0,eq,879.225,103.769,229.729,31.2237,879.225,879.225,879.225,229.729,229.729,3.56054,7.0593,0.345811,-0.0318184,0.0339336,0.0351152,-0.00349817,-0.0205052,15.7297,1.00707,-7.71381,-16346.4,29667.3,77.2729,23492.2,edge93_bg0__AS80_p88_edge93_r38_al__eq
edge93_bg0,edge93,3.3,Fe0.5,eq,848.228,105.404,225.138,31.7316,848.228,848.228,848.228,225.138,225.138,3.51932,6.99686,0.344024,-0.0192965,0.0345446,0.0317262,-0.0118168,-0.030401,15.705,1.00702,-6.97667,-16362.6,29652.7,77.031,23492.2,edge93_bg0__AS80_p67_edge93_r33_ring05__eq
edge93_bg0,edge93,2.8,Fe1.0,eq,823.007,103.853,225.373,29.6887,823.007,823.007,823.007,225.373,225.373,3.51868,7.00463,0.344226,-0.0107417,0.034083,0.0209859,-0.02739,-0.0474628,15.3922,1.00718,-7.18305,-16208.7,29793.1,77.0927,23492.2,edge93_bg0__AS80_p67_edge93_r28__eq
edge93_bg0,edge93,3.3,Fe1.0,eq,868.097,104.879,229.555,31.6142,868.097,868.097,868.097,229.555,229.555,3.53194,7.02425,0.344809,-0.0218756,0.0343107,0.0286325,-0.0142921,-0.0267222,15.1676,1.00689,-6.89706,-16324.2,29737.2,77.2518,23492.2,edge93_bg0__AS80_p67_edge93_r33__eq
edge93_bg0,edge93,3.8,Fe1.0,eq,905.832,103.378,234.062,30.8606,905.832,905.832,905.832,234.062,234.062,3.57185,7.06763,0.346048,-0.0326055,0.0338473,0.0336239,-0.00154852,-0.0104601,15.3061,1.00679,-6.81459,-16253.2,29752.8,77.3471,23492.2,edge93_bg0__AS80_p67_edge93_r38__eq
edge93_bg0,edge93,4.2,Fe1.0,eq,906.592,97.3574,264.12,33.199,906.592,906.592,906.592,264.12,264.12,3.6409,7.24395,0.351021,-0.0730574,0.0375716,0.0400473,-0.00836386,-0.0232914,15.6484,1.00813,-14.2693,-16484.3,29641.7,77.3541,23492.2,edge93_bg0__AS80_p67_edge93_r42__eq
edge93_bg0,edge93,4.345,Fe1.0,eq,927.382,93.0753,276.548,33.1803,927.382,927.382,927.382,276.548,276.548,3.68703,7.39469,0.355233,-0.10713,0.0225771,0.0325811,0.00143974,-0.00972557,17.7494,1.00835,-14.4991,-16516.3,29700.7,77.5285,23492.2,edge93_bg0__AS80_p67_edge93_p13__eq
edge93_bg0,edge93,3.3,Fe2.0,eq,898.44,104.091,239.037,31.5182,898.44,898.44,898.44,239.037,239.037,3.55185,7.07944,0.346385,-0.0249636,0.0295955,0.0327674,-0.0120092,-0.015403,14.7569,1.00693,-7.17907,-16476.7,29682.4,77.5454,23492.2,edge93_bg0__AS80_p67_edge93_r33_ring20__eq
