spectrum,channels,kev_per_ch,peak_kev,peak_ch,fwhm_field,w_ch_empirical,w_kev_empirical,ratio_to_ch,ratio_to_kev,fwhmcal_at_ch
ASN16_Th232,8192,0.412216,238.058,617,56.5439,64.0259,26.3917,0.8831,2.1425,53.7328
ASN16_Th232,8192,0.413749,337.174,857,69.6948,61.8321,25.5806,1.1272,2.7245,64.8604
ASN16_Th232,8192,0.414803,405.529,1022,38.3260,52.7262,21.8700,0.7269,1.7524,71.7438
ASN16_Th232,8192,0.415672,462.001,1158,55.1349,180.1381,74.9494,0.3061,0.7356,77.0664
ASN16_Th232,8192,0.416413,510.262,1274,64.8667,180.1381,74.9494,0.3601,0.8655,81.3982
ASN16_Th232,8192,0.417537,583.650,1450,94.0809,88.5413,36.9676,1.0626,2.5450,87.6612
ASN16_Th232,8192,0.419734,727.661,1794,92.0264,110.9566,46.5586,0.8294,1.9766,99.0303
ASN16_Th232,8192,0.420635,786.907,1935,44.2751,80.5663,33.8798,0.5495,1.3068,103.4167
ASN16_Th232,8192,0.422538,912.540,2233,109.6038,208.8288,88.2962,0.5248,1.2413,112.2600
ASN16_Th232,8192,0.423452,973.028,2376,89.0410,208.8288,88.2962,0.4264,1.0084,116.3235
ASN16_Th232,8192,0.425413,1103.329,2683,112.4401,131.5024,55.9248,0.8550,2.0106,124.7091
ASN16_Th232,8192,0.427578,1247.911,3022,147.9793,195.8846,83.7086,0.7554,1.7678,133.5053
ASN16_Th232,8192,0.430817,1465.514,3529,57.6027,125.3259,54.0258,0.4596,1.0662,145.9093
ASN16_Th232,8192,0.432605,1586.393,3809,164.1061,172.9617,74.8310,0.9488,2.1930,152.4325
ASN16_Th232,8192,0.436872,1876.798,4477,166.1195,322.0054,140.9633,0.5159,1.1785,167.2155
ASN16_Th232,8192,0.440315,2113.200,5016,179.6201,237.5879,104.6431,0.7560,1.7165,178.4669
ASN16_Th232,8192,0.443253,2316.420,5476,236.7177,29.7819,13.2027,7.9484,17.9295,187.6661
ASN16_Th232,8192,0.447526,2614.386,6145,218.7473,188.8025,84.4929,1.1586,2.5889,200.4753
ASN16_Th232_Am241,8192,0.363806,57.485,173,31.1055,29.9224,10.8865,1.0395,2.8572,28.6359
ASN16_Th232_Am241,8192,0.3649,78.982,232,32.4820,27.4035,9.9984,1.1853,3.2487,33.6724
ASN16_Th232_Am241,8192,0.367514,133.183,380,35.9055,38.6195,14.1941,0.9297,2.5296,44.2172
ASN16_Th232_Am241,8192,0.372117,240.075,669,61.2264,44.5513,16.5784,1.3743,3.6932,60.4248
ASN16_Th232_Am241,8192,0.374053,290.443,804,20.3706,27.4617,10.2762,0.7418,1.9823,66.8792
ASN16_Th232_Am241,8192,0.375835,340.312,937,78.4610,71.4563,26.8523,1.0980,2.9219,72.7777
ASN16_Th232_Am241,8192,0.379602,459.688,1253,56.9123,198.3574,75.4458,0.2869,0.7543,85.4441
ASN16_Th232_Am241,8192,0.381056,512.174,1391,69.8349,198.3574,75.4458,0.3521,0.9256,90.5181
ASN16_Th232_Am241,8192,0.382793,580.923,1571,106.5917,103.6316,39.6784,1.0286,2.6864,96.8087
ASN16_Th232_Am241,8192,0.38591,726.229,1949,102.9956,134.4314,51.8692,0.7662,1.9857,109.0467
ASN16_Th232_Am241,8192,0.388937,907.575,2417,117.0251,225.3635,87.7243,0.5193,1.3340,122.8051
ASN16_Th232_Am241,8192,0.389818,971.045,2580,96.6026,225.3635,87.7243,0.4287,1.1012,127.3108
ASN16_Th232_Am241,8192,0.391518,1111.694,2940,155.6067,210.5465,82.4098,0.7391,1.8882,136.8314
ASN16_Th232_Am241,8192,0.392914,1246.622,3284,129.2600,124.0804,48.7509,1.0417,2.6514,145.4516
ASN16_Th232_Am241,8192,0.394189,1382.399,3629,123.6416,353.4492,139.4451,0.3498,0.8867,153.6992
ASN16_Th232_Am241,8192,0.39611,1589.453,4153,179.0629,175.5076,69.5210,1.0203,2.5757,165.5816
ASN16_Th232_Am241,8192,0.397887,1760.152,4583,152.3415,239.4553,95.2508,0.6362,1.5994,174.8382
ASN16_Th232_Am241,8192,0.402886,2109.515,5456,195.6651,646.2178,261.4090,0.3028,0.7485,192.5065
ASN16_Th232_Am241,8192,0.407399,2324.990,5988,228.6042,216.2674,87.9879,1.0570,2.5981,202.6540
ASN16_Th232_Am241,8192,0.415761,2612.915,6688,233.8207,211.1896,87.8241,1.1072,2.6624,215.4096
ASN16_UGlass,8192,0.373094,62.386,194,32.9292,30.1913,11.2643,1.0907,2.9233,29.5254
ASN16_UGlass,8192,0.373643,93.003,276,37.2460,30.9437,11.5616,1.2037,3.2215,36.0110
ASN16_UGlass,8192,0.374579,145.378,416,35.2941,38.3449,14.3607,0.9204,2.4577,45.3733
ASN16_UGlass,8192,0.375335,187.748,529,52.9271,42.6456,16.0058,1.2411,3.3067,51.9499
ASN16_UGlass,8192,0.376331,243.747,678,41.9299,21.4942,8.0873,1.9508,5.1847,59.7434
ASN16_UGlass,8192,0.385507,766.369,2050,130.4456,209.2254,80.5984,0.6235,1.6185,111.4174
ASN16_UGlass,8192,0.38964,1005.889,2668,137.6044,127.7003,49.7404,1.0776,2.7665,129.2436
ASN16_UGlass,8192,0.397385,1461.577,3826,165.1394,138.1334,54.8857,1.1955,3.0088,158.3410
ASN3_Tile,2500,1.19039,75.289,67,12.1184,25.0449,29.8289,0.4839,0.4063,8.2005
ASN3_Tile,2500,1.19543,128.970,112,17.0336,26.9072,32.1709,0.6331,0.5295,10.6760
ASN3_Tile,2500,1.20561,238.217,203,15.6202,19.2388,23.1801,0.8119,0.6739,14.3908
ASN3_Tile,2500,1.21076,293.794,249,16.6562,8.4947,10.2847,1.9608,1.6195,15.9204
ASN3_Tile,2500,1.21591,349.607,295,20.6082,20.7309,25.1978,0.9941,0.8179,17.3018
ASN3_Tile,2500,1.23886,601.221,500,27.5887,33.2053,41.1261,0.8309,0.6708,22.3188
ASN3_Tile,2500,1.26606,905.569,743,25.1166,33.3334,42.1811,0.7535,0.5954,26.8623
ASN3_Tile,2500,1.28453,1115.992,908,30.9668,58.2661,74.8372,0.5315,0.4138,29.4244
ASN3_Tile,2500,1.31341,1451.126,1166,45.0733,56.2109,73.8217,0.8019,0.6106,32.8496
ASN3_Tile,2500,1.32494,1587.001,1269,34.2574,53.2837,70.5391,0.6429,0.4857,34.0602
ASN3_Tile,2500,1.33848,1748.138,1390,46.5430,67.1548,89.9345,0.6931,0.5175,35.3867
ASN3_Tile,2500,1.4099,2624.872,2028,53.3934,44.4085,62.6167,1.2023,0.8527,41.0352
ASN8_Am241,8192,0.372715,59.122,171,58.4250,60.3499,22.4926,0.9681,2.5975,51.0959
ASN8_Am241,8192,0.382793,610.266,1630,100.0862,75.8831,29.0445,1.3190,3.4460,109.9669
ASN8_Am241,8192,0.397859,1461.566,3811,162.4819,17.5625,6.9868,9.2516,23.2555,146.7753
ASN8_Th232_1024,1024,2.95752,72.870,28,7.3072,11.6751,34.5314,0.6259,0.2116,4.4307
ASN8_Th232_1024,1024,2.9822,236.212,83,9.1590,10.1998,30.4158,0.8980,0.3011,8.0169
ASN8_Th232_1024,1024,2.99746,337.866,117,10.5022,9.5720,28.6865,1.0972,0.3661,9.6138
ASN8_Th232_1024,1024,3.01585,461.139,158,6.2671,7.1454,21.5475,0.8771,0.2909,11.2668
ASN8_Th232_1024,1024,3.02258,506.427,173,9.0382,25.5541,77.1563,0.3537,0.1171,11.8205
ASN8_Th232_1024,1024,3.03425,585.166,199,14.5079,14.4003,43.6896,1.0075,0.3321,12.7309
ASN8_Th232_1024,1024,3.05489,725.216,245,13.8219,13.4617,41.1113,1.0268,0.3362,14.2209
ASN8_Th232_1024,1024,3.08226,912.399,306,16.4861,29.0228,89.5049,0.5680,0.1842,16.0216
ASN8_Th232_1024,1024,3.09033,967.953,324,13.7503,28.5282,87.9800,0.4820,0.1563,16.5234
ASN8_Th232_1024,1024,3.11008,1104.362,368,18.6524,21.4078,66.5228,0.8713,0.2804,17.7044
ASN8_Th232_1024,1024,3.17917,1588.634,522,23.4907,23.2150,73.7994,1.0119,0.3183,21.4603
ASN8_Th232_1024,1024,3.2043,1767.371,578,18.5266,19.8799,63.6872,0.9319,0.2909,22.7201
ASN8_Th232_1024,1024,3.2541,2125.812,689,25.2311,59.0763,192.6636,0.4271,0.1310,25.0986
ASN8_Th232_1024,1024,3.32095,2615.654,838,30.9085,28.9379,96.1071,1.0681,0.3216,28.1026
ASN8_Th232_2048,2048,1.47424,73.248,56,15.5711,23.4607,34.5901,0.6637,0.4502,10.3510
ASN8_Th232_2048,2048,1.47868,130.830,95,10.0426,14.3697,21.2423,0.6989,0.4728,13.8075
ASN8_Th232_2048,2048,1.48676,236.104,166,19.7811,20.3193,30.2090,0.9735,0.6548,18.4969
ASN8_Th232_2048,2048,1.49473,340.456,236,22.2185,20.3348,30.3852,1.0926,0.7312,22.1543
ASN8_Th232_2048,2048,1.50383,460.398,316,11.2354,14.3803,21.6238,0.7813,0.5196,25.6888
ASN8_Th232_2048,2048,1.50759,510.086,349,17.1979,52.2278,78.6370,0.3293,0.2187,27.0076
ASN8_Th232_2048,2048,1.51316,584.095,398,30.4325,28.1489,42.5902,1.0811,0.7145,28.8501
ASN8_Th232_2048,2048,1.52375,725.311,491,30.1447,25.4266,38.7310,1.1856,0.7783,32.0432
ASN8_Th232_2048,2048,1.53729,907.442,610,36.8645,56.8052,87.3893,0.6490,0.4218,35.6908
ASN8_Th232_2048,2048,1.54138,962.859,646,38.4543,55.8537,85.9251,0.6885,0.4475,36.7178
ASN8_Th232_2048,2048,1.55242,1112.908,743,37.4708,34.0564,52.8160,1.1003,0.7095,39.3406
ASN8_Th232_2048,2048,1.56187,1242.151,826,33.4276,26.3152,41.0938,1.2703,0.8134,41.4410
ASN8_Th232_2048,2048,1.58668,1585.343,1044,48.9320,49.7954,79.0156,0.9827,0.6193,46.4598
ASN8_Th232_2048,2048,1.60022,1774.963,1163,37.9784,42.1969,67.4864,0.9000,0.5628,48.9550
ASN8_Th232_2048,2048,1.62412,2113.519,1373,52.1304,131.4655,214.0927,0.3965,0.2435,53.0284
ASN8_Th232_2048,2048,1.65883,2614.168,1678,63.1176,57.0346,94.6083,1.1067,0.6671,58.3491
ASN8_Th232_3000,3000,1.00832,73.856,82,21.7610,33.2981,33.5786,0.6535,0.6481,14.8185
ASN8_Th232_3000,3000,1.01129,132.424,140,16.2333,33.0319,33.3901,0.4914,0.4862,19.8528
ASN8_Th232_3000,3000,1.0166,237.875,244,28.4423,29.2228,29.7060,0.9733,0.9575,26.6285
ASN8_Th232_3000,3000,1.02172,339.791,344,32.2112,29.1499,29.7769,1.1050,1.0818,31.8477
ASN8_Th232_3000,3000,1.0278,461.737,463,15.6184,24.6044,25.2898,0.6348,0.6176,37.1551
ASN8_Th232_3000,3000,1.0302,510.100,510,25.5409,71.6452,73.7271,0.3565,0.3464,39.0647
ASN8_Th232_3000,3000,1.03388,584.407,582,44.2488,43.5938,45.0693,1.0150,0.9818,41.8333
ASN8_Th232_3000,3000,1.04068,722.365,715,44.0312,55.6336,57.8769,0.7914,0.7608,46.5502
ASN8_Th232_3000,3000,1.04993,911.566,896,55.0662,86.4954,90.8669,0.6366,0.6060,52.3535
ASN8_Th232_3000,3000,1.05254,965.179,947,57.3252,82.7778,86.9650,0.6925,0.6592,53.8887
ASN8_Th232_3000,3000,1.0597,1113.036,1087,56.1517,82.3046,87.1420,0.6822,0.6444,57.9210
ASN8_Th232_3000,3000,1.08245,1589.662,1532,71.5372,62.4396,67.5813,1.1457,1.0585,69.4133
ASN8_Th232_3000,3000,1.09068,1764.599,1693,55.9746,84.7687,92.3909,0.6603,0.6058,73.2052
ASN8_Th232_3000,3000,1.10693,2114.018,2011,80.3366,211.9024,235.2473,0.3791,0.3415,80.2801
ASN8_Th232_3000,3000,1.12958,2609.406,2454,95.1680,84.6364,95.6161,1.1244,0.9953,89.4253
ASN8_Th232_4096,4096,0.7368,74.035,113,30.5839,48.3104,35.5980,0.6331,0.8591,20.2851
ASN8_Th232_4096,4096,0.738997,132.329,192,20.4611,48.2541,35.6366,0.4240,0.5742,27.0883
ASN8_Th232_4096,4096,0.742916,236.804,333,39.0648,39.9798,29.7007,0.9771,1.3153,36.1749
ASN8_Th232_4096,4096,0.746781,340.338,472,43.9778,42.5149,31.7409,1.0344,1.3855,43.2995
ASN8_Th232_4096,4096,0.753091,510.574,699,35.1687,99.3448,74.7262,0.3540,0.4706,52.9009
ASN8_Th232_4096,4096,0.755704,581.487,793,60.2515,56.9198,43.0183,1.0585,1.4006,56.3970
ASN8_Th232_4096,4096,0.760959,724.812,982,59.8625,72.4131,55.0773,0.8267,1.0869,62.8352
ASN8_Th232_4096,4096,0.767686,909.778,1224,71.9567,114.1631,87.6965,0.6303,0.8205,70.2131
ASN8_Th232_4096,4096,0.769632,963.584,1294,67.5582,114.2388,87.7546,0.5914,0.7699,72.2049
ASN8_Th232_4096,4096,0.774998,1112.641,1487,75.9059,119.9220,92.8495,0.6330,0.8175,77.4277
ASN8_Th232_4096,4096,0.791761,1585.018,2090,96.6612,96.8481,76.6814,0.9981,1.2606,91.8196
ASN8_Th232_4096,4096,0.798044,1764.666,2316,75.2517,95.8912,76.5312,0.7848,0.9833,96.6512
ASN8_Th232_4096,4096,0.810026,2111.205,2747,101.8532,303.6291,246.7690,0.3355,0.4127,105.2358
ASN8_Th232_4096,4096,0.827234,2617.937,3366,126.0556,110.9170,91.7318,1.1365,1.3742,116.4290
ASN8_Th232_8192,8192,0.36944,73.916,226,69.8507,97.3279,35.9597,0.7177,1.9425,55.5515
ASN8_Th232_8192,8192,0.370562,134.596,390,36.5761,62.6306,23.1995,0.5840,1.5766,67.0734
ASN8_Th232_8192,8192,0.372449,237.132,666,83.8732,80.8959,30.1284,1.0368,2.7839,80.6927
ASN8_Th232_8192,8192,0.374344,340.563,943,89.2244,66.6554,24.9468,1.3386,3.5766,90.9931
ASN8_Th232_8192,8192,0.376499,458.820,1258,45.6435,211.0508,79.5636,0.2163,0.5737,100.5188
ASN8_Th232_8192,8192,0.377449,511.220,1397,68.4031,211.0508,79.5636,0.3241,0.8597,104.2246
ASN8_Th232_8192,8192,0.378783,584.953,1592,118.8573,114.4215,43.3386,1.0388,2.7425,109.0367
ASN8_Th232_8192,8192,0.381314,725.571,1962,113.5570,145.2131,55.3455,0.7820,2.0518,117.1989
ASN8_Th232_8192,8192,0.384556,907.082,2436,129.0122,232.1841,89.3624,0.5556,1.4437,126.2954
ASN8_Th232_8192,8192,0.385637,967.927,2594,108.0037,232.1841,89.3624,0.4652,1.2086,129.0671
ASN8_Th232_8192,8192,0.388209,1113.410,2970,153.1982,168.1676,65.2634,0.9110,2.3474,135.2455
ASN8_Th232_8192,8192,0.390534,1245.796,3310,138.8039,71.6899,28.0142,1.9362,4.9548,140.4053
ASN8_Th232_8192,8192,0.396424,1584.582,4171,177.1253,199.6892,79.1715,0.8870,2.2372,152.0792
ASN8_Th232_8192,8192,0.399454,1760.869,4614,143.2544,209.4243,83.6918,0.6840,1.7117,157.4756
ASN8_Th232_8192,8192,0.405418,2111.793,5486,174.6839,702.1101,285.5703,0.2488,0.6117,167.1794
ASN8_Th232_8192,8192,0.408996,2324.762,6009,276.6000,76.6606,31.3636,3.6081,8.8191,172.5217
ASN8_Th232_8192,8192,0.41379,2613.149,6710,221.3017,223.3697,92.4223,0.9907,2.3945,179.2245
ASN8_UGlass,8192,0.375676,54.480,182,48.8588,154.2995,58.0112,0.3166,0.8422,50.2507
ASN8_UGlass,8192,0.376267,86.437,267,56.1205,156.0187,58.6574,0.3597,0.9568,57.4559
ASN8_UGlass,8192,0.378015,181.100,518,73.1961,56.2725,21.2700,1.3007,3.4413,72.4379
ASN8_UGlass,8192,0.388589,763.335,2037,138.6762,169.5986,65.8566,0.8177,2.1057,116.9172
ASN8_UGlass,8192,0.392828,1001.276,2646,143.9924,134.1053,52.6734,1.0737,2.7337,128.1139
ASN8_UGlass,8192,0.400959,1464.848,3814,172.3031,181.2417,72.6407,0.9507,2.3720,145.5843
G1S16_Am241_P25,1024,2.82133,60.691,24,3.7360,3.7579,10.6006,0.9942,0.3524,3.3412
G1S16_Am241_P25,1024,3.0029,1438.873,492,28.9924,7.8353,23.5287,3.7002,1.2322,23.6843
G1S16_Am241_P5,1024,2.90252,56.265,24,3.6402,3.5878,10.4123,1.0146,0.3496,3.1940
G1S16_Am241_P5,1024,2.91248,96.970,38,4.4701,4.3844,12.7700,1.0195,0.3500,4.3223
G1S16_Ba133_P25,1024,2.87753,48.227,21,2.8553,2.9483,8.4829,0.9684,0.3366,2.9369
G1S16_Ba133_P25,1024,2.88574,77.044,31,4.2295,3.9749,11.4713,1.0641,0.3687,3.7953
G1S16_Ba133_P25,1024,2.90774,158.156,59,6.1222,9.1003,26.4558,0.6728,0.2314,5.7979
G1S16_Ba133_P25,1024,2.94279,301.512,108,7.2415,9.6562,28.4099,0.7499,0.2549,8.6328
G1S16_Ba133_P25,1024,2.95457,354.589,126,10.4404,10.3748,30.6557,1.0063,0.3406,9.5550
G1S16_Ba133_P25,1024,3.00311,613.849,213,16.5461,25.3811,76.1546,0.6519,0.2173,13.5007
G1S16_Ba133_P25,1024,3.06533,1466.779,493,25.7984,35.5176,108.8762,0.7264,0.2370,23.4601
G1S16_Ba133_P25,1024,3.05168,1788.099,598,26.4183,30.6687,93.6278,0.8614,0.2822,26.6404
G1S16_Ba133_P5,1024,2.89654,47.498,21,2.7914,3.3865,9.8083,0.8243,0.2846,2.9266
G1S16_Ba133_P5,1024,2.90373,76.499,31,4.1965,3.8666,11.2285,1.0853,0.3737,3.7820
G1S16_Ba133_P5,1024,2.91283,114.307,44,3.9624,4.4930,13.0899,0.8819,0.3027,4.7626
G1S16_Ba133_P5,1024,2.92235,155.154,58,8.0841,11.8437,34.6100,0.6826,0.2336,5.7125
G1S16_Ba133_P5,1024,2.95383,302.074,108,7.4558,9.9205,29.2990,0.7516,0.2545,8.6015
G1S16_Ba133_P5,1024,2.96477,358.302,127,10.6605,10.4264,30.9098,1.0225,0.3449,9.5699
G1S16_Ba133_P5,1024,2.98193,453.454,159,7.2331,8.3994,25.0363,0.8611,0.2889,11.0958
G1S16_Ba133_P5,1024,3.06584,1471.334,494,21.0617,43.9552,134.7543,0.4792,0.1563,23.4031
G1S16_Cd109_P25,1024,2.88731,85.679,34,4.2446,5.0867,14.6859,0.8344,0.2890,4.0338
G1S16_Cd109_P25,1024,2.95177,345.626,123,10.9631,11.5962,34.2105,0.9454,0.3205,9.4057
G1S16_Cd109_P25,1024,3.00174,610.664,212,15.8276,15.8484,47.5554,0.9987,0.3328,13.4605
G1S16_Cd109_P25,1024,3.06435,1472.472,495,25.4526,16.7863,51.4390,1.5163,0.4948,23.5253
G1S16_Cd109_P25,1024,2.91871,2614.562,874,30.4620,11.8000,34.4835,2.5815,0.8834,34.2061
G1S16_Cd109_P5,1024,2.92461,85.764,34,4.4191,3.8287,11.1972,1.1542,0.3947,4.0094
G1S16_Cd109_P5,1024,3.08566,1468.490,490,22.0219,20.1460,62.1631,1.0931,0.3543,23.2222
G1S16_Ce139_P25,1024,2.88719,162.729,61,6.0914,5.0605,14.6098,1.2037,0.4169,5.9435
G1S16_Ce139_P25,1024,2.93025,343.106,123,9.4482,8.6703,25.4024,1.0897,0.3719,9.4314
G1S16_Ce139_P25,1024,2.97986,606.212,212,13.1010,8.7702,26.1311,1.4938,0.5014,13.4974
G1S16_Ce139_P25,1024,3.04212,1452.611,492,25.3761,24.4618,74.4120,1.0374,0.3410,23.4955
G1S16_Ce139_P25,1024,3.02942,1762.419,594,25.1826,22.4902,68.1316,1.1197,0.3696,26.5986
G1S16_Ce139_P5,1024,2.9151,105.730,41,5.3717,6.0527,17.6426,0.8875,0.3045,4.5437
G1S16_Ce139_P5,1024,2.92871,164.169,61,6.3878,5.3728,15.7353,1.1889,0.4060,5.9021
G1S16_Ce139_P5,1024,2.93787,205.235,75,3.6668,4.8590,14.2738,0.7546,0.2569,6.7620
G1S16_Ce139_P5,1024,2.9968,516.956,180,12.7478,13.0397,39.0693,0.9776,0.3263,12.0332
G1S16_Ce139_P5,1024,3.07044,1467.391,492,23.3852,25.8739,79.4434,0.9038,0.2944,23.3277
G1S16_Co57_P5,1024,2.90967,85.326,34,4.4286,4.3252,12.5847,1.0239,0.3519,4.0171
G1S16_Co57_P5,1024,2.91804,120.292,46,5.2145,4.4262,12.9157,1.1781,0.4037,4.9016
G1S16_Co57_P5,1024,3.06989,1464.057,491,29.1262,28.0831,86.2098,1.0371,0.3379,23.2980
G1S16_Co60_P25,1024,2.87971,237.362,83,11.1265,16.8709,48.5716,0.6595,0.2291,7.7317
G1S16_Co60_P25,1024,2.98741,848.893,291,13.5359,66.3584,198.1509,0.2040,0.0683,17.0558
G1S16_Co60_P25,1024,2.99365,908.705,311,18.6002,62.6385,187.0895,0.2969,0.0994,17.7860
G1S16_Co60_P25,1024,3.01245,1170.069,398,22.1555,19.1648,57.7343,1.1561,0.3838,20.7796
G1S16_Co60_P25,1024,3.01722,1329.878,451,24.2323,20.8957,63.0465,1.1597,0.3844,22.4842
G1S16_Co60_P5,1024,2.91466,229.424,84,13.6803,18.7817,54.7436,0.7284,0.2499,7.3128
G1S16_Co60_P5,1024,2.96686,508.906,179,12.1325,16.4005,48.6269,0.7398,0.2495,12.0336
G1S16_Co60_P5,1024,3.01081,846.830,292,16.1447,55.7607,167.9341,0.2895,0.0961,16.6077
G1S16_Co60_P5,1024,3.01734,916.155,315,19.8731,65.4095,196.9061,0.3038,0.1009,17.4577
G1S16_Co60_P5,1024,3.03438,1173.432,400,21.7294,19.3961,58.8525,1.1203,0.3692,20.4309
G1S16_Co60_P5,1024,3.03936,1334.406,453,24.1183,20.8346,63.3224,1.1576,0.3809,22.1750
G1S16_Co60_P5,1024,3.03836,1589.746,537,24.2279,21.9267,66.6306,1.1050,0.3636,24.8026
G1S16_Co60_P5,1024,2.98202,2268.506,762,35.9397,78.8132,235.7399,0.4560,0.1525,31.2285
G1S16_Co60_P5,1024,2.93533,2546.728,856,35.7264,28.4878,83.6561,1.2541,0.4271,33.7140
G1S16_Cs137_Mar,1024,2.96914,198.469,73,10.9235,18.0226,53.5129,0.6061,0.2041,6.6270
G1S16_Cs137_Mar,1024,2.97898,439.368,154,12.4687,23.9040,71.1886,0.5216,0.1752,10.7905
G1S16_Cs137_Mar,1024,2.9881,663.134,229,15.9937,14.4562,43.1962,1.1063,0.3703,13.9823
G1S16_Cs137_Mar,1024,3.02008,1453.210,492,24.1352,43.5227,131.3875,0.5545,0.1837,23.0400
G1S16_Cs137_Mar_2,1024,3.00451,189.499,70,8.4558,15.2690,45.8760,0.5538,0.1843,6.3589
G1S16_Cs137_Mar_2,1024,3.00451,667.217,229,15.7569,14.2988,42.9610,1.1020,0.3668,13.9817
G1S16_Cs137_Mar_2,1024,3.00451,1460.408,493,26.4502,29.8333,89.6347,0.8866,0.2951,23.2775
G1S16_Cs137_P25,1024,2.86465,79.324,32,3.4513,6.9408,19.8786,0.4972,0.1736,3.8866
G1S16_Cs137_P25,1024,2.89314,185.850,69,9.0656,14.7042,42.5766,0.6165,0.2129,6.4458
G1S16_Cs137_P25,1024,2.9877,656.937,229,15.9568,14.5341,43.4244,1.0979,0.3675,14.2006
G1S16_Cs137_P25,1024,3.04205,1458.695,494,25.9676,29.3654,89.3306,0.8843,0.2907,23.5584
G1S16_Cs137_P25,1024,3.02985,1756.360,592,26.0893,31.8333,96.4755,0.8196,0.2704,26.5396
G1S16_Cs137_P5,1024,2.95974,186.535,72,10.0659,14.4027,42.6361,0.6989,0.2361,6.2661
G1S16_Cs137_P5,1024,3.00957,440.311,157,13.4897,28.9497,86.9644,0.4660,0.1551,10.6356
G1S16_Cs137_P5,1024,3.04329,661.291,230,15.5868,14.4499,43.9714,1.0787,0.3545,13.7816
G1S16_Cs137_P5,1024,3.06746,872.155,299,15.8136,37.4705,114.8380,0.4220,0.1377,16.4675
G1S16_Cs137_P5,1024,3.09437,1344.004,452,30.0959,43.9472,135.9638,0.6848,0.2214,21.7982
G1S16_Cs137_P5,1024,3.09529,1480.188,496,15.6461,18.8606,58.3796,0.8296,0.2680,23.2167
G1S16_Eu152_P25,1024,2.87111,33.824,16,3.3954,3.7109,10.6543,0.9150,0.3187,2.4561
G1S16_Eu152_P25,1024,2.89543,120.326,46,5.1289,4.4705,12.9430,1.1473,0.3963,4.9230
G1S16_Eu152_P25,1024,2.92672,242.602,88,7.9412,7.3783,21.5917,1.0763,0.3678,7.5461
G1S16_Eu152_P25,1024,2.94969,342.507,122,10.5012,10.1474,29.9331,1.0349,0.3508,9.3570
G1S16_Eu152_P25,1024,2.96583,419.412,148,9.4722,21.4949,63.7654,0.4407,0.1485,10.6262
G1S16_Eu152_P25,1024,3.01171,685.519,237,10.9185,11.6004,34.9306,0.9412,0.3126,14.4882
G1S16_Eu152_P25,1024,3.02466,782.106,269,15.6952,15.0527,45.5236,1.0427,0.3448,15.7482
G1S16_Eu152_P25,1024,3.03479,869.972,298,7.8073,15.9346,48.3313,0.4900,0.1615,16.8464
G1S16_Eu152_P25,1024,3.04417,967.240,330,17.9425,15.7112,47.8234,1.1420,0.3752,18.0166
G1S16_Eu152_P25,1024,3.05421,1104.468,375,22.6423,21.2096,64.7774,1.0675,0.3495,19.5987
G1S16_Eu152_P25,1024,3.06323,1422.746,479,25.1470,21.7625,66.6629,1.1555,0.3772,23.0260
G1S16_Eu152_P25,1024,3.0504,1771.448,593,26.2339,36.5139,111.4378,0.7185,0.2354,26.5013
G1S16_Eu152_P5,1024,2.89669,33.068,16,3.3483,3.6168,10.4767,0.9258,0.3196,2.4457
G1S16_Eu152_P5,1024,2.90967,85.326,34,4.5773,5.1369,14.9465,0.8911,0.3062,4.0171
G1S16_Eu152_P5,1024,2.91804,120.292,46,5.2097,4.2974,12.5394,1.2123,0.4155,4.9016
G1S16_Eu152_P5,1024,2.92819,164.139,61,7.0055,8.5790,25.1139,0.8166,0.2789,5.9025
G1S16_Eu152_P5,1024,2.94557,243.437,88,8.0136,8.0821,23.8042,0.9915,0.3366,7.5129
G1S16_Eu152_P5,1024,2.96641,346.903,123,10.5253,9.9745,29.5848,1.0552,0.3558,9.3658
G1S16_Eu152_P5,1024,2.98379,442.110,155,12.0476,19.8025,59.0428,0.6084,0.2040,10.9058
G1S16_Eu152_P5,1024,3.00508,573.876,199,13.8269,18.1660,54.5681,0.7611,0.2534,12.8559
G1S16_Eu152_P5,1024,3.02065,685.359,236,11.4858,15.9607,48.2230,0.7196,0.2382,14.3833
G1S16_Eu152_P5,1024,3.03273,785.244,269,16.0866,15.8780,48.1497,1.0131,0.3341,15.6775
G1S16_Eu152_P5,1024,3.04224,876.372,299,7.9524,11.4487,34.8203,0.6946,0.2284,16.8077
G1S16_Eu152_P5,1024,3.0506,970.815,330,18.0714,16.1176,49.1681,1.1212,0.3675,17.9354
G1S16_Eu152_P5,1024,3.06024,1111.377,376,22.2729,21.3756,65.4105,1.0420,0.3405,19.5444
G1S16_Eu152_P5,1024,3.06982,1421.079,477,24.6692,21.2256,65.1586,1.1622,0.3786,22.8585
G1S16_K40_Mar,1024,2.9673,511.343,179,10.5322,17.7279,52.5981,0.5941,0.2002,11.9265
G1S16_K40_Mar,1024,2.99439,1179.052,403,25.9141,50.8809,152.2457,0.5093,0.1702,20.2624
G1S16_K40_Mar,1024,3.0054,1452.043,494,25.1531,21.2608,63.8956,1.1831,0.3937,23.1439
G1S16_K40_Mar_2,1024,3.08323,241.629,87,7.6341,19.4716,60.0354,0.3921,0.1272,7.1407
