spectrum,peak_kev,fwhm_kev,label,line_kev,intensity_pct,verdict,rivals,rival_factor,real_rivals,real_factor,best_rival,best_rival_i,matcher_alts,matcher_factor,near_miss,near_factor,fwhm_channels,rivals_old_window,rival_factor_old,real_rivals_old_window,real_factor_old
G1S16_Na22_P5,1460.773,81.738,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,27.731,0,1.000,0,1.000
G1S16_Na22_P5,1793.338,85.472,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,29.119,0,1.000,0,1.000
G1S16_Ra226_Mar,147.049,17.751,U-235,145.000,10.96,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,5.998,0,1.000,0,1.000
G1S16_Ra226_Mar,182.573,17.921,U-235,185.715,57,ПОКАЗАНО,1,15.659,1,15.659,Ra-226,3.64,1,1.368,0,1.000,6.052,0,1.000,0,1.000
G1S16_Ra226_Mar,241.818,21.921,Pb-214,241.000,7.2615,ПОКАЗАНО,2,6.004,2,6.004,Pb-212,43.6,1,1.478,1,1.478,7.397,1,1.040,1,1.040
G1S16_Ra226_Mar,295.181,25.229,Pb-214,295.000,18.4672,ПОКАЗАНО,2,5.068,2,5.068,Lu-176,93.6,2,11.542,2,11.542,8.507,0,1.000,0,1.000
G1S16_Ra226_Mar,354.518,30.712,Pb-214,353.000,35.7166,ПОКАЗАНО,3,2.282,3,2.282,I-131,81.5,2,12.107,2,12.107,10.347,1,1.737,1,1.737
G1S16_Ra226_Mar,613.202,43.626,Ag-108m,614.000,89.8,ПОКАЗАНО,1,1.976,1,1.976,Bi-214,45.44,3,12.549,2,12.549,14.646,1,1.976,1,1.976
G1S16_Ra226_Mar,774.225,48.790,Eu-152,780.000,12.93,ПОКАЗАНО,3,6.609,3,6.609,Cs-134,85.46,3,8.031,1,1.939,16.344,1,2.644,1,2.644
G1S16_Ra226_Mar,938.594,51.825,Ac-228,964.000,4.99,ПОКАЗАНО,0,1.000,0,1.000,,,2,5.170,2,5.170,17.322,0,1.000,0,1.000
G1S16_Ra226_Mar,1118.325,62.767,Bi-214,1120.000,14.9,ПОКАЗАНО,1,1.090,1,1.090,Eu-152,13.67,2,6.701,1,6.701,20.928,1,1.090,1,1.090
G1S16_Ra226_Mar,1247.400,55.391,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,0,1.000,18.437,0,1.000,0,1.000
G1S16_Ra226_Mar,1385.728,68.587,Bi-214,1377.000,3.985,ПОКАЗАНО,0,1.000,0,1.000,,,2,25.090,1,25.090,22.787,0,1.000,0,1.000
G1S16_Ra226_Mar,1756.868,87.190,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,28.825,0,1.000,0,1.000
G1S16_Ra226_Mar,2202.831,99.705,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000,32.769,0,1.000,0,1.000
G1S16_Ra226_Mar,2458.844,98.446,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,32.247,0,1.000,0,1.000
G1S16_Ra226_Mar_2,147.436,20.997,U-235,145.000,10.96,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,1,4.529,6.989,0,1.000,0,1.000
G1S16_Ra226_Mar_2,180.486,18.709,U-235,185.715,57,ПОКАЗАНО,1,15.659,1,15.659,Ra-226,3.64,0,1.000,0,1.000,6.227,0,1.000,0,1.000
G1S16_Ra226_Mar_2,240.576,21.703,Pb-214,241.000,7.2615,ПОКАЗАНО,2,6.004,2,6.004,Pb-212,43.6,1,1.478,1,1.478,7.223,2,6.004,2,6.004
G1S16_Ra226_Mar_2,294.657,24.777,Pb-214,295.000,18.4672,ПОКАЗАНО,2,5.068,2,5.068,Lu-176,93.6,2,11.542,2,11.542,8.247,0,1.000,0,1.000
G1S16_Ra226_Mar_2,351.743,30.270,Pb-214,353.000,35.7166,ПОКАЗАНО,4,3.169,4,3.169,Ac-228,11.27,1,12.107,1,12.107,10.075,0,1.000,0,1.000
G1S16_Ra226_Mar_2,613.136,44.053,Ag-108m,614.000,89.8,ПОКАЗАНО,1,1.976,1,1.976,Bi-214,45.44,3,12.549,2,12.549,14.662,1,1.976,1,1.976
G1S16_Ra226_Mar_2,778.384,50.281,Eu-152,780.000,12.93,ПОКАЗАНО,3,6.609,3,6.609,Cs-134,85.46,3,8.031,0,1.000,16.735,0,1.000,0,1.000
G1S16_Ra226_Mar_2,937.623,53.758,Ac-228,964.000,4.99,ПОКАЗАНО,1,5.170,1,5.170,Ac-228,25.8,1,3.166,1,3.166,17.892,0,1.000,0,1.000
G1S16_Ra226_Mar_2,1120.898,62.017,Bi-214,1120.000,14.9,ПОКАЗАНО,1,1.090,1,1.090,Eu-152,13.67,2,6.701,1,6.701,20.641,1,1.090,1,1.090
G1S16_Ra226_Mar_2,1247.088,53.941,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,0,1.000,17.953,0,1.000,0,1.000
G1S16_Ra226_Mar_2,1388.300,67.820,Bi-214,1377.000,3.985,ПОКАЗАНО,0,1.000,0,1.000,,,2,25.090,1,25.090,22.573,0,1.000,0,1.000
G1S16_Ra226_Mar_2,1520.499,47.853,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.311,0,1.000,15.927,0,1.000,0,1.000
G1S16_Ra226_Mar_2,1751.846,85.111,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,28.328,0,1.000,0,1.000
G1S16_Ra226_Mar_2,2205.528,97.274,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000,32.376,0,1.000,0,1.000
G1S16_Ra226_Mar_2,2454.902,103.740,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,34.528,0,1.000,0,1.000
G1S16_Th228_P25,238.254,23.088,Pb-212,238.000,43.6,ПОКАЗАНО,3,6.004,3,6.004,Pb-214,7.2615,0,1.000,0,1.000,7.943,1,6.004,1,6.004
G1S16_Th228_P25,293.607,25.474,Pb-214,295.000,18.4672,ПОКАЗАНО,1,3.017,1,3.017,I-131,6.1207,3,11.542,3,11.542,8.725,0,1.000,0,1.000
G1S16_Th228_P25,346.270,25.329,Eu-152,345.000,26.59,ПОКАЗАНО,3,2.359,3,2.359,Ac-228,11.27,3,16.619,2,9.014,8.640,0,1.000,0,1.000
G1S16_Th228_P25,585.661,42.476,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,2,2.940,14.267,0,1.000,0,1.000
G1S16_Th228_P25,732.104,54.309,Bi-212,727.330,6.67,ПОКАЗАНО,1,3.771,1,3.771,I-131,1.7686,4,12.813,2,1.939,18.108,0,1.000,0,1.000
G1S16_Th228_P25,1112.594,55.522,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,1,7.304,0,1.000,18.291,1,1.090,1,1.090
G1S16_Th228_P25,1462.362,74.193,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,24.378,0,1.000,0,1.000
G1S16_Th228_P25,1766.224,68.930,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,22.744,0,1.000,0,1.000
G1S16_Th228_P25,2622.846,105.346,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,36.417,0,1.000,0,1.000
G1S16_Th228_P5,128.163,19.254,Ac-228,129.065,2.42,ПОКАЗАНО,1,11.789,1,11.789,Eu-152,28.53,0,1.000,1,4.529,6.507,1,11.789,1,11.789
G1S16_Th228_P5,237.706,23.969,Pb-212,238.000,43.6,ПОКАЗАНО,3,6.004,3,6.004,Pb-214,7.2615,0,1.000,0,1.000,8.091,1,6.004,1,6.004
G1S16_Th228_P5,299.934,25.638,Pb-214,295.000,18.4672,ПОКАЗАНО,1,5.068,1,5.068,Lu-176,93.6,4,11.542,3,11.542,8.649,0,1.000,0,1.000
G1S16_Th228_P5,587.888,41.776,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,2,2.940,14.052,0,1.000,0,1.000
G1S16_Th228_P5,730.695,47.999,Bi-212,727.330,6.67,ПОКАЗАНО,1,3.771,1,3.771,I-131,1.7686,4,12.813,1,1.364,16.121,0,1.000,0,1.000
G1S16_Th228_P5,864.767,50.447,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,3,53.081,1,16.025,16.921,0,1.000,0,1.000
G1S16_Th228_P5,1585.917,72.738,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.311,0,1.000,24.220,0,1.000,0,1.000
G1S16_Th228_P5,2318.379,160.866,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,1,3.184,53.175,0,1.000,0,1.000
G1S16_Th228_P5,2618.323,110.483,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,36.412,0,1.000,0,1.000
G1S16_Th232_Denta100,123.475,14.133,Eu-152,125.000,28.53,ПОКАЗАНО,1,11.789,1,11.789,Ac-228,2.42,0,1.000,0,1.000,4.797,0,1.000,0,1.000
G1S16_Th232_Denta100,238.504,23.130,Pb-212,238.000,43.6,ПОКАЗАНО,3,6.004,3,6.004,Pb-214,7.2615,0,1.000,0,1.000,7.833,1,6.004,1,6.004
G1S16_Th232_Denta100,336.035,28.164,Ac-228,338.000,11.27,ПОКАЗАНО,2,3.820,2,3.820,Ac-228,2.95,5,8.305,4,7.232,9.520,0,1.000,0,1.000
G1S16_Th232_Denta100,585.120,40.055,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,2,2.940,13.476,0,1.000,0,1.000
G1S16_Th232_Denta100,730.965,42.364,Bi-212,727.330,6.67,ПОКАЗАНО,1,3.771,1,3.771,I-131,1.7686,4,12.813,1,1.364,14.213,0,1.000,0,1.000
G1S16_Th232_Denta100,910.099,50.130,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000,16.763,0,1.000,0,1.000
G1S16_Th232_Denta100,969.944,39.388,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000,13.156,1,3.166,1,3.166
G1S16_Th232_Denta100,1454.141,67.881,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,22.470,0,1.000,0,1.000
G1S16_Th232_Denta100,1602.367,75.293,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000,24.856,0,1.000,0,1.000
G1S16_Th232_Denta100,2623.441,110.290,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,35.749,0,1.000,0,1.000
G1S16_Th232_Mar_2,124.239,14.680,Eu-152,125.000,28.53,ПОКАЗАНО,1,11.789,1,11.789,Ac-228,2.42,0,1.000,0,1.000,4.951,0,1.000,0,1.000
G1S16_Th232_Mar_2,234.033,23.053,Pb-212,238.000,43.6,ПОКАЗАНО,3,6.004,3,6.004,Pb-214,7.2615,0,1.000,1,11.208,7.763,0,1.000,0,1.000
G1S16_Th232_Mar_2,335.072,28.474,Ac-228,338.000,11.27,ПОКАЗАНО,2,3.820,2,3.820,Ac-228,2.95,5,8.305,4,8.305,9.575,0,1.000,0,1.000
G1S16_Th232_Mar_2,460.078,22.287,Ac-228,463.000,4.4,ПОКАЗАНО,0,1.000,0,1.000,,,2,20.568,0,1.000,7.482,0,1.000,0,1.000
G1S16_Th232_Mar_2,585.298,41.530,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,2,2.940,13.918,0,1.000,0,1.000
G1S16_Th232_Mar_2,731.660,43.168,Bi-212,727.330,6.67,ПОКАЗАНО,1,3.771,1,3.771,I-131,1.7686,4,12.813,1,1.364,14.438,0,1.000,0,1.000
G1S16_Th232_Mar_2,914.273,52.246,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,1,5.170,17.431,0,1.000,0,1.000
G1S16_Th232_Mar_2,968.245,43.846,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000,14.618,1,3.166,1,3.166
G1S16_Th232_Mar_2,1115.369,61.213,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,2,7.304,1,7.304,20.367,1,1.090,1,1.090
G1S16_Th232_Mar_2,1455.766,43.628,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,14.450,0,1.000,0,1.000
G1S16_Th232_Mar_2,1597.805,81.646,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000,26.991,0,1.000,0,1.000
G1S16_Th232_Mar_2,2324.239,105.386,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000,34.508,0,1.000,0,1.000
G1S16_Th232_Mar_2,2627.180,109.262,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,35.636,0,1.000,0,1.000
G1S16_Th232_Mar_3,41.961,8.965,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,3.043,0,1.000,0,1.000
G1S16_Th232_Mar_3,74.381,11.824,Am-243,74.660,67.2,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,4.011,0,1.000,0,1.000
G1S16_Th232_Mar_3,127.464,15.398,Ac-228,129.065,2.42,ПОКАЗАНО,1,11.789,1,11.789,Eu-152,28.53,0,1.000,0,1.000,5.219,1,11.789,1,11.789
G1S16_Th232_Mar_3,236.703,22.843,Pb-212,238.000,43.6,ПОКАЗАНО,3,6.004,3,6.004,Pb-214,7.2615,0,1.000,0,1.000,7.731,0,1.000,0,1.000
G1S16_Th232_Mar_3,337.230,28.243,Ac-228,338.000,11.27,ПОКАЗАНО,2,3.820,2,3.820,Ac-228,2.95,5,8.305,4,7.232,9.546,0,1.000,0,1.000
G1S16_Th232_Mar_3,408.274,16.610,Ac-228,409.000,1.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,47.135,0,1.000,5.608,0,1.000,0,1.000
G1S16_Th232_Mar_3,461.603,21.888,Ac-228,463.000,4.4,ПОКАЗАНО,0,1.000,0,1.000,,,2,20.568,0,1.000,7.385,0,1.000,0,1.000
G1S16_Th232_Mar_3,586.190,41.041,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,2,2.940,13.824,0,1.000,0,1.000
G1S16_Th232_Mar_3,731.811,41.273,Bi-212,727.330,6.67,ПОКАЗАНО,1,3.771,1,3.771,I-131,1.7686,4,12.813,1,1.364,13.874,0,1.000,0,1.000
G1S16_Th232_Mar_3,910.518,53.283,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000,17.868,0,1.000,0,1.000
G1S16_Th232_Mar_3,967.199,43.252,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000,14.493,1,3.166,1,3.166
G1S16_Th232_Mar_3,1101.618,66.683,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,1,7.304,0,1.000,22.303,0,1.000,0,1.000
G1S16_Th232_Mar_3,1590.564,86.485,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000,28.737,0,1.000,0,1.000
G1S16_Th232_Mar_3,2316.332,100.495,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000,33.074,0,1.000,0,1.000
G1S16_Th232_Mar_3,2611.640,110.467,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,36.216,0,1.000,0,1.000
G1S16_Th232_Petri,126.729,12.192,Eu-152,125.000,28.53,ПОКАЗАНО,1,11.789,1,11.789,Ac-228,2.42,0,1.000,0,1.000,4.121,0,1.000,0,1.000
G1S16_Th232_Petri,239.215,23.298,Pb-212,238.000,43.6,ПОКАЗАНО,3,6.004,3,6.004,Pb-214,7.2615,0,1.000,0,1.000,7.866,1,6.004,1,6.004
G1S16_Th232_Petri,339.963,28.063,Ac-228,338.000,11.27,ПОКАЗАНО,3,3.820,3,3.820,Ac-228,2.95,3,7.232,3,7.232,9.466,0,1.000,0,1.000
G1S16_Th232_Petri,586.308,40.908,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,2,2.940,13.767,0,1.000,0,1.000
G1S16_Th232_Petri,732.010,41.588,Bi-212,727.330,6.67,ПОКАЗАНО,1,3.771,1,3.771,I-131,1.7686,4,12.813,1,1.364,13.977,0,1.000,0,1.000
G1S16_Th232_Petri,904.730,47.792,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000,16.036,0,1.000,0,1.000
G1S16_Th232_Petri,967.336,41.114,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000,13.787,1,3.166,1,3.166
G1S16_Th232_Petri,1451.523,69.375,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,23.160,0,1.000,0,1.000
G1S16_Th232_Petri,1592.405,74.942,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000,24.985,0,1.000,0,1.000
G1S16_Th232_Petri,2604.901,113.422,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,37.466,0,1.000,0,1.000
G1S16_Y88_P25,235.385,19.443,Pb-212,238.000,43.6,ПОКАЗАНО,3,6.004,3,6.004,Pb-214,7.2615,0,1.000,0,1.000,6.685,0,1.000,0,1.000
G1S16_Y88_P25,352.268,30.490,Pb-214,353.000,35.7166,ПОКАЗАНО,4,3.169,4,3.169,Ac-228,11.27,1,12.107,1,12.107,10.388,0,1.000,0,1.000
G1S16_Y88_P25,603.865,42.125,Bi-214,609.000,45.44,ПОКАЗАНО,2,1.976,2,1.976,Ag-108m,89.8,2,6.350,1,6.350,14.124,0,1.000,0,1.000
G1S16_Y88_P25,1122.398,56.192,Bi-214,1120.000,14.9,ПОКАЗАНО,1,1.090,1,1.090,Eu-152,13.67,2,6.701,1,6.701,18.497,0,1.000,0,1.000
G1S16_Y88_P25,1466.314,79.609,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,26.143,0,1.000,0,1.000
G1S16_Y88_P25,1836.982,87.829,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,29.017,0,1.000,0,1.000
G1S16_Y88_P25,2615.610,93.841,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,32.404,0,1.000,0,1.000
G1S16_Y88_P5,229.168,24.179,Np-239,228.000,10.73,ПОКАЗАНО,2,4.063,2,4.063,Pb-212,43.6,2,2.758,3,2.758,8.343,0,1.000,0,1.000
G1S16_Y88_P5,664.085,40.854,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,1,11.893,13.740,0,1.000,0,1.000
G1S16_Y88_P5,900.097,57.675,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000,19.226,0,1.000,0,1.000
G1S24_Am241_P5,123.947,12.513,Eu-152,125.000,28.53,ПОКАЗАНО,1,11.789,1,11.789,Ac-228,2.42,0,1.000,0,1.000,4.388,0,1.000,0,1.000
G1S24_Am241_P5,1462.653,87.033,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,28.748,0,1.000,0,1.000
G1S24_Ba133_P5,49.781,7.919,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,2.813,0,1.000,0,1.000
G1S24_Ba133_P5,299.552,22.734,Pb-214,295.000,18.4672,ПОКАЗАНО,1,5.068,1,5.068,Lu-176,93.6,4,11.542,3,11.542,7.786,0,1.000,0,1.000
G1S24_Ba133_P5,355.198,33.270,Pb-214,353.000,35.7166,ПОКАЗАНО,3,2.282,3,2.282,I-131,81.5,2,12.107,2,12.107,11.326,1,1.737,1,1.737
G1S24_Ba133_P5,1461.892,87.052,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,28.760,0,1.000,0,1.000
G1S24_Ba133_P5,2596.036,122.287,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,41.656,0,1.000,0,1.000
G1S24_Bi207_P5,50.838,9.338,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,1,8.447,3.380,0,1.000,0,1.000
G1S24_Bi207_P5,370.819,36.887,I-131,364.000,81.5,ПОКАЗАНО,2,2.282,2,2.282,Pb-214,35.7166,3,42.448,2,7.232,12.763,0,1.000,0,1.000
G1S24_Bi207_P5,811.618,67.106,Cs-134,798.000,85.46,ПОКАЗАНО,3,53.081,3,53.081,Ac-228,1.61,1,17.476,1,17.476,22.574,0,1.000,0,1.000
G1S24_Bi207_P5,1271.023,66.814,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,1,17.150,22.394,0,1.000,0,1.000
G1S24_Bi207_P5,1446.813,110.739,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,37.231,0,1.000,0,1.000
G1S24_Bi207_P5,1757.835,87.505,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,29.681,0,1.000,0,1.000
G1S24_Bi207_P5,2341.785,106.709,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000,36.864,0,1.000,0,1.000
G1S24_Cd109_P5,1486.245,86.927,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,28.227,0,1.000,0,1.000
G1S24_Co60_P5,235.390,35.839,Pb-212,238.000,43.6,ПОКАЗАНО,3,6.004,3,6.004,Pb-214,7.2615,0,1.000,3,11.208,12.577,1,6.004,1,6.004
G1S24_Co60_P5,510.323,37.238,Tl-208,510.000,8.1224,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,12.702,0,1.000,0,1.000
G1S24_Co60_P5,850.820,64.384,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,3,53.081,21.590,0,1.000,0,1.000
G1S24_Co60_P5,919.468,68.933,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,2,5.170,2,5.170,23.078,0,1.000,0,1.000
G1S24_Co60_P5,1173.714,71.034,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,3,17.127,23.739,0,1.000,0,1.000
G1S24_Co60_P5,1329.215,78.335,Co-60,1332.000,99.9826,ПОКАЗАНО,0,1.000,0,1.000,,,3,25.090,1,25.090,26.220,0,1.000,0,1.000
G1S24_Co60_P5,1585.486,75.749,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.311,0,1.000,25.500,0,1.000,0,1.000
G1S24_Co60_P5,2516.379,110.922,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,1,23.205,38.351,0,1.000,0,1.000
G1S24_Cs137_Denta120,183.917,17.839,U-235,185.715,57,ПОКАЗАНО,1,15.659,1,15.659,Ra-226,3.64,1,1.368,0,1.000,6.103,1,15.659,1,15.659
G1S24_Cs137_Denta120,665.256,51.027,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,1,11.893,16.939,0,1.000,0,1.000
G1S24_Cs137_Denta120,1460.939,82.393,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000,26.871,0,1.000,0,1.000
G1S24_Cs137_Denta120_2,443.243,59.395,Ag-108m,433.000,90.5,ПОКАЗАНО,1,20.568,1,20.568,Ac-228,4.4,1,47.135,1,47.135,20.109,0,1.000,0,1.000
G1S24_Cs137_Denta120_2,663.179,51.215,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,2,11.893,17.134,0,1.000,0,1.000
G1S24_Cs137_Denta120_2,1455.810,86.173,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,28.319,0,1.000,0,1.000
G1S24_Cs137_Denta120_2,2611.580,109.813,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,37.596,0,1.000,0,1.000
G1S24_Cs137_Mar,190.747,31.127,Ra-226,186.211,3.64,ПОКАЗАНО,2,21.420,2,21.420,Lu-176,77.9688,2,5.824,2,5.824,10.577,1,15.659,1,15.659
G1S24_Cs137_Mar,435.170,37.578,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,2,47.135,12.470,0,1.000,0,1.000
G1S24_Cs137_Mar,662.801,52.724,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,2,11.893,17.269,0,1.000,0,1.000
G1S24_Cs137_Mar,1465.210,86.550,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000,28.164,0,1.000,0,1.000
G1S24_Cs137_Mar_2,663.772,52.752,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,2,11.893,17.561,0,1.000,0,1.000
G1S24_Cs137_Mar_2,1453.236,77.923,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,25.772,0,1.000,0,1.000
G1S24_Cs137_Mar_2,2615.707,112.860,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,37.174,0,1.000,0,1.000
G1S24_Cs137_P25,667.786,52.505,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,1,11.893,17.508,0,1.000,0,1.000
G1S24_Cs137_P25,1461.604,86.077,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,1,2.675,28.582,0,1.000,0,1.000
G1S24_Cs137_P25,1756.006,76.876,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000,25.645,0,1.000,0,1.000
G1S24_Cs137_P25,2615.964,108.643,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000,35.196,0,1.000,0,1.000
G1S24_Cs137_P5,131.484,29.021,Ac-228,129.065,2.42,ПОКАЗАНО,2,11.789,2,11.789,Eu-152,28.53,0,1.000,1,10.471,10.314,0,1.000,0,1.000
