source,ours,ours_density,g4,g4_density,delta_pct,grade,composition,g4_how
star,POLYVINYLIDENE FLUORIDE,1.76,G4_POLYVINYLIDENE_FLUORIDE,1.76,0.000,совпало,F0.593 C0.375 H0.031,atoms
star,POLYVINYL PYRROLIDONE,1.25,G4_POLYVINYL_PYRROLIDONE,1.25,0.000,совпало,C0.648 O0.144 N0.126 H0.082,atoms
star,POTASSIUM IODIDE,3.13,G4_POTASSIUM_IODIDE,3.13,0.000,совпало,I0.764 K0.236,atoms
star,POTASSIUM OXIDE,2.32,G4_POTASSIUM_OXIDE,2.32,0.000,совпало,K0.830 O0.170,atoms
star,PROPANE,0.00187939,G4_PROPANE,0.00187939,0.000,совпало,C0.817 H0.183,atoms
star,"PROPANE, LIQUID",0.43,G4_lPROPANE,0.43,0.000,совпало,C0.817 H0.183,atoms
star,N-PROPYL ALCOHOL,0.8035,G4_N-PROPYL_ALCOHOL,0.8035,0.000,совпало,C0.600 O0.266 H0.134,atoms
star,PYRIDINE,0.9819,G4_PYRIDINE,0.9819,0.000,совпало,C0.759 N0.177 H0.064,atoms
star,"RUBBER, BUTYL",0.92,G4_RUBBER_BUTYL,0.92,0.000,совпало,C0.856 H0.144,weights
star,"RUBBER, NATURAL",0.92,G4_RUBBER_NATURAL,0.92,0.000,совпало,C0.882 H0.118,weights
star,"RUBBER, NEOPRENE",1.23,G4_RUBBER_NEOPRENE,1.23,0.000,совпало,C0.543 Cl0.400 H0.057,weights
star,SILICON DIOXIDE,2.32,G4_SILICON_DIOXIDE,2.32,0.000,совпало,O0.533 Si0.467,atoms
star,SILVER BROMIDE,6.473,G4_SILVER_BROMIDE,6.473,0.000,совпало,Ag0.574 Br0.426,atoms
star,SILVER CHLORIDE,5.56,G4_SILVER_CHLORIDE,5.56,0.000,совпало,Ag0.753 Cl0.247,atoms
star,SILVER HALIDES IN PHOTOGRAPHIC EMULSION,6.47,G4_SILVER_HALIDES,6.47,0.000,совпало,Ag0.574 Br0.423 I0.003,weights
star,SILVER IODIDE,6.01,G4_SILVER_IODIDE,6.01,0.000,совпало,I0.541 Ag0.459,atoms
star,SODIUM CARBONATE,2.532,G4_SODIUM_CARBONATE,2.532,0.000,совпало,O0.453 Na0.434 C0.113,atoms
star,SODIUM IODIDE,3.667,G4_SODIUM_IODIDE,3.667,0.000,совпало,I0.847 Na0.153,atoms
star,SODIUM MONOXIDE,2.27,G4_SODIUM_MONOXIDE,2.27,0.000,совпало,Na0.742 O0.258,atoms
star,SODIUM NITRATE,2.261,G4_SODIUM_NITRATE,2.261,0.000,совпало,O0.565 Na0.270 N0.165,atoms
star,STILBENE,0.9707,G4_STILBENE,0.9707,0.000,совпало,C0.933 H0.067,atoms
star,TETRACHLOROETHYLENE,1.625,G4_TETRACHLOROETHYLENE,1.625,0.000,совпало,Cl0.855 C0.145,atoms
star,THALLIUM CHLORIDE,7.004,G4_THALLIUM_CHLORIDE,7.004,0.000,совпало,Tl0.852 Cl0.148,atoms
star,"TISSUE, SOFT (ICRU FOUR-COMPONENT)",1.0,G4_TISSUE_SOFT_ICRU-4,1.0,0.000,совпало,O0.762 C0.111 H0.101 N0.026,weights
star,TISSUE-EQUIVALENT GAS (METHANE BASED),0.00106409,G4_TISSUE-METHANE,0.00106409,0.000,совпало,C0.456 O0.407 H0.102 N0.035,weights
star,TISSUE-EQUIVALENT GAS (PROPANE BASED),0.00182628,G4_TISSUE-PROPANE,0.00182628,0.000,совпало,C0.569 O0.293 H0.103 N0.035,weights
star,TITANIUM DIOXIDE,4.26,G4_TITANIUM_DIOXIDE,4.26,0.000,совпало,Ti0.599 O0.401,atoms
star,TOLUENE,0.8669,G4_TOLUENE,0.8669,0.000,совпало,C0.912 H0.088,atoms
star,TRICHLOROETHYLENE,1.46,G4_TRICHLOROETHYLENE,1.46,0.000,совпало,Cl0.809 C0.183 H0.008,atoms
star,TRIETHYL PHOSPHATE,1.07,G4_TRIETHYL_PHOSPHATE,1.07,0.000,совпало,C0.396 O0.351 P0.170 H0.083,atoms
star,TUNGSTEN HEXAFLUORIDE,2.4,G4_TUNGSTEN_HEXAFLUORIDE,2.4,0.000,совпало,W0.617 F0.383,atoms
star,URANIUM DICARBIDE,11.28,G4_URANIUM_DICARBIDE,11.28,0.000,совпало,U0.908 C0.092,atoms
star,URANIUM MONOCARBIDE,13.63,G4_URANIUM_MONOCARBIDE,13.63,0.000,совпало,U0.952 C0.048,atoms
star,URANIUM OXIDE,10.96,G4_URANIUM_OXIDE,10.96,0.000,совпало,U0.881 O0.119,atoms
star,UREA,1.323,G4_UREA,1.323,0.000,совпало,N0.466 O0.266 C0.200 H0.067,atoms
star,VALINE,1.23,G4_VALINE,1.23,0.000,совпало,C0.513 O0.273 N0.120 H0.095,atoms
star,VITON FLUOROELASTOMER,1.8,G4_VITON,1.8,0.000,совпало,F0.710 C0.281 H0.009,weights
star,"WATER, LIQUID",1.0,G4_WATER,1.0,0.000,совпало,O0.888 H0.112,atoms
star,WATER VAPOR,0.000756182,G4_WATER_VAPOR,0.000756182,0.000,совпало,O0.888 H0.112,atoms
star,XYLENE,0.87,G4_XYLENE,0.87,0.000,совпало,C0.905 H0.095,atoms
star,CARBON (GRAPHITE),1.7,G4_GRAPHITE_POROUS,1.7,0.000,совпало,C1.000,element
seed:Crystal,Cesium iodide,4.51,G4_CESIUM_IODIDE,4.51,0.000,совпало,Cs0.512 I0.488,atoms
seed:Crystal,Sodium iodide,3.667,G4_SODIUM_IODIDE,3.667,0.000,совпало,I0.847 Na0.153,atoms
seed:Crystal,Bismuth germanate,7.13,G4_BGO,7.13,0.000,совпало,Bi0.671 Ge0.175 O0.154,atoms
seed:Crystal,Germanium,5.323,G4_Ge,5.323,0.000,совпало,Ge1.000,element
seed:Reflector,Magnesium oxide,3.58,G4_MAGNESIUM_OXIDE,3.58,0.000,совпало,Mg0.603 O0.397,atoms
seed:Reflector,Aluminum oxide,3.97,G4_ALUMINUM_OXIDE,3.97,0.000,совпало,Al0.529 O0.471,atoms
seed:Cladding,Iron,7.874,G4_Fe,7.874,0.000,совпало,Fe1.000,element
seed:Cladding,Carbon,1.7,G4_GRAPHITE_POROUS,1.7,0.000,совпало (неоднозначно: состав общий у 3 веществ Geant4),C1.000,element
seed:BeakerWall,Polyethylene,0.94,G4_POLYETHYLENE,0.94,0.000,совпало,C0.856 H0.144,atoms
seed:BeakerWall,Polystyrene,1.06,G4_POLYSTYRENE,1.06,0.000,совпало,C0.923 H0.077,atoms
seed:BeakerWall,Glass,2.32,G4_SILICON_DIOXIDE,2.32,0.000,совпало,O0.533 Si0.467,atoms
seed:Source,"Water, liquid",1.0,G4_WATER,1.0,0.000,совпало,O0.888 H0.112,atoms
