n_low,n_miss,low_kev,low_fwhm,excess,band_n,band_kev,band_fwhm,band_sum,key,det,mode,lines,e_lo,ch_lo,ch_work,e_work_kev,lever_ch,lever_frac,gap_kev,gap_fwhm,gap_at_kev,loo_e,loo_kev,loo_fwhm,loo_mode
0,0,0.0,0.0,0.92,2,-3.17,-0.35,0.504,G1S16_Ce139_P5,G1S16,affine/xlow/grp,4,34.9,13,5,8.3,8,0.008,7.1,1.28,8.3,34.9,-7.32,-0.64,affine
0,1,0.0,0.0,-0.01,1,1.65,0.14,0.141,G1S16_Co57_P5,G1S16,gain/grp,1,123.7,45,5,1.3,40,0.04,4.9,0.27,120.9,,,,
0,0,0.0,0.0,0.31,2,-8.01,-0.85,1.243,G1S16_Cs137_P5,G1S16,affine/xlow/grp,4,33.4,12,5,3.4,7,0.008,2.15,0.57,3.4,33.4,-21.14,-2.17,affine
0,0,0.0,0.0,0.84,2,-4.34,-0.43,0.525,G1S16_Eu152_P5,G1S16,affine/xlow/grp,9,41.9,15,5,6.2,10,0.011,5.03,0.53,34.9,41.9,-6.35,-0.61,affine
0,0,0.0,0.0,4.31,1,0.67,0.03,0.029,G1S16_Mn54_P5,G1S16,affine/grp,5,186.2,77,5,-28.8,72,0.071,-30.07,-1.99,-28.8,186.2,16.23,0.42,affine
0,0,0.0,0.0,3.94,1,-6.07,-0.25,0.247,G1S16_Na22_P5,G1S16,affine/grp,5,186.2,66,5,20.8,61,0.06,19.57,2.18,20.8,186.2,17.58,0.66,affine
0,1,0.0,0.0,0.26,2,-16.68,-1.18,1.876,G1S16_Th228_P5,G1S16,poly2/grp,6,238.7,86,5,-1.9,81,0.079,3.66,0.14,237.7,238.7,1.54,0.06,affine
0,0,0.0,0.0,0.68,2,-5.6,-0.53,0.761,G1S24_Cs137_Denta120,G1S24,affine/xlow/grp,3,33.4,12,5,6.7,7,0.007,5.53,0.57,26.7,33.4,-10.96,-1.0,gain
0,0,0.0,0.0,1.06,1,-2.02,-0.08,0.083,G1S24_Cs137_Denta120_2,G1S24,affine,4,198.1,70,5,7.1,65,0.064,6.18,0.21,194.3,198.1,-6.38,-0.22,gain
0,1,0.0,0.0,0.3,0,0.0,0.0,0.0,G1S24_K40_Denta120,G1S24,poly2/robust/grp,6,239.3,84,5,3.2,79,0.078,7.4,0.31,236.2,239.3,-7.98,-0.33,stored
1,1,-0.09,-0.0,0.73,0,0.0,0.0,0.0,G1S24_K40_Denta120_2,G1S24,poly2/grp,5,239.3,83,5,6.5,78,0.077,10.41,0.29,236.3,239.3,-9.02,-0.25,gain
0,0,0.0,0.0,0.88,4,-11.27,-0.76,1.311,G1S24_Ra226_Denta120,G1S24,affine/robust/grp,14,47.9,18,5,6.0,13,0.013,4.77,1.21,6.0,47.9,-4.23,-0.38,affine
0,1,0.0,0.0,-0.23,4,22.23,3.56,6.837,G1S24_Th232_Denta120,G1S24,gain/robust,9,238.4,86,5,1.2,81,0.08,2.36,0.1,236.9,238.4,-1.23,-0.05,gain
0,1,0.0,0.0,-0.18,2,-19.29,-1.41,2.169,G1S24_Th232_Denta120_2,G1S24,gain/robust/grp,11,238.4,86,5,1.2,81,0.079,1.96,0.08,236.5,238.4,-1.21,-0.05,gain
0,0,0.0,0.0,0.88,2,10.51,0.45,0.624,G1S24_Cs137_Mar,G1S24,affine/xlow/grp,4,33.4,12,5,11.5,7,0.007,5.74,1.02,11.5,33.4,-5.45,-0.57,affine
0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,G1S24_K40_Mar,G1S24,stored,4,237.3,84,5,5.8,79,0.078,0.0,0.0,5.8,237.3,29.65,0.98,affine
0,0,0.0,0.0,0.62,4,-9.92,-0.69,1.165,G1S24_Ra226_Mar,G1S24,affine/grp,12,47.9,17,6,12.1,11,0.012,3.52,0.6,12.1,47.9,-2.3,-0.2,affine
0,1,0.0,0.0,0.19,3,-25.8,-1.69,3.771,G1S24_Th232_Mar,G1S24,poly2/grp,9,238.4,85,5,0.5,80,0.078,2.84,0.1,237.2,238.4,-0.55,-0.02,poly2
0,1,0.0,0.0,0.71,3,-20.66,-1.37,2.543,G1S24_Th232_Mar_2,G1S24,affine/grp,9,238.4,85,6,11.9,79,0.077,3.34,0.54,11.9,238.4,-1.89,-0.07,gain
