ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
155,52.050,124384.206,117070.023,48809.049,0.000,124384.206,0.000,113956.561,1686.916,0.000,1529.015,84.905
156,52.428,124030.102,116864.609,51546.624,0.000,124030.102,0.000,113552.810,1782.196,0.000,1608.904,89.700
157,52.806,124919.367,116712.121,54415.343,0.000,124919.367,0.000,113213.297,1882.053,0.000,1691.029,94.726
158,53.184,124194.181,116629.825,57397.827,0.000,124194.181,0.000,112937.480,1985.884,0.000,1775.475,99.952
159,53.563,124499.864,116619.975,60479.006,0.000,124499.864,0.000,112727.932,2093.167,0.000,1862.474,105.352
160,53.941,124240.812,116685.010,63643.374,0.000,124240.812,0.000,112587.344,2203.363,0.000,1952.338,110.898
161,54.319,124276.554,116822.927,66870.776,0.000,124276.554,0.000,112514.160,2315.770,0.000,2045.358,116.556
162,54.697,124684.058,117025.590,70135.038,0.000,124684.058,0.000,112500.971,2429.478,0.000,2141.761,122.279
163,55.076,124307.058,117289.862,73415.194,0.000,124307.058,0.000,112544.956,2543.757,0.000,2242.001,128.031
164,55.454,123797.316,117615.151,76693.320,0.000,123797.316,0.000,112645.561,2657.980,0.000,2346.696,133.780
165,55.832,124179.897,118024.192,79952.894,0.000,124179.897,0.000,112802.561,2771.571,0.000,2456.592,139.497
166,56.210,124450.406,118497.939,83173.829,0.000,124450.406,0.000,113011.130,2883.827,0.000,2572.428,145.147
167,56.589,124117.889,118984.078,86329.942,0.000,124117.889,0.000,113259.266,2993.837,0.000,2694.873,150.684
168,56.967,124320.528,119511.167,89405.755,0.000,124320.528,0.000,113543.623,3101.060,0.000,2824.975,156.080
169,57.345,124039.702,120077.890,92388.874,0.000,124039.702,0.000,113862.114,3205.060,0.000,2963.962,161.315
170,57.724,123722.664,120684.366,95269.954,0.000,123722.664,0.000,114213.783,3305.510,0.000,3113.253,166.371
