ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
68,19.188,136330.268,144479.698,1144.647,789.304,136330.268,0.000,128405.817,15595.815,865.547,6.022,1.661
69,19.565,139240.466,152618.277,1373.576,721.786,139240.466,0.000,133674.345,18741.925,588.791,7.231,1.995
70,19.942,142673.438,162232.153,1602.506,686.250,142673.438,0.000,139962.058,22246.514,392.783,8.442,2.329
71,20.319,147687.068,173421.656,1831.435,671.324,147687.068,0.000,147419.163,26081.761,256.814,9.655,2.664
72,20.697,152990.073,186273.402,2060.364,669.881,152990.073,0.000,156238.255,30205.099,164.484,10.872,2.999
73,21.074,159698.498,200997.187,2289.294,677.681,159698.498,0.000,166669.130,34557.698,103.146,12.092,3.335
74,21.451,167722.013,217808.388,2518.223,692.266,167722.013,0.000,179011.997,39064.227,63.300,13.316,3.672
75,21.829,178198.915,236832.619,2747.153,712.151,178198.915,0.000,193595.181,43636.835,38.002,14.544,4.010
76,22.206,190166.261,258298.249,2976.082,736.289,190166.261,0.000,210784.230,48170.956,22.310,15.778,4.348
77,22.584,204500.410,282944.602,3205.011,764.150,204500.410,0.000,231070.317,52538.976,12.804,17.017,4.688
78,22.961,223238.448,311012.922,3433.941,795.600,223238.448,0.000,255058.261,56623.217,7.183,18.262,5.030
79,23.338,242827.880,343037.003,3662.870,830.641,242827.880,0.000,283404.507,60302.535,3.938,19.516,5.373
80,23.716,267768.479,378598.007,3891.799,868.818,267768.479,0.000,315800.379,63467.724,2.110,20.779,5.717
81,24.093,296357.549,417412.021,4120.729,909.894,296357.549,0.000,352055.989,66025.356,1.104,22.051,6.064
82,24.471,328870.162,459461.880,4349.658,953.865,328870.162,0.000,392228.441,67901.512,0.564,23.335,6.413
83,24.848,367808.252,504680.806,4578.588,1000.771,367808.252,0.000,436301.745,69045.613,0.282,24.632,6.765
84,25.225,410463.219,552806.596,4807.517,1050.613,410463.219,0.000,484038.664,69432.810,0.137,25.943,7.120
85,25.603,458032.710,602800.245,5036.446,1103.208,458032.710,0.000,534807.434,69064.790,0.065,27.271,7.478
86,25.980,509644.677,654385.303,5265.376,1158.625,509644.677,0.000,587956.707,67968.954,0.031,28.623,7.840
87,26.358,566840.710,707436.083,5494.305,1217.165,566840.710,0.000,642778.294,66196.087,0.014,30.006,8.205
88,26.735,626480.122,760729.425,5723.235,1279.230,626480.122,0.000,698448.876,63816.769,0.007,31.399,8.575
89,27.113,687273.541,813312.178,5952.164,1345.162,687273.541,0.000,753929.432,60916.861,0.003,32.817,8.950
90,27.490,750060.012,864083.340,6181.093,1415.264,750060.012,0.000,808022.834,57592.452,0.001,34.296,9.330
91,27.868,813929.902,911981.080,6410.023,1490.115,813929.902,0.000,859566.162,53944.693,0.001,35.775,9.715
92,28.245,875110.334,955976.933,6638.952,1570.700,875110.334,0.000,907429.618,50074.884,0.000,37.288,10.106
93,28.623,930210.580,995082.129,6867.881,1658.164,930210.580,0.000,950527.330,46080.125,0.000,38.838,10.502
94,29.000,982165.928,1028344.386,7096.811,1753.329,982165.928,0.000,987817.652,42049.777,0.000,40.425,10.904
95,29.378,1027734.805,1054215.869,7325.740,1857.067,1027734.805,0.000,1018369.863,38062.847,0.000,42.053,11.311
96,29.755,1064757.212,1072979.942,7554.670,1970.896,1064757.212,0.000,1041467.481,34186.337,0.000,43.724,11.724
97,30.133,1093485.992,1084457.217,7783.599,2096.643,1093485.992,0.000,1056597.565,30474.511,0.000,45.441,12.142
98,30.511,1110327.521,1087835.738,8012.528,2236.240,1110327.521,0.000,1063468.439,26968.950,0.000,47.208,12.566
99,30.888,1116775.708,1083095.722,8241.458,2390.294,1116775.708,0.000,1061994.595,23699.245,0.000,49.027,12.994
100,31.266,1110941.140,1070420.077,8470.387,2560.232,1110941.140,0.000,1052330.473,20684.147,0.000,50.903,13.426
