ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ac-228,Tl-208,Bi-212,Ra-224,Th-228,Th-232,Rn-220
101,32.140,25.761,77.874,60.295,0.000,25.761,16.682,30.228,26.728,14.801,3.612,1.645,0.612,0.224,0.025
102,32.518,25.492,76.063,61.882,0.000,25.492,13.269,29.737,25.899,14.306,3.675,1.597,0.615,0.209,0.024
103,32.895,43.650,74.836,63.469,0.000,43.650,10.443,29.444,25.309,13.945,3.736,1.564,0.620,0.196,0.022
104,33.273,24.576,74.122,65.056,0.000,24.576,8.130,29.322,24.929,13.703,3.792,1.543,0.627,0.184,0.022
105,33.651,19.205,73.851,66.642,0.000,19.205,6.261,29.349,24.732,13.564,3.843,1.534,0.636,0.173,0.021
106,34.028,14.839,73.956,68.229,0.000,14.839,4.770,29.502,24.690,13.512,3.890,1.533,0.646,0.163,0.021
107,34.406,29.546,74.376,69.816,0.000,29.546,3.593,29.761,24.778,13.533,3.932,1.540,0.656,0.155,0.020
108,34.783,28.818,75.056,71.402,0.000,28.818,2.677,30.107,24.973,13.615,3.971,1.553,0.668,0.149,0.020
109,35.161,28.455,75.947,72.989,0.000,28.455,1.973,30.524,25.254,13.746,4.008,1.571,0.681,0.144,0.020
110,35.539,55.045,77.008,74.576,0.000,55.045,1.437,30.998,25.604,13.916,4.042,1.593,0.694,0.140,0.021
111,35.917,60.828,78.202,76.163,0.000,60.828,1.036,31.519,26.007,14.118,4.075,1.618,0.707,0.137,0.021
112,36.294,72.396,79.501,77.749,0.000,72.396,0.738,32.075,26.451,14.343,4.109,1.645,0.721,0.136,0.021
113,36.672,61.174,80.881,79.336,0.000,61.174,0.519,32.659,26.925,14.588,4.142,1.674,0.735,0.135,0.021
114,37.050,0.000,82.322,80.923,0.000,-12.714,0.362,33.265,27.422,14.847,4.177,1.705,0.750,0.135,0.022
115,37.428,64.202,83.810,82.510,0.000,64.202,0.249,33.888,27.934,15.116,4.213,1.736,0.764,0.136,0.022
116,37.806,33.848,85.332,84.096,0.000,33.848,0.169,34.523,28.458,15.394,4.250,1.768,0.779,0.137,0.023
117,38.183,56.633,86.880,85.683,0.000,56.633,0.114,35.167,28.989,15.678,4.289,1.801,0.794,0.139,0.023
118,38.561,72.058,88.448,87.270,0.000,72.058,0.076,35.819,29.526,15.966,4.330,1.835,0.808,0.141,0.023
119,38.939,67.373,90.030,88.856,0.000,67.373,0.050,36.476,30.067,16.257,4.372,1.868,0.823,0.143,0.024
120,39.317,59.629,91.623,90.443,0.000,59.629,0.032,37.137,30.610,16.551,4.416,1.902,0.838,0.145,0.024
121,39.695,95.422,93.225,92.030,0.000,95.422,0.021,37.802,31.155,16.846,4.460,1.936,0.853,0.147,0.025
122,40.073,78.009,94.833,93.617,0.000,78.009,0.013,38.469,31.701,17.143,4.507,1.970,0.869,0.150,0.025
123,40.451,126.887,96.447,95.203,0.000,126.887,0.008,39.138,32.248,17.441,4.553,2.005,0.884,0.152,0.026
124,40.829,87.902,98.065,96.790,0.000,87.902,0.005,39.810,32.796,17.740,4.601,2.039,0.899,0.155,0.026
125,41.207,70.895,99.687,98.377,0.000,70.895,0.003,40.483,33.344,18.040,4.649,2.073,0.914,0.158,0.026
126,41.585,88.751,101.313,99.963,0.000,88.751,0.002,41.157,33.894,18.340,4.696,2.108,0.929,0.160,0.027
127,41.963,98.748,102.941,101.550,0.000,98.748,0.001,41.834,34.445,18.642,4.743,2.143,0.945,0.163,0.027
128,42.341,115.813,104.572,103.137,0.000,115.813,0.001,42.512,34.996,18.944,4.789,2.177,0.960,0.165,0.028
129,42.719,123.219,106.206,104.724,0.000,123.219,0.000,43.191,35.549,19.247,4.834,2.212,0.975,0.168,0.028
130,43.097,140.568,107.841,106.310,0.000,140.568,0.000,43.873,36.103,19.551,4.877,2.247,0.991,0.171,0.029
131,43.475,76.833,109.478,107.897,0.000,76.833,0.000,44.556,36.657,19.855,4.918,2.282,1.006,0.174,0.029
132,43.853,129.887,111.115,109.484,0.000,129.887,0.000,45.241,37.213,20.161,4.955,2.317,1.022,0.176,0.030
133,44.231,105.843,112.754,111.071,0.000,105.843,0.000,45.928,37.770,20.467,4.990,2.352,1.037,0.179,0.030
134,44.609,138.383,114.392,112.657,0.000,138.383,0.000,46.617,38.328,20.774,5.020,2.388,1.053,0.182,0.030
135,44.987,135.223,116.031,114.244,0.000,135.223,0.000,47.308,38.887,21.083,5.046,2.423,1.068,0.184,0.031
136,45.365,108.885,117.669,115.831,0.000,108.885,0.000,48.002,39.447,21.392,5.067,2.459,1.084,0.187,0.031
137,45.743,100.982,119.306,117.417,0.000,100.982,0.000,48.697,40.007,21.702,5.083,2.494,1.100,0.190,0.032
138,46.122,114.215,120.941,119.004,0.000,114.215,0.000,49.395,40.569,22.014,5.093,2.530,1.115,0.193,0.032
139,46.500,138.469,122.575,120.591,0.000,138.469,0.000,50.095,41.131,22.326,5.096,2.566,1.131,0.196,0.033
140,46.878,99.743,124.206,122.178,0.000,99.743,0.000,50.798,41.693,22.640,5.094,2.602,1.147,0.199,0.033
141,47.256,110.842,125.835,123.764,0.000,110.842,0.000,51.503,42.256,22.956,5.084,2.638,1.163,0.202,0.034
142,47.634,160.346,127.461,125.351,0.000,160.346,0.000,52.211,42.818,23.272,5.068,2.674,1.179,0.205,0.034
143,48.013,127.845,128.052,125.907,0.000,127.845,0.000,52.492,43.036,23.399,5.012,2.688,1.185,0.206,0.034
144,48.391,123.964,128.641,126.463,0.000,123.964,0.000,52.775,43.252,23.527,4.950,2.702,1.191,0.207,0.034
145,48.769,134.082,129.225,127.019,0.000,134.082,0.000,53.060,43.467,23.657,4.883,2.717,1.198,0.209,0.035
146,49.147,167.392,129.805,127.575,0.000,167.392,0.000,53.348,43.678,23.788,4.811,2.731,1.204,0.210,0.035
147,49.526,134.671,130.381,128.131,0.000,134.671,0.000,53.638,43.886,23.920,4.734,2.746,1.210,0.212,0.035
148,49.904,158.983,130.952,128.688,0.000,158.983,0.000,53.931,44.088,24.054,4.653,2.760,1.217,0.213,0.035
149,50.283,161.109,131.518,129.244,0.000,161.109,0.000,54.226,44.284,24.189,4.570,2.775,1.223,0.215,0.035
150,50.661,132.820,132.080,129.800,0.000,132.820,0.000,54.525,44.472,24.326,4.486,2.789,1.230,0.216,0.036
151,51.039,128.274,132.637,130.356,0.000,128.274,0.000,54.826,44.650,24.464,4.402,2.804,1.236,0.218,0.036
152,51.418,185.966,133.189,130.912,0.000,185.966,0.000,55.130,44.818,24.603,4.319,2.819,1.243,0.219,0.036
153,51.796,177.828,133.736,131.468,0.000,177.828,0.000,55.437,44.976,24.743,4.240,2.834,1.249,0.221,0.036
154,52.175,177.644,134.278,132.024,0.000,177.644,0.000,55.745,45.122,24.883,4.166,2.848,1.256,0.222,0.036
155,52.553,166.764,134.816,132.580,0.000,166.764,0.000,56.054,45.257,25.022,4.098,2.863,1.262,0.223,0.036
