spectrum,peak_kev,peak_counts,snr,fwhm_ch,fwhm_kev,nuclide,line_kev,intensity_pct,miss_kev,miss_fwhm,tol_pct,range_min_kev,range_max_kev,candidates,label_text,label_token
AS80_UGlass,61.653,287.0,244.156,28.117,10.268,Am-241,59.541,35.9,2.112,0.2057,10,29.895,2799.917,Am-241|W x-ray,Am-241 / W x-ray,Am-241
AS80_UGlass,93.075,270.0,372.532,34.391,12.571,Pb x-ray,87.300,8,5.775,0.4594,10,29.895,2799.917,Pb x-ray,Pb x-ray,Pb
AS80_UGlass,144.289,4.0,19.690,34.122,12.491,U-235,145.000,10.96,0.711,0.0569,10,29.895,2799.917,U-235,U-235,U-235
AS80_UGlass,186.048,16.0,118.696,50.646,18.563,Ra-226,186.211,3.64,0.163,0.0088,10,29.895,2799.917,Ra-226|U-235,Ra-226 / U-235,Ra-226
AS80_UGlass,347.694,1.0,23.190,73.792,27.172,Eu-152,345.000,26.59,2.694,0.0991,10,29.895,2799.917,Eu-152|Pb-214,Eu-152 / Pb-214,Eu-152
AS80_UGlass,600.100,0.0,32.550,129.059,47.865,Bi-214,609.000,45.44,8.900,0.1859,10,29.895,2799.917,Bi-214,Bi-214,Bi-214
AS80_UGlass,770.743,0.0,38.091,144.903,54.000,Bi-214,768.360,4.89,2.383,0.0441,10,29.895,2799.917,Bi-214|Pa-234m,Bi-214 / Pa-234m,Bi-214
AS80_UGlass,1002.538,0.0,60.408,154.563,57.971,Pa-234m,1001.000,0.842,1.538,0.0265,10,29.895,2799.917,Pa-234m,Pa-234m,Pa-234m
AS80_UGlass,1131.413,0.0,13.853,134.964,50.800,Bi-214,1120.000,14.9,11.413,0.2247,10,29.895,2799.917,Bi-214,Bi-214,Bi-214
AS80_UGlass,1462.623,0.0,105.375,218.744,83.077,K-40,1460.000,10.66,2.623,0.0316,10,29.895,2799.917,K-40,K-40,K-40
AS80_UGlass,1770.761,0.0,28.470,234.233,89.694,Bi-214,1764.000,15.29,6.761,0.0754,10,29.895,2799.917,Bi-214,Bi-214,Bi-214
AS80_UGlass,2663.706,0.0,40.061,320.329,125.525,,,,,,10,29.895,2799.917,,,
ASN16_Am241,59.491,19275.0,3238.055,32.450,11.918,Am-241,59.541,35.9,0.050,0.0042,10,30.159,2800.169,Am-241|W x-ray,Am-241 / W x-ray,Am-241
ASN16_Am241,102.198,40.0,186.764,38.955,14.376,,,,,,10,30.159,2800.169,,,
ASN16_Am241,127.697,3.0,31.050,22.548,8.344,,,,,,10,30.159,2800.169,,,
ASN16_Am241,238.591,0.0,16.174,46.875,17.536,Pb-212,238.000,43.6,0.591,0.0337,10,30.159,2800.169,Pb-212,Pb-212,Pb-212
ASN16_Am241,609.018,0.0,11.058,98.392,37.805,Bi-214,609.000,45.44,0.018,0.0005,10,30.159,2800.169,Bi-214,Bi-214,Bi-214
ASN16_Am241,1463.852,0.0,33.875,163.124,64.670,K-40,1460.000,10.66,3.852,0.0596,10,30.159,2800.169,K-40,K-40,K-40
ASN16_BrazilNuts,80.265,15.0,67.536,37.211,14.275,Pb x-ray,84.936,23,4.671,0.3272,10,29.857,2800.137,Pb x-ray|Am-243,Pb x-ray / Am-243,Pb
ASN16_BrazilNuts,241.928,1.0,33.290,59.946,23.574,Pb-214,241.000,7.2615,0.928,0.0394,10,29.857,2800.137,Pb-214|Eu-152,Pb-214 / Eu-152,Pb-214
ASN16_BrazilNuts,295.202,0.0,10.533,50.713,20.080,Pb-214,295.000,18.4672,0.202,0.0101,10,29.857,2800.137,Pb-214,Pb-214,Pb-214
ASN16_BrazilNuts,348.029,0.0,27.045,71.741,28.582,Eu-152,345.000,26.59,3.029,0.1060,10,29.857,2800.137,Eu-152|Pb-214,Eu-152 / Pb-214,Eu-152
ASN16_BrazilNuts,600.929,0.0,23.133,107.756,43.931,Bi-214,609.000,45.44,8.071,0.1837,10,29.857,2800.137,Bi-214,Bi-214,Bi-214
ASN16_BrazilNuts,1460.747,0.0,36.368,156.855,66.113,K-40,1460.000,10.66,0.747,0.0113,10,29.857,2800.137,K-40,K-40,K-40
ASN16_BrazilNuts,1758.950,0.0,11.324,156.683,66.528,Bi-214,1764.000,15.29,5.050,0.0759,10,29.857,2800.137,Bi-214,Bi-214,Bi-214
ASN16_BrazilNuts,2621.212,0.0,13.792,219.126,97.643,Tl-208,2614.000,35.8516,7.212,0.0739,10,29.857,2800.137,Tl-208,Tl-208,Tl-208
ASN16_Charoite,38.781,34.0,44.034,23.737,9.277,,,,,,10,30.184,2800.212,,,
ASN16_Charoite,72.021,99.0,158.964,36.803,14.400,Pb x-ray,72.804,59.5,0.783,0.0544,10,30.184,2800.212,Pb x-ray,Pb x-ray,Pb
ASN16_Charoite,144.102,3.0,18.745,47.157,18.496,U-235,145.000,10.96,0.898,0.0485,10,30.184,2800.212,U-235,U-235,U-235
ASN16_Charoite,184.529,9.0,86.570,49.317,19.369,U-235,185.715,57,1.186,0.0613,10,30.184,2800.212,U-235|Ra-226,U-235 / Ra-226,U-235
ASN16_Charoite,240.352,7.0,98.550,57.264,22.533,Pb-214,241.000,7.2615,0.648,0.0288,10,30.184,2800.212,Pb-214|Pb-212,Pb-214 / Pb-212,Pb-214
ASN16_Charoite,296.674,7.0,129.656,61.122,24.096,Pb-214,295.000,18.4672,1.674,0.0695,10,30.184,2800.212,Pb-214,Pb-214,Pb-214
ASN16_Charoite,352.707,9.0,197.467,73.515,29.036,Pb-214,353.000,35.7166,0.293,0.0101,10,30.184,2800.212,Pb-214,Pb-214,Pb-214
ASN16_Charoite,612.118,2.0,137.433,104.610,41.671,Ag-108m,614.000,89.8,1.882,0.0452,10,30.184,2800.212,Ag-108m|Bi-214,Ag-108m / Bi-214,Ag-108m
ASN16_Charoite,773.471,0.0,17.678,112.048,44.868,Bi-214,768.360,4.89,5.111,0.1139,10,30.184,2800.212,Bi-214|Eu-152|Pa-234m,Bi-214 / Eu-152 / Pa-234m,Bi-214
ASN16_Charoite,1126.639,0.0,39.720,140.585,56.932,Bi-214,1120.000,14.9,6.639,0.1166,10,30.184,2800.212,Bi-214,Bi-214,Bi-214
ASN16_Charoite,1247.549,0.0,10.634,125.108,50.857,Bi-214,1238.000,5.83,9.549,0.1878,10,30.184,2800.212,Bi-214,Bi-214,Bi-214
ASN16_Charoite,1462.087,0.0,42.245,165.496,67.726,K-40,1460.000,10.66,2.087,0.0308,10,30.184,2800.212,K-40,K-40,K-40
ASN16_Charoite,1756.832,0.0,41.159,184.083,76.014,Bi-214,1764.000,15.29,7.168,0.0943,10,30.184,2800.212,Bi-214,Bi-214,Bi-214
ASN16_Charoite,2201.212,0.0,13.022,210.004,87.878,Bi-214,2204.000,4.92,2.788,0.0317,10,30.184,2800.212,Bi-214,Bi-214,Bi-214
