spectrum,peak_kev,fwhm_kev,label,line_kev,intensity_pct,verdict,rivals,rival_factor,real_rivals,real_factor,best_rival,best_rival_i,matcher_alts,matcher_factor,near_miss,near_factor
G1S16_Ra226_Mar,241.818,7.397,Pb-214,241.000,7.2615,ПОКАЗАНО,1,1.040,1,1.040,Eu-152,7.55,2,6.004,1,6.004
G1S16_Ra226_Mar,295.181,8.507,Pb-214,295.000,18.4672,ПОКАЗАНО,0,1.000,0,1.000,,,4,11.542,0,1.000
G1S16_Ra226_Mar,354.518,10.347,Pb-214,353.000,35.7166,ПОКАЗАНО,1,1.737,1,1.737,Ba-133,62.05,4,12.107,2,2.282
G1S16_Ra226_Mar,613.202,14.646,Ag-108m,614.000,89.8,ПОКАЗАНО,1,1.976,1,1.976,Bi-214,45.44,3,12.549,0,1.000
G1S16_Ra226_Mar,774.225,16.344,Eu-152,780.000,12.93,ПОКАЗАНО,1,2.644,1,2.644,Bi-214,4.89,5,8.031,0,1.000
G1S16_Ra226_Mar,938.594,17.322,Ac-228,964.000,4.99,ПОКАЗАНО,0,1.000,0,1.000,,,2,5.170,0,1.000
G1S16_Ra226_Mar,1118.325,20.928,Bi-214,1120.000,14.9,ПОКАЗАНО,1,1.090,1,1.090,Eu-152,13.67,2,6.701,0,1.000
G1S16_Ra226_Mar,1247.400,18.437,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,0,1.000
G1S16_Ra226_Mar,1385.728,22.787,Bi-214,1377.000,3.985,ПОКАЗАНО,0,1.000,0,1.000,,,2,25.090,0,1.000
G1S16_Ra226_Mar,1756.868,28.825,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ra226_Mar,2202.831,32.769,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000
G1S16_Ra226_Mar,2458.844,32.247,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Ra226_Mar_2,147.436,6.989,U-235,145.000,10.96,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ra226_Mar_2,180.486,6.227,U-235,185.715,57,ПОКАЗАНО,0,1.000,0,1.000,,,1,15.659,1,15.659
G1S16_Ra226_Mar_2,240.576,7.223,Pb-214,241.000,7.2615,ПОКАЗАНО,2,6.004,2,6.004,Pb-212,43.6,1,1.478,0,1.000
G1S16_Ra226_Mar_2,294.657,8.247,Pb-214,295.000,18.4672,ПОКАЗАНО,0,1.000,0,1.000,,,4,11.542,0,1.000
G1S16_Ra226_Mar_2,351.743,10.075,Pb-214,353.000,35.7166,ПОКАЗАНО,0,1.000,0,1.000,,,5,12.107,2,1.737
G1S16_Ra226_Mar_2,613.136,14.662,Ag-108m,614.000,89.8,ПОКАЗАНО,1,1.976,1,1.976,Bi-214,45.44,3,12.549,0,1.000
G1S16_Ra226_Mar_2,778.384,16.735,Eu-152,780.000,12.93,ПОКАЗАНО,0,1.000,0,1.000,,,6,8.031,2,3.042
G1S16_Ra226_Mar_2,937.623,17.892,Ac-228,964.000,4.99,ПОКАЗАНО,0,1.000,0,1.000,,,2,5.170,0,1.000
G1S16_Ra226_Mar_2,1120.898,20.641,Bi-214,1120.000,14.9,ПОКАЗАНО,1,1.090,1,1.090,Eu-152,13.67,2,6.701,0,1.000
G1S16_Ra226_Mar_2,1247.088,17.953,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,0,1.000
G1S16_Ra226_Mar_2,1388.300,22.573,Bi-214,1377.000,3.985,ПОКАЗАНО,0,1.000,0,1.000,,,2,25.090,0,1.000
G1S16_Ra226_Mar_2,1520.499,15.927,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.311,0,1.000
G1S16_Ra226_Mar_2,1751.846,28.328,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Ra226_Mar_2,2205.528,32.376,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000
G1S16_Ra226_Mar_2,2454.902,34.528,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Th228_P25,238.254,7.943,Pb-212,238.000,43.6,ПОКАЗАНО,1,6.004,1,6.004,Pb-214,7.2615,2,5.775,1,5.775
G1S16_Th228_P25,293.607,8.725,Pb-214,295.000,18.4672,ПОКАЗАНО,0,1.000,0,1.000,,,4,11.542,0,1.000
G1S16_Th228_P25,346.270,8.640,Eu-152,345.000,26.59,ПОКАЗАНО,0,1.000,0,1.000,,,6,16.619,2,2.359
G1S16_Th228_P25,585.661,14.267,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,0,1.000
G1S16_Th228_P25,732.104,18.108,Bi-212,727.330,6.67,ПОКАЗАНО,1,10.758,0,1.000,,,5,12.813,1,3.771
G1S16_Th228_P25,1112.594,18.291,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,1,7.304,0,1.000
G1S16_Th228_P25,1462.362,24.378,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Th228_P25,1766.224,22.744,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Th228_P25,2622.846,36.417,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Th228_P5,128.163,6.507,Ac-228,129.065,2.42,ПОКАЗАНО,1,11.789,1,11.789,Eu-152,28.53,0,1.000,0,1.000
G1S16_Th228_P5,237.706,8.091,Pb-212,238.000,43.6,ПОКАЗАНО,1,6.004,1,6.004,Pb-214,7.2615,2,5.775,1,5.775
G1S16_Th228_P5,299.934,8.649,Pb-214,295.000,18.4672,ПОКАЗАНО,0,1.000,0,1.000,,,5,11.542,1,5.068
G1S16_Th228_P5,377.034,8.505,I-131,364.000,81.5,ПОКАЗАНО,1,50937.500,0,1.000,,,4,42.448,0,1.000
G1S16_Th228_P5,587.888,14.052,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,0,1.000
G1S16_Th228_P5,730.695,16.121,Bi-212,727.330,6.67,ПОКАЗАНО,1,10.758,0,1.000,,,5,12.813,1,3.771
G1S16_Th228_P5,864.767,16.921,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,3,53.081,0,1.000
G1S16_Th228_P5,1585.917,24.220,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.311,0,1.000
G1S16_Th228_P5,2318.379,53.175,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000
G1S16_Th228_P5,2618.323,36.412,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Th232_Denta100,123.475,4.797,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,0,1.000
G1S16_Th232_Denta100,238.504,7.833,Pb-212,238.000,43.6,ПОКАЗАНО,1,6.004,1,6.004,Pb-214,7.2615,2,5.775,1,5.775
G1S16_Th232_Denta100,336.035,9.520,Ac-228,338.000,11.27,ПОКАЗАНО,0,1.000,0,1.000,,,7,8.305,2,3.820
G1S16_Th232_Denta100,585.120,13.476,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,0,1.000
G1S16_Th232_Denta100,730.965,14.213,Bi-212,727.330,6.67,ПОКАЗАНО,1,10.758,0,1.000,,,5,12.813,1,3.771
G1S16_Th232_Denta100,910.099,16.763,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000
G1S16_Th232_Denta100,969.944,13.156,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000
G1S16_Th232_Denta100,1454.141,22.470,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Th232_Denta100,1602.367,24.856,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000
G1S16_Th232_Denta100,2623.441,35.749,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Th232_Mar_2,124.239,4.951,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,1,11.789
G1S16_Th232_Mar_2,234.033,7.763,Pb-212,238.000,43.6,ПОКАЗАНО,0,1.000,0,1.000,,,3,6.004,2,6.004
G1S16_Th232_Mar_2,335.072,9.575,Ac-228,338.000,11.27,ПОКАЗАНО,0,1.000,0,1.000,,,7,8.305,1,3.820
G1S16_Th232_Mar_2,460.078,7.482,Ac-228,463.000,4.4,ПОКАЗАНО,0,1.000,0,1.000,,,2,20.568,0,1.000
G1S16_Th232_Mar_2,585.298,13.918,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,0,1.000
G1S16_Th232_Mar_2,731.660,14.438,Bi-212,727.330,6.67,ПОКАЗАНО,1,10.758,0,1.000,,,5,12.813,1,3.771
G1S16_Th232_Mar_2,914.273,17.431,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000
G1S16_Th232_Mar_2,968.245,14.618,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000
G1S16_Th232_Mar_2,1115.369,20.367,Eu-152,1111.000,13.67,ПОКАЗАНО,1,1.090,1,1.090,Bi-214,14.9,2,7.304,0,1.000
G1S16_Th232_Mar_2,1455.766,14.450,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Th232_Mar_2,1597.805,26.991,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000
G1S16_Th232_Mar_2,2324.239,34.508,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000
G1S16_Th232_Mar_2,2627.180,35.636,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Th232_Mar_3,41.961,3.043,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Th232_Mar_3,74.381,4.011,Am-243,74.660,67.2,ПОКАЗАНО,2,1.488,0,1.000,,,0,1.000,0,1.000
G1S16_Th232_Mar_3,127.464,5.219,Ac-228,129.065,2.42,ПОКАЗАНО,1,11.789,1,11.789,Eu-152,28.53,0,1.000,0,1.000
G1S16_Th232_Mar_3,236.703,7.731,Pb-212,238.000,43.6,ПОКАЗАНО,0,1.000,0,1.000,,,3,6.004,2,6.004
G1S16_Th232_Mar_3,337.230,9.546,Ac-228,338.000,11.27,ПОКАЗАНО,0,1.000,0,1.000,,,7,8.305,2,3.820
G1S16_Th232_Mar_3,408.274,5.608,Ac-228,409.000,1.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,47.135,0,1.000
G1S16_Th232_Mar_3,461.603,7.385,Ac-228,463.000,4.4,ПОКАЗАНО,0,1.000,0,1.000,,,2,20.568,0,1.000
G1S16_Th232_Mar_3,586.190,13.824,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,0,1.000
G1S16_Th232_Mar_3,731.811,13.874,Bi-212,727.330,6.67,ПОКАЗАНО,1,10.758,0,1.000,,,5,12.813,1,3.771
G1S16_Th232_Mar_3,910.518,17.868,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000
G1S16_Th232_Mar_3,967.199,14.493,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000
G1S16_Th232_Mar_3,1101.618,22.303,Eu-152,1111.000,13.67,ПОКАЗАНО,0,1.000,0,1.000,,,2,7.304,1,1.090
G1S16_Th232_Mar_3,1251.260,18.649,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,0,1.000
G1S16_Th232_Mar_3,1590.564,28.737,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000
G1S16_Th232_Mar_3,2316.332,33.074,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000
G1S16_Th232_Mar_3,2611.640,36.216,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Th232_Petri,126.729,4.121,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,1,11.789
G1S16_Th232_Petri,239.215,7.866,Pb-212,238.000,43.6,ПОКАЗАНО,1,6.004,1,6.004,Pb-214,7.2615,2,5.775,1,5.775
G1S16_Th232_Petri,339.963,9.466,Ac-228,338.000,11.27,ПОКАЗАНО,0,1.000,0,1.000,,,6,7.232,1,2.359
G1S16_Th232_Petri,586.308,13.767,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,3,4.269,0,1.000
G1S16_Th232_Petri,732.010,13.977,Bi-212,727.330,6.67,ПОКАЗАНО,1,10.758,0,1.000,,,5,12.813,1,3.771
G1S16_Th232_Petri,904.730,16.036,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000
G1S16_Th232_Petri,967.336,13.787,Ac-228,968.000,15.8,ПОКАЗАНО,1,3.166,1,3.166,Ac-228,4.99,1,1.633,0,1.000
G1S16_Th232_Petri,1451.523,23.160,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S16_Th232_Petri,1592.405,24.985,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,2,4.748,0,1.000
G1S16_Th232_Petri,2604.901,37.466,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Y88_P25,235.385,6.685,Pb-212,238.000,43.6,ПОКАЗАНО,0,1.000,0,1.000,,,3,6.004,1,6.004
G1S16_Y88_P25,352.268,10.388,Pb-214,353.000,35.7166,ПОКАЗАНО,0,1.000,0,1.000,,,5,12.107,2,1.737
G1S16_Y88_P25,603.865,14.124,Bi-214,609.000,45.44,ПОКАЗАНО,0,1.000,0,1.000,,,4,6.350,1,1.976
G1S16_Y88_P25,895.144,18.872,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000
G1S16_Y88_P25,1122.398,18.497,Bi-214,1120.000,14.9,ПОКАЗАНО,0,1.000,0,1.000,,,3,6.701,1,1.090
G1S16_Y88_P25,1466.314,26.143,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S16_Y88_P25,1836.982,29.017,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S16_Y88_P25,2615.610,32.404,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S16_Y88_P5,229.168,8.343,Np-239,228.000,10.73,ПОКАЗАНО,0,1.000,0,1.000,,,4,4.063,0,1.000
G1S16_Y88_P5,664.085,13.740,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S16_Y88_P5,900.097,19.226,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,3,16.025,0,1.000
G1S16_Y88_P5,1346.256,18.218,Co-60,1332.000,99.9826,ПОКАЗАНО,0,1.000,0,1.000,,,3,25.090,0,1.000
G1S16_Y88_P5,1838.621,29.655,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Am241_P5,101.178,4.675,Np-239,106.000,25.34,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Am241_P5,123.947,4.388,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,0,1.000
G1S24_Am241_P5,1462.653,28.748,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S24_Ba133_P5,49.781,2.813,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Ba133_P5,157.754,8.272,U-235,145.000,10.96,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Ba133_P5,299.552,7.786,Pb-214,295.000,18.4672,ПОКАЗАНО,0,1.000,0,1.000,,,5,11.542,1,5.068
G1S24_Ba133_P5,355.198,11.326,Pb-214,353.000,35.7166,ПОКАЗАНО,1,1.737,1,1.737,Ba-133,62.05,4,12.107,2,2.282
G1S24_Ba133_P5,455.556,6.502,Ac-228,463.000,4.4,ПОКАЗАНО,0,1.000,0,1.000,,,1,20.568,0,1.000
G1S24_Ba133_P5,1461.892,28.760,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S24_Ba133_P5,2596.036,41.656,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S24_Bi207_P5,50.838,3.380,Pb-210,46.539,4.25,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Bi207_P5,196.289,9.310,Lu-176,202.000,77.9688,ПОКАЗАНО,0,1.000,0,1.000,,,4,21.420,0,1.000
G1S24_Bi207_P5,370.819,12.763,I-131,364.000,81.5,ПОКАЗАНО,1,50937.500,0,1.000,,,5,42.448,0,1.000
G1S24_Bi207_P5,572.036,15.992,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,2,2.940,0,1.000
G1S24_Bi207_P5,811.618,22.574,Cs-134,798.000,85.46,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,1,20.108
G1S24_Bi207_P5,1056.055,23.517,Eu-152,1111.000,13.67,ПОКАЗАНО,0,1.000,0,1.000,,,4,7.304,0,1.000
G1S24_Bi207_P5,1271.023,22.394,Bi-214,1238.000,5.83,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.150,0,1.000
G1S24_Bi207_P5,1446.813,37.231,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S24_Bi207_P5,1757.835,29.681,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Bi207_P5,2341.785,36.864,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000
G1S24_Cd109_P5,1486.245,28.227,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S24_Co60_P5,97.156,3.483,Np-239,106.000,25.34,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Co60_P5,139.161,6.714,U-235,145.000,10.96,ПОКАЗАНО,0,1.000,0,1.000,,,1,4.529,0,1.000
G1S24_Co60_P5,235.390,12.577,Pb-212,238.000,43.6,ПОКАЗАНО,1,6.004,1,6.004,Pb-214,7.2615,2,5.775,2,5.775
G1S24_Co60_P5,510.323,12.702,Tl-208,510.000,8.1224,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Co60_P5,850.820,21.590,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,0,1.000
G1S24_Co60_P5,919.468,23.078,Ac-228,911.000,25.8,ПОКАЗАНО,0,1.000,0,1.000,,,2,5.170,0,1.000
G1S24_Co60_P5,1173.714,23.739,Co-60,1173.000,99.85,ПОКАЗАНО,0,1.000,0,1.000,,,3,17.127,0,1.000
G1S24_Co60_P5,1329.215,26.220,Co-60,1332.000,99.9826,ПОКАЗАНО,0,1.000,0,1.000,,,3,25.090,0,1.000
G1S24_Co60_P5,1585.486,25.500,Ac-228,1588.000,3.22,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.311,0,1.000
G1S24_Co60_P5,2258.396,43.453,Bi-214,2204.000,4.92,ПОКАЗАНО,0,1.000,0,1.000,,,1,3.184,0,1.000
G1S24_Co60_P5,2516.379,38.351,Bi-214,2447.000,1.545,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S24_Cs137_Denta120,183.917,6.103,U-235,185.715,57,ПОКАЗАНО,1,15.659,1,15.659,Ra-226,3.64,1,1.368,0,1.000
G1S24_Cs137_Denta120,665.256,16.939,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S24_Cs137_Denta120,1460.939,26.871,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S24_Cs137_Denta120,2640.259,36.074,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S24_Cs137_Denta120_2,197.190,7.609,Lu-176,202.000,77.9688,ПОКАЗАНО,0,1.000,0,1.000,,,4,21.420,0,1.000
G1S24_Cs137_Denta120_2,443.243,20.109,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,1,20.568
G1S24_Cs137_Denta120_2,663.179,17.134,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S24_Cs137_Denta120_2,1455.810,28.319,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S24_Cs137_Denta120_2,2611.580,37.596,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S24_Cs137_Mar,190.747,10.577,Ra-226,186.211,3.64,ПОКАЗАНО,1,15.659,1,15.659,U-235,57,3,21.420,0,1.000
G1S24_Cs137_Mar,435.170,12.470,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S24_Cs137_Mar,662.801,17.269,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S24_Cs137_Mar,1465.210,28.164,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,2,3.311,0,1.000
G1S24_Cs137_Mar,1802.457,26.890,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Cs137_Mar_2,130.152,6.596,Ac-228,129.065,2.42,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,1,11.789
G1S24_Cs137_Mar_2,196.438,9.544,Lu-176,202.000,77.9688,ПОКАЗАНО,0,1.000,0,1.000,,,4,21.420,0,1.000
G1S24_Cs137_Mar_2,442.778,14.549,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S24_Cs137_Mar_2,663.772,17.561,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S24_Cs137_Mar_2,1453.236,25.772,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S24_Cs137_Mar_2,2615.707,37.174,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S24_Cs137_P25,194.102,9.403,Lu-176,202.000,77.9688,ПОКАЗАНО,0,1.000,0,1.000,,,4,21.420,2,21.420
G1S24_Cs137_P25,447.376,13.289,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S24_Cs137_P25,667.786,17.508,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S24_Cs137_P25,1461.604,28.582,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S24_Cs137_P25,1756.006,25.645,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,0,1.000
G1S24_Cs137_P25,2615.964,35.196,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S24_Cs137_P5,131.484,10.314,Ac-228,129.065,2.42,ПОКАЗАНО,0,1.000,0,1.000,,,2,11.789,1,11.789
G1S24_Cs137_P5,199.366,10.616,Lu-176,202.000,77.9688,ПОКАЗАНО,0,1.000,0,1.000,,,4,21.420,1,3.678
G1S24_Cs137_P5,447.507,15.361,Ac-228,463.000,4.4,ПОКАЗАНО,0,1.000,0,1.000,,,2,20.568,1,20.568
G1S24_Cs137_P5,659.577,17.611,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S24_Cs137_P5,868.030,18.614,Ac-228,835.000,1.61,ПОКАЗАНО,0,1.000,0,1.000,,,4,53.081,0,1.000
G1S24_Cs137_P5,1338.149,27.740,Co-60,1332.000,99.9826,ПОКАЗАНО,0,1.000,0,1.000,,,3,25.090,0,1.000
G1S24_Cs137_Petri,661.894,16.869,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S24_Cs137_Petri,1442.678,29.487,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S24_Cs137_Petri,2637.146,40.041,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S24_Cs137_Petri_2,74.010,3.584,Am-243,74.660,67.2,ПОКАЗАНО,2,1.488,0,1.000,,,0,1.000,0,1.000
G1S24_Cs137_Petri_2,193.399,11.492,Ra-226,186.211,3.64,ПОКАЗАНО,0,1.000,0,1.000,,,4,21.420,2,21.420
G1S24_Cs137_Petri_2,444.299,13.349,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S24_Cs137_Petri_2,668.796,17.119,Cs-137,662.000,85.1,ПОКАЗАНО,0,1.000,0,1.000,,,5,48.117,0,1.000
G1S24_Cs137_Petri_2,1459.403,27.693,K-40,1460.000,10.66,ПОКАЗАНО,0,1.000,0,1.000,,,3,9.379,0,1.000
G1S24_Cs137_Petri_2,2623.856,38.445,Tl-208,2614.000,35.8516,ПОКАЗАНО,0,1.000,0,1.000,,,1,23.205,0,1.000
G1S24_Eu152_P5,122.105,5.741,Eu-152,125.000,28.53,ПОКАЗАНО,0,1.000,0,1.000,,,1,11.789,0,1.000
G1S24_Eu152_P5,242.666,8.710,Eu-152,244.000,7.55,ПОКАЗАНО,1,1.040,1,1.040,Pb-214,7.2615,2,5.775,1,5.775
G1S24_Eu152_P5,341.663,11.383,Eu-152,345.000,26.59,ПОКАЗАНО,1,2.359,1,2.359,Ac-228,11.27,5,16.619,1,1.343
G1S24_Eu152_P5,441.707,13.626,Ag-108m,433.000,90.5,ПОКАЗАНО,0,1.000,0,1.000,,,2,47.135,0,1.000
G1S24_Eu152_P5,566.476,14.237,Tl-208,583.000,30.549,ПОКАЗАНО,0,1.000,0,1.000,,,2,2.940,0,1.000
