detector,min_snr,roi_radius_fwhm,max_extra_per_roi,recall_pct,gain_over_finder_pp,extra_peaks,unexplained_loose,unexplained_strict,ms
RC103,6,5.0,3,45.0,0.0,2.0,1.00,1.00,963
RC103,6,5.0,4,50.0,5.0,3.0,0.00,0.00,1900
RC103,6,5.0,5,50.0,5.0,2.0,1.00,1.00,3200
RC103,8,2.0,1,55.0,10.0,4.0,0.00,1.00,1258
RC103,8,2.0,2,60.0,15.0,5.0,0.00,0.00,726
RC103,8,2.0,3,55.0,10.0,3.0,0.00,0.00,545
RC103,8,2.0,4,50.0,5.0,2.0,0.00,0.00,562
RC103,8,2.0,5,45.0,0.0,0.0,0.00,0.00,666
RC103,8,3.0,1,50.0,5.0,2.0,0.00,0.00,371
RC103,8,3.0,2,50.0,5.0,2.0,0.00,0.00,433
RC103,8,3.0,3,55.0,10.0,3.0,0.00,0.00,553
RC103,8,3.0,4,45.0,0.0,1.0,0.00,0.00,844
RC103,8,3.0,5,45.0,0.0,1.0,0.00,0.00,1740
RC103,8,4.0,1,45.0,0.0,1.0,0.00,0.00,1405
RC103,8,4.0,2,45.0,0.0,1.0,0.00,0.00,777
RC103,8,4.0,3,45.0,0.0,2.0,1.00,1.00,745
RC103,8,4.0,4,45.0,0.0,1.0,1.00,1.00,1265
RC103,8,4.0,5,50.0,5.0,1.0,0.00,0.00,1744
RC103,8,5.0,1,45.0,0.0,1.0,0.00,0.00,1426
RC103,8,5.0,2,45.0,0.0,2.0,1.00,1.00,1428
RC103,8,5.0,3,45.0,0.0,2.0,1.00,1.00,1524
RC103,8,5.0,4,50.0,5.0,3.0,0.00,0.00,1741
RC103,8,5.0,5,50.0,5.0,2.0,1.00,1.00,1601
