detector,k_fwhm,i_min_pct,set_lines,recall_pct,finder_only_recall_pct,library_peaks,finder_peaks_lost,phantom_lines,phantom_rate_pct,ms
RC103,1.30,0.20,14.5,60.0,45.0,1.75,0.50,4.00,26.7,21
RC103,1.30,0.50,13.2,55.0,45.0,1.25,0.25,3.75,28.8,25
RC103,1.30,1.00,12.5,55.0,45.0,0.75,0.25,2.50,22.7,13
RC103,1.30,2.00,11.2,45.0,45.0,0.25,0.25,1.25,16.1,12
RC103,1.60,0.00,14.5,55.0,45.0,1.25,0.25,3.50,22.2,16
RC103,1.60,0.05,13.2,55.0,45.0,1.25,0.25,3.50,25.9,16
RC103,1.60,0.10,13.0,55.0,45.0,1.00,0.25,3.50,26.9,16
RC103,1.60,0.20,12.8,55.0,45.0,1.00,0.25,3.50,27.5,18
RC103,1.60,0.50,11.8,55.0,45.0,0.75,0.00,3.25,29.5,20
RC103,1.60,1.00,10.8,55.0,45.0,0.50,0.00,2.25,23.1,10
RC103,1.60,2.00,9.8,50.0,45.0,0.25,0.00,1.25,17.2,9
RC103,2.00,0.00,12.5,55.0,45.0,1.00,0.00,2.50,19.2,22
RC103,2.00,0.05,12.0,55.0,45.0,1.00,0.00,2.50,21.3,14
RC103,2.00,0.10,11.8,55.0,45.0,0.75,0.00,2.50,21.7,14
RC103,2.00,0.20,11.5,55.0,45.0,0.75,0.00,2.50,22.2,14
RC103,2.00,0.50,10.8,55.0,45.0,0.75,0.00,2.00,20.5,20
RC103,2.00,1.00,9.8,55.0,45.0,0.50,0.00,1.75,18.9,11
RC103,2.00,2.00,8.8,50.0,45.0,0.25,0.00,1.00,14.3,10
