SETUP correlatedGamma=0 twoJmax=10 vacuum=0 seed=7 killesc=0 killcarry=0 fullcarry=0 histbin=0.000 histbins=0 iontag=1
RESULT decays=5000000
RESULT any=0 eps_total=0.000000e+00
EMITBEGIN events=5000000 bin_kev=0.01
EMITPAIR 926.317 121.781 n1=13623 n12=6276 P=0.460691
EMITPAIR 926.317 244.697 n1=13623 n12=12321 P=0.904426
EMITPAIR 964.079 121.781 n1=724209 n12=336121 P=0.464122
EMITPAIR 1005.272 121.781 n1=32378 n12=14922 P=0.460868
EMITPAIR 1005.272 244.697 n1=32378 n12=29277 P=0.904225
EMITPAIR 1089.730 344.278 n1=85572 n12=82173 P=0.960279
EMITPAIR 1112.069 121.781 n1=672489 n12=311702 P=0.463505
EMITPAIR 1212.940 121.781 n1=71219 n12=33013 P=0.463542
EMITPAIR 1212.940 244.697 n1=71219 n12=64374 P=0.903888
EMITPAIR 1249.930 121.781 n1=9274 n12=4362 P=0.470347
EMITPAIR 1299.140 344.278 n1=81681 n12=78471 P=0.960701
EMITPAIR 1408.006 121.781 n1=1040594 n12=482502 P=0.463679
EMITPAIR 1457.643 121.781 n1=25318 n12=11613 P=0.458686
EMITPAIR 1528.103 121.781 n1=14008 n12=6538 P=0.466733
EMITPAIR 121.780 40.170 n1=1424047 n12=568286 P=0.399064
EMITPAIR 121.780 39.560 n1=1424047 n12=315546 P=0.221584
EMITPAIR 121.780 45.400 n1=1424047 n12=167715 P=0.117774
EMITPAIR 1408.010 40.170 n1=1040594 n12=502994 P=0.483372
EMITPAIR 1085.840 40.170 n1=503753 n12=201422 P=0.399843
EMITPAIR 244.697 40.170 n1=376207 n12=183883 P=0.488781
EMITPAIR 964.060 40.170 n1=724209 n12=354462 P=0.489447
EMITPAIR 1112.080 40.170 n1=672489 n12=329357 P=0.489758
EMITPAIR 867.380 40.170 n1=208954 n12=105978 P=0.507183
EMITPAIR 443.960 40.170 n1=155395 n12=69969 P=0.450265
EMITPAIR 344.278 43.060 n1=1330839 n12=2368 P=0.001779
EMITPAIR 778.900 43.060 n1=645110 n12=9143 P=0.014173
TAGEND
