ch,keV,net,fit,model,continuum_raw,Am-241,Esc-NaI,continuum
218,61.899,6350.081,6350.081,11691.748,2.441,11691.748,0.000,0.000
219,62.247,4908.864,4908.864,10297.710,2.989,10297.710,0.000,0.000
220,62.595,3621.305,3621.305,9015.364,3.537,9015.364,0.000,0.000
221,62.943,2844.396,2844.396,7845.258,4.085,7845.258,0.000,0.000
222,63.291,2109.697,2109.697,6785.993,4.633,6785.993,0.000,0.000
223,63.640,1490.175,1490.175,5834.502,5.181,5834.502,0.000,0.000
224,63.988,1100.182,1100.182,4986.338,5.729,4986.338,0.000,0.000
225,64.336,783.497,783.497,4235.965,6.277,4235.965,0.000,0.000
226,64.684,515.487,515.487,3577.036,6.825,3577.036,0.000,0.000
227,65.033,450.389,450.389,3002.653,7.373,3002.653,0.000,0.000
228,65.381,299.116,299.116,2505.604,7.921,2505.604,0.000,0.000
229,65.729,202.588,202.588,2078.573,8.469,2078.573,0.000,0.000
230,66.078,169.822,169.822,1714.317,9.017,1714.317,0.000,0.000
231,66.426,118.069,118.069,1405.809,9.565,1405.809,0.000,0.000
232,66.775,107.438,107.438,1146.361,10.113,1146.361,0.000,0.000
233,67.123,79.623,79.623,929.702,10.661,929.702,0.000,0.000
234,67.471,71.914,71.914,750.040,11.209,750.040,0.000,0.000
235,67.820,79.364,79.364,602.099,11.757,602.099,0.000,0.000
236,68.168,15.943,15.943,481.128,12.305,481.128,0.000,0.000
237,68.517,68.613,68.613,382.903,12.853,382.903,0.000,0.000
238,68.865,45.202,45.202,303.707,13.401,303.707,0.000,0.000
239,69.214,61.236,61.236,240.308,13.949,240.308,0.000,0.000
240,69.563,46.192,46.192,189.918,14.497,189.918,0.000,0.000
241,69.911,60.879,60.879,150.161,15.045,150.161,0.000,0.000
242,70.260,59.143,59.143,119.030,15.593,119.030,0.000,0.000
243,70.608,53.180,53.180,94.844,16.141,94.844,0.000,0.000
244,70.957,58.923,58.923,76.206,16.689,76.206,0.000,0.000
245,71.306,54.071,54.071,61.971,17.237,61.971,0.000,0.000
246,71.654,46.468,46.468,51.202,17.785,51.202,0.000,0.000
247,72.003,44.391,44.391,43.144,18.333,43.144,0.000,0.000
248,72.352,40.793,40.793,37.189,18.881,37.189,0.000,0.000
249,72.700,65.263,65.263,32.857,19.429,32.857,0.000,0.000
250,73.049,53.978,53.978,29.765,19.977,29.765,0.000,0.000
251,73.398,58.768,58.768,27.616,20.525,27.616,0.000,0.000
252,73.746,52.017,52.017,26.179,21.073,26.179,0.000,0.000
253,74.095,33.433,33.433,25.275,21.621,25.275,0.000,0.000
254,74.444,23.217,23.217,24.768,22.169,24.768,0.000,0.000
255,74.793,36.253,36.253,24.554,22.717,24.554,0.000,0.000
256,75.142,12.739,12.739,24.556,23.265,24.556,0.000,0.000
257,75.491,45.160,45.160,24.715,23.813,24.715,0.000,0.000
258,75.839,36.182,36.182,24.987,24.361,24.987,0.000,0.000
259,76.188,63.150,63.150,25.341,24.909,25.341,0.000,0.000
260,76.537,64.409,64.409,25.753,25.457,25.753,0.000,0.000
261,76.886,33.793,33.793,26.207,26.005,26.207,0.000,0.000
262,77.235,41.081,41.081,26.690,26.553,26.690,0.000,0.000
263,77.584,65.995,65.995,27.193,27.101,27.193,0.000,0.000
264,77.933,36.421,36.421,27.711,27.649,27.711,0.000,0.000
265,78.282,63.554,63.554,28.238,28.197,28.238,0.000,0.000
266,78.631,40.901,40.901,28.772,28.745,28.772,0.000,0.000
267,78.980,55.098,55.098,29.311,29.293,29.311,0.000,0.000
268,79.329,37.630,37.630,29.853,29.841,29.853,0.000,0.000
269,79.678,44.081,44.081,30.397,30.389,30.397,0.000,0.000
270,80.027,71.692,71.692,30.942,30.937,30.942,0.000,0.000
271,80.376,65.069,65.069,31.488,31.485,31.488,0.000,0.000
272,80.725,51.187,51.187,32.035,32.033,32.035,0.000,0.000
273,81.074,23.189,23.189,32.582,32.581,32.582,0.000,0.000
274,81.424,69.808,69.808,33.130,33.129,33.130,0.000,0.000
275,81.773,31.709,31.709,33.678,33.677,33.678,0.000,0.000
276,82.122,38.751,38.751,34.226,34.225,34.226,0.000,0.000
277,82.471,68.066,68.066,34.773,34.773,34.773,0.000,0.000
278,82.820,52.108,52.108,35.321,35.321,35.321,0.000,0.000
279,83.170,14.239,14.239,35.869,35.869,35.869,0.000,0.000
280,83.519,37.744,37.744,36.417,36.417,36.417,0.000,0.000
281,83.868,84.771,84.771,36.965,36.965,36.965,0.000,0.000
282,84.217,71.116,71.116,37.513,37.513,37.513,0.000,0.000
283,84.567,24.734,24.734,38.061,38.061,38.061,0.000,0.000
284,84.916,68.386,68.386,38.609,38.609,38.609,0.000,0.000
285,85.265,60.049,60.049,39.157,39.157,39.157,0.000,0.000
286,85.615,35.253,35.253,39.705,39.705,39.705,0.000,0.000
287,85.964,69.143,69.143,40.253,40.253,40.253,0.000,0.000
288,86.313,56.290,56.290,40.801,40.801,40.801,0.000,0.000
289,86.663,49.116,49.116,41.349,41.349,41.349,0.000,0.000
290,87.012,86.487,86.487,41.897,41.897,41.897,0.000,0.000
291,87.362,67.276,67.276,42.445,42.445,42.445,0.000,0.000
292,87.711,41.554,41.554,42.993,42.993,42.993,0.000,0.000
293,88.060,56.968,56.968,43.541,43.541,43.541,0.000,0.000
294,88.410,54.906,54.906,44.089,44.089,44.089,0.000,0.000
295,88.759,73.579,73.579,44.637,44.637,44.637,0.000,0.000
296,89.109,61.118,61.118,45.185,45.185,45.185,0.000,0.000
297,89.458,56.263,56.263,45.733,45.733,45.733,0.000,0.000
298,89.808,77.746,77.746,46.281,46.281,46.281,0.000,0.000
299,90.157,84.473,84.473,46.829,46.829,46.829,0.000,0.000
300,90.507,67.069,67.069,47.377,47.377,47.377,0.000,0.000
301,90.857,91.946,91.946,47.925,47.925,47.925,0.000,0.000
302,91.206,79.680,79.680,48.473,48.473,48.473,0.000,0.000
303,91.556,62.345,62.345,49.021,49.021,49.021,0.000,0.000
304,91.905,94.958,94.958,49.569,49.569,49.569,0.000,0.000
305,92.255,57.460,57.460,50.117,50.117,50.117,0.000,0.000
306,92.605,89.951,89.951,50.665,50.665,50.665,0.000,0.000
307,92.954,84.707,84.707,51.213,51.213,51.213,0.000,0.000
308,93.304,98.271,98.271,51.761,51.761,51.761,0.000,0.000
309,93.654,56.391,56.391,52.310,52.310,52.310,0.000,0.000
310,94.004,87.145,87.145,52.858,52.858,0.000,0.000,52.858
311,94.353,78.249,78.249,53.406,53.406,0.000,0.000,53.406
312,94.703,95.879,95.879,53.954,53.954,0.000,0.000,53.954
313,95.053,89.694,89.694,54.502,54.502,0.000,0.000,54.502
314,95.403,95.480,95.480,55.050,55.050,0.000,0.000,55.050
315,95.752,45.507,45.507,55.598,55.598,0.000,0.000,55.598
316,96.102,113.423,113.423,56.146,56.146,0.000,0.000,56.146
317,96.452,91.224,91.224,56.694,56.694,0.000,0.000,56.694
318,96.802,119.012,119.012,57.242,57.242,0.000,0.000,57.242
319,97.152,75.327,75.327,57.790,57.790,0.000,0.000,57.790
320,97.502,112.059,112.059,58.338,58.338,0.000,0.000,58.338
321,97.852,116.219,116.219,58.886,58.886,0.000,0.000,58.886
322,98.202,111.680,111.680,59.434,59.434,0.000,0.000,59.434
323,98.552,96.515,96.515,59.982,59.982,0.000,0.000,59.982
324,98.901,118.081,118.081,60.530,60.530,0.000,0.000,60.530
325,99.251,146.431,146.431,61.078,61.078,0.000,0.000,61.078
326,99.601,124.941,124.941,61.626,61.626,0.000,0.000,61.626
327,99.951,140.478,140.478,62.174,62.174,0.000,0.000,62.174
328,100.301,89.825,89.825,62.722,62.722,0.000,0.000,62.722
329,100.651,109.019,109.019,63.270,63.270,0.000,0.000,63.270
330,101.001,78.537,78.537,63.818,63.818,0.000,0.000,63.818
331,101.352,64.443,64.443,64.366,64.366,0.000,0.000,64.366
332,101.702,106.729,106.729,64.914,64.914,0.000,0.000,64.914
333,102.052,81.581,81.581,65.462,65.462,0.000,0.000,65.462
334,102.402,65.172,65.172,66.010,66.010,0.000,0.000,66.010
335,102.752,86.532,86.532,66.558,66.558,0.000,0.000,66.558
336,103.102,64.729,64.729,67.106,67.106,0.000,0.000,67.106
337,103.452,104.145,104.145,67.654,67.654,0.000,0.000,67.654
338,103.802,80.106,80.106,68.202,68.202,0.000,0.000,68.202
339,104.153,77.948,77.948,68.750,68.750,0.000,0.000,68.750
340,104.503,74.037,74.037,69.298,69.298,0.000,0.000,69.298
341,104.853,62.379,62.379,69.846,69.846,0.000,0.000,69.846
342,105.203,60.327,60.327,70.394,70.394,0.000,0.000,70.394
343,105.553,61.032,61.032,69.972,69.972,0.000,0.000,69.972
344,105.904,55.000,55.000,69.551,69.551,0.000,0.000,69.551
345,106.254,68.185,68.185,69.129,69.129,0.000,0.000,69.129
346,106.604,46.239,46.239,68.708,68.708,0.000,0.000,68.708
347,106.955,43.034,43.034,68.286,68.286,0.000,0.000,68.286
348,107.305,33.010,33.010,67.865,67.865,0.000,0.000,67.865
349,107.655,21.955,21.955,67.443,67.443,0.000,0.000,67.443
350,108.006,49.569,49.569,67.022,67.022,0.000,0.000,67.022
351,108.356,44.384,44.384,66.600,66.600,0.000,0.000,66.600
352,108.706,33.244,33.244,66.179,66.179,0.000,0.000,66.179
353,109.057,33.584,33.584,65.757,65.757,0.000,0.000,65.757
354,109.407,41.249,41.249,65.336,65.336,0.000,0.000,65.336
355,109.757,34.734,34.734,64.914,64.914,0.000,0.000,64.914
356,110.108,30.278,30.278,64.492,64.492,0.000,0.000,64.492
357,110.458,35.788,35.788,64.071,64.071,0.000,0.000,64.071
358,110.809,36.251,36.251,63.649,63.649,0.000,0.000,63.649
359,111.159,56.586,56.586,63.228,63.228,0.000,0.000,63.228
360,111.510,37.832,37.832,62.806,62.806,0.000,0.000,62.806
361,111.860,39.571,39.571,62.385,62.385,0.000,0.000,62.385
362,112.211,50.374,50.374,61.963,61.963,0.000,0.000,61.963
363,112.561,28.005,28.005,61.542,61.542,0.000,0.000,61.542
364,112.912,15.145,15.145,61.120,61.120,0.000,0.000,61.120
365,113.262,41.618,41.618,60.699,60.699,0.000,0.000,60.699
366,113.613,42.485,42.485,60.277,60.277,0.000,0.000,60.277
367,113.964,46.810,46.810,59.856,59.856,0.000,0.000,59.856
368,114.314,54.608,54.608,59.434,59.434,0.000,0.000,59.434
369,114.665,41.741,41.741,59.013,59.013,0.000,0.000,59.013
370,115.015,35.120,35.120,58.591,58.591,0.000,0.000,58.591
371,115.366,27.283,27.283,58.170,58.170,0.000,0.000,58.170
372,115.717,76.524,76.524,57.748,57.748,0.000,0.000,57.748
373,116.068,64.613,64.613,57.327,57.327,0.000,0.000,57.327
374,116.418,35.088,35.088,56.905,56.905,0.000,0.000,56.905
375,116.769,43.079,43.079,56.484,56.484,0.000,0.000,56.484
376,117.120,58.032,58.032,56.062,56.062,0.000,0.000,56.062
377,117.470,68.579,68.579,55.641,55.641,0.000,0.000,55.641
378,117.821,70.694,70.694,55.219,55.219,0.000,0.000,55.219
379,118.172,52.495,52.495,54.798,54.798,0.000,0.000,54.798
380,118.523,76.901,76.901,54.376,54.376,0.000,0.000,54.376
381,118.873,81.379,81.379,53.954,53.954,0.000,0.000,53.954
382,119.224,52.419,52.419,53.533,53.533,0.000,0.000,53.533
383,119.575,73.739,73.739,53.111,53.111,0.000,0.000,53.111
