spectrum,peak_kev,peak_counts,fwhm_kev,has_curve,nuclide,line_kev,intensity_pct,is_xray,low_yield,rivals,rival_factor,coeff_ok,bq_coeff,verdict
AS80_Th232_v2,293.346,0.0,25.235,0,Pb-214,295.000,18.4672,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,339.418,4.0,82.220,0,Ac-228,338.000,11.27,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,463.706,0.0,62.138,0,Ac-228,463.000,4.4,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,509.466,0.0,64.190,0,Tl-208,510.000,8.1224,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,587.365,2.0,122.892,0,Tl-208,583.000,30.549,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,730.724,0.0,117.678,0,Bi-212,727.330,6.67,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,910.497,0.0,157.664,0,Ac-228,911.000,25.8,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,965.288,0.0,140.873,0,Ac-228,964.000,4.99,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,1113.108,0.0,177.090,0,Eu-152,1111.000,13.67,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,1245.127,0.0,102.038,0,Bi-214,1238.000,5.83,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,1444.130,0.0,210.995,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,1598.399,0.0,188.119,0,Ac-228,1588.000,3.22,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,1755.069,0.0,188.915,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,2114.829,0.0,270.874,0,Tl-208 SE,2103.000,0,0,0,0,1.000,0,0,у подписи нет выхода
AS80_Th232_v2,2323.267,0.0,219.053,0,Bi-214,2447.000,1.545,0,0,0,1.000,0,0,кривой нет
AS80_Th232_v2,2612.890,0.0,326.286,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,61.653,287.0,28.117,0,Am-241,59.541,35.9,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,93.075,270.0,34.391,0,Pb x-ray,87.300,8,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,144.289,4.0,34.122,0,U-235,145.000,10.96,0,0,0,1.000,0,0,кривой нет
AS80_UGlass,186.048,16.0,50.646,0,Ra-226,186.211,3.64,0,0,0,1.000,0,0,кривой нет
