spectrum,peak_kev,peak_counts,fwhm_kev,has_curve,nuclide,line_kev,intensity_pct,is_xray,low_yield,rivals,rival_factor,coeff_ok,bq_coeff,verdict
ASN16_BrazilNuts,348.029,0.0,71.741,0,Eu-152,345.000,26.59,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,510.329,0.0,75.582,0,Tl-208,510.000,8.1224,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,600.929,0.0,107.756,0,Bi-214,609.000,45.44,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,915.397,0.0,101.657,0,Ac-228,911.000,25.8,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,1124.904,0.0,135.369,0,Bi-214,1120.000,14.9,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,1460.747,0.0,156.855,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,1593.719,0.0,89.419,0,Ac-228,1588.000,3.22,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,1758.950,0.0,156.683,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
ASN16_BrazilNuts,2621.212,0.0,219.126,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,38.781,34.0,23.737,0,,,,0,0,0,1.000,0,0,нет подписи
ASN16_Charoite,72.021,99.0,36.803,0,Pb x-ray,72.804,59.5,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,144.102,3.0,47.157,0,U-235,145.000,10.96,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,184.529,9.0,49.317,0,U-235,185.715,57,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,240.352,7.0,57.264,0,Pb-214,241.000,7.2615,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,296.674,7.0,61.122,0,Pb-214,295.000,18.4672,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,352.707,9.0,73.515,0,Pb-214,353.000,35.7166,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,510.709,0.0,75.100,0,Annihilation,511.000,0,0,0,0,1.000,0,0,у подписи нет выхода
ASN16_Charoite,612.118,2.0,104.610,0,Ag-108m,614.000,89.8,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,773.471,0.0,112.048,0,Bi-214,768.360,4.89,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,936.071,0.0,153.003,0,Ac-228,911.000,25.8,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,1126.639,0.0,140.585,0,Bi-214,1120.000,14.9,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,1247.549,0.0,125.108,0,Bi-214,1238.000,5.83,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,1462.087,0.0,165.496,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,1756.832,0.0,184.083,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,2201.212,0.0,210.004,0,Bi-214,2204.000,4.92,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,2450.689,0.0,122.485,0,Bi-214,2447.000,1.545,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite,2618.021,0.0,211.453,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,72.916,80.0,38.415,0,Pb x-ray,72.804,59.5,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,182.786,6.0,44.181,0,U-235,185.715,57,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,234.942,6.0,56.748,0,Pb-212,238.000,43.6,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,291.172,4.0,56.626,0,Pb-214,295.000,18.4672,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,346.838,6.0,71.635,0,Eu-152,345.000,26.59,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,509.165,0.0,55.190,0,Tl-208,510.000,8.1224,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,603.255,1.0,105.003,0,Bi-214,609.000,45.44,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,763.418,0.0,111.089,0,Pa-234m,766.000,0.317,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,910.136,0.0,138.540,0,Ac-228,911.000,25.8,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,1121.968,0.0,140.681,0,Bi-214,1120.000,14.9,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,1227.067,0.0,116.853,0,Bi-214,1238.000,5.83,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,1458.144,0.0,164.640,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,1761.702,0.0,180.245,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
ASN16_Charoite_v2,2124.329,0.0,199.763,0,Tl-208 SE,2103.000,0,0,0,0,1.000,0,0,у подписи нет выхода
