run,line,keV,window_keV,sum_net,sum_model,model_minus_net,in_sigma
radon1_side_r025_noeq,Ra-226 186,186.21,±46.8,13587,18672,5085,43.6
radon1_side_r025_noeq,Pb-212 239,238.63,±52.9,22181,25010,2829,19.0
radon1_side_r025_noeq,Pb-214 295,295.22,±58.9,33912,33933,22,0.1
radon1_side_r025_noeq,Ac-228 338,338.32,±63.0,33957,33923,-34,-0.2
radon1_side_r025_noeq,Pb-214 352,351.93,±64.3,31642,31399,-244,-1.4
radon1_side_r025_noeq,Tl-208 583,583.19,±82.8,15860,15647,-213,-1.7
radon1_side_r025_noeq,Bi-214 609,609.32,±84.6,15768,15539,-229,-1.8
radon1_side_r025_noeq,Bi-212 727,727.33,±92.4,7279,7502,222,2.6
radon1_side_r025_noeq,Ac-228 911,911.20,±103.5,5359,5256,-103,-1.4
radon1_side_r025_noeq,Ac-228 969,968.97,±106.7,4640,4754,113,1.7
radon1_side_r025_noeq,Bi-214 1120,1120.29,±114.7,5377,5351,-26,-0.4
radon1_side_r025_noeq,Bi-214 1764,1764.49,±144.0,2287,2284,-4,-0.1
radon1_side_r025_noeq,Tl-208 2614,2614.51,±175.2,237,105,-131,-8.5
radon1_side_shpb_noeq,Pb-210 46.5,46.54,±23.4,44178,45977,1799,8.6
radon1_side_shpb_noeq,Ra-226 186,186.21,±46.8,13587,18258,4671,40.1
radon1_side_shpb_noeq,Pb-212 239,238.63,±52.9,22181,24742,2561,17.2
radon1_side_shpb_noeq,Pb-214 295,295.22,±58.9,33912,33834,-78,-0.4
radon1_side_shpb_noeq,Ac-228 338,338.32,±63.0,33957,33942,-15,-0.1
radon1_side_shpb_noeq,Pb-214 352,351.93,±64.3,31642,31397,-245,-1.4
radon1_side_shpb_noeq,Tl-208 583,583.19,±82.8,15860,15677,-183,-1.5
radon1_side_shpb_noeq,Bi-214 609,609.32,±84.6,15768,15574,-194,-1.5
radon1_side_shpb_noeq,Bi-212 727,727.33,±92.4,7279,7496,217,2.5
radon1_side_shpb_noeq,Ac-228 911,911.20,±103.5,5359,5255,-104,-1.4
radon1_side_shpb_noeq,Ac-228 969,968.97,±106.7,4640,4753,113,1.7
