ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
4618,1542.402,31.779,28.395,8.862,8.342,18.297,0.000,1.755,0.000,0.000,0.000,0.000,0.000,0.000
4619,1542.728,37.297,28.458,8.852,8.384,18.321,0.000,1.753,0.000,0.000,0.000,0.000,0.000,0.000
4620,1543.054,33.186,28.523,8.842,8.427,18.346,0.000,1.750,0.000,0.000,0.000,0.000,0.000,0.000
4621,1543.380,38.038,28.590,8.833,8.472,18.371,0.000,1.748,0.000,0.000,0.000,0.000,0.000,0.000
4622,1543.706,40.261,28.659,8.823,8.517,18.397,0.000,1.745,0.000,0.000,0.000,0.000,0.000,0.000
4623,1544.032,45.223,28.729,8.813,8.564,18.422,0.000,1.743,0.000,0.000,0.000,0.000,0.000,0.000
4624,1544.359,33.853,28.801,8.803,8.612,18.449,0.000,1.741,0.000,0.000,0.000,0.000,0.000,0.000
4625,1544.685,32.261,28.875,8.794,8.661,18.475,0.000,1.739,0.000,0.000,0.000,0.000,0.000,0.000
4626,1545.011,35.446,28.951,8.784,8.712,18.502,0.000,1.737,0.000,0.000,0.000,0.000,0.000,0.000
4627,1545.337,40.779,29.029,8.774,8.764,18.530,0.000,1.735,0.000,0.000,0.000,0.000,0.000,0.000
4628,1545.663,40.409,29.108,8.765,8.817,18.558,0.000,1.733,0.000,0.000,0.000,0.000,0.000,0.000
4629,1545.989,34.297,29.190,8.755,8.872,18.586,0.000,1.732,0.000,0.000,0.000,0.000,0.000,0.000
4630,1546.315,44.668,29.273,8.745,8.928,18.615,0.000,1.730,0.000,0.000,0.000,0.000,0.000,0.000
4631,1546.642,46.927,29.358,8.735,8.985,18.645,0.000,1.729,0.000,0.000,0.000,0.000,0.000,0.000
4632,1546.968,30.705,29.445,8.726,9.043,18.675,0.000,1.728,0.000,0.000,0.000,0.000,0.000,0.000
4633,1547.294,35.150,29.535,8.716,9.103,18.705,0.000,1.726,0.000,0.000,0.000,0.000,0.000,0.000
4634,1547.620,37.223,29.626,8.706,9.165,18.736,0.000,1.726,0.000,0.000,0.000,0.000,0.000,0.000
4635,1547.947,30.001,29.719,8.696,9.227,18.767,0.000,1.725,0.000,0.000,0.000,0.000,0.000,0.000
4636,1548.273,38.519,29.815,8.687,9.291,18.799,0.000,1.724,0.000,0.000,0.000,0.000,0.000,0.000
4637,1548.599,44.409,29.912,8.677,9.356,18.832,0.000,1.724,0.000,0.000,0.000,0.000,0.000,0.000
4638,1548.925,37.668,30.011,8.667,9.422,18.866,0.000,1.724,0.000,0.000,0.000,0.000,0.000,0.000
4639,1549.252,24.631,30.112,8.658,9.489,18.900,0.000,1.723,0.000,0.000,0.000,0.000,0.000,0.000
4640,1549.578,40.519,30.213,8.648,9.556,18.934,0.000,1.723,0.000,0.000,0.000,0.000,0.000,0.000
4641,1549.904,43.446,30.316,8.638,9.623,18.969,0.000,1.724,0.000,0.000,0.000,0.000,0.000,0.000
4642,1550.231,40.853,30.419,8.628,9.691,19.004,0.000,1.724,0.000,0.000,0.000,0.000,0.000,0.000
4643,1550.557,22.186,30.524,8.619,9.760,19.039,0.000,1.724,0.000,0.000,0.000,0.000,0.000,0.000
4644,1550.883,28.335,30.629,8.609,9.829,19.075,0.000,1.725,0.000,0.000,0.000,0.000,0.000,0.000
4645,1551.210,33.038,30.735,8.599,9.899,19.110,0.000,1.726,0.000,0.000,0.000,0.000,0.000,0.000
4646,1551.536,35.149,30.842,8.589,9.969,19.146,0.000,1.727,0.000,0.000,0.000,0.000,0.000,0.000
4647,1551.863,34.631,30.950,8.580,10.040,19.182,0.000,1.728,0.000,0.000,0.000,0.000,0.000,0.000
4648,1552.189,33.335,31.058,8.570,10.111,19.218,0.000,1.729,0.000,0.000,0.000,0.000,0.000,0.000
4649,1552.515,35.631,31.168,8.560,10.183,19.254,0.000,1.731,0.000,0.000,0.000,0.000,0.000,0.000
4650,1552.842,43.557,31.278,8.550,10.255,19.290,0.000,1.732,0.000,0.000,0.000,0.000,0.000,0.000
4651,1553.168,34.483,31.388,8.541,10.328,19.326,0.000,1.734,0.000,0.000,0.000,0.000,0.000,0.000
4652,1553.495,36.964,31.500,8.531,10.401,19.363,0.000,1.736,0.000,0.000,0.000,0.000,0.000,0.000
4653,1553.821,22.112,31.612,8.521,10.474,19.399,0.000,1.739,0.000,0.000,0.000,0.000,0.000,0.000
4654,1554.148,26.297,31.725,8.512,10.548,19.436,0.000,1.741,0.000,0.000,0.000,0.000,0.000,0.000
4655,1554.474,26.519,31.839,8.502,10.623,19.472,0.000,1.744,0.000,0.000,0.000,0.000,0.000,0.000
4656,1554.801,31.483,31.953,8.492,10.698,19.509,0.000,1.747,0.000,0.000,0.000,0.000,0.000,0.000
4657,1555.127,26.483,32.068,8.482,10.773,19.545,0.000,1.750,0.000,0.000,0.000,0.000,0.000,0.000
4658,1555.454,30.075,32.183,8.473,10.848,19.582,0.000,1.753,0.000,0.000,0.000,0.000,0.000,0.000
4659,1555.780,25.631,32.299,8.463,10.924,19.619,0.000,1.756,0.000,0.000,0.000,0.000,0.000,0.000
4660,1556.107,41.779,32.416,8.453,11.000,19.656,0.000,1.760,0.000,0.000,0.000,0.000,0.000,0.000
4661,1556.433,26.594,32.532,8.443,11.076,19.692,0.000,1.764,0.000,0.000,0.000,0.000,0.000,0.000
4662,1556.760,40.371,32.650,8.434,11.153,19.729,0.000,1.768,0.000,0.000,0.000,0.000,0.000,0.000
4663,1557.086,30.223,32.768,8.424,11.229,19.766,0.000,1.772,0.000,0.000,0.000,0.000,0.000,0.000
4664,1557.413,35.409,32.886,8.414,11.306,19.803,0.000,1.777,0.000,0.000,0.000,0.000,0.000,0.000
4665,1557.740,28.927,33.005,8.405,11.384,19.840,0.000,1.782,0.000,0.000,0.000,0.000,0.000,0.000
4666,1558.066,27.038,33.124,8.395,11.461,19.877,0.000,1.787,0.000,0.000,0.000,0.000,0.000,0.000
4667,1558.393,33.742,33.244,8.385,11.538,19.914,0.000,1.792,0.000,0.000,0.000,0.000,0.000,0.000
4668,1558.719,32.112,33.363,8.375,11.616,19.950,0.000,1.797,0.000,0.000,0.000,0.000,0.000,0.000
4669,1559.046,28.668,33.484,8.366,11.694,19.987,0.000,1.803,0.000,0.000,0.000,0.000,0.000,0.000
4670,1559.373,20.779,33.604,8.356,11.771,20.024,0.000,1.809,0.000,0.000,0.000,0.000,0.000,0.000
4671,1559.699,39.001,33.725,8.346,11.849,20.061,0.000,1.815,0.000,0.000,0.000,0.000,0.000,0.000
4672,1560.026,36.927,33.846,8.336,11.927,20.097,0.000,1.821,0.000,0.000,0.000,0.000,0.000,0.000
4673,1560.353,32.335,33.967,8.327,12.005,20.134,0.000,1.828,0.000,0.000,0.000,0.000,0.000,0.000
4674,1560.680,34.038,34.088,8.317,12.083,20.170,0.000,1.835,0.000,0.000,0.000,0.000,0.000,0.000
4675,1561.006,20.186,34.209,8.307,12.161,20.207,0.000,1.842,0.000,0.000,0.000,0.000,0.000,0.000
4676,1561.333,31.853,34.331,8.297,12.238,20.243,0.000,1.849,0.000,0.000,0.000,0.000,0.000,0.000
4677,1561.660,23.631,34.453,8.288,12.316,20.280,0.000,1.857,0.000,0.000,0.000,0.000,0.000,0.000
4678,1561.987,33.705,34.574,8.278,12.394,20.316,0.000,1.865,0.000,0.000,0.000,0.000,0.000,0.000
4679,1562.313,33.557,34.696,8.268,12.471,20.352,0.000,1.873,0.000,0.000,0.000,0.000,0.000,0.000
4680,1562.640,36.335,34.818,8.259,12.549,20.388,0.000,1.881,0.000,0.000,0.000,0.000,0.000,0.000
4681,1562.967,21.409,34.940,8.249,12.626,20.424,0.000,1.890,0.000,0.000,0.000,0.000,0.000,0.000
4682,1563.294,35.297,35.061,8.239,12.703,20.460,0.000,1.899,0.000,0.000,0.000,0.000,0.000,0.000
4683,1563.621,35.112,35.183,8.229,12.780,20.496,0.000,1.908,0.000,0.000,0.000,0.000,0.000,0.000
4684,1563.947,30.853,35.305,8.220,12.856,20.531,0.000,1.917,0.000,0.000,0.000,0.000,0.000,0.000
4685,1564.274,24.149,35.426,8.210,12.933,20.567,0.000,1.927,0.000,0.000,0.000,0.000,0.000,0.000
4686,1564.601,21.445,35.548,8.200,13.009,20.602,0.000,1.937,0.000,0.000,0.000,0.000,0.000,0.000
4687,1564.928,29.557,35.669,8.190,13.085,20.637,0.000,1.947,0.000,0.000,0.000,0.000,0.000,0.000
4688,1565.255,22.483,35.790,8.181,13.160,20.672,0.000,1.958,0.000,0.000,0.000,0.000,0.000,0.000
4689,1565.582,35.742,35.911,8.171,13.235,20.707,0.000,1.969,0.000,0.000,0.000,0.000,0.000,0.000
4690,1565.909,34.409,36.032,8.161,13.310,20.742,0.000,1.980,0.000,0.000,0.000,0.000,0.000,0.000
4691,1566.236,26.186,36.152,8.152,13.385,20.777,0.000,1.991,0.000,0.000,0.000,0.000,0.000,0.000
4692,1566.563,23.927,36.272,8.142,13.459,20.811,0.000,2.003,0.000,0.000,0.000,0.000,0.000,0.000
4693,1566.890,21.964,36.392,8.132,13.532,20.845,0.000,2.015,0.000,0.000,0.000,0.000,0.000,0.000
4694,1567.217,19.149,36.512,8.122,13.605,20.879,0.000,2.027,0.000,0.000,0.000,0.000,0.000,0.000
4695,1567.544,28.261,36.630,8.113,13.678,20.913,0.000,2.040,0.000,0.000,0.000,0.000,0.000,0.000
4696,1567.871,23.705,36.749,8.103,13.750,20.946,0.000,2.052,0.000,0.000,0.000,0.000,0.000,0.000
4697,1568.198,35.112,36.867,8.093,13.822,20.979,0.000,2.066,0.000,0.000,0.000,0.000,0.000,0.000
4698,1568.525,22.779,36.984,8.083,13.893,21.012,0.000,2.079,0.000,0.000,0.000,0.000,0.000,0.000
4699,1568.852,25.223,37.101,8.074,13.964,21.044,0.000,2.093,0.000,0.000,0.000,0.000,0.000,0.000
4700,1569.179,20.297,37.217,8.064,14.034,21.076,0.000,2.107,0.000,0.000,0.000,0.000,0.000,0.000
4701,1569.506,19.409,37.333,8.054,14.104,21.108,0.000,2.121,0.000,0.000,0.000,0.000,0.000,0.000
4702,1569.833,25.149,37.447,8.044,14.173,21.139,0.000,2.136,0.000,0.000,0.000,0.000,0.000,0.000
4703,1570.160,22.519,37.562,8.035,14.241,21.170,0.000,2.151,0.000,0.000,0.000,0.000,0.000,0.000
4704,1570.487,26.557,37.675,8.025,14.309,21.200,0.000,2.166,0.000,0.000,0.000,0.000,0.000,0.000
4705,1570.814,35.223,37.788,8.015,14.376,21.230,0.000,2.182,0.000,0.000,0.000,0.000,0.000,0.000
4706,1571.141,21.409,37.900,8.006,14.442,21.260,0.000,2.198,0.000,0.000,0.000,0.000,0.000,0.000
4707,1571.468,26.001,38.011,7.996,14.508,21.289,0.000,2.214,0.000,0.000,0.000,0.000,0.000,0.000
4708,1571.796,36.149,38.122,7.986,14.573,21.318,0.000,2.231,0.000,0.000,0.000,0.000,0.000,0.000
4709,1572.123,31.483,38.231,7.976,14.637,21.346,0.000,2.248,0.000,0.000,0.000,0.000,0.000,0.000
4710,1572.450,20.890,38.340,7.967,14.701,21.374,0.000,2.265,0.000,0.000,0.000,0.000,0.000,0.000
4711,1572.777,37.261,38.448,7.957,14.764,21.402,0.000,2.283,0.000,0.000,0.000,0.000,0.000,0.000
4712,1573.104,21.112,38.555,7.947,14.826,21.429,0.000,2.301,0.000,0.000,0.000,0.000,0.000,0.000
4713,1573.432,22.927,38.661,7.937,14.887,21.455,0.000,2.319,0.000,0.000,0.000,0.000,0.000,0.000
4714,1573.759,26.927,38.767,7.928,14.947,21.482,0.000,2.338,0.000,0.000,0.000,0.000,0.000,0.000
4715,1574.086,26.853,38.871,7.918,15.007,21.507,0.000,2.357,0.000,0.000,0.000,0.000,0.000,0.000
4716,1574.413,30.705,38.974,7.908,15.066,21.532,0.000,2.376,0.000,0.000,0.000,0.000,0.000,0.000
4717,1574.741,24.409,39.077,7.899,15.124,21.557,0.000,2.396,0.000,0.000,0.000,0.000,0.000,0.000
4718,1575.068,33.668,39.178,7.889,15.181,21.581,0.000,2.416,0.000,0.000,0.000,0.000,0.000,0.000
4719,1575.395,29.001,39.279,7.879,15.237,21.605,0.000,2.436,0.000,0.000,0.000,0.000,0.000,0.000
4720,1575.723,25.445,39.378,7.869,15.293,21.628,0.000,2.457,0.000,0.000,0.000,0.000,0.000,0.000
4721,1576.050,24.557,39.476,7.860,15.347,21.651,0.000,2.478,0.000,0.000,0.000,0.000,0.000,0.000
4722,1576.377,36.371,39.574,7.850,15.401,21.673,0.000,2.500,0.000,0.000,0.000,0.000,0.000,0.000
4723,1576.705,25.001,39.670,7.840,15.453,21.695,0.000,2.522,0.000,0.000,0.000,0.000,0.000,0.000
4724,1577.032,21.371,39.765,7.830,15.505,21.716,0.000,2.544,0.000,0.000,0.000,0.000,0.000,0.000
4725,1577.359,30.853,39.859,7.821,15.556,21.736,0.000,2.567,0.000,0.000,0.000,0.000,0.000,0.000
4726,1577.687,24.371,39.952,7.811,15.606,21.756,0.000,2.590,0.000,0.000,0.000,0.000,0.000,0.000
4727,1578.014,34.779,40.044,7.801,15.655,21.776,0.000,2.613,0.000,0.000,0.000,0.000,0.000,0.000
4728,1578.342,36.964,40.135,7.791,15.703,21.795,0.000,2.637,0.000,0.000,0.000,0.000,0.000,0.000
4729,1578.669,22.853,40.225,7.782,15.750,21.813,0.000,2.661,0.000,0.000,0.000,0.000,0.000,0.000
4730,1578.997,34.335,40.314,7.772,15.796,21.831,0.000,2.686,0.000,0.000,0.000,0.000,0.000,0.000
4731,1579.324,23.223,40.401,7.762,15.841,21.849,0.000,2.711,0.000,0.000,0.000,0.000,0.000,0.000
4732,1579.651,26.223,40.487,7.753,15.886,21.865,0.000,2.736,0.000,0.000,0.000,0.000,0.000,0.000
4733,1579.979,30.557,40.573,7.743,15.929,21.882,0.000,2.762,0.000,0.000,0.000,0.000,0.000,0.000
4734,1580.306,36.853,40.657,7.733,15.971,21.897,0.000,2.789,0.000,0.000,0.000,0.000,0.000,0.000
4735,1580.634,32.519,40.740,7.723,16.012,21.913,0.000,2.815,0.000,0.000,0.000,0.000,0.000,0.000
4736,1580.962,34.409,40.821,7.714,16.052,21.927,0.000,2.842,0.000,0.000,0.000,0.000,0.000,0.000
4737,1581.289,22.483,40.902,7.704,16.091,21.941,0.000,2.869,0.000,0.000,0.000,0.000,0.000,0.000
4738,1581.617,23.779,40.981,7.694,16.130,21.955,0.000,2.897,0.000,0.000,0.000,0.000,0.000,0.000
4739,1581.944,21.520,41.060,7.684,16.167,21.968,0.000,2.924,0.000,0.000,0.000,0.000,0.000,0.000
4740,1582.272,17.742,41.137,7.675,16.204,21.981,0.000,2.952,0.000,0.000,0.000,0.000,0.000,0.000
4741,1582.599,22.631,41.213,7.665,16.239,21.994,0.000,2.979,0.000,0.000,0.000,0.000,0.000,0.000
4742,1582.927,24.557,41.287,7.655,16.274,22.006,0.000,3.007,0.000,0.000,0.000,0.000,0.000,0.000
4743,1583.255,27.705,41.361,7.646,16.308,22.017,0.000,3.035,0.000,0.000,0.000,0.000,0.000,0.000
4744,1583.582,18.075,41.433,7.636,16.341,22.029,0.000,3.063,0.000,0.000,0.000,0.000,0.000,0.000
4745,1583.910,33.335,41.505,7.626,16.373,22.039,0.000,3.092,0.000,0.000,0.000,0.000,0.000,0.000
4746,1584.238,25.223,41.575,7.616,16.405,22.050,0.000,3.120,0.000,0.000,0.000,0.000,0.000,0.000
4747,1584.565,24.964,41.644,7.607,16.435,22.060,0.000,3.149,0.000,0.000,0.000,0.000,0.000,0.000
4748,1584.893,21.927,41.712,7.597,16.465,22.069,0.000,3.178,0.000,0.000,0.000,0.000,0.000,0.000
4749,1585.221,19.261,41.778,7.587,16.494,22.078,0.000,3.206,0.000,0.000,0.000,0.000,0.000,0.000
4750,1585.549,24.223,41.844,7.577,16.522,22.087,0.000,3.235,0.000,0.000,0.000,0.000,0.000,0.000
4751,1585.876,12.112,41.907,7.568,16.548,22.094,0.000,3.264,0.000,0.000,0.000,0.000,0.000,0.000
4752,1586.204,29.112,41.969,7.558,16.574,22.101,0.000,3.293,0.000,0.000,0.000,0.000,0.000,0.000
