ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-CsI,Xray-Pb,continuum
135,44.958,134932.265,134932.265,133815.916,120157.501,99053.565,31583.772,742.957,2435.622,0.000
136,45.340,133395.388,133395.388,130837.400,120207.083,96278.763,31568.171,553.317,2437.149,0.000
137,45.722,130940.091,130940.091,128455.064,120256.665,94046.804,31561.688,408.009,2438.562,0.000
138,46.104,130361.858,130361.858,126570.499,120306.248,92271.135,31561.633,297.847,2439.885,0.000
139,46.486,129331.091,129331.091,125097.115,120355.830,90874.719,31566.035,215.224,2441.138,0.000
140,46.868,128145.188,128145.188,123959.660,120405.413,89789.918,31573.479,153.927,2442.336,0.000
141,47.250,127920.137,127920.137,123093.574,120454.995,88958.169,31582.961,108.950,2443.495,0.000
142,47.632,127459.188,127459.188,122444.203,120504.578,88329.483,31593.784,76.311,2444.626,0.000
143,48.014,126797.065,126797.065,121965.898,120554.160,87861.796,31605.472,52.888,2445.742,0.000
144,48.396,126787.510,126787.510,121621.049,120603.742,87520.223,31617.706,36.268,2446.853,0.000
145,48.778,126379.104,126379.104,121379.095,120653.325,87276.243,31630.276,24.606,2447.970,0.000
146,49.160,125195.452,125195.452,121215.541,120702.907,87106.874,31643.047,16.516,2449.104,0.000
147,49.542,126298.032,126298.032,121111.024,120752.490,86993.852,31655.934,10.966,2450.271,0.000
148,49.924,125431.807,125431.807,121050.448,120802.072,86922.872,31668.886,7.203,2451.488,0.000
149,50.306,124743.019,124743.019,121022.206,120851.655,86882.881,31681.871,4.680,2452.774,0.000
150,50.688,125320.897,125320.897,121017.497,120901.237,86865.458,31694.871,3.008,2454.159,0.000
151,51.070,124929.464,124929.464,121029.743,120950.819,86864.274,31707.879,1.912,2455.678,0.000
152,51.452,124399.684,124399.684,121054.102,121000.402,86874.635,31720.888,1.203,2457.377,0.000
153,51.835,125322.109,125322.109,121087.067,121049.984,86893.106,31733.896,0.748,2459.317,0.000
154,52.217,124913.303,124913.303,121126.145,121099.567,86917.208,31746.903,0.460,2461.574,0.000
155,52.599,124384.206,124384.206,121169.612,121149.149,86945.174,31759.909,0.280,2464.249,0.000
156,52.981,124030.102,124030.102,121216.311,121198.732,86975.760,31772.915,0.168,2467.467,0.000
157,53.363,124919.367,124919.367,121265.516,121248.314,87008.104,31785.920,0.100,2471.391,0.000
158,53.745,124194.181,124194.181,121316.822,121297.897,87041.614,31798.926,0.059,2476.224,0.000
159,54.128,124499.864,124499.864,121370.075,121347.479,87075.889,31811.933,0.034,2482.218,0.000
160,54.510,124240.812,124240.812,121425.316,121397.061,87110.664,31824.943,0.020,2489.689,0.000
161,54.892,124276.554,124276.554,121482.756,121446.644,87145.762,31837.955,0.011,2499.028,0.000
162,55.274,124684.058,124684.058,121542.759,121496.226,87181.071,31850.971,0.006,2510.710,0.000
163,55.657,124307.058,124307.058,121605.831,121545.809,87216.519,31863.992,0.004,2525.316,0.000
164,56.039,123797.316,123797.316,121672.629,121595.391,87252.063,31877.021,0.002,2543.544,0.000
165,56.421,124179.897,124179.897,121743.969,121644.974,87287.677,31890.057,0.001,2566.234,0.000
166,56.803,124450.406,124450.406,121820.836,121694.556,87323.349,31903.105,0.001,2594.381,0.000
167,57.186,124117.889,124117.889,121904.402,121744.138,87359.076,31916.166,0.000,2629.159,0.000
168,57.568,124320.528,124320.528,121996.045,121793.721,87394.860,31929.244,0.000,2671.941,0.000
169,57.950,124039.702,124039.702,122097.369,121843.303,87430.706,31942.344,0.000,2724.319,0.000
170,58.333,123722.664,123722.664,122210.220,121892.886,87466.627,31955.469,0.000,2788.123,0.000
171,58.715,124087.019,124087.019,122336.702,121942.468,87502.637,31968.626,0.000,2865.439,0.000
172,59.097,123371.232,123371.232,122479.193,121992.051,87538.753,31981.821,0.000,2958.619,0.000
173,59.480,125011.096,125011.096,122640.355,122041.633,87574.997,31995.063,0.000,3070.295,0.000
174,59.862,123824.419,123824.419,122823.131,122091.215,87611.395,32008.361,0.000,3203.376,0.000
175,60.244,123980.961,123980.961,123030.749,122140.798,87647.975,32021.725,0.000,3361.049,0.000
176,60.627,124058.587,124058.587,123266.701,122190.380,87684.773,32035.169,0.000,3546.759,0.000
177,61.009,123803.697,123803.697,123534.724,122239.963,87721.826,32048.706,0.000,3764.191,0.000
178,61.392,124331.697,124331.697,123838.760,122289.545,87759.181,32062.354,0.000,4017.226,0.000
179,61.774,124136.794,124136.794,124182.912,122339.128,87796.885,32076.129,0.000,4309.898,0.000
180,62.156,124290.659,124290.659,124571.372,122388.710,87834.995,32090.052,0.000,4646.326,0.000
181,62.539,124354.375,124354.375,125008.352,122438.293,87873.571,32104.146,0.000,5030.636,0.000
182,62.921,124459.408,124459.408,125497.984,122487.875,87912.682,32118.434,0.000,5466.868,0.000
183,63.304,124965.569,124965.569,126044.214,122537.457,87952.400,32132.945,0.000,5958.869,0.000
184,63.686,125422.252,125422.252,126650.683,122587.040,87992.803,32147.706,0.000,6510.173,0.000
185,64.069,125176.349,125176.349,127320.595,122636.622,88033.976,32162.749,0.000,7123.870,0.000
186,64.451,125289.763,125289.763,128056.578,122686.205,88076.007,32178.105,0.000,7802.467,0.000
187,64.834,125893.157,125893.157,128860.537,122735.787,88118.988,32193.808,0.000,8547.741,0.000
188,65.216,125792.131,125792.131,129733.509,122785.370,88163.015,32209.892,0.000,9360.602,0.000
189,65.599,126469.996,126469.996,130675.525,122834.952,88208.184,32226.395,0.000,10240.946,0.000
190,65.981,127353.919,127353.919,131631.743,122830.805,88216.005,32229.252,0.000,11186.487,0.000
191,66.364,127221.435,127221.435,132653.528,122826.657,88225.150,32232.593,0.000,12195.785,0.000
192,66.746,128564.325,128564.325,133737.160,122822.510,88235.712,32236.452,0.000,13264.996,0.000
193,67.129,129146.435,129146.435,134877.500,122818.363,88247.776,32240.860,0.000,14388.864,0.000
194,67.511,129999.727,129999.727,136067.954,122814.215,88261.424,32245.845,0.000,15560.685,0.000
195,67.894,130928.681,130928.681,137300.471,122810.068,88276.724,32251.435,0.000,16772.312,0.000
196,68.277,131675.243,131675.243,138565.586,122805.921,88293.737,32257.651,0.000,18014.198,0.000
