ch,keV,net,fit,model,continuum_raw,Eu-152
446,1318.625,69.600,69.600,68.855,12.292,68.855
447,1321.670,71.600,71.600,66.731,11.414,66.731
448,1324.716,63.867,63.867,65.070,10.536,65.070
449,1327.761,84.600,84.600,64.105,9.658,64.105
450,1330.807,75.067,75.067,64.089,8.780,64.089
451,1333.852,68.867,68.867,65.287,7.902,65.287
452,1336.898,64.533,64.533,67.974,7.024,67.974
453,1339.944,76.067,76.067,72.426,6.146,72.426
454,1342.990,78.267,78.267,78.913,5.268,78.913
455,1346.036,81.000,81.000,87.693,4.390,87.693
456,1349.081,91.067,91.067,98.996,3.512,98.996
457,1352.127,128.400,128.400,113.015,2.634,113.015
458,1355.173,114.267,114.267,129.890,1.756,129.890
459,1358.219,125.200,125.200,149.696,0.878,149.696
460,1361.265,140.800,140.800,172.428,0.000,172.428
461,1364.311,197.867,197.867,201.328,2.466,201.328
462,1367.357,212.667,212.667,232.847,4.931,232.847
463,1370.403,240.000,240.000,266.666,7.397,266.666
464,1373.449,276.333,276.333,302.349,9.862,302.349
465,1376.496,294.733,294.733,339.345,12.328,339.345
466,1379.542,325.067,325.067,376.997,14.793,376.997
467,1382.588,377.933,377.933,414.557,17.259,414.557
468,1385.634,419.733,419.733,451.211,19.724,451.211
469,1388.680,450.000,450.000,486.103,22.190,486.103
470,1391.726,476.733,476.733,518.370,24.655,518.370
471,1394.772,566.533,566.533,547.182,27.121,547.182
472,1397.819,566.600,566.600,571.772,29.586,571.772
473,1400.865,563.267,563.267,591.478,32.052,591.478
474,1403.911,557.200,557.200,605.775,34.517,605.775
475,1406.957,620.333,620.333,614.297,36.983,614.297
476,1410.003,609.267,609.267,616.859,39.448,616.859
477,1413.050,609.267,609.267,613.465,41.914,613.465
478,1416.096,636.667,636.667,604.308,44.379,604.308
479,1419.142,635.533,635.533,589.758,46.845,589.758
480,1422.188,604.200,604.200,570.344,49.310,570.344
481,1425.234,579.667,579.667,546.725,51.776,546.725
482,1428.280,549.267,549.267,519.658,54.241,519.658
483,1431.327,548.000,548.000,485.717,52.464,485.717
484,1434.373,464.200,464.200,449.987,50.688,449.987
485,1437.419,410.733,410.733,413.296,48.911,413.296
486,1440.465,441.733,441.733,376.428,47.135,376.428
487,1443.511,369.400,369.400,340.092,45.358,340.092
488,1446.557,308.933,308.933,304.905,43.582,304.905
489,1449.603,254.867,254.867,271.377,41.805,271.377
490,1452.649,263.200,263.200,239.902,40.028,239.902
491,1455.695,180.000,180.000,210.759,38.252,210.759
492,1458.741,201.333,201.333,184.118,36.475,184.118
493,1461.787,162.067,162.067,160.049,34.699,160.049
494,1464.833,123.800,123.800,138.537,32.922,138.537
495,1467.878,100.867,100.867,119.495,31.145,119.495
496,1470.924,106.333,106.333,102.782,29.369,102.782
497,1473.970,83.333,83.333,88.220,27.592,88.220
