ch,keV,net,fit,model,continuum_raw,Cd-109,Esc-NaI,continuum
719,2160.812,1.437,1.437,0.000,0.000,0.000,0.000,0.000
720,2163.807,0.000,-0.188,0.000,0.000,0.000,0.000,0.000
721,2166.802,1.812,1.812,0.000,0.000,0.000,0.000,0.000
722,2169.797,0.875,0.875,0.000,0.000,0.000,0.000,0.000
723,2172.791,0.000,-0.500,0.000,0.000,0.000,0.000,0.000
724,2175.785,0.000,-0.938,0.000,0.000,0.000,0.000,0.000
725,2178.779,0.000,-1.250,0.000,0.000,0.000,0.000,0.000
726,2181.773,0.594,0.594,0.000,0.000,0.000,0.000,0.000
727,2184.766,2.875,2.875,0.000,0.000,0.000,0.000,0.000
728,2187.759,2.469,2.469,0.000,0.000,0.000,0.000,0.000
729,2190.752,0.000,-1.188,0.000,0.000,0.000,0.000,0.000
730,2193.745,1.750,1.750,0.000,0.000,0.000,0.000,0.000
731,2196.737,0.062,0.062,0.000,0.000,0.000,0.000,0.000
732,2199.729,0.000,-0.094,0.000,0.000,0.000,0.000,0.000
733,2202.721,0.000,-1.281,0.000,0.000,0.000,0.000,0.000
734,2205.712,0.000,-0.094,0.000,0.000,0.000,0.000,0.000
735,2208.703,0.250,0.250,0.000,0.000,0.000,0.000,0.000
736,2211.694,1.812,1.812,0.000,0.000,0.000,0.000,0.000
737,2214.685,0.000,-0.250,0.000,0.000,0.000,0.000,0.000
738,2217.675,2.625,2.625,0.000,0.000,0.000,0.000,0.000
739,2220.665,0.000,-0.219,0.000,0.000,0.000,0.000,0.000
740,2223.655,0.000,-1.188,0.000,0.000,0.000,0.000,0.000
741,2226.645,0.750,0.750,0.000,0.000,0.000,0.000,0.000
742,2229.634,0.000,-0.250,0.000,0.000,0.000,0.000,0.000
743,2232.623,0.000,-1.375,0.000,0.000,0.000,0.000,0.000
744,2235.612,0.000,-0.938,0.000,0.000,0.000,0.000,0.000
745,2238.601,0.781,0.781,0.000,0.000,0.000,0.000,0.000
746,2241.589,0.594,0.594,0.000,0.000,0.000,0.000,0.000
747,2244.577,0.000,-0.594,0.000,0.000,0.000,0.000,0.000
748,2247.565,1.031,1.031,0.000,0.000,0.000,0.000,0.000
749,2250.552,0.000,-1.375,0.000,0.000,0.000,0.000,0.000
750,2253.540,0.781,0.781,0.000,0.000,0.000,0.000,0.000
751,2256.527,0.250,0.250,0.000,0.000,0.000,0.000,0.000
752,2259.513,0.000,0.000,0.000,0.000,0.000,0.000,0.000
753,2262.500,0.000,-0.156,0.000,0.000,0.000,0.000,0.000
754,2265.486,0.000,0.000,0.000,0.000,0.000,0.000,0.000
755,2268.472,0.719,0.719,0.000,0.000,0.000,0.000,0.000
756,2271.458,0.094,0.094,0.000,0.000,0.000,0.000,0.000
757,2274.443,0.000,-0.781,0.000,0.000,0.000,0.000,0.000
758,2277.429,0.219,0.219,0.000,0.000,0.000,0.000,0.000
759,2280.414,1.156,1.156,0.000,0.000,0.000,0.000,0.000
760,2283.399,2.937,2.937,0.000,0.000,0.000,0.000,0.000
761,2286.383,0.000,-0.906,0.000,0.000,0.000,0.000,0.000
762,2289.367,1.375,1.375,0.000,0.000,0.000,0.000,0.000
763,2292.352,0.000,-1.031,0.000,0.000,0.000,0.000,0.000
764,2295.335,0.000,-1.125,0.000,0.000,0.000,0.000,0.000
765,2298.319,0.281,0.281,0.000,0.000,0.000,0.000,0.000
766,2301.302,0.062,0.062,0.000,0.000,0.000,0.000,0.000
767,2304.285,0.000,-1.000,0.000,0.000,0.000,0.000,0.000
768,2307.268,1.062,1.062,0.000,0.000,0.000,0.000,0.000
769,2310.251,0.000,-0.813,0.000,0.000,0.000,0.000,0.000
770,2313.233,0.000,-0.094,0.000,0.000,0.000,0.000,0.000
771,2316.215,0.000,-0.813,0.000,0.000,0.000,0.000,0.000
772,2319.197,0.000,-1.031,0.000,0.000,0.000,0.000,0.000
773,2322.179,0.312,0.312,0.000,0.000,0.000,0.000,0.000
774,2325.161,1.281,1.281,0.000,0.000,0.000,0.000,0.000
775,2328.142,0.000,-0.594,0.000,0.000,0.000,0.000,0.000
776,2331.123,0.000,-0.469,0.000,0.000,0.000,0.000,0.000
777,2334.104,0.125,0.125,0.000,0.000,0.000,0.000,0.000
778,2337.084,0.000,-0.125,0.000,0.000,0.000,0.000,0.000
779,2340.065,0.031,0.031,0.000,0.000,0.000,0.000,0.000
780,2343.045,1.344,1.344,0.000,0.000,0.000,0.000,0.000
781,2346.025,0.000,-0.781,0.000,0.000,0.000,0.000,0.000
782,2349.004,2.187,2.187,0.000,0.000,0.000,0.000,0.000
