ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,continuum
168,482.261,98241.444,98241.444,112604.634,67385.469,43292.262,69312.372,0.000
169,485.107,121873.631,121873.631,149320.606,92702.788,56271.817,93048.788,0.000
170,487.953,160636.663,160636.663,188781.355,118020.108,69430.567,119350.788,0.000
171,490.799,203687.631,203687.631,231087.658,143337.427,82853.949,148233.709,0.000
172,493.647,244384.194,244384.194,276125.732,168654.746,96652.178,179473.555,0.000
173,496.495,308791.632,308791.632,323514.860,193972.066,110962.846,212552.014,0.000
174,499.343,370820.538,370820.538,372578.007,219289.385,125952.362,246625.645,0.000
175,502.193,423241.725,423241.725,422346.591,244606.704,141815.766,280530.825,0.000
176,505.043,492981.382,492981.382,471606.665,269924.024,158774.352,312832.313,0.000
177,507.893,555458.850,555458.850,518987.467,295241.343,177070.448,341917.019,0.000
178,510.744,594110.288,594110.288,563085.405,320558.662,196958.516,366126.889,0.000
179,513.596,630822.099,630822.099,602608.868,345875.982,218691.681,383917.188,0.000
180,516.449,656399.444,656399.444,636523.465,371193.301,242502.892,394020.573,0.000
181,519.302,649576.912,649576.912,612344.024,344679.494,234713.064,377630.959,0.000
182,522.156,635566.850,635566.850,581708.696,318165.687,226383.260,355325.437,0.000
183,525.010,599704.256,599704.256,544910.135,291651.879,217186.902,327723.234,0.000
184,527.865,536861.506,536861.506,502690.737,265138.072,206790.807,295899.930,0.000
185,530.721,484858.224,484858.224,456152.504,238624.265,194884.083,261268.421,0.000
186,533.577,407588.630,407588.630,406627.898,212110.458,181211.353,225416.545,0.000
187,536.434,336126.756,336126.756,355532.734,185596.651,165604.521,189928.214,0.000
188,539.291,269214.318,269214.318,304223.566,159082.843,148005.688,156217.879,0.000
189,542.149,208374.724,208374.724,253879.088,132569.036,128474.598,125404.490,0.000
190,545.008,156346.099,156346.099,205418.872,106055.229,107177.585,98241.287,0.000
191,547.867,113643.943,113643.943,159464.860,79541.422,84360.238,75104.622,0.000
192,550.727,81896.442,81896.442,116343.429,53027.614,60310.678,56032.751,0.000
193,553.588,57166.036,57166.036,76119.869,26513.807,35322.300,40797.569,0.000
194,556.449,40931.161,40931.161,38653.803,0.000,9663.576,28990.227,0.000
195,559.310,29268.505,29268.505,30393.516,216.272,9878.884,20514.632,0.000
196,562.172,22692.505,22692.505,24248.279,432.545,10095.990,14152.289,0.000
197,565.035,18071.817,18071.817,19831.956,648.817,10314.086,9517.870,0.000
198,567.898,15619.130,15619.130,16773.038,865.089,10532.782,6240.255,0.000
199,570.762,14452.567,14452.567,14740.565,1081.362,10752.024,3988.541,0.000
200,573.626,13382.224,13382.224,13457.271,1297.634,10971.996,2485.275,0.000
201,576.491,13292.849,13292.849,12702.681,1513.906,11193.006,1509.675,0.000
202,579.357,12976.474,12976.474,12309.394,1730.178,11415.388,894.006,0.000
203,582.223,12725.099,12725.099,12155.513,1946.451,11639.400,516.113,0.000
204,585.089,12766.474,12766.474,12155.623,2162.723,11865.155,290.467,0.000
205,587.956,12897.942,12897.942,12251.944,2378.995,12092.577,159.366,0.000
206,590.824,13003.098,13003.098,12406.626,2595.268,12321.386,85.240,0.000
207,593.692,12709.473,12709.473,12595.563,2811.540,12551.116,44.446,0.000
208,596.561,12619.567,12619.567,12803.763,3027.812,12781.170,22.593,0.000
209,599.430,12784.661,12784.661,13022.076,3244.085,13010.880,11.196,0.000
210,602.300,13065.693,13065.693,13014.193,3229.545,13008.785,5.408,0.000
211,605.170,12980.755,12980.755,13007.682,3215.006,13005.135,2.547,0.000
212,608.041,12622.661,12622.661,13000.703,3200.467,12999.534,1.169,0.000
213,610.912,12776.067,12776.067,12992.316,3185.928,12991.793,0.523,0.000
214,613.784,12689.411,12689.411,12982.181,3171.389,12981.953,0.228,0.000
215,616.656,12947.754,12947.754,12970.379,3156.849,12970.282,0.097,0.000
216,619.529,12851.317,12851.317,12957.283,3142.310,12957.242,0.040,0.000
217,622.402,12874.005,12874.005,12943.458,3127.771,12943.441,0.016,0.000
218,625.276,12999.129,12999.129,12929.576,3113.232,12929.569,0.006,0.000
219,628.150,12849.973,12849.973,12916.331,3098.693,12916.329,0.002,0.000
220,631.025,12909.723,12909.723,12904.372,3084.154,12904.371,0.001,0.000
221,633.900,12736.410,12736.410,12894.236,3069.614,12894.236,0.000,0.000
222,636.776,12985.910,12985.910,12886.312,3055.075,12886.311,0.000,0.000
223,639.652,13384.754,13384.754,12880.802,3040.536,12880.802,0.000,0.000
224,642.528,13381.597,13381.597,12877.719,3025.997,12877.719,0.000,0.000
225,645.405,13215.910,13215.910,12876.888,3011.458,12876.888,0.000,0.000
226,648.283,13121.816,13121.816,13068.116,3187.067,13068.116,0.000,0.000
227,651.161,13475.472,13475.472,13260.780,3362.676,13260.780,0.000,0.000
228,654.039,13763.629,13763.629,13454.314,3538.284,13454.314,0.000,0.000
229,656.918,13729.004,13729.004,13648.107,3713.893,13648.107,0.000,0.000
230,659.797,13102.597,13102.597,13841.551,3889.502,13841.551,0.000,0.000
231,662.677,13799.973,13799.973,14034.092,4065.111,14034.092,0.000,0.000
232,665.557,14030.691,14030.691,14225.267,4240.720,14225.267,0.000,0.000
233,668.438,14141.098,14141.098,14414.740,4416.329,14414.740,0.000,0.000
234,671.319,13792.441,13792.441,14602.326,4591.938,14602.326,0.000,0.000
235,674.201,14372.660,14372.660,14788.002,4767.547,14788.002,0.000,0.000
236,677.083,14633.847,14633.847,14971.907,4943.156,14971.907,0.000,0.000
237,679.965,14803.941,14803.941,15154.338,5118.765,15154.338,0.000,0.000
238,682.848,14893.472,14893.472,15335.725,5294.374,15335.725,0.000,0.000
239,685.731,15411.316,15411.316,15516.613,5469.983,15516.613,0.000,0.000
240,688.614,15654.597,15654.597,15697.627,5645.592,15697.627,0.000,0.000
241,691.498,15621.535,15621.535,15879.451,5821.201,15879.451,0.000,0.000
242,694.383,15738.223,15738.223,15753.475,5687.492,15753.475,0.000,0.000
243,697.268,16113.160,16113.160,15629.726,5553.784,15629.726,0.000,0.000
244,700.153,15681.723,15681.723,15508.890,5420.075,15508.890,0.000,0.000
245,703.038,16084.410,16084.410,15391.608,5286.366,15391.608,0.000,0.000
246,705.924,15631.816,15631.816,15278.463,5152.657,15278.463,0.000,0.000
247,708.811,15645.785,15645.785,15169.957,5018.948,15169.957,0.000,0.000
248,711.697,15624.878,15624.878,15066.499,4885.239,15066.499,0.000,0.000
249,714.585,15389.097,15389.097,14968.384,4751.530,14968.384,0.000,0.000
250,717.472,15211.253,15211.253,14875.775,4617.821,14875.775,0.000,0.000
251,720.360,15128.816,15128.816,14788.681,4484.113,14788.681,0.000,0.000
252,723.248,15125.847,15125.847,14706.936,4350.404,14706.936,0.000,0.000
253,726.137,14828.659,14828.659,14630.178,4216.695,14630.178,0.000,0.000
254,729.026,14431.378,14431.378,14557.837,4082.986,14557.837,0.000,0.000
255,731.915,14296.222,14296.222,14489.124,3949.277,14489.124,0.000,0.000
256,734.805,14259.191,14259.191,14423.041,3815.568,14423.041,0.000,0.000
257,737.695,14089.722,14089.722,14358.398,3681.859,14358.398,0.000,0.000
258,740.585,14321.941,14321.941,14293.851,3548.151,14293.851,0.000,0.000
259,743.476,14207.253,14207.253,14300.324,3486.807,14300.324,0.000,0.000
260,746.367,14105.441,14105.441,14303.979,3425.463,14303.979,0.000,0.000
261,749.258,14098.503,14098.503,14303.395,3364.120,14303.395,0.000,0.000
262,752.150,14051.003,14051.003,14297.289,3302.776,14297.289,0.000,0.000
263,755.042,14117.097,14117.097,14284.595,3241.433,14284.595,0.000,0.000
264,757.935,14185.941,14185.941,14264.539,3180.089,14264.539,0.000,0.000
265,760.827,14046.878,14046.878,14236.693,3118.746,14236.693,0.000,0.000
266,763.721,14197.316,14197.316,14201.002,3057.402,14201.002,0.000,0.000
267,766.614,14037.941,14037.941,14157.790,2996.059,14157.790,0.000,0.000
268,769.508,14188.628,14188.628,14107.732,2934.715,14107.732,0.000,0.000
269,772.402,14071.753,14071.753,14051.803,2873.372,14051.803,0.000,0.000
270,775.296,14289.472,14289.472,13991.205,2812.028,13991.205,0.000,0.000
271,778.191,14013.347,14013.347,13927.284,2750.684,13927.284,0.000,0.000
272,781.086,13913.784,13913.784,13861.438,2689.341,13861.438,0.000,0.000
