ch,keV,net,fit,model,continuum_raw,Cs-137,continuum
342,123.815,4463.788,4463.788,4462.234,4376.520,4462.234,0.000
343,124.185,4561.616,4561.616,4465.474,4379.713,4465.474,0.000
344,124.556,4602.941,4602.941,4468.713,4382.906,4468.713,0.000
345,124.927,4489.470,4489.470,4471.949,4386.099,4471.949,0.000
346,125.298,4473.584,4473.584,4475.183,4389.292,4475.183,0.000
347,125.668,4589.541,4589.541,4478.414,4392.485,4478.414,0.000
348,126.039,4597.085,4597.085,4481.642,4395.678,4481.642,0.000
349,126.410,4589.498,4589.498,4484.866,4398.871,4484.866,0.000
350,126.780,4497.676,4497.676,4488.087,4402.064,4488.087,0.000
351,127.151,4634.211,4634.211,4491.305,4405.257,4491.305,0.000
352,127.521,4493.604,4493.604,4494.518,4408.450,4494.518,0.000
353,127.892,4713.275,4713.275,4497.727,4411.642,4497.727,0.000
354,128.262,4589.157,4589.157,4500.932,4414.835,4500.932,0.000
355,128.633,4577.169,4577.169,4504.133,4418.028,4504.133,0.000
356,129.003,4454.626,4454.626,4507.330,4421.221,4507.330,0.000
357,129.373,4509.880,4509.880,4510.523,4424.414,4510.523,0.000
358,129.744,4616.990,4616.990,4513.712,4427.607,4513.712,0.000
359,130.114,4524.275,4524.275,4516.896,4430.800,4516.896,0.000
360,130.484,4702.550,4702.550,4520.077,4433.993,4520.077,0.000
361,130.854,4435.529,4435.529,4523.254,4437.186,4523.254,0.000
362,131.225,4528.286,4528.286,4526.428,4440.379,4526.428,0.000
363,131.595,4500.359,4500.359,4529.598,4443.572,4529.598,0.000
364,131.965,4526.250,4526.250,4532.766,4446.765,4532.766,0.000
365,132.335,4474.470,4474.470,4535.931,4449.958,4535.931,0.000
366,132.705,4638.262,4638.262,4539.094,4453.151,4539.094,0.000
367,133.075,4483.940,4483.940,4542.256,4456.344,4542.256,0.000
368,133.445,4447.361,4447.361,4545.416,4459.537,4545.416,0.000
369,133.816,4583.504,4583.504,4548.575,4462.730,4548.575,0.000
370,134.186,4479.997,4479.997,4551.733,4465.923,4551.733,0.000
371,134.556,4582.853,4582.853,4554.892,4469.116,4554.892,0.000
372,134.925,4397.858,4397.858,4558.050,4472.308,4558.050,0.000
373,135.295,4520.275,4520.275,4561.209,4475.501,4561.209,0.000
374,135.665,4428.487,4428.487,4564.369,4478.694,4564.369,0.000
375,136.035,4552.949,4552.949,4567.530,4481.887,4567.530,0.000
376,136.405,4597.073,4597.073,4570.692,4485.080,4570.692,0.000
377,136.775,4327.745,4327.745,4573.855,4488.273,4573.855,0.000
378,137.145,4426.158,4426.158,4577.020,4491.466,4577.020,0.000
379,137.514,4519.708,4519.708,4569.296,4483.768,4569.296,0.000
380,137.884,4619.010,4619.010,4561.573,4476.070,4561.573,0.000
381,138.254,4560.400,4560.400,4553.851,4468.373,4553.851,0.000
382,138.623,4433.351,4433.351,4546.131,4460.675,4546.131,0.000
383,138.993,4610.739,4610.739,4538.411,4452.977,4538.411,0.000
384,139.363,4560.438,4560.438,4530.693,4445.279,4530.693,0.000
385,139.732,4516.161,4516.161,4522.975,4437.581,4522.975,0.000
386,140.102,4314.816,4314.816,4515.257,4429.883,4515.257,0.000
