ch,keV,net,fit,model,continuum_raw,Y-88
967,2873.802,0.000,-0.267,0.180,0.159,0.180
968,2876.669,0.000,-0.222,0.172,0.155,0.172
969,2879.535,0.756,0.756,0.165,0.151,0.165
970,2882.401,0.778,0.778,0.159,0.148,0.159
971,2885.266,0.000,-0.311,0.153,0.144,0.153
972,2888.131,0.000,-0.156,0.147,0.140,0.147
973,2890.994,0.867,0.867,0.142,0.136,0.142
974,2893.857,0.000,-0.222,0.137,0.132,0.137
975,2896.719,0.000,-0.111,0.132,0.128,0.132
976,2899.581,0.000,-0.156,0.127,0.124,0.127
977,2902.441,0.756,0.756,0.122,0.120,0.122
978,2905.301,0.000,-0.200,0.118,0.116,0.118
979,2908.160,0.000,-0.244,0.114,0.112,0.114
980,2911.019,0.000,-0.156,0.109,0.108,0.109
981,2913.876,0.000,-0.156,0.105,0.104,0.105
982,2916.733,0.800,0.800,0.101,0.100,0.101
983,2919.589,0.000,-0.156,0.097,0.096,0.097
984,2922.444,0.000,-0.222,0.093,0.092,0.093
985,2925.299,0.000,-0.200,0.089,0.088,0.089
986,2928.153,0.822,0.822,0.085,0.084,0.085
987,2931.006,0.000,-0.133,0.081,0.080,0.081
988,2933.858,0.000,-0.133,0.077,0.076,0.077
989,2936.709,0.000,-0.311,0.073,0.072,0.073
990,2939.560,0.844,0.844,0.069,0.069,0.069
991,2942.410,0.800,0.800,0.065,0.065,0.065
992,2945.259,0.000,-0.178,0.061,0.061,0.061
993,2948.107,0.000,-0.133,0.057,0.057,0.057
994,2950.955,0.000,-0.200,0.053,0.053,0.053
995,2953.801,0.844,0.844,0.049,0.049,0.049
996,2956.647,0.733,0.733,0.052,0.052,0.052
997,2959.492,0.000,-0.133,0.056,0.056,0.056
998,2962.337,0.000,-0.156,0.059,0.059,0.059
999,2965.180,0.000,-0.133,0.062,0.062,0.062
1000,2968.023,0.000,-0.222,0.066,0.066,0.066
1001,2970.865,0.000,-0.178,0.069,0.069,0.069
1002,2973.706,0.000,-0.178,0.072,0.072,0.072
1003,2976.547,0.000,-0.244,0.076,0.076,0.076
1004,2979.386,0.000,-0.178,0.079,0.079,0.079
1005,2982.225,0.733,0.733,0.082,0.082,0.082
1006,2985.063,0.000,-0.156,0.086,0.086,0.086
1007,2987.900,0.956,0.956,0.089,0.089,0.089
1008,2990.737,0.000,-0.200,0.093,0.093,0.093
1009,2993.572,0.000,-0.289,0.096,0.096,0.096
1010,2996.407,0.000,-0.244,0.099,0.099,0.099
1011,2999.241,0.000,-0.222,0.103,0.103,0.103
1012,3002.074,0.000,-0.089,0.106,0.106,0.106
1013,3004.907,0.911,0.911,0.109,0.109,0.109
1014,3007.738,0.000,-0.200,0.113,0.113,0.113
1015,3010.569,1.822,1.822,0.116,0.116,0.116
1016,3013.399,0.000,-0.156,0.120,0.120,0.120
1017,3016.228,0.000,-0.178,0.123,0.123,0.123
1018,3019.056,0.000,-0.178,0.126,0.126,0.126
1019,3021.884,0.800,0.800,0.130,0.130,0.130
1020,3024.710,0.000,-0.133,0.133,0.133,0.133
1021,3027.536,0.000,-0.111,0.136,0.136,0.136
1022,3030.361,0.844,0.844,0.140,0.140,0.140
1023,3033.185,0.000,-0.178,0.143,0.143,0.143
