ch,keV,net,fit,model,continuum_raw,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220
750,2229.149,262.397,262.397,243.504,34.236,243.504,0.000,0.000,0.000,0.000,0.000
751,2232.159,231.601,231.601,242.303,32.990,242.303,0.000,0.000,0.000,0.000,0.000
752,2235.170,223.939,223.939,241.128,31.745,241.128,0.000,0.000,0.000,0.000,0.000
753,2238.180,234.601,234.601,239.973,30.500,239.973,0.000,0.000,0.000,0.000,0.000
754,2241.192,225.794,225.794,239.435,29.854,239.435,0.000,0.000,0.000,0.000,0.000
755,2244.203,233.613,233.613,238.910,29.208,238.910,0.000,0.000,0.000,0.000,0.000
756,2247.215,245.469,245.469,238.395,28.563,238.395,0.000,0.000,0.000,0.000,0.000
757,2250.227,260.204,260.204,237.889,27.917,237.889,0.000,0.000,0.000,0.000,0.000
758,2253.240,253.867,253.867,237.392,27.271,237.392,0.000,0.000,0.000,0.000,0.000
759,2256.253,239.674,239.674,236.902,26.625,236.902,0.000,0.000,0.000,0.000,0.000
760,2259.266,229.457,229.457,236.418,25.979,236.418,0.000,0.000,0.000,0.000,0.000
761,2262.280,244.192,244.192,235.939,25.333,235.939,0.000,0.000,0.000,0.000,0.000
762,2265.294,224.915,224.915,235.464,24.688,235.464,0.000,0.000,0.000,0.000,0.000
