ch,keV,net,fit,model,continuum_raw,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220
279,811.340,310.686,310.686,322.535,81.123,223.236,0.000,99.092,0.000,0.000,0.000
280,814.356,322.156,322.156,322.285,81.861,233.573,0.000,88.512,0.000,0.000,0.000
281,817.372,302.409,302.409,325.908,82.598,247.258,0.000,78.462,0.000,0.000,0.000
282,820.389,330.963,330.963,333.865,83.336,264.514,0.000,69.176,0.000,0.000,0.000
283,823.405,366.000,366.000,346.447,84.073,285.457,0.000,60.830,0.000,0.000,0.000
284,826.422,383.277,383.277,363.734,84.811,310.054,0.000,53.537,0.000,0.000,0.000
285,829.439,375.578,375.578,385.567,85.548,338.095,0.000,47.347,0.000,0.000,0.000
286,832.457,465.097,465.097,411.526,86.286,369.161,0.000,42.256,0.000,0.000,0.000
287,835.474,454.844,454.844,440.925,87.023,402.610,0.000,38.223,0.000,0.000,0.000
288,838.492,512.013,512.013,472.833,87.761,437.581,0.000,35.174,0.000,0.000,0.000
289,841.510,553.795,553.795,506.098,88.499,473.011,0.000,33.024,0.000,0.000,0.000
290,844.528,535.627,535.627,539.408,89.236,507.678,0.000,31.679,0.000,0.000,0.000
291,847.546,533.265,533.265,571.351,89.974,540.262,0.000,31.048,0.000,0.000,0.000
292,850.565,603.085,603.085,600.505,90.711,569.427,0.000,31.047,0.000,0.000,0.000
293,853.584,647.844,647.844,625.528,91.449,593.905,0.000,31.599,0.000,0.000,0.000
294,856.603,604.916,604.916,640.523,87.470,608.150,0.000,32.355,0.000,0.000,0.000
295,859.622,635.760,635.760,649.279,83.491,615.737,0.000,33.529,0.000,0.000,0.000
296,862.642,628.518,628.518,651.176,79.512,616.110,0.000,35.056,0.000,0.000,0.000
297,865.661,685.097,685.097,645.948,75.533,609.070,0.000,36.872,0.000,0.000,0.000
298,868.681,578.530,578.530,633.693,71.554,594.785,0.000,38.904,0.000,0.000,0.000
299,871.701,595.422,595.422,614.857,67.576,573.777,0.000,41.076,0.000,0.000,0.000
300,874.721,599.579,599.579,590.188,63.597,546.882,0.000,43.304,0.000,0.000,0.000
301,877.741,532.001,532.001,560.676,59.618,515.178,0.000,45.497,0.000,0.000,0.000
302,880.762,531.892,531.892,527.470,55.639,479.907,0.000,47.562,0.000,0.000,0.000
303,883.782,487.037,487.037,491.789,51.660,442.383,0.000,49.406,0.000,0.000,0.000
304,886.803,485.626,485.626,454.846,47.681,403.902,0.000,50.944,0.000,0.000,0.000
305,889.824,380.651,380.651,417.768,43.702,365.665,0.000,52.103,0.000,0.000,0.000
306,892.845,411.771,411.771,381.540,39.723,328.716,0.000,52.824,0.000,0.000,0.000
307,895.867,337.771,337.771,346.969,35.745,293.895,0.000,53.074,0.000,0.000,0.000
308,898.888,307.844,307.844,314.661,31.766,261.821,0.000,52.840,0.000,0.000,0.000
309,901.910,276.373,276.373,285.023,27.787,232.885,0.000,52.138,0.000,0.000,0.000
310,904.931,254.856,254.856,258.277,23.808,207.269,0.000,51.008,0.000,0.000,0.000
311,907.953,262.771,262.771,234.480,19.829,184.970,0.000,49.510,0.000,0.000,0.000
312,910.975,258.325,258.325,218.780,21.069,170.764,0.000,48.016,0.000,0.000,0.000
313,913.998,194.012,194.012,205.790,22.309,159.470,0.000,46.320,0.000,0.000,0.000
314,917.020,189.530,189.530,195.273,23.548,150.759,0.000,44.514,0.000,0.000,0.000
315,920.042,229.856,229.856,186.954,24.788,144.264,0.000,42.689,0.000,0.000,0.000
316,923.065,170.638,170.638,180.538,26.028,139.614,0.000,40.924,0.000,0.000,0.000
317,926.087,186.265,186.265,175.734,27.268,136.449,0.000,39.284,0.000,0.000,0.000
318,929.110,151.398,151.398,172.257,28.507,134.443,0.000,37.814,0.000,0.000,0.000
319,932.133,148.361,148.361,169.844,29.747,133.305,0.000,36.539,0.000,0.000,0.000
320,935.156,164.711,164.711,168.253,30.987,132.791,0.000,35.462,0.000,0.000,0.000
321,938.179,165.663,165.663,167.268,32.227,132.698,0.000,34.570,0.000,0.000,0.000
322,941.203,195.639,195.639,166.701,33.466,132.866,0.000,33.835,0.000,0.000,0.000
323,944.226,132.025,132.025,166.388,34.706,133.171,0.000,33.218,0.000,0.000,0.000
324,947.249,135.133,135.133,166.197,35.946,133.523,0.000,32.674,0.000,0.000,0.000
325,950.273,195.904,195.904,166.019,37.186,133.860,0.000,32.159,0.000,0.000,0.000
326,953.297,129.566,129.566,165.776,38.425,134.143,0.000,31.633,0.000,0.000,0.000
327,956.320,172.048,172.048,165.416,39.665,134.355,0.000,31.061,0.000,0.000,0.000
328,959.344,157.952,157.952,164.911,40.905,134.492,0.000,30.419,0.000,0.000,0.000
329,962.368,187.880,187.880,164.257,42.144,134.563,0.000,29.694,0.000,0.000,0.000
330,965.392,145.976,145.976,162.890,42.805,134.038,0.000,28.851,0.000,0.000,0.000
331,968.416,157.206,157.206,161.421,43.465,133.491,0.000,27.930,0.000,0.000,0.000
332,971.441,177.796,177.796,159.893,44.125,132.949,0.000,26.944,0.000,0.000,0.000
333,974.465,172.206,172.206,158.357,44.785,132.442,0.000,25.915,0.000,0.000,0.000
334,977.489,158.771,158.771,156.865,45.445,131.995,0.000,24.869,0.000,0.000,0.000
335,980.514,213.399,213.399,155.467,46.105,131.635,0.000,23.832,0.000,0.000,0.000
336,983.538,151.267,151.267,154.209,46.765,131.378,0.000,22.831,0.000,0.000,0.000
337,986.563,146.616,146.616,153.128,47.425,131.239,0.000,21.889,0.000,0.000,0.000
338,989.587,189.435,189.435,152.250,48.085,131.222,0.000,21.028,0.000,0.000,0.000
339,992.612,157.676,157.676,151.594,48.745,131.329,0.000,20.265,0.000,0.000,0.000
340,995.637,126.906,126.906,151.165,49.405,131.552,0.000,19.614,0.000,0.000,0.000
341,998.662,168.761,168.761,150.964,50.065,131.879,0.000,19.085,0.000,0.000,0.000
342,1001.686,156.942,156.942,150.983,50.725,132.294,0.000,18.689,0.000,0.000,0.000
343,1004.711,133.919,133.919,151.210,51.385,132.780,0.000,18.431,0.000,0.000,0.000
344,1007.736,141.027,141.027,151.634,52.045,133.315,0.000,18.319,0.000,0.000,0.000
345,1010.761,113.063,113.063,152.244,52.705,133.883,0.000,18.361,0.000,0.000,0.000
346,1013.786,139.304,139.304,153.032,53.366,134.465,0.000,18.567,0.000,0.000,0.000
347,1016.811,186.449,186.449,153.996,54.026,135.049,0.000,18.947,0.000,0.000,0.000
348,1019.837,139.714,139.714,155.139,54.686,135.625,0.000,19.514,0.000,0.000,0.000
349,1022.862,182.160,182.160,154.754,53.630,134.557,0.000,20.197,0.000,0.000,0.000
350,1025.887,156.750,156.750,154.570,52.573,133.475,0.000,21.095,0.000,0.000,0.000
351,1028.912,136.449,136.449,154.605,51.517,132.385,0.000,22.220,0.000,0.000,0.000
352,1031.937,142.172,142.172,154.874,50.461,131.292,0.000,23.581,0.000,0.000,0.000
353,1034.963,185.992,185.992,155.392,49.405,130.208,0.000,25.184,0.000,0.000,0.000
354,1037.988,139.425,139.425,156.170,48.349,129.142,0.000,27.027,0.000,0.000,0.000
355,1041.013,155.859,155.859,157.208,47.293,128.108,0.000,29.100,0.000,0.000,0.000
356,1044.039,180.160,180.160,158.497,46.236,127.115,0.000,31.382,0.000,0.000,0.000
357,1047.064,173.823,173.823,160.016,45.180,126.175,0.000,33.841,0.000,0.000,0.000
358,1050.090,166.160,166.160,161.731,44.124,125.294,0.000,36.437,0.000,0.000,0.000
359,1053.115,168.388,168.388,163.593,43.068,124.479,0.000,39.114,0.000,0.000,0.000
360,1056.140,165.485,165.485,165.542,42.012,123.733,0.000,41.809,0.000,0.000,0.000
361,1059.166,184.594,184.594,167.509,40.956,123.058,0.000,44.451,0.000,0.000,0.000
362,1062.191,166.858,166.858,169.416,39.900,122.452,0.000,46.963,0.000,0.000,0.000
363,1065.217,146.100,146.100,171.182,38.843,121.913,0.000,49.269,0.000,0.000,0.000
364,1068.242,173.774,173.774,172.728,37.787,121.436,0.000,51.292,0.000,0.000,0.000
365,1071.267,191.328,191.328,173.979,36.731,121.015,0.000,52.964,0.000,0.000,0.000
366,1074.293,179.739,179.739,174.870,35.675,120.644,0.000,54.226,0.000,0.000,0.000
367,1077.318,183.051,183.051,175.348,34.619,120.314,0.000,55.033,0.000,0.000,0.000
368,1080.344,171.280,171.280,175.376,33.563,120.018,0.000,55.358,0.000,0.000,0.000
369,1083.369,137.244,137.244,176.047,33.619,120.810,0.000,55.237,0.000,0.000,0.000
370,1086.394,212.521,212.521,176.247,33.676,121.617,0.000,54.630,0.000,0.000,0.000
371,1089.420,169.810,169.810,175.990,33.732,122.429,0.000,53.562,0.000,0.000,0.000
372,1092.445,181.569,181.569,175.308,33.789,123.234,0.000,52.074,0.000,0.000,0.000
373,1095.471,192.906,192.906,174.245,33.845,124.022,0.000,50.223,0.000,0.000,0.000
374,1098.496,206.642,206.642,172.854,33.902,124.781,0.000,48.073,0.000,0.000,0.000
375,1101.521,157.484,157.484,171.196,33.958,125.500,0.000,45.696,0.000,0.000,0.000
376,1104.546,151.327,151.327,169.334,34.015,126.168,0.000,43.166,0.000,0.000,0.000
377,1107.572,164.822,164.822,167.332,34.071,126.776,0.000,40.556,0.000,0.000,0.000
378,1110.597,143.953,143.953,165.250,34.128,127.316,0.000,37.934,0.000,0.000,0.000
379,1113.622,148.038,148.038,163.139,34.185,127.779,0.000,35.361,0.000,0.000,0.000
380,1116.647,153.267,153.267,161.048,34.241,128.160,0.000,32.888,0.000,0.000,0.000
381,1119.672,165.014,165.014,159.013,34.298,128.456,0.000,30.558,0.000,0.000,0.000
382,1122.697,137.798,137.798,157.064,34.354,128.665,0.000,28.400,0.000,0.000,0.000
383,1125.722,151.255,151.255,155.222,34.411,128.787,0.000,26.435,0.000,0.000,0.000
384,1128.747,143.918,143.918,153.500,34.467,128.826,0.000,24.674,0.000,0.000,0.000
385,1131.772,157.617,157.617,151.906,34.524,128.787,0.000,23.119,0.000,0.000,0.000
386,1134.797,160.676,160.676,150.445,34.580,128.679,0.000,21.766,0.000,0.000,0.000
387,1137.822,171.292,171.292,149.116,34.637,128.510,0.000,20.606,0.000,0.000,0.000
388,1140.847,164.075,164.075,147.920,34.693,128.296,0.000,19.624,0.000,0.000,0.000
389,1143.872,144.026,144.026,145.317,33.212,126.568,0.000,18.749,0.000,0.000,0.000
390,1146.896,137.810,137.810,142.846,31.730,124.825,0.000,18.020,0.000,0.000,0.000
391,1149.921,130.063,130.063,140.508,30.248,123.088,0.000,17.420,0.000,0.000,0.000
392,1152.946,132.497,132.497,138.309,28.766,121.377,0.000,16.933,0.000,0.000,0.000
393,1155.970,118.581,118.581,136.254,27.284,119.712,0.000,16.542,0.000,0.000,0.000
394,1158.995,131.124,131.124,134.349,25.802,118.117,0.000,16.232,0.000,0.000,0.000
395,1162.019,144.534,144.534,132.604,24.320,116.613,0.000,15.991,0.000,0.000,0.000
396,1165.043,147.281,147.281,131.025,22.838,115.218,0.000,15.807,0.000,0.000,0.000
397,1168.068,114.148,114.148,129.621,21.356,113.950,0.000,15.670,0.000,0.000,0.000
398,1171.092,131.546,131.546,128.395,19.874,112.824,0.000,15.571,0.000,0.000,0.000
399,1174.116,151.931,151.931,127.352,18.392,111.849,0.000,15.503,0.000,0.000,0.000
400,1177.140,116.426,116.426,126.488,16.911,111.030,0.000,15.458,0.000,0.000,0.000
401,1180.164,134.401,134.401,125.798,15.429,110.366,0.000,15.432,0.000,0.000,0.000
402,1183.188,122.679,122.679,125.271,13.947,109.851,0.000,15.419,0.000,0.000,0.000
403,1186.212,145.703,145.703,124.891,12.465,109.474,0.000,15.417,0.000,0.000,0.000
404,1189.236,131.716,131.716,124.638,10.983,109.217,0.000,15.420,0.000,0.000,0.000
405,1192.260,148.679,148.679,124.486,9.501,109.058,0.000,15.428,0.000,0.000,0.000
406,1195.283,146.716,146.716,124.407,8.019,108.970,0.000,15.437,0.000,0.000,0.000
407,1198.307,96.727,96.727,124.368,6.537,108.923,0.000,15.445,0.000,0.000,0.000
408,1201.330,133.402,133.402,124.337,5.055,108.884,0.000,15.453,0.000,0.000,0.000
409,1204.354,124.113,124.113,124.278,3.573,108.820,0.000,15.458,0.000,0.000,0.000
410,1207.377,139.174,139.174,126.045,3.979,110.520,0.000,15.525,0.000,0.000,0.000
411,1210.400,119.704,119.704,127.719,4.384,112.130,0.000,15.588,0.000,0.000,0.000
412,1213.423,116.583,116.583,129.270,4.789,113.621,0.000,15.649,0.000,0.000,0.000
413,1216.446,140.920,140.920,130.672,5.195,114.966,0.000,15.706,0.000,0.000,0.000
414,1219.469,112.499,112.499,131.904,5.600,116.143,0.000,15.761,0.000,0.000,0.000
415,1222.492,144.186,144.186,132.952,6.005,117.137,0.000,15.814,0.000,0.000,0.000
416,1225.515,115.403,115.403,133.803,6.410,117.936,0.000,15.867,0.000,0.000,0.000
417,1228.537,131.331,131.331,134.456,6.816,118.535,0.000,15.920,0.000,0.000,0.000
418,1231.560,115.813,115.813,134.911,7.221,118.936,0.000,15.975,0.000,0.000,0.000
419,1234.582,143.005,143.005,135.177,7.626,119.145,0.000,16.032,0.000,0.000,0.000
420,1237.605,158.042,158.042,135.267,8.031,119.175,0.000,16.092,0.000,0.000,0.000
421,1240.627,133.247,133.247,135.200,8.437,119.044,0.000,16.156,0.000,0.000,0.000
422,1243.649,114.728,114.728,134.999,8.842,118.775,0.000,16.224,0.000,0.000,0.000
423,1246.671,134.825,134.825,134.690,9.247,118.393,0.000,16.297,0.000,0.000,0.000
424,1249.693,110.548,110.548,134.302,9.653,117.928,0.000,16.374,0.000,0.000,0.000
425,1252.715,130.367,130.367,133.865,10.058,117.409,0.000,16.456,0.000,0.000,0.000
426,1255.737,138.512,138.512,133.411,10.463,116.869,0.000,16.542,0.000,0.000,0.000
427,1258.758,143.356,143.356,132.967,10.868,116.337,0.000,16.630,0.000,0.000,0.000
428,1261.780,126.765,126.765,132.562,11.274,115.843,0.000,16.720,0.000,0.000,0.000
429,1264.801,116.055,116.055,132.222,11.679,115.412,0.000,16.810,0.000,0.000,0.000
430,1267.822,153.211,153.211,131.966,12.084,115.066,0.000,16.899,0.000,0.000,0.000
431,1270.844,119.489,119.489,131.811,12.489,114.825,0.000,16.986,0.000,0.000,0.000
432,1273.865,127.501,127.501,131.575,12.702,114.513,0.000,17.063,0.000,0.000,0.000
433,1276.886,162.392,162.392,131.458,12.914,114.325,0.000,17.134,0.000,0.000,0.000
434,1279.906,136.501,136.501,131.461,13.126,114.263,0.000,17.198,0.000,0.000,0.000
435,1282.927,146.007,146.007,131.579,13.339,114.324,0.000,17.255,0.000,0.000,0.000
436,1285.948,118.417,118.417,131.803,13.551,114.499,0.000,17.303,0.000,0.000,0.000
437,1288.968,142.212,142.212,132.119,13.763,114.777,0.000,17.342,0.000,0.000,0.000
438,1291.988,117.368,117.368,132.513,13.975,115.141,0.000,17.372,0.000,0.000,0.000
439,1295.009,123.526,123.526,132.964,14.188,115.572,0.000,17.391,0.000,0.000,0.000
440,1298.029,167.658,167.658,133.451,14.400,116.050,0.000,17.401,0.000,0.000,0.000
441,1301.049,132.549,132.549,133.955,14.612,116.554,0.000,17.401,0.000,0.000,0.000
442,1304.068,135.309,135.309,134.454,14.825,117.062,0.000,17.393,0.000,0.000,0.000
443,1307.088,125.574,125.574,134.929,15.037,117.553,0.000,17.375,0.000,0.000,0.000
444,1310.108,141.779,141.779,135.361,15.249,118.011,0.000,17.350,0.000,0.000,0.000
445,1313.127,156.526,156.526,135.734,15.461,118.418,0.000,17.316,0.000,0.000,0.000
446,1316.146,150.104,150.104,136.036,15.674,118.761,0.000,17.275,0.000,0.000,0.000
447,1319.166,120.165,120.165,136.257,15.886,119.030,0.000,17.227,0.000,0.000,0.000
448,1322.185,139.502,139.502,136.388,16.098,119.217,0.000,17.171,0.000,0.000,0.000
449,1325.204,133.923,133.923,136.427,16.311,119.319,0.000,17.108,0.000,0.000,0.000
450,1328.222,153.357,153.357,136.370,16.523,119.334,0.000,17.036,0.000,0.000,0.000
451,1331.241,152.948,152.948,136.219,16.735,119.264,0.000,16.955,0.000,0.000,0.000
452,1334.259,122.297,122.297,135.976,16.948,119.111,0.000,16.865,0.000,0.000,0.000
453,1337.278,135.369,135.369,135.647,17.160,118.883,0.000,16.764,0.000,0.000,0.000
454,1340.296,152.346,152.346,135.238,17.372,118.587,0.000,16.652,0.000,0.000,0.000
455,1343.314,119.984,119.984,135.148,17.977,118.611,0.000,16.537,0.000,0.000,0.000
456,1346.332,116.165,116.165,134.994,18.582,118.586,0.000,16.408,0.000,0.000,0.000
457,1349.350,127.923,127.923,134.783,19.187,118.520,0.000,16.263,0.000,0.000,0.000
458,1352.367,142.140,142.140,134.525,19.791,118.424,0.000,16.101,0.000,0.000,0.000
459,1355.385,132.863,132.863,134.230,20.396,118.309,0.000,15.921,0.000,0.000,0.000
460,1358.402,136.586,136.586,133.907,21.001,118.185,0.000,15.722,0.000,0.000,0.000
461,1361.420,124.875,124.875,133.565,21.606,118.061,0.000,15.504,0.000,0.000,0.000
462,1364.437,130.718,130.718,133.212,22.211,117.947,0.000,15.266,0.000,0.000,0.000
463,1367.454,130.826,130.826,132.858,22.815,117.851,0.000,15.007,0.000,0.000,0.000
464,1370.470,149.224,149.224,132.510,23.420,117.781,0.000,14.729,0.000,0.000,0.000
465,1373.487,136.296,136.296,132.175,24.025,117.744,0.000,14.431,0.000,0.000,0.000
466,1376.504,142.742,142.742,131.862,24.630,117.746,0.000,14.115,0.000,0.000,0.000
467,1379.520,108.862,108.862,131.575,25.235,117.793,0.000,13.783,0.000,0.000,0.000
468,1382.536,134.694,134.694,131.322,25.840,117.887,0.000,13.435,0.000,0.000,0.000
469,1385.552,136.959,136.959,131.106,26.444,118.033,0.000,13.073,0.000,0.000,0.000
470,1388.568,144.946,144.946,130.933,27.049,118.232,0.000,12.701,0.000,0.000,0.000
471,1391.584,95.283,95.283,130.807,27.654,118.486,0.000,12.321,0.000,0.000,0.000
472,1394.599,121.343,121.343,130.730,28.259,118.795,0.000,11.935,0.000,0.000,0.000
