ch,keV,net,fit,model,continuum_raw,Bi-207,Esc-NaI
401,1169.533,794.562,794.562,780.098,351.890,780.098,0.000
402,1172.519,774.624,774.624,778.866,354.744,778.866,0.000
403,1175.505,791.343,791.343,779.343,357.598,779.343,0.000
404,1178.491,757.405,757.405,781.020,360.452,781.020,0.000
405,1181.477,750.937,750.937,783.558,363.307,783.558,0.000
406,1184.462,812.405,812.405,786.731,366.161,786.731,0.000
407,1187.448,775.405,775.405,790.397,369.015,790.397,0.000
408,1190.434,772.937,772.937,794.467,371.869,794.467,0.000
409,1193.420,794.937,794.937,798.888,374.723,798.888,0.000
410,1196.405,795.062,795.062,803.630,377.577,803.630,0.000
411,1199.391,739.812,739.812,808.674,380.431,808.674,0.000
412,1202.377,790.874,790.874,814.008,383.286,814.008,0.000
413,1205.362,801.655,801.655,819.618,386.140,819.618,0.000
414,1208.348,758.280,758.280,825.487,388.994,825.487,0.000
415,1211.333,739.093,739.093,831.591,391.848,831.591,0.000
416,1214.318,765.687,765.687,837.895,394.702,837.895,0.000
417,1217.303,785.937,785.937,844.354,397.556,844.354,0.000
418,1220.289,864.124,864.124,850.907,400.411,850.907,0.000
419,1223.274,818.093,818.093,857.484,403.265,857.484,0.000
420,1226.259,797.062,797.062,864.001,406.119,864.001,0.000
421,1229.244,880.562,880.562,870.364,408.973,870.364,0.000
422,1232.228,863.968,863.968,876.473,411.827,876.473,0.000
423,1235.213,840.437,840.437,882.222,414.681,882.222,0.000
424,1238.198,905.249,905.249,887.594,417.623,887.594,0.000
425,1241.182,880.249,880.249,892.401,420.565,892.401,0.000
426,1244.167,883.780,883.780,896.554,423.506,896.554,0.000
427,1247.151,938.155,938.155,899.976,426.448,899.976,0.000
428,1250.136,968.593,968.593,902.610,429.389,902.610,0.000
429,1253.120,920.343,920.343,904.422,432.331,904.422,0.000
430,1256.104,983.874,983.874,905.401,435.272,905.401,0.000
431,1259.088,1000.218,1000.218,905.562,438.214,905.562,0.000
432,1262.072,964.281,964.281,904.948,441.155,904.948,0.000
433,1265.056,922.718,922.718,903.622,444.097,903.622,0.000
434,1268.040,941.093,941.093,901.674,447.038,901.674,0.000
435,1271.023,1040.218,1040.218,899.206,449.980,899.206,0.000
436,1274.007,962.812,962.812,896.337,452.922,896.337,0.000
437,1276.990,1017.624,1017.624,893.193,455.863,893.193,0.000
438,1279.974,992.531,992.531,889.902,458.805,889.902,0.000
439,1282.957,953.374,953.374,886.591,461.746,886.591,0.000
440,1285.940,920.593,920.593,883.378,464.688,883.378,0.000
441,1288.923,983.812,983.812,880.370,467.629,880.370,0.000
442,1291.906,908.937,908.937,877.662,470.571,877.662,0.000
443,1294.888,874.656,874.656,875.328,473.512,875.328,0.000
444,1297.871,873.374,873.374,873.428,476.454,873.428,0.000
445,1300.854,899.593,899.593,872.003,479.395,872.003,0.000
446,1303.836,815.281,815.281,871.074,482.337,871.074,0.000
447,1306.818,865.812,865.812,859.700,474.328,859.700,0.000
448,1309.800,786.812,786.812,848.824,466.318,848.824,0.000
449,1312.782,757.468,757.468,838.430,458.309,838.430,0.000
450,1315.764,754.468,754.468,828.489,450.300,828.489,0.000
451,1318.746,780.437,780.437,818.971,442.290,818.971,0.000
452,1321.728,782.249,782.249,809.841,434.281,809.841,0.000
453,1324.709,779.531,779.531,801.061,426.272,801.061,0.000
454,1327.690,770.281,770.281,792.599,418.262,792.599,0.000
455,1330.672,785.437,785.437,784.423,410.253,784.423,0.000
456,1333.653,738.374,738.374,776.510,402.243,776.510,0.000
457,1336.634,730.718,730.718,768.841,394.234,768.841,0.000
458,1339.614,736.687,736.687,761.407,386.225,761.407,0.000
459,1342.595,693.468,693.468,754.208,378.215,754.208,0.000
460,1345.575,692.843,692.843,747.256,370.206,747.256,0.000
461,1348.556,792.968,792.968,740.573,362.197,740.573,0.000
462,1351.536,652.968,652.968,734.193,354.187,734.193,0.000
463,1354.516,729.093,729.093,728.164,346.178,728.164,0.000
464,1357.496,735.030,735.030,722.546,338.169,722.546,0.000
465,1360.476,719.968,719.968,717.414,330.159,717.414,0.000
466,1363.455,779.093,779.093,712.854,322.150,712.854,0.000
467,1366.435,697.656,697.656,708.969,314.141,708.969,0.000
468,1369.414,707.249,707.249,705.871,306.131,705.871,0.000
469,1372.393,758.374,758.374,703.684,298.122,703.684,0.000
470,1375.372,772.530,772.530,702.541,290.112,702.541,0.000
471,1378.351,732.968,732.968,698.984,278.508,698.984,0.000
472,1381.329,711.249,711.249,696.747,266.903,696.747,0.000
473,1384.308,745.655,745.655,695.968,255.299,695.968,0.000
474,1387.286,806.187,806.187,696.772,243.694,696.772,0.000
475,1390.264,718.249,718.249,699.271,232.090,699.271,0.000
476,1393.242,754.186,754.186,703.553,220.485,703.553,0.000
477,1396.220,767.999,767.999,709.676,208.881,709.676,0.000
478,1399.197,729.030,729.030,717.658,197.276,717.658,0.000
479,1402.175,784.374,784.374,727.474,185.672,727.474,0.000
480,1405.152,722.749,722.749,739.045,174.067,739.045,0.000
481,1408.129,757.561,757.561,752.234,162.463,752.234,0.000
482,1411.106,711.061,711.061,766.844,150.858,766.844,0.000
483,1414.082,723.124,723.124,782.615,139.254,782.615,0.000
484,1417.059,689.311,689.311,799.226,127.649,799.226,0.000
485,1420.035,747.436,747.436,816.297,116.045,816.297,0.000
486,1423.011,765.749,765.749,833.397,104.440,833.397,0.000
487,1425.987,763.780,763.780,850.055,92.836,850.055,0.000
488,1428.963,689.311,689.311,865.772,81.231,865.772,0.000
489,1431.939,765.624,765.624,880.032,69.627,880.032,0.000
490,1434.914,746.030,746.030,892.321,58.022,892.321,0.000
491,1437.889,685.155,685.155,902.147,46.418,902.147,0.000
492,1440.864,750.124,750.124,909.051,34.813,909.051,0.000
493,1443.839,728.967,728.967,912.629,23.209,912.629,0.000
494,1446.813,720.155,720.155,912.543,11.604,912.543,0.000
495,1449.788,634.624,634.624,908.538,0.000,908.538,0.000
496,1452.762,705.874,705.874,912.051,0.000,912.051,0.000
497,1455.736,650.874,650.874,911.406,0.000,911.406,0.000
498,1458.710,635.030,635.030,906.632,0.000,906.632,0.000
499,1461.683,692.686,692.686,897.848,0.000,897.848,0.000
500,1464.657,662.749,662.749,885.267,0.000,885.267,0.000
501,1467.630,628.405,628.405,869.178,0.000,869.178,0.000
502,1470.603,660.968,660.968,849.937,0.000,849.937,0.000
503,1473.576,657.874,657.874,827.953,0.000,827.953,0.000
504,1476.548,577.499,577.499,803.668,0.000,803.668,0.000
505,1479.521,606.999,606.999,777.544,0.000,777.544,0.000
506,1482.493,619.718,619.718,750.044,0.000,750.044,0.000
507,1485.465,568.562,568.562,721.617,0.000,721.617,0.000
508,1488.436,537.593,537.593,692.685,0.000,692.685,0.000
509,1491.408,600.374,600.374,663.630,0.000,663.630,0.000
510,1494.379,565.093,565.093,634.791,0.000,634.791,0.000
511,1497.350,473.343,473.343,606.450,0.000,606.450,0.000
512,1500.321,522.281,522.281,578.838,0.000,578.838,0.000
513,1503.292,469.999,469.999,552.127,0.000,552.127,0.000
514,1506.262,485.500,485.500,526.441,0.000,526.441,0.000
515,1509.232,449.437,449.437,501.853,0.000,501.853,0.000
516,1512.202,476.062,476.062,478.396,0.000,478.396,0.000
517,1515.172,413.250,413.250,456.065,0.000,456.065,0.000
518,1518.141,405.593,405.593,434.831,0.000,434.831,0.000
519,1521.111,378.343,378.343,414.642,0.000,414.642,0.000
520,1524.080,408.281,408.281,395.434,0.000,395.434,0.000
521,1527.048,414.562,414.562,385.909,8.772,385.909,0.000
522,1530.017,385.312,385.312,377.221,17.543,377.221,0.000
523,1532.985,356.125,356.125,369.300,26.315,369.300,0.000
524,1535.953,379.718,379.718,362.084,35.087,362.084,0.000
525,1538.921,349.000,349.000,355.517,43.858,355.517,0.000
526,1541.889,318.531,318.531,349.551,52.630,349.551,0.000
527,1544.856,299.343,299.343,344.151,61.402,344.151,0.000
528,1547.824,301.562,301.562,339.288,70.173,339.288,0.000
529,1550.790,323.468,323.468,334.943,78.945,334.943,0.000
530,1553.757,296.343,296.343,331.103,87.717,331.103,0.000
531,1556.724,283.281,283.281,327.759,96.488,327.759,0.000
532,1559.690,304.750,304.750,324.907,105.260,324.907,0.000
533,1562.656,285.562,285.562,322.544,114.032,322.544,0.000
534,1565.622,268.593,268.593,320.669,122.803,320.669,0.000
535,1568.587,292.718,292.718,319.279,131.575,319.279,0.000
536,1571.552,253.500,253.500,318.370,140.347,318.370,0.000
537,1574.517,256.656,256.656,317.937,149.118,317.937,0.000
538,1577.482,246.937,246.937,317.972,157.890,317.972,0.000
539,1580.447,297.437,297.437,318.463,166.662,318.463,0.000
540,1583.411,262.843,262.843,319.400,175.433,319.400,0.000
541,1586.375,288.625,288.625,320.766,184.205,320.766,0.000
542,1589.339,276.250,276.250,322.547,192.977,322.547,0.000
543,1592.302,285.687,285.687,324.725,201.748,324.725,0.000
544,1595.265,295.031,295.031,327.283,210.520,327.283,0.000
545,1598.228,301.625,301.625,330.205,219.292,330.205,0.000
546,1601.191,371.906,371.906,333.473,228.063,333.473,0.000
547,1604.154,380.843,380.843,345.136,244.897,345.136,0.000
548,1607.116,369.156,369.156,357.119,261.731,357.119,0.000
549,1610.078,408.000,408.000,369.411,278.566,369.411,0.000
550,1613.040,445.812,445.812,382.006,295.400,382.006,0.000
551,1616.001,488.937,488.937,394.900,312.234,394.900,0.000
552,1618.962,539.750,539.750,408.097,329.068,408.097,0.000
553,1621.923,556.531,556.531,421.602,345.902,421.602,0.000
554,1624.884,605.031,605.031,435.431,362.736,435.431,0.000
555,1627.844,630.219,630.219,449.604,379.570,449.604,0.000
556,1630.804,616.250,616.250,464.153,396.404,464.153,0.000
557,1633.764,726.062,726.062,479.117,413.238,479.117,0.000
558,1636.724,726.812,726.812,494.549,430.072,494.549,0.000
559,1639.683,749.906,749.906,510.515,446.906,510.515,0.000
560,1642.643,770.125,770.125,527.095,463.740,527.095,0.000
561,1645.601,766.593,766.593,544.389,480.575,544.389,0.000
562,1648.560,798.094,798.094,562.512,497.409,562.512,0.000
563,1651.518,833.187,833.187,581.600,514.243,581.600,0.000
564,1654.476,845.406,845.406,601.812,531.077,601.812,0.000
565,1657.434,889.531,889.531,623.327,547.911,623.327,0.000
566,1660.392,793.812,793.812,646.349,564.745,646.349,0.000
567,1663.349,806.156,806.156,671.100,581.579,671.100,0.000
568,1666.306,848.156,848.156,697.827,598.413,697.827,0.000
569,1669.263,817.031,817.031,726.791,615.247,726.791,0.000
570,1672.219,829.968,829.968,758.270,632.081,758.270,0.000
571,1675.175,772.094,772.094,792.550,648.915,792.550,0.000
572,1678.131,755.843,755.843,829.921,665.749,829.921,0.000
573,1681.087,752.656,752.656,870.665,682.584,870.665,0.000
574,1684.042,764.562,764.562,874.194,658.559,874.194,0.000
575,1686.997,768.125,768.125,881.611,634.534,881.611,0.000
576,1689.952,755.875,755.875,893.124,610.510,893.124,0.000
577,1692.906,751.687,751.687,908.892,586.485,908.892,0.000
578,1695.861,804.781,804.781,929.012,562.461,929.012,0.000
579,1698.814,810.875,810.875,953.507,538.436,953.507,0.000
580,1701.768,821.687,821.687,982.311,514.412,982.311,0.000
581,1704.722,870.375,870.375,1015.265,490.387,1015.265,0.000
582,1707.675,876.031,876.031,1052.099,466.362,1052.099,0.000
583,1710.628,919.031,919.031,1092.432,442.338,1092.432,0.000
584,1713.580,981.562,981.562,1135.768,418.313,1135.768,0.000
585,1716.532,1053.031,1053.031,1181.492,394.289,1181.492,0.000
586,1719.484,1055.843,1055.843,1228.879,370.264,1228.879,0.000
587,1722.436,1159.875,1159.875,1277.102,346.240,1277.102,0.000
588,1725.388,1241.656,1241.656,1325.239,322.215,1325.239,0.000
589,1728.339,1354.000,1354.000,1372.300,298.191,1372.300,0.000
590,1731.290,1407.250,1407.250,1417.239,274.166,1417.239,0.000
591,1734.240,1406.937,1406.937,1458.984,250.141,1458.984,0.000
592,1737.190,1487.718,1487.718,1496.460,226.117,1496.460,0.000
593,1740.140,1507.437,1507.437,1528.622,202.092,1528.622,0.000
594,1743.090,1586.718,1586.718,1554.481,178.068,1554.481,0.000
595,1746.040,1674.375,1674.375,1573.135,154.043,1573.135,0.000
596,1748.989,1649.750,1649.750,1583.795,130.019,1583.795,0.000
597,1751.938,1713.968,1713.968,1585.809,105.994,1585.809,0.000
598,1754.886,1699.125,1699.125,1578.686,81.970,1578.686,0.000
599,1757.835,1694.812,1694.812,1562.108,57.945,1562.108,0.000
600,1760.783,1695.125,1695.125,1535.942,33.920,1535.942,0.000
601,1763.730,1664.812,1664.812,1500.242,9.896,1500.242,0.000
602,1766.678,1567.906,1567.906,1478.936,9.555,1478.936,0.000
603,1769.625,1648.812,1648.812,1448.763,9.213,1448.763,0.000
604,1772.572,1454.750,1454.750,1410.311,8.872,1410.311,0.000
605,1775.518,1479.187,1479.187,1364.313,8.531,1364.313,0.000
606,1778.465,1402.875,1402.875,1311.628,8.190,1311.628,0.000
607,1781.411,1335.250,1335.250,1253.211,7.848,1253.211,0.000
608,1784.356,1239.656,1239.656,1190.084,7.507,1190.084,0.000
609,1787.302,1141.594,1141.594,1123.309,7.166,1123.309,0.000
610,1790.247,1095.406,1095.406,1053.958,6.825,1053.958,0.000
611,1793.192,982.437,982.437,983.080,6.483,983.080,0.000
612,1796.136,909.219,909.219,911.684,6.142,911.684,0.000
613,1799.080,828.156,828.156,840.708,5.801,840.708,0.000
614,1802.024,775.344,775.344,771.004,5.460,771.004,0.000
615,1804.968,742.625,742.625,703.324,5.119,703.324,0.000
616,1807.911,641.156,641.156,638.308,4.777,638.308,0.000
617,1810.855,568.250,568.250,576.478,4.436,576.478,0.000
618,1813.797,481.469,481.469,518.240,4.095,518.240,0.000
619,1816.740,440.656,440.656,463.882,3.754,463.882,0.000
620,1819.682,376.843,376.843,413.583,3.412,413.583,0.000
621,1822.624,293.500,293.500,367.420,3.071,367.420,0.000
622,1825.566,280.500,280.500,325.380,2.730,325.380,0.000
623,1828.507,219.406,219.406,287.372,2.389,287.372,0.000
624,1831.448,190.094,190.094,253.242,2.047,253.242,0.000
625,1834.389,168.406,168.406,222.781,1.706,222.781,0.000
626,1837.329,143.500,143.500,195.746,1.365,195.746,0.000
627,1840.269,125.312,125.312,171.868,1.024,171.868,0.000
628,1843.209,121.687,121.687,150.861,0.682,150.861,0.000
629,1846.149,104.781,104.781,132.439,0.341,132.439,0.000
630,1849.088,88.562,88.562,116.317,0.000,116.317,0.000
631,1852.027,71.687,71.687,103.438,0.874,103.438,0.000
632,1854.966,62.031,62.031,92.332,1.748,92.332,0.000
633,1857.904,55.531,55.531,82.762,2.622,82.762,0.000
634,1860.842,51.844,51.844,74.515,3.496,74.515,0.000
635,1863.780,48.906,48.906,67.402,4.370,67.402,0.000
636,1866.717,44.750,44.750,61.257,5.243,61.257,0.000
637,1869.654,24.719,24.719,55.937,6.117,55.937,0.000
638,1872.591,34.719,34.719,51.320,6.991,51.320,0.000
639,1875.528,34.406,34.406,47.304,7.865,47.304,0.000
640,1878.464,28.844,28.844,43.805,8.739,43.805,0.000
641,1881.400,46.031,46.031,40.754,9.613,40.754,0.000
642,1884.336,25.812,25.812,38.094,10.487,38.094,0.000
643,1887.271,38.781,38.781,35.780,11.361,35.780,0.000
644,1890.206,33.062,33.062,33.775,12.235,33.775,0.000
645,1893.141,20.906,20.906,32.049,13.109,32.049,0.000
646,1896.076,29.969,29.969,30.576,13.982,30.576,0.000
647,1899.010,30.812,30.812,29.337,14.856,29.337,0.000
648,1901.944,32.125,32.125,28.312,15.730,28.312,0.000
649,1904.878,36.375,36.375,27.487,16.604,27.487,0.000
650,1907.811,26.906,26.906,26.845,17.478,26.845,0.000
651,1910.744,35.625,35.625,26.374,18.352,26.374,0.000
652,1913.677,24.781,24.781,26.061,19.226,26.061,0.000
653,1916.609,28.000,28.000,25.891,20.100,25.891,0.000
654,1919.541,21.937,21.937,25.855,20.974,25.855,0.000
655,1922.473,31.656,31.656,25.938,21.848,25.938,0.000
656,1925.405,30.562,30.562,26.130,22.722,26.130,0.000
657,1928.336,27.844,27.844,26.419,23.595,26.419,0.000
658,1931.267,21.156,21.156,26.794,24.469,26.794,0.000
659,1934.198,28.781,28.781,27.247,25.343,27.247,0.000
660,1937.128,31.719,31.719,27.766,26.217,27.766,0.000
661,1940.058,28.969,28.969,27.271,26.018,27.271,0.000
662,1942.988,29.656,29.656,26.826,25.818,26.826,0.000
663,1945.917,23.844,23.844,26.424,25.619,26.424,0.000
664,1948.847,21.031,21.031,26.059,25.419,26.059,0.000
665,1951.776,35.781,35.781,25.725,25.220,25.725,0.000
666,1954.704,22.000,22.000,25.417,25.020,25.417,0.000
667,1957.633,27.969,27.969,25.130,24.821,25.130,0.000
668,1960.561,31.219,31.219,24.861,24.622,24.861,0.000
669,1963.488,20.031,20.031,24.607,24.422,24.607,0.000
670,1966.416,27.000,27.000,24.364,24.223,24.364,0.000
671,1969.343,31.844,31.844,24.131,24.023,24.131,0.000
672,1972.270,18.656,18.656,23.905,23.824,23.905,0.000
673,1975.196,24.812,24.812,23.685,23.624,23.685,0.000
674,1978.123,23.781,23.781,23.470,23.425,23.470,0.000
675,1981.049,33.531,33.531,23.259,23.225,23.259,0.000
676,1983.974,32.969,32.969,23.051,23.026,23.051,0.000
677,1986.900,23.937,23.937,22.845,22.827,22.845,0.000
678,1989.825,25.281,25.281,22.640,22.627,22.640,0.000
679,1992.750,30.750,30.750,22.437,22.428,22.437,0.000
680,1995.674,22.500,22.500,22.235,22.228,22.235,0.000
681,1998.598,24.687,24.687,22.034,22.029,22.034,0.000
682,2001.522,28.594,28.594,21.833,21.829,21.833,0.000
683,2004.446,29.844,29.844,21.632,21.630,21.632,0.000
684,2007.369,18.719,18.719,21.432,21.430,21.432,0.000
685,2010.292,21.781,21.781,21.232,21.231,21.232,0.000
686,2013.215,35.781,35.781,21.032,21.031,21.032,0.000
687,2016.138,12.906,12.906,20.833,20.832,20.833,0.000
688,2019.060,11.844,11.844,20.633,20.633,20.633,0.000
689,2021.982,22.844,22.844,20.433,20.433,20.433,0.000
690,2024.904,15.750,15.750,20.234,20.234,20.234,0.000
691,2027.825,22.406,22.406,20.162,20.162,20.162,0.000
692,2030.746,19.875,19.875,20.090,20.090,20.090,0.000
693,2033.667,16.719,16.719,20.018,20.018,20.018,0.000
694,2036.587,27.031,27.031,19.946,19.946,19.946,0.000
695,2039.507,19.875,19.875,19.874,19.874,19.874,0.000
696,2042.427,20.875,20.875,19.802,19.802,19.802,0.000
697,2045.347,13.062,13.062,19.730,19.730,19.730,0.000
698,2048.266,20.031,20.031,19.658,19.658,19.658,0.000
699,2051.185,25.750,25.750,19.586,19.586,19.586,0.000
700,2054.104,16.656,16.656,19.514,19.514,19.514,0.000
701,2057.023,24.656,24.656,19.442,19.442,19.442,0.000
702,2059.941,14.875,14.875,19.371,19.371,19.371,0.000
703,2062.859,13.531,13.531,19.299,19.299,19.299,0.000
704,2065.777,24.094,24.094,19.227,19.227,19.227,0.000
705,2068.694,21.594,21.594,19.155,19.155,19.155,0.000
706,2071.611,23.375,23.375,19.083,19.083,19.083,0.000
707,2074.528,20.812,20.812,19.011,19.011,19.011,0.000
708,2077.445,28.875,28.875,18.939,18.939,18.939,0.000
709,2080.361,24.594,24.594,18.867,18.867,18.867,0.000
710,2083.277,23.406,23.406,18.795,18.795,18.795,0.000
711,2086.193,15.562,15.562,18.723,18.723,18.723,0.000
712,2089.108,15.844,15.844,18.651,18.651,18.651,0.000
713,2092.023,15.500,15.500,18.579,18.579,18.579,0.000
714,2094.938,17.656,17.656,18.507,18.507,18.507,0.000
715,2097.853,21.719,21.719,18.435,18.435,18.435,0.000
716,2100.767,13.531,13.531,18.364,18.364,18.364,0.000
717,2103.681,18.687,18.687,18.292,18.292,18.292,0.000
718,2106.595,21.750,21.750,18.220,18.220,18.220,0.000
719,2109.508,19.437,19.437,18.148,18.148,18.148,0.000
720,2112.422,22.812,22.812,18.076,18.076,18.076,0.000
721,2115.335,11.812,11.812,18.004,18.004,18.004,0.000
722,2118.247,15.875,15.875,17.491,17.491,17.491,0.000
723,2121.160,15.500,15.500,16.979,16.979,16.979,0.000
724,2124.072,18.062,18.062,16.466,16.466,16.466,0.000
725,2126.984,17.750,17.750,15.954,15.954,15.954,0.000
726,2129.896,18.594,18.594,15.441,15.441,15.441,0.000
727,2132.807,14.875,14.875,14.929,14.929,14.929,0.000
728,2135.718,15.469,15.469,14.417,14.416,14.417,0.000
729,2138.629,15.812,15.812,13.904,13.903,13.904,0.000
730,2141.540,15.750,15.750,13.392,13.391,13.392,0.000
731,2144.450,9.062,9.062,12.880,12.878,12.880,0.000
732,2147.360,13.906,13.906,12.368,12.366,12.368,0.000
733,2150.270,14.719,14.719,11.856,11.853,11.856,0.000
734,2153.179,9.906,9.906,11.344,11.341,11.344,0.000
735,2156.089,13.250,13.250,10.833,10.828,10.833,0.000
736,2158.998,9.812,9.812,10.321,10.316,10.321,0.000
737,2161.906,14.750,14.750,9.811,9.803,9.811,0.000
738,2164.815,9.625,9.625,9.300,9.291,9.300,0.000
739,2167.723,9.781,9.781,8.791,8.778,8.791,0.000
740,2170.631,12.812,12.812,8.282,8.265,8.282,0.000
741,2173.539,8.750,8.750,7.774,7.753,7.774,0.000
742,2176.446,4.750,4.750,7.267,7.240,7.267,0.000
743,2179.354,7.625,7.625,6.761,6.728,6.761,0.000
744,2182.261,1.062,1.062,6.257,6.215,6.257,0.000
745,2185.167,10.781,10.781,5.756,5.703,5.756,0.000
746,2188.074,4.594,4.594,5.257,5.190,5.257,0.000
747,2190.980,7.406,7.406,4.760,4.678,4.760,0.000
748,2193.886,7.031,7.031,4.268,4.165,4.268,0.000
749,2196.792,7.625,7.625,3.779,3.652,3.779,0.000
750,2199.697,2.781,2.781,3.295,3.140,3.295,0.000
751,2202.602,3.250,3.250,2.817,2.627,2.817,0.000
752,2205.507,5.000,5.000,2.346,2.115,2.346,0.000
753,2208.412,10.844,10.844,1.882,1.602,1.882,0.000
754,2211.317,7.000,7.000,2.106,1.769,2.106,0.000
755,2214.221,9.719,9.719,2.341,1.936,2.341,0.000
756,2217.125,0.094,0.094,2.586,2.102,2.586,0.000
757,2220.029,9.219,9.219,2.844,2.269,2.844,0.000
758,2222.932,3.219,3.219,3.117,2.436,3.117,0.000
759,2225.836,7.156,7.156,3.405,2.603,3.405,0.000
760,2228.739,9.937,9.937,3.710,2.769,3.710,0.000
761,2231.641,2.094,2.094,4.034,2.936,4.034,0.000
762,2234.544,14.375,14.375,4.379,3.103,4.379,0.000
763,2237.446,1.969,1.969,4.745,3.270,4.745,0.000
764,2240.348,4.875,4.875,5.135,3.436,5.135,0.000
765,2243.250,7.281,7.281,5.550,3.603,5.550,0.000
766,2246.152,7.062,7.062,5.990,3.770,5.990,0.000
767,2249.053,3.000,3.000,6.457,3.937,6.457,0.000
768,2251.955,6.062,6.062,6.952,4.103,6.952,0.000
769,2254.856,7.187,7.187,7.474,4.270,7.474,0.000
770,2257.756,11.906,11.906,8.024,4.437,8.024,0.000
771,2260.657,9.187,9.187,8.602,4.603,8.602,0.000
772,2263.557,5.969,5.969,9.206,4.770,9.206,0.000
773,2266.457,10.312,10.312,9.835,4.937,9.835,0.000
774,2269.357,17.281,17.281,10.488,5.104,10.488,0.000
775,2272.257,7.406,7.406,11.161,5.270,11.161,0.000
776,2275.156,11.531,11.531,11.853,5.437,11.853,0.000
777,2278.055,13.125,13.125,12.558,5.604,12.558,0.000
778,2280.954,8.875,8.875,13.275,5.771,13.275,0.000
779,2283.853,12.031,12.031,13.997,5.937,13.997,0.000
780,2286.752,8.344,8.344,14.720,6.104,14.720,0.000
781,2289.650,10.219,10.219,15.440,6.271,15.440,0.000
782,2292.548,10.187,10.187,16.150,6.437,16.150,0.000
783,2295.446,8.000,8.000,16.844,6.604,16.844,0.000
784,2298.344,19.406,19.406,17.518,6.771,17.518,0.000
785,2301.241,12.125,12.125,18.164,6.938,18.164,0.000
786,2304.138,16.125,16.125,18.778,7.104,18.778,0.000
787,2307.035,21.219,21.219,19.050,6.967,19.050,0.000
788,2309.932,23.250,23.250,19.279,6.830,19.279,0.000
789,2312.829,16.406,16.406,19.459,6.693,19.459,0.000
790,2315.725,24.437,24.437,19.587,6.556,19.587,0.000
791,2318.622,24.437,24.437,19.659,6.420,19.659,0.000
792,2321.518,21.219,21.219,19.673,6.283,19.673,0.000
793,2324.414,31.156,31.156,19.625,6.146,19.625,0.000
794,2327.309,24.281,24.281,19.516,6.009,19.516,0.000
795,2330.205,19.406,19.406,19.344,5.872,19.344,0.000
796,2333.100,21.187,21.187,19.111,5.735,19.111,0.000
797,2335.995,29.125,29.125,18.816,5.598,18.816,0.000
798,2338.890,28.187,28.187,18.464,5.461,18.464,0.000
799,2341.785,32.187,32.187,18.056,5.324,18.056,0.000
800,2344.679,25.437,25.437,17.596,5.187,17.596,0.000
801,2347.573,27.219,27.219,17.088,5.050,17.088,0.000
802,2350.467,24.344,24.344,16.537,4.913,16.537,0.000
803,2353.361,23.312,23.312,15.949,4.776,15.949,0.000
804,2356.255,24.375,24.375,15.329,4.639,15.329,0.000
805,2359.149,22.656,22.656,14.683,4.502,14.683,0.000
806,2362.042,29.344,29.344,14.016,4.365,14.016,0.000
807,2364.935,31.250,31.250,13.334,4.228,13.334,0.000
808,2367.828,20.312,20.312,12.644,4.091,12.644,0.000
809,2370.721,15.250,15.250,11.950,3.954,11.950,0.000
810,2373.614,20.219,20.219,11.258,3.817,11.258,0.000
811,2376.506,14.469,14.469,10.572,3.680,10.572,0.000
812,2379.399,16.406,16.406,9.898,3.543,9.898,0.000
813,2382.291,12.031,12.031,9.238,3.406,9.238,0.000
814,2385.183,15.187,15.187,8.597,3.269,8.597,0.000
815,2388.075,13.250,13.250,7.977,3.132,7.977,0.000
816,2390.966,11.344,11.344,7.380,2.995,7.380,0.000
817,2393.858,9.312,9.312,6.808,2.858,6.808,0.000
818,2396.749,11.500,11.500,6.264,2.721,6.264,0.000
819,2399.640,11.031,11.031,5.746,2.584,5.746,0.000
820,2402.531,10.375,10.375,5.257,2.447,5.257,0.000
821,2405.422,8.656,8.656,4.862,2.377,4.862,0.000
822,2408.313,6.469,6.469,4.495,2.307,4.495,0.000
823,2411.203,5.375,5.375,4.154,2.237,4.154,0.000
824,2414.093,8.187,8.187,3.839,2.167,3.839,0.000
825,2416.984,7.125,7.125,3.549,2.098,3.549,0.000
826,2419.874,3.312,3.312,3.282,2.028,3.282,0.000
827,2422.764,3.344,3.344,3.037,1.958,3.037,0.000
828,2425.653,4.312,4.312,2.812,1.888,2.812,0.000
829,2428.543,4.500,4.500,2.605,1.818,2.605,0.000
830,2431.432,2.500,2.500,2.416,1.748,2.416,0.000
831,2434.322,0.000,-0.625,2.242,1.678,2.242,0.000
832,2437.211,0.719,0.719,2.082,1.608,2.082,0.000
833,2440.100,0.562,0.562,1.935,1.538,1.935,0.000
834,2442.989,3.344,3.344,1.799,1.468,1.799,0.000
835,2445.878,1.281,1.281,1.672,1.398,1.672,0.000
836,2448.766,0.406,0.406,1.554,1.328,1.554,0.000
837,2451.655,0.000,-0.375,1.444,1.259,1.444,0.000
838,2454.543,0.000,-0.563,1.340,1.189,1.340,0.000
839,2457.431,0.000,-0.688,1.242,1.119,1.242,0.000
840,2460.320,0.000,-0.500,1.149,1.049,1.149,0.000
841,2463.208,0.437,0.437,1.060,0.979,1.060,0.000
842,2466.095,1.406,1.406,0.974,0.909,0.974,0.000
843,2468.983,0.000,-0.563,0.891,0.839,0.891,0.000
844,2471.871,3.125,3.125,0.810,0.769,0.810,0.000
845,2474.758,0.000,-0.719,0.732,0.699,0.732,0.000
846,2477.646,0.531,0.531,0.655,0.629,0.655,0.000
