ch,keV,net,fit,model,continuum_raw,Zn-65,Ann-511,continuum
278,806.597,63.115,63.115,57.459,7.140,57.459,0.000,0.000
279,809.607,60.438,60.438,57.822,7.281,57.822,0.000,0.000
280,812.617,44.999,44.999,58.187,7.422,58.187,0.000,0.000
281,815.627,54.079,54.079,58.560,7.563,58.560,0.000,0.000
282,818.638,62.143,62.143,58.943,7.704,58.943,0.000,0.000
283,821.650,60.971,60.971,59.340,7.845,59.340,0.000,0.000
284,824.661,56.402,56.402,59.753,7.986,59.753,0.000,0.000
285,827.673,75.402,75.402,60.183,8.127,60.183,0.000,0.000
286,830.685,62.762,62.762,60.630,8.268,60.630,0.000,0.000
287,833.697,70.733,70.733,61.093,8.409,61.093,0.000,0.000
288,836.710,62.323,62.323,61.568,8.550,61.568,0.000,0.000
289,839.722,64.863,64.863,62.049,8.691,62.049,0.000,0.000
290,842.735,62.582,62.582,62.529,8.832,62.529,0.000,0.000
291,845.749,65.187,65.187,62.367,8.341,62.367,0.000,0.000
292,848.762,56.266,56.266,62.184,7.850,62.184,0.000,0.000
293,851.776,55.805,55.805,61.965,7.360,61.965,0.000,0.000
294,854.790,62.187,62.187,61.697,6.869,61.697,0.000,0.000
295,857.804,68.366,68.366,61.363,6.378,61.363,0.000,0.000
296,860.819,51.151,51.151,60.946,5.888,60.946,0.000,0.000
297,863.834,62.942,62.942,60.430,5.397,60.430,0.000,0.000
298,866.849,70.553,70.553,59.797,4.907,59.797,0.000,0.000
299,869.864,54.410,54.410,59.029,4.416,59.029,0.000,0.000
300,872.879,50.266,50.266,58.112,3.925,58.112,0.000,0.000
301,875.895,55.949,55.949,57.033,3.435,57.033,0.000,0.000
302,878.911,51.942,51.942,55.781,2.944,55.781,0.000,0.000
303,881.927,60.553,60.553,54.349,2.453,54.349,0.000,0.000
304,884.943,46.446,46.446,52.736,1.963,52.736,0.000,0.000
305,887.960,41.122,41.122,50.944,1.472,50.944,0.000,0.000
306,890.977,34.215,34.215,48.981,0.981,48.981,0.000,0.000
307,893.994,65.582,65.582,46.859,0.491,46.859,0.000,0.000
