состояние,чего_нет,спектр,группа,часть,истина,каналов,живое_с,отсчётов,ПШПВ_662_%,фон,калибровка,геометрия,тип_источника,сосуд,проба,ρ_пробы,кристалл,матрица,узел_кривой,исходник
❗,нет проверенной энергокалибровки (осталась хранившаяся),G1S16_Y88_P25,G1S16,known,88Y,1024,3600.0,138104,6.64,фон открытый_15.xml,stored/grp,G1S_point25,POINT,"точечный источник, 25 см от торца",— (точечный),,Sodium iodide,"физика 11, 462 КБ",G1S_point25,LSRM поверки\Поверка 2016\Точка 25см\Y-88_589_Точечная-25см_25cm.xml
✅,,G1S16_Am241_P5,G1S16,known,241AM,1024,300.0,666706,6.64,фон пустая защита_15.xml,ref-cal(G1S16_Eu152_P5),G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Am-241 42.13_Точечная-5см_5cm.xml
✅,,G1S16_Ba133_P5,G1S16,known,133BA,1024,1800.3,4683681,6.64,фон пустая защита_15.xml,poly1/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Ba-133 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Cd109_P5,G1S16,known,109CD,1024,1800.0,251252,6.64,фон пустая защита_15.xml,ref-cal(G1S16_Eu152_P5),G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Cd-109 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Ce139_P5,G1S16,known,139CE,1024,1800.0,260036,6.64,фон пустая защита_15.xml,affine,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Ce-139_591_Точечная-5см_5cm.xml
✅,,G1S16_Co57_P5,G1S16,known,57CO,1024,1800.0,18646,6.64,фон пустая защита_15.xml,ref-cal(G1S16_Eu152_P5),G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Co-57 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Co60_P5,G1S16,known,60CO,1024,1200.0,2918346,6.64,фон пустая защита_15.xml,poly2/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Co-60 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Cs137_P5,G1S16,known,137CS,1024,1800.2,4966296,6.64,фон пустая защита_15.xml,poly1/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Cs-137 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Eu152_P5,G1S16,known,152EU,1024,1800.0,5029781,6.64,фон пустая защита_15.xml,affine/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Eu-152 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Mn54_P5,G1S16,known,54MN,1024,600.0,659957,6.64,фон пустая защита_15.xml,poly1,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Mn-54_587_Точечная-5см_5cm.xml
✅,,G1S16_Na22_P5,G1S16,known,22NA,1024,600.0,5188557,6.64,фон пустая защита_15.xml,affine/grp,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Na-22_585_Точечная-5см_5cm.xml
✅,,G1S16_Th228_P5,G1S16,known,Th-228,1024,1800.0,376070,6.64,фон пустая защита_15.xml,poly2,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Th-228 #6649_Точечная-5см_5cm.xml
✅,,G1S16_Y88_P5,G1S16,known,88Y,1024,1200.0,57481,6.64,фон пустая защита_15.xml,affine,G1S_point5,POINT,"точечный источник, 5 см от торца",— (точечный),,Sodium iodide,"физика 11, 473 КБ",G1S_point5,LSRM поверки\Поверка 2016\Точка 5см\Y-88_589_Точечная-5см_5cm.xml
✅,,G1S24_Cs137_Denta120,G1S24,known,137CS,1024,4819.6,59058,7.16,Фон закр кр вода_16.xml,gain,G1S_denta120_oisn06_057_p24,CYLINDER,"Дента-120мл, набивка ОИСН-06 0.567 г/см³, вплотную",ОИСН-06,0.56666667,Sodium iodide,"физика 11, 473 КБ",G1S_denta120_oisn06_057_p24,LSRM поверки\Поверка 2024\Дента120мл\Cs137_420-7-14_Дента-120мл_0cm.xml
