ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
1223,412.993,214.249,259.465,78.450,151.366,90.092,0.250,17.624,0.000,0.000,0.129,0.000,0.000,0.000
1224,413.340,240.325,258.941,78.310,151.179,89.760,0.249,17.622,0.000,0.000,0.129,0.000,0.000,0.000
1225,413.687,231.510,258.394,78.169,150.964,89.430,0.248,17.620,0.000,0.000,0.128,0.000,0.000,0.000
1226,414.034,243.659,257.824,78.029,150.724,89.103,0.248,17.619,0.000,0.000,0.128,0.000,0.000,0.000
1227,414.381,220.805,257.232,77.888,150.458,88.779,0.247,17.617,0.000,0.000,0.128,0.000,0.000,0.000
1228,414.728,207.400,256.618,77.748,150.166,88.459,0.246,17.617,0.000,0.000,0.127,0.000,0.000,0.000
1229,415.075,232.473,255.983,77.607,149.851,88.141,0.245,17.616,0.000,0.000,0.127,0.000,0.000,0.000
1230,415.422,212.251,255.329,77.467,149.511,87.828,0.245,17.616,0.000,0.000,0.127,0.000,0.000,0.000
1231,415.769,174.362,254.657,77.326,149.150,87.517,0.244,17.616,0.000,0.000,0.126,0.000,0.000,0.000
1232,416.116,218.472,253.967,77.186,148.766,87.211,0.243,17.617,0.000,0.000,0.126,0.000,0.000,0.000
1233,416.463,228.732,253.261,77.045,148.362,86.909,0.243,17.619,0.000,0.000,0.126,0.000,0.000,0.000
1234,416.810,239.620,252.540,76.905,147.938,86.611,0.242,17.621,0.000,0.000,0.125,0.000,0.000,0.000
1235,417.157,229.436,251.807,76.764,147.496,86.318,0.242,17.624,0.000,0.000,0.125,0.000,0.000,0.000
1236,417.504,217.396,251.062,76.624,147.036,86.029,0.241,17.628,0.000,0.000,0.125,0.000,0.000,0.000
1237,417.851,226.400,250.305,76.483,146.560,85.745,0.240,17.632,0.000,0.000,0.124,0.000,0.000,0.000
1238,418.198,222.434,249.536,76.343,146.067,85.465,0.240,17.638,0.000,0.000,0.124,0.000,0.000,0.000
1239,418.545,219.138,248.753,76.202,145.557,85.188,0.239,17.643,0.000,0.000,0.124,0.000,0.000,0.000
1240,418.892,223.399,247.958,76.062,145.030,84.913,0.238,17.649,0.000,0.000,0.124,0.000,0.000,0.000
1241,419.238,221.028,247.150,75.921,144.488,84.642,0.238,17.655,0.000,0.000,0.123,0.000,0.000,0.000
1242,419.585,223.435,246.333,75.781,143.933,84.375,0.237,17.662,0.000,0.000,0.123,0.000,0.000,0.000
1243,419.932,217.916,245.507,75.640,143.364,84.111,0.236,17.670,0.000,0.000,0.123,0.000,0.000,0.000
1244,420.279,226.212,244.673,75.500,142.785,83.850,0.235,17.678,0.000,0.000,0.122,0.000,0.000,0.000
1245,420.626,241.989,243.833,75.359,142.194,83.593,0.234,17.686,0.000,0.000,0.122,0.000,0.000,0.000
1246,420.973,236.174,242.989,75.219,141.595,83.339,0.233,17.696,0.000,0.000,0.122,0.000,0.000,0.000
1247,421.320,184.547,242.141,75.078,140.989,83.089,0.232,17.706,0.000,0.000,0.122,0.000,0.000,0.000
1248,421.667,229.029,241.291,74.938,140.376,82.843,0.231,17.717,0.000,0.000,0.121,0.000,0.000,0.000
1249,422.014,243.174,240.440,74.797,139.758,82.600,0.230,17.728,0.000,0.000,0.121,0.000,0.000,0.000
1250,422.361,224.101,239.591,74.657,139.136,82.362,0.228,17.741,0.000,0.000,0.121,0.000,0.000,0.000
1251,422.708,222.138,238.745,74.516,138.513,82.127,0.227,17.755,0.000,0.000,0.120,0.000,0.000,0.000
