spectrum,arm,what,name,A,B,changed
radon1,nomx,member,Ra-224,"19.76 Бк z=21.9 доля=0.393% по Pb-212","19.76 Бк z=21.9 доля=0.393% по Pb-212",
radon1,nomx,member,Tl-208,"25.88 Бк z=10.4 доля=3.43%","25.88 Бк z=10.4 доля=3.43%",
radon1,nomx,member,Esc-CsI,"1168 Бк z=22.9 доля=8.19%","1168 Бк z=22.9 доля=8.19%",
radon1,nomx,member,Backscatter,"0.09787 Бк z=20.5 доля=11.3%","0.09787 Бк z=20.5 доля=11.3%",
radon1,nomx,member,Rn-222,"< 2.77e+03","< 2.77e+03",
radon1,nomx,member,Pb-210,"< 94.2","< 94.2",
radon1,nomx,member,Po-214,"< 2.89e+04","< 2.89e+04",
radon1,nomx,member,Th-232,"< 724","< 724",
radon1,nomx,member,Ac-228,"< 9.71","< 9.71",
radon1,nomx,member,Th-228,"< 178","< 178",
radon1,nomx,member,Rn-220,"< 2.36e+03","< 2.36e+03",
radon1,nomx,member,Po-216,"< 1.7e+05","< 1.7e+05",
radon1,nomx,member,Bi-212,"< 51.5","< 51.5",
radon1,nomx,member,Po-210,"< 2.89e+04","< 2.89e+04",
radon2,free,chi2/ndf,,1.287,1.316,*
radon2,free,gates,,"","рентген кристалла снят 1, вылет кристалла снят 1",
radon2,free,layer,Pb-212,47.948,91.057,*
radon2,free,layer,Ra-224,2.893,5.338,*
radon2,free,layer,Esc-CsI,45.663,—,*
radon2,free,layer,continuum,3.496,3.605,*
radon2,free,member,Pb-212,"14.17 Бк z=22.2 доля=47.9%","14.19 Бк z=22 доля=91.1%",*
radon2,free,member,Ra-224,"14.17 Бк z=22.2 доля=2.89% по Pb-212","14.19 Бк z=22 доля=5.34% по Pb-212",*
radon2,free,member,Esc-CsI,"861.5 Бк z=32.1 доля=45.7%","—",*
radon2,free,member,Ra-226,"< 24.6","< 24.8",*
radon2,free,member,Rn-222,"< 1.63e+03","< 1.65e+03",*
radon2,free,member,Pb-214,"< 2.4","< 2.43",*
radon2,free,member,Bi-214,"< 3.14","< 3.17",*
radon2,free,member,Pb-210,"< 48","< 83.8",*
radon2,free,member,Po-214,"< 1.36e+04","< 1.37e+04",*
radon2,free,member,Th-232,"< 447","< 527",*
radon2,free,member,Ac-228,"< 3.29","< 3.31",*
radon2,free,member,Th-228,"< 129","< 134",*
radon2,free,member,Rn-220,"< 1.35e+03","< 1.36e+03",*
radon2,free,member,Po-216,"< 8.13e+04","< 8.22e+04",*
radon2,free,member,Bi-212,"< 19.3","< 19.7",*
radon2,free,member,Tl-208,"< 5.27","< 5.32",*
radon2,free,member,Po-210,"< 1.36e+04","< 1.37e+04",*
radon2,eq,chi2/ndf,,1.129,1.190,*
radon2,eq,gates,,"","рентген кристалла снят 1, вылет кристалла снят 1",
radon2,eq,layer,Pb-212,21.824,36.929,*
radon2,eq,layer,Ac-228,21.253,34.286,*
radon2,eq,layer,Tl-208,14.516,21.791,*
radon2,eq,layer,Bi-212,2.332,3.917,*
radon2,eq,layer,Ra-224,1.318,2.151,*
radon2,eq,layer,Th-228,0.463,0.797,*
radon2,eq,layer,Th-232,0.052,0.100,*
radon2,eq,layer,Rn-220,0.019,0.030,*
radon2,eq,layer,Esc-CsI,38.222,—,*
radon2,eq,member,Th-232,"1.707 Бк z=3.16 доля=0.0517%","1.614 Бк z=2.91 доля=0.0998%",*
radon2,eq,member,Ac-228,"1.707 Бк z=3.16 доля=21.3%","1.614 Бк z=2.91 доля=34.3%",*
radon2,eq,member,Th-228,"1.707 Бк z=3.16 доля=0.463%","1.614 Бк z=2.91 доля=0.797%",*
radon2,eq,member,Ra-224,"1.707 Бк z=3.16 доля=1.32%","1.614 Бк z=2.91 доля=2.15%",*
radon2,eq,member,Rn-220,"1.707 Бк z=3.16 доля=0.0187%","1.614 Бк z=2.91 доля=0.0297%",*
radon2,eq,member,Po-216,"1.707 Бк z=3.16 доля=0.000294%","1.614 Бк z=2.91 доля=0.000465%",*
radon2,eq,member,Pb-212,"1.707 Бк z=3.16 доля=21.8%","1.614 Бк z=2.91 доля=36.9%",*
radon2,eq,member,Bi-212,"1.707 Бк z=3.16 доля=2.33%","1.614 Бк z=2.91 доля=3.92%",*
radon2,eq,member,Tl-208,"1.707 Бк z=3.16 доля=14.5%","1.614 Бк z=2.91 доля=21.8%",*
radon2,eq,member,Esc-CsI,"222.9 Бк z=4.61 доля=38.2%","—",*
radon2,eq,member,Ra-226,"< 1.77","< 1.82",*
radon2,nomx,chi2/ndf,,1.283,1.283,
radon2,nomx,gates,,"","рентген кристалла снят 0, вылет кристалла снят 0",
radon2,nomx,layer,Pb-212,45.640,45.640,
radon2,nomx,layer,Tl-208,9.486,9.486,
radon2,nomx,layer,Ra-224,2.676,2.676,
