ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
6189,2085.959,25.112,22.479,0.000,0.000,22.479,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6190,2086.338,26.408,22.526,0.000,0.000,22.526,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6191,2086.717,14.964,22.572,0.000,0.000,22.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6192,2087.096,22.186,22.617,0.000,0.000,22.617,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6193,2087.475,20.778,22.661,0.000,0.000,22.661,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6194,2087.854,18.186,22.705,0.000,0.000,22.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6195,2088.233,27.890,22.748,0.000,0.000,22.748,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6196,2088.612,19.556,22.791,0.000,0.000,22.791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6197,2088.991,10.260,22.833,0.000,0.000,22.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6198,2089.371,18.816,22.874,0.000,0.000,22.874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6199,2089.750,18.630,22.915,0.000,0.000,22.915,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6200,2090.130,19.408,22.955,0.000,0.000,22.955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6201,2090.509,12.630,22.994,0.000,0.000,22.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6202,2090.889,22.852,23.032,0.000,0.000,23.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6203,2091.268,15.260,23.070,0.000,0.000,23.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6204,2091.648,20.778,23.107,0.000,0.000,23.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6205,2092.028,25.482,23.144,0.000,0.000,23.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6206,2092.408,16.964,23.180,0.000,0.000,23.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6207,2092.788,17.408,23.215,0.000,0.000,23.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6208,2093.168,22.964,23.249,0.000,0.000,23.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6209,2093.548,10.890,23.283,0.000,0.000,23.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6210,2093.928,21.408,23.316,0.000,0.000,23.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6211,2094.308,17.778,23.348,0.000,0.000,23.348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6212,2094.688,14.630,23.380,0.000,0.000,23.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6213,2095.068,18.445,23.411,0.000,0.000,23.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6214,2095.448,15.890,23.441,0.000,0.000,23.441,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6215,2095.829,25.297,23.471,0.000,0.000,23.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6216,2096.209,29.334,23.499,0.000,0.000,23.499,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
