родитель;дочерний;BR;пар;медиана;min;max
Kr91;Rb91;1;336;0.0435;0.0013;0.1291
Kr92;Rb92;1;138;0.6388;0.2540;1.2401
Kr93;Rb93;1;348;0.0241;0.0235;0.0244
Kr94;Rb94;1;1;1.0374;1.0374;1.0374
Rb75;Kr75;1;28;1.4226;0.6853;2.0301
Rb76;Kr76;1;104;0.3497;0.0608;0.7782
Rb77;Kr77;1;168;0.3286;0.0019;0.8243
Rb78;Kr78;1;263;0.6254;0.2400;0.6309
Rb78m;Kr78;0.91;173;0.8907;0.7243;0.9602
Rb79;Kr79m;0.387609568524554;28;0.1963;0.1264;0.2217
Rb79;Kr79;0.612390431475446;56;0.2542;0.0211;0.3707
Rb80;Kr80;1;1;0.2504;0.2504;0.2504
Rb81;Kr81m;0.952063698765241;5;0.0233;0.0233;0.0236
Rb81;Kr81;0.0479363012347586;8;0.0289;0.0254;0.0300
Rb81m;Kr81;0.0238286401515694;2;0.0462;0.0446;0.0477
Rb82;Kr82;1;1;0.1509;0.1509;0.1509
Rb82m;Kr82;1;162;0.8352;0.2303;9.3478
Rb84;Kr84;0.961;1;0.7175;0.7175;0.7175
Rb84m;Rb84;1;1;0.6290;0.6290;0.6290
Rb88;Sr88;1;15;1.0004;0.9189;1.0010
Rb89;Sr89;1;38;0.6292;0.3548;0.6662
Rb90;Sr90;1;42;0.0399;0.0014;0.0401
Rb90m;Sr90;0.974;170;0.0966;0.0016;0.9144
Rb91;Sr91;1;110;0.0338;0.0334;0.0342
Rb92;Sr92;1;59;0.3295;0.0511;0.3315
Rb93;Sr93;1;268;0.0202;0.0190;0.0205
Rb94;Sr94;1;171;0.8468;0.1202;0.9039
Rb94;Sr93;0.1001;5;0.4126;0.1823;0.4414
Rb95;Sr95;1;586;0.2440;0.0943;0.4997
Rb95;Sr94;0.0873;4;1.0009;0.3353;2.3341
Rb96;Sr96;1;113;0.7800;0.6014;0.7982
Rb96;Sr95;0.133;13;0.5785;0.3108;0.6182
Rb97;Sr97;1;101;0.0264;0.0255;0.0273
Rb97;Sr96;0.251;18;1.0009;0.8418;1.0870
Rb98;Sr98;1;5;2.3590;1.2587;3.1816
Rb98;Sr97;0.138;1;2.4986;2.4986;2.4986
Rb98m;Sr98;1;87;0.7953;0.0886;1.1990
Rb99;Sr99;1;15;1.2470;0.9999;1.2689
Rb99;Sr98;0.159;4;0.5391;0.5391;0.5391
Rb100;Sr100;1;28;0.6949;0.3112;1.3784
Rb100;Sr99;0.06;1;1.2470;1.2470;1.2470
Rb100m;Sr100;1;7;0.9979;0.4579;1.0302
Rb100m;Sr99;0.06;1;1.2470;1.2470;1.2470
Rb101;Sr101;1;9;0.4525;0.2060;0.4625
Sr76;Rb76;1;9;0.5003;0.2857;3.7174
Sr77;Rb77;1;10;0.8824;0.7756;0.9479
Sr79;Rb79;1;23;0.2792;0.0466;0.2914
Sr80;Rb80;1;1;0.3900;0.3900;0.3900
Sr81;Rb81;0.998461023062145;93;0.1750;0.0198;0.1776
Sr83;Rb83;1;49;0.2955;0.0469;26.1775
Sr85m;Rb85;0.134;1;0.7501;0.7501;0.7501
Sr91;Y91m;0.58872428266346;2;0.3351;0.3351;0.3351
Sr91;Y91;0.41127571733654;26;0.3352;0.1121;0.3967
Sr92;Y92;1;4;0.8969;0.8472;0.9391
Sr93;Y93m;0.318221325891422;26;0.0535;0.0036;0.1788
Sr93;Y93;0.648119607876222;199;0.0787;0.0019;0.1018
Sr94;Y94;1;13;0.9421;0.8872;0.9589
Sr95;Y95;1;71;0.2261;0.0105;0.2506
Sr96;Y96;1;26;0.5879;0.4462;0.7691
Sr97;Y97m;0.149040182155374;10;0.0295;0.0250;0.1267
Sr97;Y97;0.850959817844626;25;0.0250;0.0076;0.0298
Sr98;Y98;1;177;0.1852;0.0102;50.1217
Sr99;Y99;1;142;0.1610;0.0059;0.1683
Sr100;Y100;1;235;0.0496;0.0093;0.2231
Sr101;Y101;1;102;0.0170;0.0167;0.0171
Sr102;Y102;1;93;0.3104;0.0648;1.1540
Y79;Sr79;1;2;14.2646;14.2646;14.2646
Y80;Sr80;1;171;1.4335;0.5584;6.0660
Y80m;Sr80;0.19;5;5.3445;2.3899;72.4996
Y81;Sr81;1;10;0.3708;0.1237;0.3769
Y82;Sr82;1;2;0.2506;0.2506;0.2506
Y83;Sr83m;0.0202246768183946;4;0.0073;0.0073;0.0073
Y83;Sr83;0.979775323181606;27;0.0063;0.0062;0.0063
Y84m2;Sr84;1;7;0.9745;0.9596;1.0281
Y85;Sr85m;1;2;0.6860;0.6015;0.7705
Y85m;Sr85m;0.112374534784993;11;0.0256;0.0255;0.0256
Y85m;Sr85;0.887625465215007;38;0.0457;0.0024;0.0937
Y86;Sr86;1;491;0.6808;0.3975;0.8588
Y86m;Sr86;0.0069;5;1.0037;1.0005;1.0653
Y88;Sr88;1;1;0.9928;0.9928;0.9928
Y90m;Y90;0.999979;1;0.9105;0.9105;0.9105
Y92;Zr92;1;10;0.1391;0.0185;0.1504
Y93;Zr93;1;4;0.0075;0.0075;0.0075
Y93m;Y93;1;1;1.0020;1.0020;1.0020
Y94;Zr94;1;29;0.5605;0.1944;0.8608
Y95;Zr95;1;33;0.1581;0.0214;0.1615
Y96;Zr96;1;2;0.0024;0.0024;0.0024
Y96m2;Zr96;1;133;0.0880;0.0059;0.1070
Y97;Zr97;1;15;0.1811;0.0239;1.7295
Y97m;Zr97;0.993;40;0.9175;0.6772;1.1863
Y97m2;Y97m;0.948;44;0.4877;0.2103;1.0635
Y98;Zr98;1;18;0.3159;0.0595;0.5529
Y98m2;Zr98;0.9;43;4.4714;1.8423;55.0966
Y99;Zr99;1;116;0.4260;0.1382;0.7156
Y99m;Y99;1;135;0.6838;0.3503;0.8366
Y100;Zr100;1;277;0.5402;0.0245;0.8032
Y100m;Zr100;1;2;0.8367;0.8367;0.8367
Y101;Zr101;1;120;0.3327;0.0245;10.2953
Y102m;Zr102;1;3;1.5734;1.5734;1.5734
Y102m2;Zr102;1;3;1.2430;1.2430;1.2430
