nucid;E_A;E_B;P;from_seq;z;a
228AC;153.980;129.060;0.00239035303029;26;90;228
228AC;153.980;782.140;0.0111501976712;26;90;228
228AC;153.980;911.200;0.605989003869;26;90;228
228AC;153.980;968.970;0.371471259372;26;90;228
228AC;191.350;57.770;0.00649350649351;4;90;228
228AC;191.350;129.060;0.210970464135;4;90;228
228AC;199.410;57.770;0.00405578665766;30;90;228
228AC;199.410;129.060;0.00239035303029;30;90;228
228AC;199.410;782.140;0.0111501976712;30;90;228
228AC;199.410;911.200;0.605989003869;30;90;228
228AC;199.410;968.970;0.371471259372;30;90;228
228AC;204.030;57.770;0.00649350649351;35;90;228
228AC;204.030;129.060;0.0525820896041;35;90;228
228AC;204.030;835.710;0.245749462358;35;90;228
228AC;204.030;964.770;0.742445505614;35;90;228
228AC;209.250;57.770;0.00649350649351;5;90;228
228AC;209.250;129.060;0.210970464135;5;90;228
228AC;270.250;57.770;0.00649350649351;3;90;228
228AC;278.950;57.770;0.00413723687699;49;90;228
228AC;278.950;129.060;0.010490150509;49;90;228
228AC;278.950;191.350;-1;-1;0;0
228AC;278.950;209.250;0.00573215085339;49;90;228
228AC;278.950;270.250;0.0513290377765;49;90;228
228AC;278.950;278.950;0.0273538656076;49;90;228
228AC;278.950;321.650;0.0385265712783;49;90;228
228AC;278.950;328.000;0.0453235403567;49;90;228
228AC;278.950;332.370;-1;-1;0;0
228AC;278.950;338.320;0.0167606750099;49;90;228
228AC;278.950;478.330;0.0172377295117;49;90;228
228AC;278.950;503.820;0.0327468574946;49;90;228
228AC;278.950;546.470;0.0155139565605;49;90;228
228AC;278.950;572.140;-1;-1;0;0
228AC;278.950;583.410;0.006511111549;49;90;228
228AC;278.950;688.100;0.00430943237791;49;90;228
228AC;278.950;1095.680;0.0211896142031;49;90;228
228AC;278.950;1153.520;0.0235012084798;49;90;228
228AC;321.650;57.770;0.00420836394695;28;90;228
228AC;321.650;270.250;0.38674554312;28;90;228
228AC;321.650;328.000;0.341496314575;28;90;228
228AC;321.650;503.820;0.747564733125;28;90;228
228AC;327.440;57.770;0.00396501724186;51;90;228
228AC;327.440;129.060;0.00837541711576;51;90;228
228AC;327.440;153.980;0.107270443295;51;90;228
228AC;327.440;209.250;0.0220463194637;51;90;228
228AC;327.440;270.250;0.347273553877;51;90;228
228AC;327.440;328.000;0.306642548073;51;90;228
228AC;327.440;338.320;0.0644629224085;51;90;228
228AC;327.440;726.860;0.0868379779051;51;90;228
228AC;327.440;782.140;0.00140623907089;51;90;228
228AC;327.440;794.950;0.63851454342;51;90;228
228AC;327.440;835.710;0.014153697439;51;90;228
228AC;327.440;911.200;0.0764260364614;51;90;228
228AC;327.440;964.770;0.0427604152234;51;90;228
228AC;327.440;968.970;0.0468491603509;51;90;228
228AC;327.440;1065.180;0.01941084212;51;90;228
228AC;332.370;57.770;0.00649350649351;6;90;228
228AC;332.370;129.060;0.210970464135;6;90;228
228AC;338.320;57.770;0.00649350649351;5;90;228
228AC;340.960;57.770;0.00649190753018;49;90;228
228AC;340.960;129.060;0.165303679606;49;90;228
228AC;340.960;904.200;0.738336444912;49;90;228
228AC;340.960;1033.250;0.198612503681;49;90;228
228AC;409.460;57.770;0.00649350649351;49;90;228
228AC;409.460;129.060;0.0525820896041;49;90;228
228AC;409.460;835.710;0.245749462358;49;90;228
228AC;409.460;964.770;0.742445505614;49;90;228
228AC;440.440;57.770;0.00649190753018;60;90;228
228AC;440.440;129.060;0.165303679606;60;90;228
228AC;440.440;904.200;0.738336444912;60;90;228
228AC;440.440;1033.250;0.198612503681;60;90;228
228AC;463.000;57.770;0.00405578665766;49;90;228
228AC;463.000;129.060;0.00239035303029;49;90;228
228AC;463.000;782.140;0.0111501976712;49;90;228
228AC;463.000;911.200;0.605989003869;49;90;228
228AC;463.000;968.970;0.371471259372;49;90;228
228AC;478.330;57.770;0.00641932513909;10;90;228
228AC;478.330;129.060;0.0545532618656;10;90;228
228AC;478.330;209.250;0.238368788019;10;90;228
228AC;478.330;338.320;0.696984760289;10;90;228
228AC;503.820;57.770;0.00347416416911;9;90;228
228AC;503.820;270.250;0.511004089821;9;90;228
228AC;503.820;328.000;0.451216611312;9;90;228
228AC;508.960;57.770;0.00649350649351;60;90;228
228AC;508.960;129.060;0.0525820896041;60;90;228
228AC;508.960;835.710;0.245749462358;60;90;228
228AC;508.960;964.770;0.742445505614;60;90;228
228AC;523.130;57.770;0.00396501724186;73;90;228
228AC;523.130;129.060;0.00837541711576;73;90;228
228AC;523.130;153.980;0.107270443295;73;90;228
228AC;523.130;209.250;0.0220463194637;73;90;228
228AC;523.130;270.250;0.347273553877;73;90;228
228AC;523.130;328.000;0.306642548073;73;90;228
228AC;523.130;338.320;0.0644629224085;73;90;228
228AC;523.130;726.860;0.0868379779051;73;90;228
228AC;523.130;782.140;0.00140623907089;73;90;228
228AC;523.130;794.950;0.63851454342;73;90;228
228AC;523.130;835.710;0.014153697439;73;90;228
228AC;523.130;911.200;0.0764260364614;73;90;228
228AC;523.130;964.770;0.0427604152234;73;90;228
228AC;523.130;968.970;0.0468491603509;73;90;228
228AC;523.130;1065.180;0.01941084212;73;90;228
228AC;546.470;57.770;0.00347416416911;10;90;228
228AC;546.470;270.250;0.511004089821;10;90;228
228AC;546.470;328.000;0.451216611312;10;90;228
228AC;562.500;57.770;0.00405578665766;60;90;228
228AC;562.500;129.060;0.00239035303029;60;90;228
228AC;562.500;782.140;0.0111501976712;60;90;228
228AC;562.500;911.200;0.605989003869;60;90;228
228AC;562.500;968.970;0.371471259372;60;90;228
228AC;570.910;57.770;0.00413723687699;84;90;228
228AC;570.910;129.060;0.010490150509;84;90;228
228AC;570.910;191.350;-1;-1;0;0
228AC;570.910;209.250;0.00573215085339;84;90;228
228AC;570.910;270.250;0.0513290377765;84;90;228
228AC;570.910;278.950;0.0273538656076;84;90;228
228AC;570.910;321.650;0.0385265712783;84;90;228
228AC;570.910;328.000;0.0453235403567;84;90;228
228AC;570.910;332.370;-1;-1;0;0
228AC;570.910;338.320;0.0167606750099;84;90;228
228AC;570.910;478.330;0.0172377295117;84;90;228
228AC;570.910;503.820;0.0327468574946;84;90;228
228AC;570.910;546.470;0.0155139565605;84;90;228
228AC;570.910;572.140;-1;-1;0;0
228AC;570.910;583.410;0.006511111549;84;90;228
228AC;570.910;688.100;0.00430943237791;84;90;228
228AC;570.910;1095.680;0.0211896142031;84;90;228
228AC;570.910;1153.520;0.0235012084798;84;90;228
228AC;572.140;57.770;0.00641932513909;15;90;228
228AC;572.140;129.060;0.0545532618656;15;90;228
228AC;572.140;209.250;0.238368788019;15;90;228
228AC;572.140;338.320;0.696984760289;15;90;228
228AC;583.410;57.770;0.00641932513909;18;90;228
228AC;583.410;129.060;0.0545532618656;18;90;228
228AC;583.410;209.250;0.238368788019;18;90;228
228AC;583.410;338.320;0.696984760289;18;90;228
228AC;674.160;57.770;0.00405578665766;71;90;228
228AC;674.160;129.060;0.00239035303029;71;90;228
228AC;674.160;782.140;0.0111501976712;71;90;228
228AC;674.160;911.200;0.605989003869;71;90;228
228AC;674.160;968.970;0.371471259372;71;90;228
228AC;674.750;57.770;0.00645973794636;71;90;228
228AC;674.750;129.060;0.0954895039716;71;90;228
228AC;674.750;191.350;0.0195843479554;71;90;228
228AC;674.750;209.250;0.108509310995;71;90;228
228AC;674.750;270.250;0.00571510741227;71;90;228
228AC;674.750;328.000;0.00504643984504;71;90;228
228AC;674.750;332.370;0.230915066012;71;90;228
228AC;674.750;338.320;0.31727868712;71;90;228
228AC;674.750;572.140;0.450856769883;71;90;228
228AC;688.100;57.770;0.00347416416911;19;90;228
228AC;688.100;129.060;-1;-1;0;0
228AC;688.100;270.250;0.511004089821;19;90;228
228AC;688.100;328.000;0.451216611312;19;90;228
228AC;701.750;57.770;0.00649350649351;84;90;228
228AC;701.750;129.060;0.0525820896041;84;90;228
228AC;701.750;835.710;0.245749462358;84;90;228
228AC;701.750;964.770;0.742445505614;84;90;228
228AC;707.410;57.770;0.00649350649351;35;90;228
228AC;707.410;129.060;0.210970464135;35;90;228
228AC;707.410;191.350;0.0589815073141;35;90;228
228AC;707.410;332.370;0.869426865116;35;90;228
228AC;726.860;57.770;0.00641932513909;26;90;228
228AC;726.860;129.060;0.0545532618656;26;90;228
228AC;726.860;209.250;0.238368788019;26;90;228
228AC;726.860;338.320;0.696984760289;26;90;228
228AC;755.320;57.770;0.00405578665766;84;90;228
228AC;755.320;129.060;0.00239035303029;84;90;228
228AC;755.320;782.140;0.0111501976712;84;90;228
228AC;755.320;911.200;0.605989003869;84;90;228
228AC;755.320;968.970;0.371471259372;84;90;228
228AC;772.290;57.770;0.00641932513909;30;90;228
228AC;772.290;129.060;0.0545532618656;30;90;228
228AC;772.290;209.250;0.238368788019;30;90;228
228AC;772.290;338.320;0.696984760289;30;90;228
228AC;782.140;57.770;0.00649350649351;17;90;228
228AC;782.140;129.060;0.210970464135;17;90;228
228AC;794.950;57.770;0.00347416416911;26;90;228
