spectrum,kind,channels,first_ch,first_keV,thr_ch,thr_keV,how,pair_floor_keV,winner
G1S16_Cs137_Mar_2,фон,1024,8,2.641,8,2.641,"подъём 2.64→8.65 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.64",2.641,равны
G1S16_Cs137_P25,проба,1024,5,10.074,5,10.074,"подъём 18.56→29.89 кэВ (от подошвы к уровню 4396) шире рампы (5 кэВ) — порог по первому каналу 10.07",10.074,равны (ниже пусто — не применяется)
G1S16_Cs137_P25,фон,1024,5,10.074,5,10.074,"подъём 12.90→24.22 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 10.07",10.074,равны (ниже пусто — не применяется)
G1S16_Cs137_P5,проба,1024,5,3.386,5,3.386,"подъём 9.09→23.36 кэВ (от подошвы к уровню 54532) шире рампы (5 кэВ) — порог по первому каналу 3.39",3.386,равны (ниже пусто — не применяется)
G1S16_Cs137_P5,фон,1024,5,3.386,5,3.386,"подъём 3.39→17.65 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 3.39",3.386,равны (ниже пусто — не применяется)
G1S16_Eu152_P25,проба,1024,5,6.595,5,6.595,"уровень не устоялся в 20 кэВ от 6.60 кэВ (растущий континуум) — порог по первому каналу",6.595,равны (ниже пусто — не применяется)
G1S16_Eu152_P25,фон,1024,5,6.595,5,6.595,"подъём 9.44→20.84 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 6.60",6.595,равны (ниже пусто — не применяется)
G1S16_Eu152_P5,проба,1024,5,6.249,5,6.249,"уровень не устоялся в 20 кэВ от 6.25 кэВ (растущий континуум) — порог по первому каналу",6.249,равны (ниже пусто — не применяется)
G1S16_Eu152_P5,фон,1024,5,6.249,5,6.249,"подъём 6.25→20.54 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 6.25",6.249,равны (ниже пусто — не применяется)
G1S16_K40_Mar,проба,1024,7,2.758,7,2.758,"подъём 2.76→14.54 кэВ (от подошвы к уровню 325) шире рампы (5 кэВ) — порог по первому каналу 2.76",2.758,равны
G1S16_K40_Mar,фон,1024,7,2.758,7,2.758,"подъём 2.76→11.60 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.76",2.758,равны
G1S16_K40_Mar_2,проба,1024,9,1.138,9,1.138,"подъём 1.14→7.30 кэВ (от подошвы к уровню 335) шире рампы (5 кэВ) — порог по первому каналу 1.14",4.221,ФОН
G1S16_K40_Mar_2,фон,1024,9,1.138,10,4.221,"рампа 1.14→4.22 кэВ (каналы 9→10; подошва 1.14, середина в канале 10 при уровне 976, хвост 0)",4.221,ФОН
G1S16_Mix_Denta100,проба,1024,8,2.955,8,2.955,"подъём 2.96→20.72 кэВ (от подошвы к уровню 7266) шире рампы (5 кэВ) — порог по первому каналу 2.96",2.955,равны
G1S16_Mix_Denta100,фон,1024,8,2.955,8,2.955,"подъём 2.96→8.88 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.96",2.955,равны
G1S16_Mix_Mar,проба,1024,8,1.778,8,1.778,"подъём 1.78→10.80 кэВ (от подошвы к уровню 39980) шире рампы (5 кэВ) — порог по первому каналу 1.78",1.778,равны
G1S16_Mix_Mar,фон,1024,8,1.778,8,1.778,"подъём 1.78→7.79 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.78",1.778,равны
G1S16_Mix_Petri,проба,1024,8,2.125,8,2.125,"подъём 2.12→19.95 кэВ (от подошвы к уровню 5637) шире рампы (5 кэВ) — порог по первому каналу 2.12",2.125,равны
G1S16_Mix_Petri,фон,1024,8,2.125,8,2.125,"подъём 2.12→8.07 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.12",2.125,равны
G1S16_Mn54_P25,проба,1024,5,2.284,5,2.284,"подъём 7.99→19.40 кэВ (от подошвы к уровню 727) шире рампы (5 кэВ) — порог по первому каналу 2.28",2.284,равны (ниже пусто — не применяется)
G1S16_Mn54_P25,фон,1024,5,2.284,5,2.284,"подъём 5.13→16.55 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 2.28",2.284,равны (ниже пусто — не применяется)
G1S16_Mn54_P5,проба,1024,15,1.057,15,1.057,"жёсткий рез 1.06 кэВ (канал 15 уже на уровне 1643)",1.057,равны
G1S16_Mn54_P5,фон,1024,15,1.057,15,1.057,"жёсткий рез 1.06 кэВ (канал 15 уже на уровне 1111)",1.057,равны
G1S16_Na22_P25,проба,1024,5,6.208,5,6.208,"подъём 11.89→20.41 кэВ (от подошвы к уровню 3857) шире рампы (5 кэВ) — порог по первому каналу 6.21",6.208,равны (ниже пусто — не применяется)
G1S16_Na22_P25,фон,1024,5,6.208,5,6.208,"подъём 9.05→20.41 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 6.21",6.208,равны (ниже пусто — не применяется)
G1S16_Na22_P5,проба,1024,5,20.803,5,20.803,"подъём 26.35→34.68 кэВ (от подошвы к уровню 13680) шире рампы (5 кэВ) — порог по первому каналу 20.80",20.803,равны (ниже пусто — не применяется)
G1S16_Na22_P5,фон,1024,5,20.803,5,20.803,"подъём 20.80→34.68 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 20.80",20.803,равны (ниже пусто — не применяется)
G1S16_Ra226_Mar,проба,1024,6,2.174,6,2.174,"подъём 5.13→16.94 кэВ (от подошвы к уровню 2593) шире рампы (5 кэВ) — порог по первому каналу 2.17",2.174,равны
G1S16_Ra226_Mar,фон,1024,6,2.174,6,2.174,"подъём 2.17→13.99 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.17",2.174,равны
G1S16_Ra226_Mar_2,проба,1024,7,0.215,7,0.215,"подъём 0.21→9.23 кэВ (от подошвы к уровню 4508) шире рампы (5 кэВ) — порог по первому каналу 0.21",0.215,равны
G1S16_Ra226_Mar_2,фон,1024,7,0.215,7,0.215,"подъём 0.21→9.23 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 0.21",0.215,равны
G1S16_Th228_P25,проба,1024,5,5.288,5,5.288,"подъём 8.13→19.52 кэВ (от подошвы к уровню 535) шире рампы (5 кэВ) — порог по первому каналу 5.29",5.288,равны (ниже пусто — не применяется)
